holdout_month,combined_min,value_min,extra_units,train_plateau_cells,baseline_roi,test_roi,delta_roi_pp,baseline_profit_yen,test_profit_yen,test_R,trigger_R
2026-02,2.25,1.3,3,3,1.448888888888889,1.2784313725490195,-17.04575163398694,2020,1420,15,2
2026-03,2.25,1.1,3,12,0.9923076923076923,1.19375,20.144230769230774,-30,930,13,3
2026-04,3.25,0.9,3,14,1.5797979797979798,1.5797979797979798,0.0,5740,5740,33,0
2026-05,2.5,1.3,3,4,0.9217054263565891,0.8904761904761904,-3.122923588039872,-1010,-1610,43,6
2026-06,2.5,1.0,2,22,1.5434343434343434,1.7203252032520324,17.689085981768905,5380,8860,33,12
