date,jcd,rno,source_type,snapshot_type,source_url,odds_mapping_version,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-02-14,01,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=1,official_table_v2,46.4,30.0,66.0,290.3,41.8,14.0,28.4,166.6,26.2,15.1,18.1,114.9,75.3,46.7,38.5,178.4,526.6,428.5,324.0,427.7,129.5,95.2,154.3,527.8,190.6,142.6,226.4,754.3,102.9,122.2,132.9,404.4,274.6,308.8,227.3,697.7,1268.0,1053.0,1099.0,1369.0,94.7,29.4,54.4,289.9,155.7,109.8,166.7,613.4,36.7,73.5,35.2,182.1,92.3,164.9,65.1,319.4,581.4,1033.0,548.6,684.9,35.3,19.8,16.5,86.7,72.3,79.2,67.6,202.4,35.2,65.1,28.3,139.9,18.8,40.6,26.8,54.4,199.0,282.6,262.6,153.7,120.3,95.6,67.1,196.0,216.1,269.9,198.1,491.8,147.9,255.7,111.5,452.9,61.5,114.7,77.4,144.3,359.5,658.6,597.0,351.0,823.9,983.6,654.7,732.0,1353.0,1378.0,1361.0,1641.0,1275.0,1404.0,922.6,1653.0,630.7,911.3,806.0,522.9,803.1,1413.0,1353.0,639.7
2026-02-14,01,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=2,official_table_v2,15.9,76.2,22.9,107.2,12.8,48.1,10.3,60.4,174.4,120.9,178.5,309.4,28.4,19.2,126.2,75.4,233.1,204.7,497.6,205.4,38.9,183.0,51.6,196.9,49.2,158.1,46.6,161.3,402.4,339.1,438.5,789.1,77.4,66.2,320.0,194.3,500.7,437.8,1118.0,394.5,20.8,55.4,12.4,63.2,37.4,97.1,30.1,109.0,125.3,163.8,101.9,240.4,18.0,26.9,80.8,50.4,245.0,255.8,432.3,151.5,530.1,296.3,387.6,626.8,721.4,413.3,631.7,1088.0,295.9,375.7,318.3,523.3,489.6,645.1,388.3,559.3,1189.0,1477.0,1183.0,1123.0,58.6,33.5,199.5,69.4,84.5,71.8,372.8,129.6,37.3,54.2,169.4,69.6,387.0,475.3,305.9,462.7,91.0,125.6,88.3,372.8,948.8,855.6,1920.0,564.4,1103.0,1276.0,1442.0,732.3,956.3,1219.0,1636.0,513.3,2216.0,1705.0,2015.0,1819.0,388.9,446.6,375.1,1207.0
2026-02-14,01,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=3,official_table_v2,145.3,157.3,264.1,396.8,111.0,36.0,81.9,138.1,156.3,48.5,97.6,133.5,387.5,183.8,186.6,407.8,714.9,393.6,321.8,538.5,173.1,183.2,345.5,512.9,134.1,31.5,51.3,85.1,174.2,46.3,94.9,117.3,415.3,145.5,178.4,382.7,742.6,286.3,350.4,602.4,81.2,24.6,45.7,70.9,73.8,24.6,38.9,58.9,19.4,19.3,9.3,14.2,64.2,59.9,23.4,44.5,169.9,150.7,51.7,85.2,150.2,53.3,81.4,114.7,173.9,67.1,117.3,149.1,32.1,44.3,18.9,27.6,92.0,117.5,40.2,66.0,194.8,228.2,76.4,113.6,476.6,279.2,295.1,433.4,557.8,272.8,343.1,637.9,224.7,219.5,95.1,189.0,270.4,295.1,109.1,183.7,651.3,834.8,385.1,336.2,1352.0,1003.0,789.8,1250.0,1397.0,653.0,756.2,1405.0,918.0,614.3,225.9,611.2,876.0,696.9,230.3,452.3,1316.0,1405.0,736.0,529.3
2026-02-14,01,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=4,official_table_v2,119.8,116.0,264.2,139.5,120.2,49.2,175.8,75.0,117.1,56.5,184.7,57.3,534.3,335.9,361.8,419.4,191.8,114.2,89.7,328.0,155.3,131.2,459.7,149.4,146.2,37.4,167.8,38.4,116.5,38.1,153.9,35.2,733.7,371.0,437.5,357.9,186.5,63.6,55.4,272.9,144.3,67.5,193.5,66.4,145.5,41.5,145.7,37.2,50.5,36.9,51.0,13.3,243.0,257.2,114.1,120.8,72.1,43.6,19.6,79.0,122.8,65.9,163.7,49.5,136.6,54.7,174.1,36.9,58.9,46.6,57.0,15.3,219.7,223.6,128.1,93.9,39.0,30.3,17.5,46.2,1066.0,830.9,836.2,671.9,1323.0,934.1,908.3,1079.0,878.0,961.3,516.5,660.2,810.5,899.0,499.8,353.1,1084.0,1106.0,793.4,448.7,264.4,179.4,125.0,424.8,289.4,106.8,90.3,368.9,146.3,91.0,40.3,184.5,88.1,68.0,35.6,118.1,647.2,560.4,398.5,278.7
2026-02-14,01,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=5,official_table_v2,61.8,33.3,25.6,60.0,135.9,202.2,193.6,367.1,73.5,185.4,101.3,152.8,53.9,190.1,107.0,110.9,207.8,501.8,311.4,263.2,46.7,19.9,12.7,30.0,90.9,71.9,51.3,95.9,31.3,66.4,14.1,24.6,19.0,45.2,13.9,13.3,86.6,146.9,56.7,33.4,278.7,410.6,388.9,715.8,230.9,179.8,146.0,266.2,467.7,300.1,374.3,575.8,394.9,236.8,439.0,424.9,1078.0,770.4,952.7,818.1,101.7,366.8,108.0,164.7,85.4,206.0,36.6,64.7,551.8,372.1,518.5,669.3,94.0,41.9,297.9,61.0,244.6,118.9,559.6,117.2,82.7,376.4,159.9,147.9,58.9,162.7,43.0,41.3,630.8,323.1,707.0,615.0,167.7,65.8,520.0,93.6,171.0,73.9,482.1,131.8,570.1,1566.0,1024.0,724.9,386.0,819.4,277.4,162.8,1684.0,1363.0,1735.0,1610.0,893.2,394.9,1651.0,282.4,566.3,207.9,1108.0,283.0
2026-02-14,01,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=6,official_table_v2,9.3,11.4,29.6,71.1,8.1,4.5,12.8,47.9,12.4,7.6,16.0,42.3,54.2,32.1,34.3,100.2,140.4,133.6,121.5,188.5,147.9,193.3,371.0,720.8,376.7,749.4,1265.0,2504.0,498.8,879.7,1233.0,1895.0,790.5,1483.0,1469.0,2028.0,1604.0,2454.0,2939.0,3805.0,98.9,46.9,81.3,320.2,302.4,520.0,717.6,1669.0,95.0,374.7,184.8,672.4,236.3,815.4,346.9,1098.0,1033.0,2406.0,1236.0,2088.0,128.0,72.7,79.8,221.8,335.7,645.9,620.6,1136.0,133.4,541.8,256.7,793.0,144.9,457.5,293.4,517.2,535.3,1344.0,1033.0,1076.0,439.4,253.3,230.0,622.9,900.7,1456.0,1439.0,2201.0,420.2,1496.0,659.8,2543.0,314.2,1212.0,633.4,1227.0,1599.0,2904.0,3208.0,2394.0,624.5,652.8,603.0,958.8,1316.0,2491.0,2442.0,3362.0,1431.0,2821.0,2106.0,3167.0,1108.0,3126.0,2870.0,2904.0,1963.0,3636.0,3865.0,3011.0
2026-02-14,01,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=7,official_table_v2,9.4,39.4,22.7,101.6,6.8,15.1,9.1,38.9,69.5,44.5,85.2,168.7,39.0,28.1,108.5,144.0,238.9,160.7,369.6,348.4,28.2,104.8,54.8,191.4,44.6,167.8,74.5,274.1,333.6,353.7,504.1,837.4,157.1,178.9,477.4,712.0,702.1,758.1,1362.0,1260.0,16.0,23.8,15.4,51.4,35.6,107.1,47.9,146.2,49.9,104.9,67.2,110.1,35.6,62.8,81.6,111.3,150.2,252.0,221.2,241.8,289.9,163.2,208.7,388.7,470.3,489.0,489.4,892.3,177.1,397.9,286.1,381.9,246.4,447.3,338.5,426.8,800.2,1408.0,827.8,906.7,193.8,124.2,334.9,430.5,356.5,277.0,795.2,971.4,147.2,208.2,387.8,446.9,477.4,879.8,619.3,1028.0,1110.0,1615.0,1103.0,1412.0,1373.0,819.7,1621.0,1642.0,1977.0,1820.0,2271.0,3151.0,855.9,1487.0,1289.0,1621.0,2109.0,2355.0,1652.0,2508.0,2145.0,2897.0,1961.0,2495.0
2026-02-14,01,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=8,official_table_v2,19.4,36.3,11.4,36.9,24.2,25.4,9.1,42.8,62.0,44.0,30.9,80.8,12.4,9.1,25.2,17.8,102.3,97.6,152.0,55.2,112.3,147.1,53.5,144.7,252.9,654.2,325.8,810.1,382.2,749.7,471.4,908.0,103.1,282.1,400.8,307.5,534.0,1002.0,1310.0,619.5,157.5,124.6,47.6,145.9,280.2,568.4,313.4,640.0,240.4,681.6,241.6,494.1,61.7,218.5,169.2,168.6,398.6,1024.0,737.6,442.4,303.0,242.3,112.4,228.6,506.6,806.2,509.7,720.7,364.8,871.8,436.3,678.0,114.3,337.6,316.8,184.2,517.5,763.4,914.6,424.9,33.6,27.2,59.3,31.3,86.5,166.0,328.8,160.0,61.1,172.5,197.2,152.6,114.8,345.9,244.8,175.9,70.6,160.4,168.7,239.7,262.1,379.3,542.1,178.2,588.4,1063.0,1359.0,615.7,696.7,1348.0,1260.0,814.0,1037.0,1389.0,1224.0,766.8,170.7,435.1,506.6,569.0
2026-02-14,01,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=9,official_table_v2,25.5,56.1,10.2,30.3,34.3,69.6,17.8,45.4,83.7,110.7,50.8,94.0,8.4,13.7,34.5,9.4,50.0,71.0,126.5,22.3,246.0,368.2,106.2,242.6,423.0,1147.0,604.6,947.6,797.4,1230.0,756.5,1257.0,152.5,454.0,542.3,278.5,500.7,880.2,1370.0,474.3,329.5,499.6,192.7,344.9,497.5,1042.0,636.6,1037.0,967.6,1594.0,1141.0,1486.0,252.3,516.0,922.8,451.4,652.0,1207.0,1583.0,793.2,432.6,657.6,154.6,329.5,745.4,1319.0,512.5,999.3,982.2,1551.0,1102.0,1119.0,132.3,270.0,687.2,183.8,297.8,899.2,1210.0,272.7,20.9,41.0,56.9,15.7,57.1,154.0,235.4,68.7,129.0,243.7,496.4,192.0,105.4,206.7,464.6,154.3,21.0,40.9,82.2,95.1,130.9,195.1,277.2,62.0,226.7,495.9,752.8,199.9,437.1,778.4,1069.0,570.0,318.3,969.7,1164.0,322.1,59.2,116.8,229.4,203.4
2026-02-14,01,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260214&jcd=01&rno=10,official_table_v2,7.3,10.2,26.3,34.7,8.3,7.9,18.2,25.9,16.5,14.2,30.5,34.2,59.2,52.2,68.2,100.4,105.2,92.6,111.5,150.9,55.3,64.8,135.5,154.7,123.5,249.1,440.8,448.3,185.2,331.7,513.7,532.6,396.1,710.8,824.4,968.0,498.6,809.4,976.2,1363.0,51.3,41.9,76.7,96.1,127.6,229.5,367.4,398.8,95.0,226.1,242.2,233.3,205.7,455.0,435.8,502.1,330.2,799.3,502.5,866.4,75.7,61.5,76.1,90.7,145.6,231.2,260.3,286.1,103.7,222.5,251.5,222.7,114.5,214.7,253.1,163.4,174.5,338.1,295.3,265.4,282.1,270.0,254.1,346.2,571.0,984.5,874.3,1100.0,471.7,936.6,812.8,1090.0,314.6,703.0,751.5,532.6,657.4,1184.0,1444.0,849.8,524.4,503.4,543.1,763.4,820.9,1275.0,1287.0,1516.0,708.2,1406.0,865.1,1596.0,626.8,1298.0,907.2,1052.0,964.8,1444.0,1641.0,1030.0
