date,jcd,rno,source_type,snapshot_type,source_url,odds_mapping_version,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-02-16,01,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=1,official_table_v2,51.6,29.1,166.7,27.6,66.3,48.4,279.5,52.5,30.7,45.8,133.1,19.9,373.6,483.8,325.3,354.3,31.0,58.3,22.7,139.9,83.7,43.9,223.7,45.2,133.7,154.0,573.2,151.5,52.2,101.6,251.5,39.6,505.4,1093.0,732.7,618.6,61.2,140.3,58.6,257.0,120.8,69.9,299.1,74.3,162.6,168.1,516.9,149.5,79.5,139.6,436.2,73.3,838.6,1223.0,802.9,894.9,110.8,148.9,90.3,540.4,46.4,71.8,140.3,21.6,59.5,120.4,202.3,32.2,114.0,174.1,387.7,71.1,208.6,253.8,326.7,130.8,15.6,19.9,39.2,44.0,712.0,844.9,550.9,461.1,749.7,860.9,692.4,658.2,573.2,1078.0,1078.0,913.0,684.0,739.9,1043.0,389.7,556.3,690.3,931.8,386.4,42.9,93.4,33.0,129.9,56.9,139.3,54.9,194.5,152.6,201.2,129.1,499.8,29.5,35.6,71.7,77.4,269.8,339.9,561.8,219.8
2026-02-16,01,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=2,official_table_v2,14.8,78.6,90.5,67.2,16.0,59.3,70.4,55.0,182.1,129.1,384.3,336.1,270.1,240.6,597.4,593.0,159.7,170.8,408.0,590.7,12.0,46.7,56.4,32.5,11.7,29.1,31.7,18.0,134.5,76.4,228.4,129.3,215.4,107.4,342.7,238.8,89.3,56.7,152.9,219.9,15.4,42.3,45.8,29.2,12.2,29.4,28.7,15.9,84.3,64.1,142.1,98.5,111.5,74.7,192.3,121.3,69.2,43.7,128.2,145.2,302.1,240.9,584.2,430.2,316.6,173.2,533.1,364.8,246.6,186.2,648.9,356.6,688.3,628.3,807.8,803.7,719.6,482.7,478.3,925.9,764.8,694.4,1236.0,764.8,791.6,416.6,1008.0,920.5,679.5,416.6,1190.0,753.9,1353.0,1199.0,1287.0,1099.0,1287.0,1308.0,1077.0,1319.0,226.8,250.5,779.9,983.4,181.5,118.3,386.1,679.5,235.2,132.8,451.0,665.2,1091.0,651.5,630.8,1319.0,1615.0,1308.0,1069.0,1759.0
2026-02-16,01,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=3,official_table_v2,61.8,53.8,406.7,36.3,64.3,48.7,358.3,31.5,53.9,56.0,426.5,24.6,695.6,707.9,589.9,584.7,23.1,18.9,17.8,215.0,97.7,95.5,545.2,64.5,139.4,264.0,1029.0,175.8,152.8,234.5,712.9,83.9,1139.0,1253.0,1172.0,998.7,64.2,122.1,64.1,545.2,94.8,80.7,414.2,53.6,124.0,202.9,764.2,139.7,111.6,183.7,539.4,63.6,739.0,1215.0,881.0,712.9,55.0,109.8,60.0,385.0,70.4,107.4,366.1,31.9,118.9,212.1,432.0,58.9,154.1,241.6,602.2,82.2,607.6,683.9,892.7,360.9,26.8,33.4,49.9,144.3,960.7,1186.0,1193.0,830.2,1045.0,1505.0,1193.0,1363.0,1420.0,1850.0,1817.0,1516.0,1260.0,1208.0,1817.0,752.8,1166.0,1420.0,1451.0,657.1,21.3,22.8,14.4,128.7,34.6,69.8,35.0,217.4,45.6,76.0,48.1,307.5,16.1,27.2,39.3,111.9,250.9,278.2,371.5,231.6
2026-02-16,01,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=4,official_table_v2,21.3,50.1,110.0,60.3,26.6,65.2,148.1,71.8,121.1,141.1,312.6,184.0,405.8,516.9,672.2,709.2,170.4,182.1,256.6,508.5,21.4,47.0,100.7,45.1,20.8,13.1,42.0,11.3,77.9,31.6,127.0,42.4,276.0,171.2,272.9,202.1,76.1,28.3,59.0,142.1,35.2,53.6,114.1,51.8,26.3,18.1,44.5,15.6,74.7,34.9,120.2,42.7,225.4,126.6,211.1,202.1,76.6,32.9,56.4,138.1,212.1,244.6,437.4,234.9,168.0,87.9,201.2,108.5,206.9,99.5,249.3,123.0,482.7,317.1,392.0,430.5,289.1,144.8,172.1,352.9,839.7,1014.0,1480.0,1053.0,593.9,415.8,593.9,737.9,725.7,468.3,766.3,932.6,909.4,658.1,833.3,940.6,2087.0,1172.0,1480.0,1320.0,253.6,366.5,467.3,788.3,209.9,90.8,184.1,259.9,319.4,113.2,239.0,420.6,396.3,232.6,279.5,576.7,1153.0,607.1,774.4,909.4
2026-02-16,01,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=5,official_table_v2,29.8,61.1,69.6,37.8,49.2,115.4,126.0,67.6,160.1,196.7,359.3,212.2,104.2,146.4,268.1,185.9,87.6,143.3,204.2,273.8,18.0,41.6,60.3,22.3,20.0,14.0,36.8,7.7,66.7,28.9,117.4,26.3,100.0,56.3,142.8,67.2,33.5,13.7,26.2,63.3,86.3,171.0,230.4,111.0,58.1,43.3,93.3,23.1,195.3,94.9,360.6,110.3,366.3,222.9,483.1,244.0,133.7,53.9,116.4,231.0,325.2,443.2,666.2,297.9,248.8,157.9,364.9,124.1,422.9,217.7,683.4,207.9,818.7,596.2,970.9,583.1,331.2,171.9,254.5,502.6,246.4,337.6,621.4,351.7,245.4,213.3,424.7,219.8,518.4,342.3,766.6,369.4,959.2,808.7,1064.0,786.3,588.3,361.0,540.2,766.6,177.7,305.0,498.8,665.1,132.0,70.3,134.7,224.2,286.1,103.3,268.1,512.4,558.5,227.3,345.9,797.4,870.8,416.6,723.3,1047.0
2026-02-16,01,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=6,official_table_v2,5.8,7.5,35.5,25.3,7.0,7.4,34.5,21.8,10.7,11.6,29.7,18.1,84.2,93.6,89.8,116.1,63.7,65.2,56.7,150.5,69.5,89.2,239.4,204.4,166.7,432.6,1170.0,815.9,241.9,455.9,1065.0,787.9,649.6,1918.0,1638.0,2216.0,679.4,1552.0,1256.0,2709.0,70.0,66.3,201.4,145.4,158.0,440.4,939.8,785.0,196.2,436.3,851.0,691.9,717.1,1518.0,1429.0,1918.0,542.5,1727.0,1372.0,2193.0,79.2,89.5,121.0,87.2,183.8,499.3,506.0,434.9,236.5,685.0,1036.0,642.6,204.3,434.0,707.3,276.3,207.0,536.2,696.6,434.0,471.5,709.7,512.9,538.9,723.3,2395.0,1719.0,1918.0,1259.0,2423.0,2395.0,2438.0,631.8,1434.0,1763.0,867.1,1060.0,2781.0,3315.0,1222.0,624.2,777.6,572.4,1187.0,919.0,2277.0,2002.0,3573.0,1108.0,2838.0,2093.0,4993.0,741.4,2051.0,2423.0,1786.0,1834.0,3668.0,4605.0,1884.0
2026-02-16,01,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=7,official_table_v2,47.6,105.9,159.0,331.3,21.2,5.3,7.4,41.4,84.7,16.4,41.1,135.6,163.0,33.2,69.5,263.1,684.7,261.6,472.0,537.4,229.3,566.8,659.7,1011.0,269.0,646.0,682.5,1804.0,878.3,754.8,1070.0,2141.0,1175.0,1201.0,1890.0,2557.0,2110.0,3083.0,3988.0,3988.0,36.7,8.1,9.7,44.6,104.5,194.2,204.7,475.1,18.9,109.7,24.6,88.7,26.7,134.2,36.0,122.7,224.5,829.7,350.3,333.4,179.5,46.6,67.6,166.7,426.2,428.7,543.4,821.9,51.2,247.8,66.8,178.9,81.1,293.9,84.0,166.4,496.3,1337.0,474.1,434.7,456.2,117.6,202.9,528.9,781.9,748.3,1171.0,1665.0,128.3,520.7,200.4,556.7,219.4,673.0,206.8,378.7,1103.0,2513.0,1178.0,791.9,1402.0,784.8,1389.0,2312.0,1834.0,3506.0,3269.0,3040.0,968.3,2588.0,1286.0,1774.0,1725.0,3450.0,1640.0,1949.0,2388.0,3988.0,2229.0,2288.0
2026-02-16,01,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=8,official_table_v2,38.2,35.7,22.9,245.8,34.4,18.3,9.8,210.1,34.6,22.0,11.9,157.7,18.1,9.2,10.9,72.8,490.0,592.0,554.8,359.9,171.1,167.4,103.8,553.0,275.4,464.6,280.8,1562.0,332.8,479.3,313.5,1543.0,163.8,261.5,292.0,816.9,1287.0,2178.0,2466.0,1906.0,157.9,92.6,49.9,467.2,274.4,513.5,295.1,1650.0,155.4,490.0,120.1,1173.0,61.7,207.6,99.9,525.8,1442.0,2705.0,2256.0,1694.0,127.7,98.6,31.4,218.1,294.3,526.9,245.7,855.8,202.3,698.9,153.9,973.4,32.1,100.8,86.7,151.1,651.8,1307.0,1303.0,587.9,37.6,20.8,19.5,75.6,96.1,169.9,178.2,321.5,47.8,146.7,77.1,259.5,32.0,107.7,72.5,134.9,208.9,404.2,407.8,314.7,921.7,1277.0,1059.0,655.2,1070.0,2037.0,2308.0,1973.0,1784.0,3165.0,2780.0,1913.0,1352.0,2516.0,2319.0,1300.0,760.2,1958.0,1618.0,1258.0
2026-02-16,01,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=9,official_table_v2,6.0,18.3,29.2,10.6,12.5,33.3,43.1,20.3,45.0,66.7,98.0,57.4,81.8,113.6,153.8,113.5,31.4,43.8,83.5,117.4,15.0,39.3,54.7,19.7,39.3,150.3,129.0,44.8,177.8,294.7,442.8,235.1,210.6,253.2,414.6,198.0,64.4,72.5,178.5,215.0,42.9,109.5,115.6,60.2,60.5,207.7,168.0,79.9,296.8,366.1,502.6,338.1,355.6,355.8,571.8,415.8,148.5,127.2,392.6,295.7,152.1,248.9,173.4,140.3,226.4,401.8,327.7,225.5,478.3,640.0,613.2,489.5,185.2,246.1,368.1,166.1,205.4,233.6,422.7,221.3,306.6,376.2,384.1,294.8,416.3,484.2,601.2,311.6,748.1,753.9,874.4,724.0,342.9,445.5,623.0,285.9,348.4,334.8,573.5,365.8,92.5,131.7,318.2,377.6,106.6,125.8,494.1,435.2,251.1,217.8,709.9,769.7,494.1,656.6,838.1,800.3,558.2,519.1,846.6,835.7
2026-02-16,01,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260216&jcd=01&rno=10,official_table_v2,64.0,47.5,37.3,62.9,61.3,25.3,21.6,30.4,45.3,32.1,17.1,24.3,45.0,31.7,25.2,26.0,103.6,56.4,52.8,48.7,209.1,175.5,135.9,214.0,423.7,622.5,570.6,642.4,283.2,557.1,268.8,435.0,270.4,700.5,350.2,342.6,571.5,995.4,775.3,508.8,202.5,81.3,64.3,77.2,310.4,420.2,327.4,357.7,101.8,301.5,75.6,79.8,86.3,247.9,85.5,75.2,148.4,377.2,138.2,125.8,107.4,95.3,27.7,42.5,175.3,415.7,117.2,183.6,139.5,366.8,96.0,109.0,24.9,73.0,74.7,20.6,65.8,165.2,122.8,40.0,148.3,125.8,56.1,60.8,251.2,522.4,299.0,245.8,173.3,434.7,177.3,163.4,51.7,166.9,126.9,38.7,88.9,203.5,161.0,65.8,331.0,268.1,184.0,170.6,491.8,890.9,726.5,540.8,324.3,823.3,352.0,394.5,209.8,506.2,324.3,126.8,190.0,400.4,376.8,137.0
