レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202608041301,2026-08-04,13,01R,10:34,2026-08-04T10:24:21.873997+09:00,26.1,67.8,124.5,129.6,23.2,47.9,95.1,75.9,112.3,115.5,283.6,217.0,321.8,206.1,409.2,381.9,242.7,187.2,325.5,572.9,48.3,122.9,197.5,222.0,28.6,15.6,51.9,27.6,155.6,44.9,242.7,116.4,251.3,139.0,427.5,337.0,345.1,110.6,251.3,372.0,21.1,35.0,65.4,53.1,15.8,8.5,27.4,13.1,35.8,17.7,54.2,26.4,100.1,59.4,107.2,82.5,69.7,33.0,42.3,83.0,318.3,253.5,485.5,454.7,292.3,67.8,421.3,249.1,158.2,63.6,229.1,179.0,1145,987.8,584.6,895.2,530.5,341.0,358.1,1023,349.3,286.4,596.8,530.5,454.7,143.9,502.6,596.8,222.0,155.6,227.3,318.3,682.1,954.9,572.9,1432,842.6,502.6,454.7,924.1,485.5,454.7,753.9,753.9,584.6,175.7,392.4,666.2,362.6,136.4,198.9,376.9,584.6,387.1,372.0,1061,1023,636.6,530.5,1061
202608040801,2026-08-04,08,01R,10:40,2026-08-04T10:32:25.827217+09:00,10.3,34.0,23.3,41.7,10.1,23.8,6.6,15.6,54.8,57.3,49.6,85.0,27.4,11.1,54.3,17.2,70.4,40.6,109.6,42.6,85.0,159.2,117.3,173.0,126.2,334.4,189.3,371.6,304.0,418.1,557.4,573.4,185.8,346.0,627.1,489.4,304.0,542.4,590.2,716.7,58.1,111.4,34.9,74.3,112.7,257.2,156.7,323.6,233.3,264.0,274.9,233.3,64.5,112.1,274.9,115.3,194.8,445.9,436.2,233.3,225.4,295.1,278.7,329.0,371.6,489.4,608.1,340.1,364.8,590.2,514.5,573.4,329.0,501.7,692.0,477.8,352.0,194.8,771.8,477.8,99.3,59.0,233.3,68.2,202.7,304.0,557.4,346.0,92.4,238.9,456.1,153.2,286.7,304.0,477.8,378.6,143.3,313.5,225.4,409.5,271.2,250.8,418.1,264.0,409.5,743.3,771.8,912.2,329.0,743.3,716.7,393.5,466.7,608.1,250.8,872.5,323.6,836.2,427.0,1056
202608041006,2026-08-04,10,06R,10:45,2026-08-04T10:36:27.000490+09:00,42.5,26.8,32.4,146.4,52.0,65.8,34.5,167.1,43.6,79.4,34.1,157.4,37.0,49.9,48.1,162.1,318.6,404.2,386.9,629.8,75.0,55.9,58.1,223.8,97.7,127.1,91.1,483.6,74.8,126.5,58.8,326.3,70.7,92.1,62.8,300.9,615.5,588.7,629.8,820.7,65.1,73.2,35.2,188.0,93.0,81.3,76.2,262.9,81.0,89.0,52.2,270.8,34.7,44.8,37.7,112.3,436.8,356.3,386.9,466.9,49.3,97.7,26.5,145.6,58.3,99.5,44.9,166.1,132.1,116.7,81.5,342.8,22.0,29.2,42.0,58.2,244.0,229.5,381.4,227.6,48.1,56.1,56.4,141.0,66.3,76.2,43.8,140.3,65.4,74.0,69.4,144.0,39.3,38.1,70.5,90.2,227.6,199.1,288.1,209.9,501.5,846.3,873.7,1177,873.7,466.9,660.6,752.3,1128,588.7,820.7,1003,1128,694.4,1128,752.3,1003,712.7,677.1,677.1
202608041701,2026-08-04,17,01R,10:55,2026-08-04T10:46:21.276497+09:00,18.8,11.1,113.0,47.5,21.4,7.9,144.6,57.2,6.1,5.3,52.5,12.9,189.0,355.4,310.5,499.9,73.0,110.0,47.1,483.5,141.1,87.7,508.6,355.4,265.7,383.1,556.5,797.2,147.4,355.4,1282,404.0,526.7,1229,1552,1843,702.3,893.9,578.4,2107,151.2,71.0,483.5,409.7,232.2,245.8,719.4,567.2,122.4,280.9,1282,468.2,776.2,556.5,1552,1966,655.5,893.9,670.4,2269,19.5,22.3,75.6,21.7,63.7,128.8,368.7,101.3,59.8,151.2,364.1,169.5,203.4,398.6,567.2,398.6,41.1,79.0,141.1,226.9,475.7,867.6,440.2,893.9,589.9,842.8,1092,1282,1053,1092,1474,1474,273.1,867.6,893.9,409.7,1843,1638,1638,1179,446.9,602.0,174.5,1053,842.8,655.5,702.3,1735,983.3,1053,921.8,1638,132.8,327.7,460.9,737.4,1843,2458,1404,2458
202608041302,2026-08-04,13,02R,11:00,2026-08-04T10:50:20.997909+09:00,18.9,19.3,12.1,8.3,46.9,59.3,43.3,50.4,37.8,80.5,73.5,54.5,30.3,70.4,56.3,28.9,14.0,58.3,56.3,33.4,73.5,62.6,47.6,18.7,132.6,270.6,143.9,199.0,138.0,338.3,294.1,182.8,67.6,165.0,270.6,135.3,41.0,165.0,211.4,199.0,143.9,114.6,138.0,225.5,205.0,140.9,165.0,211.4,225.5,233.3,451.1,218.2,211.4,118.7,356.1,398.0,322.2,182.8,270.6,375.9,123.0,250.6,120.8,187.9,132.6,398.0,233.3,138.0,322.2,676.6,398.0,322.2,338.3,356.1,615.1,322.2,199.0,225.5,422.9,422.9,81.5,143.9,135.3,77.7,116.6,132.6,281.9,199.0,260.2,218.2,375.9,322.2,225.5,338.3,751.8,356.1,98.0,169.1,270.6,307.5,37.1,225.5,211.4,147.0,63.8,93.9,173.5,147.0,338.3,307.5,178.0,338.3,205.0,338.3,322.2,398.0,153.7,307.5,356.1,233.3
202608042106,2026-08-04,21,06R,10:59,2026-08-04T10:50:20.997909+09:00,14.8,12.2,14.4,26.9,33.9,50.8,66.6,102.3,23.3,66.6,50.0,73.5,26.3,82.6,82.1,53.4,93.1,168.0,170.4,151.8,23.1,16.3,23.2,47.7,57.8,61.1,79.2,116.5,31.8,69.7,41.5,81.0,52.2,91.2,62.2,72.9,144.5,194.2,154.4,101.4,86.4,123.3,177.1,269.6,103.2,93.3,152.4,212.5,240.8,136.3,228.6,451.6,350.7,259.9,350.7,440.6,475.4,384.3,573.5,501.8,46.0,164.9,73.7,145.1,56.5,129.0,69.3,107.8,334.5,213.7,410.5,531.3,104.1,74.4,211.2,99.5,284.5,188.1,361.3,182.4,93.6,228.6,206.4,181.5,135.8,218.9,125.4,161.3,481.7,401.4,451.6,645.2,183.4,134.3,397.0,201.8,273.7,196.3,397.0,286.7,227.2,602.2,582.7,523.6,193.2,293.7,289.0,247.4,531.3,410.5,752.7,1003,633.8,282.2,802.9,415.3,488.2,261.8,881.2,372.4
202608040802,2026-08-04,08,02R,11:09,2026-08-04T11:01:04.737153+09:00,7.1,26.6,9.9,57.7,9.4,52.7,20.6,87.6,75.7,132.4,143.9,342.8,21.5,30.5,78.7,135.5,179.3,228.5,237.9,376.0,12.5,79.8,13.8,107.9,20.8,161.9,31.7,237.9,191.1,253.4,333.0,342.8,22.2,35.3,164.1,182.1,323.8,323.8,832.7,685.7,43.0,179.3,59.1,333.0,55.5,159.6,63.3,376.0,376.0,248.0,506.8,506.8,113.1,60.4,364.3,506.8,613.5,448.3,728.6,971.5,259.0,353.2,388.6,613.5,264.9,291.4,264.9,333.0,431.7,647.6,832.7,896.7,466.3,728.6,728.6,582.9,466.3,176.6,1665,647.6,52.5,97.1,364.3,277.5,50.2,64.0,264.9,215.8,143.9,84.4,529.9,485.7,237.9,388.6,647.6,555.1,448.3,506.8,582.9,485.7,298.9,685.7,685.7,1059,402.0,506.8,971.5,1457,971.5,971.5,1295,1295,1165,1059,201.0,971.5,1059,1295,1165,1059
202608041007,2026-08-04,10,07R,11:14,2026-08-04T11:04:22.980435+09:00,53.0,19.7,98.2,55.8,105.1,92.1,134.3,167.0,23.0,97.1,67.6,33.0,131.4,194.2,135.3,188.1,91.6,212.7,80.5,274.9,92.6,32.6,99.2,65.4,134.3,109.6,139.6,324.9,34.5,82.3,80.1,28.4,170.2,270.7,182.3,232.1,123.2,308.1,60.1,288.2,129.5,129.5,184.2,255.3,223.4,80.5,170.2,232.1,226.2,112.4,425.5,330.9,232.1,182.3,283.6,483.0,446.8,313.5,350.4,777.0,17.7,90.7,43.4,20.2,23.2,69.2,35.1,14.6,162.4,117.5,186.1,162.4,82.7,42.8,170.2,25.7,26.7,15.6,87.6,22.8,220.6,279.2,319.1,388.5,270.7,178.7,226.2,200.8,350.4,198.5,496.4,425.5,217.9,241.5,357.4,138.5,576.5,279.2,435.9,215.3,223.4,446.8,170.2,558.5,288.2,297.8,91.1,324.9,687.4,415.6,297.8,777.0,130.4,76.7,308.1,132.3,812.3,425.5,714.9,217.9
202608041702,2026-08-04,17,02R,11:22,2026-08-04T11:12:19.192579+09:00,40.3,24.1,31.0,21.7,34.6,85.8,73.6,66.4,52.3,133.9,95.0,74.2,45.3,105.2,102.7,64.9,31.0,114.7,78.9,49.9,48.8,38.6,57.7,33.2,71.8,210.4,95.0,117.8,97.1,188.0,106.5,63.1,78.2,138.1,119.4,44.1,39.6,67.4,49.3,58.9,119.4,184.1,113.3,169.9,155.0,152.4,152.4,122.7,215.5,188.0,315.6,238.9,196.4,113.3,353.5,160.7,232.6,196.4,210.4,220.9,68.5,304.8,105.2,69.6,79.6,276.2,121.0,60.9,401.7,315.6,327.3,276.2,128.1,152.4,353.5,85.8,138.1,95.0,276.2,114.7,98.2,188.0,124.5,81.8,95.0,101.6,166.7,55.9,238.9,152.4,420.9,152.4,126.2,176.7,465.2,105.2,98.2,65.9,138.1,126.2,45.0,173.3,131.9,113.3,36.3,70.7,48.0,54.9,245.5,176.7,252.5,215.5,226.6,106.5,304.8,180.3,100.4,67.9,184.1,128.1
202608041303,2026-08-04,13,03R,11:24,2026-08-04T11:14:21.414129+09:00,12.3,16.0,40.3,6.1,35.3,57.5,68.4,34.6,39.7,91.6,186.4,36.7,112.6,180.2,146.1,102.0,13.1,29.2,30.2,270.3,51.9,37.2,138.6,27.7,103.9,154.4,128.7,100.1,108.1,245.7,284.5,93.2,102.0,207.9,386.1,245.7,48.7,87.1,174.3,360.4,93.2,90.1,142.2,142.2,138.6,108.1,135.1,128.7,174.3,193.0,415.8,146.1,207.9,83.1,386.1,360.4,216.2,146.1,200.2,318.0,168.9,245.7,216.2,138.6,180.2,300.3,235.0,108.1,318.0,415.8,360.4,200.2,450.5,540.6,600.6,675.7,163.8,159.0,257.4,772.2,174.3,154.4,245.7,540.6,207.9,108.1,270.3,284.5,360.4,216.2,386.1,216.2,257.4,491.4,772.2,901.0,901.0,450.5,318.0,675.7,28.7,59.4,67.5,284.5,40.9,79.5,108.1,284.5,128.7,103.9,125.7,245.7,128.7,207.9,318.0,675.7,1081,600.6,675.7,360.4
