レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202512080301,2025-12-08,03,01R,佐藤 世那,5.30,0.18,3.5,2,,IP,6,,IP,1,,IP,2,,IP,6,,IP,3,,IP,1,,IP,4,,IP,6,,IP,4,,IP,眞崎 武蔵,3.20,0.20,4.7,3,,IP,6,,IP,2,,IP,4,,IP,5,6,IP,5,,IP,3,,IP,6,,IP,6,,IP,6,,IP,廣瀬 凜,7.20,0.15,2.9,3,,IP,1,,IP,2,,G3,4,,IP,3,,IP,1,,IP,3,,IP,2,,IP,4,,IP,1,,IP,中村 栄治,5.50,0.17,3.4,1,,IP,4,,IP,5,,IP,3,,IP,2,,IP,3,,IP,4,,IP,6,,IP,1,,IP,4,,IP,三木 晴斗,3.78,0.16,3.1,2,,IP,5,,IP,4,,IP,3,6,IP,4,,IP,6,,IP,転,,IP,4,,IP,6,,IP,4,,IP,木下 虎之輔,2.30,0.17,2.6,5,,IP,5,,IP,6,,IP,3,,IP,6,,IP,6,,IP,6,,IP,5,,IP,6,,IP,3,,IP
202512080302,2025-12-08,03,02R,中島 航,7.50,0.20,2.6,3,,IP,1,,IP,1,,IP,3,,IP,1,,IP,5,,IP,6,,IP,1,,IP,1,,IP,1,,IP,加藤 優弥,4.60,0.13,2.9,2,,IP,3,,IP,3,,IP,2,,IP,4,,IP,6,,IP,6,,IP,4,,IP,5,,IP,3,,IP,市川 健太,5.10,0.16,2.7,3,,IP,5,,IP,3,,IP,6,,IP,4,,IP,1,,IP,5,,IP,1,,IP,3,,IP,4,,IP,網代 良芽,2.40,0.15,3.1,6,,IP,6,,IP,6,,IP,1,,IP,欠,,IP,6,,IP,3,,IP,5,,IP,転,,IP,5,,IP,佐野 優都,3.11,0.17,3.9,3,,IP,3,6,IP,5,,IP,5,,IP,6,6,IP,4,,IP,4,6,IP,5,6,IP,欠,,IP,6,,IP,大島 隆乃介,2.50,0.19,3.9,5,,IP,4,,IP,5,,G3,5,5,G3,3,,IP,5,,IP,6,,IP,5,,IP,5,,IP,5,,IP
202512080303,2025-12-08,03,03R,水谷 理人,9.90,0.12,2.9,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,堀越 雄貴,5.50,0.19,3.9,2,,IP,5,,IP,6,,IP,2,,IP,4,,IP,2,,G3,1,,IP,4,,IP,2,,IP,5,,IP,柳瀬 幹太,4.00,0.17,3.6,6,,G3,5,,G3,4,,IP,4,4,IP,1,,IP,6,,IP,3,,IP,5,,IP,4,,IP,3,,IP,田中 勇輔,2.90,0.16,3.5,4,,G3,3,,IP,5,,IP,5,3,IP,4,,IP,5,5,IP,5,5,IP,5,,IP,6,5,IP,4,,IP,高橋 龍治,2.40,0.18,3.9,6,,IP,4,,IP,6,,IP,5,,IP,3,6,IP,6,6,IP,5,6,IP,5,,IP,4,,IP,6,6,IP,小林 礼央,3.20,0.15,3.6,6,,IP,3,,IP,6,,IP,2,,IP,5,,IP,4,,IP,6,,IP,3,,IP,6,,IP,5,,IP
202512080304,2025-12-08,03,04R,河内 一馬,9.00,0.10,1.5,1,,IP,2,,IP,,,,,,,,,,,,,,,,,,,,,,,,IP,石渡 翔一郎,6.00,0.19,3.4,6,,IP,2,,IP,3,,IP,5,,IP,1,,IP,6,,IP,1,,IP,1,,IP,3,,IP,3,,IP,村本 大成,3.00,0.16,3.2,2,,IP,4,,IP,6,4,IP,6,,IP,4,,IP,5,,IP,5,,IP,5,,IP,4,,IP,5,,IP,小川 竜太朗,3.70,0.16,3.8,4,,IP,6,,IP,5,5,IP,3,,IP,6,,IP,3,,IP,1,,IP,4,,IP,5,,IP,6,,IP,吉川 晴人,6.70,0.17,3.6,3,,IP,3,,IP,2,,IP,2,,IP,4,,IP,3,,IP,3,,IP,3,,IP,2,6,IP,2,4,IP,渡邊 雄斗,1.70,0.24,4.5,6,,IP,6,,IP,6,,IP,5,,IP,3,,IP,6,,IP,6,,IP,6,,IP,5,,IP,6,,IP
202512080305,2025-12-08,03,05R,荒木 颯斗,9.00,0.11,2.2,3,,IP,2,,IP,1,,IP,1,,IP,3,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,山下 智己,4.44,0.16,3.3,1,,IP,1,,IP,6,,IP,4,,IP,1,4,IP,転,,IP,6,,IP,4,,IP,妨,,IP,,,IP,中村 栄治,5.30,0.19,3.8,3,,IP,1,,IP,2,,IP,3,,IP,6,4,IP,3,,IP,2,,IP,4,,IP,5,,IP,5,,IP,村松 栄太,4.70,0.16,3.6,4,,IP,5,,IP,6,,IP,欠,,IP,2,,IP,4,5,IP,2,,IP,1,,IP,3,,IP,4,,IP,竹下 大樹,4.40,0.15,3.6,5,4,IP,5,,IP,6,,IP,転,,IP,4,,IP,1,,IP,3,4,IP,2,,IP,6,,G1,3,,G1,鳥居塚 嶺王,2.80,0.12,1.3,5,5,IP,6,,IP,2,,IP,5,,IP,5,,IP,6,,IP,5,,IP,5,,IP,3,,IP,5,,IP
202512080306,2025-12-08,03,06R,三木 晴斗,4.40,0.19,3.6,2,,IP,2,,IP,4,,IP,1,,IP,4,,IP,F,,IP,6,,IP,4,,IP,6,,IP,4,,IP,吉田 一心,4.43,0.14,3.4,2,,IP,4,,IP,1,,IP,6,,IP,4,,IP,転,,IP,4,,IP,,,,,,,,,IP,砂長 知輝,6.90,0.15,3.5,1,,IP,2,,IP,2,,IP,2,,IP,2,,IP,4,,IP,2,,IP,2,,IP,5,,IP,4,,G1,丸山 祐也,3.50,0.24,4.9,4,,IP,5,,IP,6,,IP,4,,IP,3,,IP,2,,IP,4,,IP,4,,IP,6,,IP,6,,IP,加藤 優弥,6.40,0.15,3.4,2,6,IP,2,,IP,3,,IP,5,,IP,3,,IP,2,,IP,3,,IP,3,,IP,3,,IP,2,,IP,宮崎 奏磨,1.10,0.17,4.5,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,5,,IP,6,,IP
202512080307,2025-12-08,03,07R,杉山 太陽,4.00,0.16,3.2,1,,IP,5,,IP,5,,IP,1,,IP,6,,IP,5,,IP,1,,IP,6,,IP,F,,IP,5,,IP,豊田 祥生,4.40,0.19,4.3,4,,IP,5,,IP,6,,IP,2,,IP,2,,IP,4,,IP,6,,IP,3,,IP,4,,IP,3,,IP,堀越 雄貴,5.00,0.15,3.1,5,,IP,F,,IP,1,,IP,3,4,IP,4,,IP,3,,IP,3,,IP,1,,IP,4,,IP,5,,IP,市川 健太,3.90,0.17,4.2,5,,IP,4,,IP,3,,IP,5,,IP,5,,IP,3,,IP,3,,IP,6,,IP,5,,IP,2,,IP,中山 翔太,5.44,0.13,2.5,不,,IP,3,,IP,3,,IP,5,,IP,4,,IP,2,,IP,3,,G1,3,,IP,4,,IP,3,,IP,澁川 夏,4.30,0.15,3.7,3,,IP,4,,IP,4,,IP,3,,IP,4,,IP,6,,IP,5,,IP,3,5,IP,3,5,IP,4,5,IP
202512080308,2025-12-08,03,08R,塚越 海斗,8.80,0.15,3.1,1,,IP,1,,IP,3,,IP,3,,G3,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,1,,IP,大原 祥昌,5.30,0.15,3.0,3,3,IP,5,,IP,2,,IP,4,,IP,5,,IP,2,,IP,3,,IP,3,,IP,6,,IP,1,,IP,眞崎 武蔵,2.90,0.17,3.3,3,,IP,3,,IP,6,6,IP,5,,IP,6,,IP,4,,IP,F,,IP,3,,IP,5,4,IP,6,,IP,大島 隆乃介,3.60,0.15,3.3,5,,IP,6,,IP,4,,G3,4,,G3,5,,IP,4,,IP,4,,IP,6,,IP,1,,IP,4,,IP,渡邊 雄斗,2.50,0.21,4.4,4,,IP,5,6,IP,4,,IP,4,,IP,5,,IP,6,,IP,4,,IP,6,6,IP,5,6,IP,6,6,IP,小林 京平,2.30,0.15,3.6,6,,IP,2,,IP,6,5,IP,5,5,IP,3,,IP,6,,IP,6,,IP,6,,IP,転,,IP,5,,IP
202512080309,2025-12-08,03,09R,吉川 晴人,7.10,0.18,4.0,3,,IP,3,,IP,3,,IP,1,,IP,6,,IP,3,,IP,1,,IP,3,,IP,1,,IP,1,,IP,山口 晃朋,6.50,0.13,2.1,1,1,IP,3,3,IP,2,3,IP,1,,IP,4,,IP,2,,IP,5,,IP,1,,IP,6,,IP,4,,IP,高橋 龍治,4.80,0.19,3.0,5,,IP,5,,IP,1,,IP,4,,IP,3,,IP,2,2,IP,2,,IP,4,,IP,エ,,IP,4,6,IP,大場 恒季,6.40,0.14,2.6,4,,IP,4,,IP,3,,IP,1,,G3,3,5,G3,1,,G3,2,,IP,3,,IP,4,,IP,4,,IP,鳥居塚 嶺王,3.90,0.16,3.1,F,4,IP,4,,IP,3,,IP,2,,IP,5,,IP,1,,IP,6,,IP,5,,IP,5,,IP,4,,IP,網代 良芽,2.30,0.18,3.7,5,,IP,5,,IP,落,,IP,3,,IP,6,,IP,6,,IP,6,,IP,5,,IP,4,,IP,4,5,IP
202512080310,2025-12-08,03,10R,藤原 仙二,8.10,0.15,3.5,6,,IP,1,,IP,1,,IP,2,,G3,3,,G3,1,,IP,2,,IP,1,,IP,1,,IP,2,,IP,中島 航,5.40,0.19,3.3,2,,IP,3,,IP,F,,IP,1,,IP,1,,IP,5,,IP,6,3,IP,6,,IP,2,,IP,2,,IP,小川 竜太朗,3.90,0.19,3.4,6,,IP,3,,IP,2,,IP,4,,IP,5,,IP,4,,IP,5,2,IP,5,,IP,3,,IP,4,,IP,山下 智己,3.20,0.19,2.9,3,,IP,5,,IP,2,,IP,5,,IP,6,,IP,5,,IP,5,,IP,3,,IP,6,,IP,5,,IP,水谷 理人,7.60,0.14,3.1,2,6,IP,4,,IP,2,,IP,1,4,IP,1,,IP,2,,IP,3,,IP,3,,IP,3,,IP,1,,IP,吉田 一心,4.80,0.18,3.9,4,,IP,2,,IP,4,,IP,3,,IP,5,,IP,6,,IP,6,,IP,4,,IP,3,,IP,1,,IP
