レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202606100101,2026-06-10,01,01R,西田 靖,7.80,0.17,3.3,3,,IP,1,,IP,4,,IP,4,,IP,1,,G3,1,,IP,3,,IP,1,,IP,1,,IP,2,,IP,川崎 公靖,4.30,0.21,3.3,3,,IP,2,,IP,5,,IP,4,,IP,4,,IP,3,,IP,4,3,IP,4,,IP,4,,IP,6,,IP,鹿島 敏弘,5.40,0.16,2.7,2,,IP,1,4,IP,5,,IP,5,,IP,3,,IP,5,,IP,3,,IP,2,,IP,4,,IP,3,,IP,野田 昇吾,3.22,0.19,2.8,5,,IP,6,,IP,6,,IP,5,5,IP,4,5,IP,5,,IP,転,5,IP,2,5,IP,2,,IP,6,,IP,小野 信樹,3.50,0.14,2.2,2,,IP,1,,IP,5,,IP,4,,IP,5,,IP,6,,IP,4,,IP,5,,IP,6,,IP,6,,IP,山口 達也,4.20,0.12,3.7,4,5,IP,6,,G2,6,,IP,6,,IP,4,,SG,4,,SG,2,3,G1,6,,G1,6,,G1,2,,G1
202606100102,2026-06-10,01,02R,牧 宏次,8.00,0.16,3.0,3,,IP,4,,IP,3,,IP,1,,IP,1,,IP,3,,IP,2,,IP,1,,IP,1,,IP,1,,IP,下出 卓矢,5.56,0.11,1.9,2,,IP,4,,IP,3,,IP,5,,IP,1,,IP,3,,IP,5,,IP,5,,IP,1,,IP,欠,,IP,池田 雷太,3.90,0.22,2.8,5,,IP,6,,IP,5,,IP,5,4,IP,3,,IP,5,,IP,1,,IP,4,,IP,3,,IP,4,,IP,別府 昌樹,2.50,0.20,4.5,4,,IP,6,,IP,6,,IP,6,,IP,6,6,IP,4,6,IP,3,6,IP,5,6,IP,6,6,IP,4,6,IP,一ノ木 匠,1.50,0.16,4.3,6,6,IP,6,6,IP,6,6,IP,6,6,IP,4,6,IP,6,6,IP,,,,,,,,,,,,IP,中野 孝二,2.20,0.21,5.5,6,,IP,2,,IP,5,5,IP,5,,IP,6,,IP,5,,IP,6,,IP,5,,IP,5,,IP,6,,IP
202606100103,2026-06-10,01,03R,稗田 聖也,9.20,0.13,2.5,1,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,河上 年昭,3.40,0.24,4.9,6,,IP,4,,IP,F,,IP,3,,IP,5,,IP,1,,IP,6,,IP,4,,IP,5,,IP,4,,IP,松本 庸平,4.70,0.18,3.9,2,,IP,1,,IP,6,,IP,2,,IP,6,,IP,2,,IP,6,,IP,6,,IP,6,,IP,2,,IP,渡邉 健,3.00,0.15,2.9,3,,IP,3,,IP,6,,IP,6,6,IP,6,,IP,5,,G3,6,,G3,3,,IP,5,,IP,4,,IP,榮田 将彦,4.40,0.11,1.8,4,,IP,3,3,IP,6,,IP,4,6,IP,3,,IP,6,,IP,3,6,IP,2,,IP,3,,IP,5,,IP,今垣 光太郎,3.78,0.17,3.9,5,,IP,6,,SG,5,,G1,5,,IP,3,4,IP,5,,G1,5,,G1,2,,G1,欠,,G2,5,,G1
202606100104,2026-06-10,01,04R,竹之内 極,9.40,0.15,2.5,1,,IP,1,,IP,2,2,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,桑原 啓,3.80,0.16,3.5,6,,IP,6,,G3,1,,IP,1,,IP,2,3,IP,5,3,IP,6,,IP,6,,IP,5,5,IP,5,,IP,島崎 丈一朗,6.60,0.17,3.8,3,,IP,3,,IP,3,,IP,3,,IP,3,,IP,2,,IP,2,,IP,2,,IP,3,6,IP,3,,IP,宇田川 信一,3.50,0.22,4.2,6,,IP,5,5,IP,3,,IP,6,,IP,1,,IP,2,,IP,6,,IP,5,,IP,5,,IP,5,3,IP,石川 諒,4.60,0.15,3.3,5,,IP,3,,IP,4,6,IP,5,,IP,1,6,IP,5,,IP,2,4,IP,4,,IP,4,4,IP,4,,IP,君島 秀三,4.20,0.16,3.2,4,,IP,4,,IP,3,,IP,4,,IP,5,,G1,4,,IP,4,5,IP,2,,IP,6,,IP,4,,IP
202606100105,2026-06-10,01,05R,下寺 秀和,9.70,0.16,2.9,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,3,,IP,繁野谷 圭介,5.70,0.19,3.8,3,,IP,3,,IP,2,,IP,1,,IP,1,,IP,4,,IP,6,,IP,4,,IP,4,,IP,4,,IP,中渡 修作,4.30,0.12,2.6,2,,IP,6,,IP,4,,IP,6,,IP,4,,IP,3,,IP,3,,IP,6,,IP,4,,IP,2,,IP,西田 靖,4.20,0.20,3.7,5,2,IP,6,3,IP,3,2,IP,5,2,G3,6,2,G3,4,2,IP,4,2,IP,5,2,IP,1,2,IP,1,2,IP,港 理樹,2.40,0.21,4.2,5,,IP,5,6,IP,5,,IP,4,,IP,4,6,IP,6,6,IP,6,6,IP,6,6,IP,6,6,IP,3,6,IP,鹿島 敏弘,3.40,0.21,4.5,4,,IP,6,,IP,5,,IP,4,,IP,5,,IP,3,,IP,4,,IP,3,,IP,6,,IP,4,,IP
202606100106,2026-06-10,01,06R,原田 篤志,9.20,0.15,2.4,2,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,山下 流心,4.80,0.18,4.1,4,,IP,4,,IP,3,,IP,4,,G3,6,,G3,2,,IP,1,,IP,5,,IP,2,,IP,6,,IP,中野 孝二,4.00,0.14,3.0,5,,IP,5,,IP,2,,IP,1,4,IP,4,,IP,6,,IP,5,,IP,6,,IP,2,,IP,5,,IP,川崎 公靖,4.80,0.17,2.9,2,6,IP,3,,IP,6,,IP,5,,IP,1,,IP,1,,IP,5,,IP,5,5,IP,6,,IP,3,,IP,西原 明生,2.40,0.24,4.8,6,,IP,5,,IP,5,,IP,5,6,IP,5,,IP,6,,IP,4,,IP,5,,IP,4,,IP,4,,IP,池田 雷太,2.30,0.18,3.3,6,,IP,6,,IP,5,,IP,5,3,IP,6,,IP,3,,IP,5,,IP,5,,IP,4,,IP,5,,IP
202606100107,2026-06-10,01,07R,渡邉 和将,10.10,0.12,1.9,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,松本 庸平,3.70,0.22,5.1,4,,IP,6,,IP,5,,IP,2,,IP,2,,IP,6,,IP,6,,IP,3,,IP,4,,IP,5,,IP,泥谷 一毅,6.40,0.14,3.4,1,4,IP,2,,IP,4,,IP,2,,IP,3,,IP,3,4,IP,5,,IP,3,,IP,2,,IP,3,,IP,小野 信樹,3.70,0.13,3.1,6,,IP,3,5,IP,3,,IP,6,,IP,6,,IP,3,,IP,6,,IP,4,,IP,1,,IP,6,,IP,野田 昇吾,2.10,0.20,4.1,3,,IP,4,6,IP,5,,IP,6,,IP,5,,IP,転,,IP,5,4,IP,5,,IP,6,,IP,6,6,IP,荒牧 凪沙,3.00,0.22,4.7,4,,IP,5,,IP,F,,IP,4,,IP,3,,IP,5,,IP,3,,IP,6,,IP,6,,IP,4,,IP
202606100108,2026-06-10,01,08R,山口 達也,7.50,0.15,3.7,6,,IP,4,,IP,1,,IP,5,,IP,1,,G2,1,,IP,1,,IP,1,,IP,4,,SG,1,,G1,石川 諒,5.30,0.15,2.8,5,3,IP,3,,IP,3,,IP,2,,IP,2,,IP,3,,IP,1,,IP,4,,IP,6,,IP,5,,IP,宇田川 信一,3.70,0.19,3.6,6,,IP,4,,IP,4,,IP,4,,IP,5,,IP,3,,IP,4,,IP,2,,IP,5,,IP,5,,IP,河上 年昭,2.60,0.15,2.8,4,,IP,3,,IP,6,,IP,4,,IP,5,,IP,6,,IP,4,,IP,5,,IP,6,,IP,6,,IP,下出 卓矢,6.90,0.20,3.5,2,1,IP,1,,IP,4,,IP,3,,IP,5,,IP,2,,IP,4,,IP,1,6,IP,2,,IP,2,,IP,一ノ木 匠,1.50,0.15,2.8,6,,IP,6,,IP,妨,,IP,6,,IP,5,,IP,6,,IP,5,,IP,4,,IP,5,,IP,6,,IP
202606100109,2026-06-10,01,09R,渡邉 健,7.40,0.12,2.7,1,,IP,1,,IP,5,,IP,1,,IP,1,,G3,1,,IP,6,,IP,1,,IP,1,,IP,6,,IP,榮田 将彦,3.60,0.14,3.3,6,,IP,3,,IP,4,,IP,4,3,IP,6,,IP,5,,IP,4,,IP,5,,IP,2,,IP,4,,IP,桑原 啓,5.50,0.16,3.0,4,,IP,5,,G3,1,,IP,3,,IP,1,,IP,2,,IP,4,,IP,2,,IP,5,,IP,6,,IP,島崎 丈一朗,4.20,0.15,3.0,3,,IP,4,,IP,3,,IP,5,,IP,6,,IP,2,,IP,3,,IP,5,,IP,6,,IP,3,,IP,中渡 修作,2.60,0.16,3.5,5,,IP,6,,IP,6,,IP,4,,IP,4,,IP,4,4,IP,5,,IP,3,,IP,6,,IP,6,,IP,港 理樹,2.50,0.18,4.4,5,,IP,5,,IP,3,,IP,5,,IP,5,,IP,落,,IP,3,,IP,5,,IP,5,,IP,6,,IP
202606100110,2026-06-10,01,10R,今垣 光太郎,8.30,0.13,3.1,1,,IP,6,,IP,4,,SG,2,,G1,1,,IP,3,,IP,1,,G1,1,,G1,2,,G1,1,,IP,稗田 聖也,7.80,0.14,2.8,4,,IP,1,,IP,1,,IP,2,,IP,4,,IP,1,,IP,2,,IP,2,,IP,1,,IP,3,,IP,牧 宏次,7.00,0.14,1.9,1,,IP,2,,IP,1,,IP,4,,IP,3,,IP,2,,IP,4,,IP,2,,IP,3,,IP,3,,IP,下寺 秀和,7.40,0.18,3.3,5,,IP,4,,IP,1,3,IP,1,,IP,3,,IP,3,,IP,1,,IP,2,,IP,1,,IP,2,,IP,繁野谷 圭介,5.60,0.16,3.3,4,4,IP,1,,IP,3,,IP,2,,IP,5,,IP,6,,IP,4,,IP,6,,IP,1,,IP,1,,IP,竹之内 極,3.10,0.18,4.1,5,,IP,5,,IP,2,,IP,2,,IP,5,,IP,5,,IP,5,,IP,5,,IP,6,,IP,5,,IP
