レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202604100201,2026-04-10,02,01R,近藤 友宝,7.40,0.17,3.3,1,,IP,2,,IP,4,,IP,2,,IP,1,,IP,4,,IP,1,,IP,5,,IP,2,,IP,1,,IP,今泉 徹,5.30,0.18,3.6,4,,IP,4,,IP,2,,IP,2,,IP,4,,IP,2,,IP,4,,IP,2,,IP,4,3,IP,6,,IP,鋤柄 貴俊,4.50,0.16,2.7,6,,IP,4,,IP,2,,IP,2,,IP,5,,IP,3,,IP,3,,IP,3,,IP,5,,IP,5,,IP,有山 望,3.30,0.17,3.3,5,,IP,6,,IP,4,,IP,6,,IP,4,,IP,5,,IP,6,5,IP,2,,IP,3,,IP,4,,IP,田村 美和,3.40,0.16,3.2,2,,IP,6,6,IP,6,,IP,4,,G3,4,,G3,4,,G3,4,,G3,4,,IP,5,,G3,5,,G3,長畑 友輔,2.50,0.17,3.6,6,,IP,5,,IP,5,,IP,2,,IP,5,,IP,4,,IP,6,,IP,5,,IP,5,,IP,6,,IP
202604100202,2026-04-10,02,02R,春園 功太,8.80,0.13,1.8,1,,IP,3,,G3,1,,G3,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,大野 芳顕,7.40,0.16,2.5,1,,IP,4,,G3,3,,G3,3,,G3,2,,IP,4,,IP,1,,IP,2,,IP,1,,IP,2,,IP,岩崎 麗子,3.20,0.15,2.7,6,,IP,6,,G3,2,,IP,1,,IP,4,,IP,5,,IP,5,,IP,6,,IP,5,4,IP,6,2,IP,内山 峻輔,3.80,0.14,2.8,妨,6,IP,5,6,IP,4,,IP,4,5,G3,4,,G3,2,,IP,5,,IP,2,,IP,4,,IP,5,,IP,水摩 敦,5.00,0.19,3.1,4,,IP,4,,IP,5,,IP,6,,G3,1,4,G3,2,2,IP,6,6,IP,3,,IP,3,4,IP,3,,IP,木幡 純也,2.78,0.26,4.3,5,,IP,転,,IP,3,,IP,5,,IP,6,,IP,5,,IP,6,5,IP,2,,IP,5,5,IP,6,,IP
202604100203,2026-04-10,02,03R,木下 雄介,9.20,0.19,4.0,1,,IP,1,,IP,1,,IP,3,,IP,1,2,IP,2,,IP,1,,IP,1,,IP,1,,IP,2,,IP,松尾 昂明,4.80,0.20,4.0,2,,IP,1,,IP,6,,IP,2,,IP,5,,IP,4,,IP,6,,IP,5,,IP,3,,IP,3,,IP,本田 愛,5.10,0.22,4.1,3,,IP,3,5,IP,4,,IP,2,,IP,5,,IP,3,,IP,3,,IP,4,,IP,2,,G3,6,,IP,宮内 直哉,4.80,0.16,2.6,1,,IP,6,,IP,6,5,IP,5,,IP,5,,IP,2,,IP,1,,IP,2,,IP,4,,IP,5,,IP,池田 雄一,3.50,0.14,3.4,3,,IP,3,,IP,4,,G1,3,,G1,6,,IP,5,,IP,6,,IP,5,,IP,6,,IP,4,6,IP,栗原 一馬,2.30,0.19,4.2,6,,IP,4,,IP,2,,IP,5,,IP,6,,IP,6,,IP,5,,IP,6,,IP,5,,IP,6,,IP
202604100204,2026-04-10,02,04R,花田 凱成,6.89,0.15,2.8,5,,IP,1,,IP,2,,IP,6,,IP,6,,IP,1,,IP,1,,IP,欠,,IP,1,,IP,1,,IP,野村 誠,6.40,0.18,3.9,5,,IP,3,,IP,2,,IP,1,,IP,2,,IP,4,,G3,4,,G3,2,,IP,2,,IP,3,,IP,柴田 朋哉,5.70,0.15,3.4,4,,IP,2,,IP,3,,IP,2,,IP,1,,IP,4,,IP,2,,IP,5,,IP,3,5,IP,6,,IP,中村 裕将,3.70,0.15,2.5,5,,IP,3,,IP,6,,IP,5,,IP,2,,IP,6,,IP,5,5,IP,3,,IP,2,,IP,6,,IP,吉永 則雄,4.70,0.16,2.7,4,,IP,3,4,IP,4,,IP,6,,IP,3,,IP,5,,IP,2,4,IP,5,,IP,4,,IP,2,,IP,孫崎 百世,3.80,0.13,3.1,4,,IP,3,,IP,3,,IP,6,,IP,5,,IP,5,5,IP,3,,IP,4,,IP,6,,IP,3,,IP
202604100205,2026-04-10,02,05R,宇留田 翔平,8.80,0.10,2.2,1,,IP,1,,G3,1,,G3,1,,IP,1,,IP,2,,IP,1,,IP,3,,IP,2,,IP,3,,IP,近藤 友宝,4.40,0.14,2.6,6,,IP,4,,IP,2,,IP,4,,IP,5,,IP,2,,IP,3,,IP,4,,IP,3,,IP,6,,IP,今泉 徹,5.40,0.16,2.6,3,,IP,3,,IP,3,,IP,3,,IP,2,5,IP,3,,IP,5,,IP,2,,IP,4,,IP,5,,IP,白水 勝也,6.40,0.18,3.4,3,3,IP,4,,IP,3,,IP,1,,IP,2,,IP,3,,IP,2,,IP,6,,IP,2,,IP,3,3,IP,高山 秀雄,3.00,0.23,4.7,5,,IP,5,,IP,4,,IP,6,4,IP,5,,IP,5,,IP,5,,IP,4,,IP,2,,IP,6,,IP,梅木 敬太,2.10,0.18,3.7,4,,IP,5,,IP,5,,IP,6,,IP,5,,IP,6,,IP,5,,IP,6,,IP,転,,IP,3,,IP
202604100206,2026-04-10,02,06R,田村 美和,5.70,0.20,3.4,1,,IP,3,,IP,5,,IP,2,,IP,4,,G3,6,,G3,4,,G3,1,,G3,1,,IP,5,,IP,岩崎 麗子,2.00,0.20,3.5,6,,IP,4,,IP,4,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,,IP,5,,IP,5,,IP,木村 紗友希,4.60,0.19,3.2,2,,IP,3,,IP,1,,G3,5,,IP,3,,IP,6,,IP,3,,IP,4,2,IP,5,,IP,6,,IP,香川 素子,5.20,0.17,2.8,2,,IP,3,,IP,5,,G3,2,,IP,3,,G1,3,,G3,5,,IP,2,,IP,4,,IP,6,,IP,土屋 千明,4.10,0.15,2.3,4,,IP,4,,IP,4,,IP,3,,IP,1,,IP,5,,G3,6,,G3,転,,IP,5,,IP,3,,IP,平田 さやか,4.20,0.19,3.5,3,5,IP,4,,IP,5,,IP,5,,IP,3,5,G3,6,,G1,3,5,IP,2,5,IP,4,,IP,5,,G3
202604100207,2026-04-10,02,07R,加藤 翔馬,7.90,0.16,2.5,5,,IP,1,,IP,3,,IP,1,,G3,1,,G3,2,,IP,5,,IP,1,,IP,1,,G1,1,,IP,内山 峻輔,6.00,0.14,2.5,6,,IP,4,,G3,3,3,IP,1,,IP,4,,IP,2,,IP,2,,IP,6,,IP,1,,IP,2,,IP,宮内 直哉,3.90,0.17,4.0,4,,IP,3,,IP,4,,IP,6,4,IP,6,,IP,5,,IP,1,,IP,6,,IP,2,,G3,5,,IP,本田 愛,3.00,0.26,4.5,6,,IP,5,6,IP,3,6,IP,5,5,IP,6,5,IP,5,,IP,3,3,IP,3,,IP,5,5,IP,5,,IP,鋤柄 貴俊,4.80,0.15,3.2,4,,IP,5,,IP,5,,IP,4,,IP,1,,IP,3,,IP,5,,IP,5,,IP,3,,IP,1,,IP,一柳 和孝,3.70,0.18,4.1,4,,IP,5,,IP,5,,IP,4,,IP,2,5,IP,6,,IP,5,,IP,3,,IP,4,5,IP,4,,IP
202604100208,2026-04-10,02,08R,水摩 敦,8.20,0.19,3.7,2,,IP,3,,IP,2,,IP,1,,G3,3,,G3,1,,IP,1,,IP,1,,IP,1,,IP,4,,IP,栗原 一馬,4.00,0.15,3.0,1,,IP,2,3,IP,5,3,IP,転,,IP,6,,IP,1,,IP,6,,IP,5,3,IP,4,,IP,5,,IP,野村 誠,4.50,0.18,3.1,2,,IP,6,,IP,3,,G3,6,,G3,4,,IP,4,,IP,5,,IP,2,,IP,1,,IP,6,,IP,柴田 朋哉,5.30,0.15,3.2,3,,IP,6,,IP,3,,IP,4,,IP,5,,IP,3,,IP,3,,IP,2,,IP,2,,IP,3,,IP,有山 望,3.90,0.17,3.7,4,6,IP,2,,IP,6,,IP,4,,IP,3,,IP,3,,IP,4,,IP,6,,IP,4,,IP,6,,IP,重野 哲之,4.56,0.15,3.6,不,,IP,3,,IP,5,,IP,6,,IP,6,,IP,1,,IP,5,,IP,5,,G1,3,,IP,2,,IP
202604100209,2026-04-10,02,09R,池田 雄一,7.40,0.20,3.1,1,,IP,1,,IP,1,,IP,1,,IP,6,,IP,5,,G1,2,,IP,2,,IP,2,,IP,3,,IP,木幡 純也,4.40,0.21,3.8,5,,IP,5,,IP,3,,IP,5,,IP,5,,IP,3,,IP,1,,IP,2,,IP,4,,IP,5,,IP,白水 勝也,7.00,0.18,3.6,1,2,IP,2,,IP,3,,IP,2,,IP,1,,IP,2,,IP,4,,IP,3,,IP,4,,IP,3,,IP,高山 秀雄,2.78,0.20,3.8,5,,IP,3,,IP,L,6,IP,4,,IP,4,,IP,5,,IP,5,,IP,6,,IP,5,,IP,5,,IP,木下 雄介,4.56,0.14,3.4,2,,IP,5,,IP,転,,IP,6,,IP,6,,IP,2,,IP,1,,IP,5,,IP,6,,IP,2,,IP,花田 凱成,2.50,0.18,3.2,5,,IP,5,,IP,3,,IP,5,,IP,5,,IP,6,5,IP,4,,IP,5,,IP,5,,IP,5,,IP
202604100210,2026-04-10,02,10R,梅木 敬太,7.20,0.18,3.6,5,,IP,1,,IP,4,,IP,5,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,吉永 則雄,5.60,0.17,3.7,3,,IP,6,,IP,4,,IP,1,,IP,2,,IP,3,,IP,5,,IP,4,,IP,3,,IP,2,,IP,香川 素子,5.80,0.17,4.0,5,,IP,2,,IP,4,,IP,2,,G3,3,,IP,1,,G1,6,,G3,3,,IP,2,2,IP,4,,IP,大野 芳顕,5.11,0.17,3.2,5,,IP,4,,IP,2,,IP,5,,G3,3,,IP,4,,IP,1,,IP,4,,IP,欠,,IP,3,5,IP,木村 紗友希,3.30,0.21,4.0,6,,IP,5,,G3,5,,IP,5,,IP,5,,IP,6,,IP,2,,IP,1,,IP,6,,IP,4,,IP,春園 功太,3.60,0.14,2.7,4,,IP,4,,IP,4,,G3,6,,G3,5,,IP,6,,IP,5,5,IP,3,,IP,4,,IP,2,,IP
202604100211,2026-04-10,02,11R,平田 さやか,8.30,0.15,2.1,5,,IP,2,,IP,1,,IP,1,,G3,1,,G3,2,,G3,3,,G1,1,,G3,1,,IP,2,,IP,土屋 千明,6.50,0.16,2.7,2,,IP,5,,IP,1,1,IP,3,,IP,2,,IP,4,,G3,2,,IP,2,,IP,3,3,IP,4,,IP,中村 裕将,4.00,0.14,2.9,2,,IP,6,,IP,3,,IP,5,,IP,1,,IP,2,,IP,6,,IP,6,,IP,5,,IP,6,,IP,松尾 昂明,3.80,0.16,3.0,6,,IP,5,,IP,4,,IP,6,,IP,3,,IP,1,,IP,4,,IP,6,,IP,6,,IP,2,,IP,宇留田 翔平,3.70,0.15,3.8,6,6,IP,3,,IP,2,,G3,5,4,G3,6,,IP,5,4,IP,6,,IP,2,,IP,4,,IP,4,,IP,加藤 翔馬,4.00,0.18,4.1,4,,IP,6,,IP,2,,G3,3,5,IP,6,,IP,3,,IP,5,,IP,6,,G1,3,,IP,4,,IP
202604100212,2026-04-10,02,12R,澤田 尚也,10.00,0.11,2.5,1,,IP,1,,IP,1,,IP,3,,IP,1,,IP,1,,G1,1,,G1,1,,G1,1,,IP,1,,G2,高橋 勲,5.50,0.19,2.7,2,,IP,5,,IP,6,,IP,2,,IP,1,,IP,3,,IP,5,,IP,4,,IP,3,,IP,2,,IP,武田 光史,7.60,0.15,3.0,1,2,IP,2,,IP,2,,IP,1,,IP,5,,IP,3,,IP,1,,IP,1,,IP,4,,IP,2,,IP,和田 拓也,5.40,0.13,2.4,2,,IP,4,,IP,3,,IP,6,,G1,3,,IP,4,,IP,5,,IP,3,,IP,2,,IP,3,5,G1,江藤 敦宏,3.00,0.15,3.7,2,,IP,6,,IP,3,,IP,4,,IP,5,,IP,6,,IP,6,,IP,6,4,IP,5,,IP,4,,IP,作間 章,5.20,0.19,3.4,4,,IP,6,,IP,3,,IP,6,,IP,2,,IP,1,,IP,3,,IP,3,,IP,6,,G1,2,5,IP
202604100601,2026-04-10,06,01R,豊田 祥生,5.60,0.16,3.0,6,,IP,1,,IP,1,,IP,5,,IP,4,,IP,1,,IP,4,,IP,2,,IP,6,,IP,3,,IP,牧村 俊輝,3.00,0.18,4.2,4,,IP,5,,IP,4,,IP,5,,IP,,,,,,,,,,,,,,,,,,IP,香川 陽太,4.00,0.18,4.0,2,4,IP,4,,IP,4,,IP,6,,IP,3,6,IP,3,,IP,3,,IP,5,,IP,5,5,IP,6,6,IP,木山 大聖,3.80,0.17,2.8,6,,IP,2,,IP,4,,IP,3,,IP,4,,IP,3,,IP,5,,IP,4,,IP,5,,IP,6,,IP,佐藤 右京,2.90,0.18,4.3,6,,IP,6,,IP,5,,IP,5,,IP,5,,IP,6,,IP,4,,IP,2,,IP,3,,IP,5,,IP,安藤 瑠希,3.70,0.14,3.1,1,,IP,5,,IP,3,,IP,1,,IP,5,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,,IP
