date,jcd,rno,source_type,snapshot_type,source_url,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-03-22,02,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=1,13.4,58.1,24.1,623.7,28.4,744.3,175.2,469.4,196.6,489.9,17.3,638.5,20.5,71.6,16.5,359.2,172.9,1308.0,109.4,247.6,86.8,573.3,36.6,476.0,8.4,85.9,57.9,998.0,50.5,1036.0,92.7,532.5,344.5,1060.0,56.5,1122.0,8.0,88.0,53.9,778.8,425.0,2041.0,47.9,278.3,204.1,1418.0,101.6,990.7,369.1,1141.0,510.3,821.5,25.2,806.8,331.0,922.8,635.5,1224.0,41.2,1334.0,240.6,1192.0,379.5,831.7,269.4,1820.0,458.2,1448.0,687.4,1203.0,57.2,520.2,19.7,101.0,23.9,292.9,283.6,1749.0,12.8,105.9,36.1,612.4,573.3,2323.0,150.2,647.7,189.7,395.1,450.6,2807.0,51.3,220.1,62.3,363.1,354.5,1308.0,246.3,720.5,294.8,922.8,63.1,397.4,191.9,683.9,384.9,1236.0,100.0,618.0,552.1,1464.0,720.5,1531.0,79.6,392.8,172.2,660.4,228.7,740.3,316.2,1086.0
2026-03-22,02,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=2,25.6,24.2,63.9,248.3,160.5,62.4,47.3,32.6,213.2,598.1,328.6,184.4,68.6,45.8,216.3,817.5,446.9,146.9,19.4,12.7,95.6,252.2,154.3,322.1,35.0,42.7,76.2,217.4,132.0,50.5,115.2,51.1,114.8,261.1,168.9,66.4,157.9,71.5,153.1,305.2,206.1,72.7,52.9,27.2,53.0,92.8,66.9,104.6,132.2,48.7,429.2,746.2,499.0,304.0,225.6,72.2,279.0,463.4,279.0,158.8,391.0,66.2,677.8,1311.0,893.8,247.2,123.8,24.0,224.3,384.5,319.6,551.4,144.0,55.2,423.6,985.9,834.2,277.1,239.9,70.3,343.9,523.1,416.0,135.5,408.7,72.9,1196.0,1162.0,968.3,337.5,201.0,30.1,421.4,445.7,396.7,482.7,44.4,15.3,152.4,216.6,140.1,255.3,89.6,21.7,98.5,114.4,72.2,127.3,133.0,21.1,230.7,275.2,169.6,350.6,217.2,30.4,406.7,315.2,213.2,386.4
2026-03-22,02,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=3,20.7,26.4,77.8,680.2,56.3,1531.0,98.7,111.5,281.8,1231.0,93.3,2134.0,15.4,19.1,66.4,649.3,348.9,2388.0,115.3,127.4,289.9,1365.0,188.9,1744.0,32.3,22.2,60.8,573.3,46.2,1948.0,140.6,42.2,92.9,378.6,24.8,1039.0,32.3,8.6,17.6,239.7,109.8,2711.0,206.0,39.9,77.0,666.6,59.5,819.0,297.7,92.0,366.1,1114.0,94.0,2254.0,394.2,145.7,234.1,484.6,32.0,1201.0,275.2,61.7,194.4,548.2,195.1,2360.0,623.1,278.7,447.9,1078.0,116.8,1029.0,27.8,22.7,66.8,585.0,418.0,3344.0,46.2,11.6,22.0,241.4,215.7,3087.0,175.8,56.6,129.5,397.3,331.6,3934.0,146.4,41.0,75.2,535.1,432.4,2417.0,680.2,134.4,699.1,1520.0,337.2,1672.0,745.9,246.8,352.6,1194.0,165.7,625.1,969.3,623.1,748.7,1555.0,212.1,887.8,513.2,99.6,262.3,1102.0,611.7,1986.0
2026-03-22,02,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=4,8.7,8.7,25.0,202.2,542.3,350.3,37.9,36.4,88.3,260.0,676.7,671.0,49.7,46.3,82.1,329.2,799.8,879.7,30.1,22.8,48.7,279.2,829.1,1401.0,14.4,9.7,25.2,194.3,468.5,322.5,49.4,30.5,57.8,192.8,333.3,237.0,55.7,30.8,58.4,239.9,438.6,691.5,34.4,15.5,37.1,240.3,559.5,860.6,97.3,83.3,187.1,347.2,659.8,638.5,112.2,72.6,133.8,231.8,383.4,287.9,169.9,122.4,269.3,533.2,1319.0,1208.0,149.8,103.9,200.4,377.0,904.9,1319.0,182.0,141.3,217.5,385.3,904.9,1155.0,210.0,100.2,133.3,246.6,491.8,1077.0,390.0,187.6,395.9,549.8,1277.0,1799.0,281.2,174.7,234.9,323.8,833.4,1599.0,107.0,67.9,142.5,405.0,1107.0,1820.0,119.1,49.3,107.2,314.8,791.8,1139.0,302.7,158.2,297.6,555.6,1077.0,1799.0,306.9,175.7,308.6,429.1,1164.0,1684.0
2026-03-22,02,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=5,49.1,124.9,275.5,13.8,137.6,604.3,8.3,18.9,236.1,84.2,421.4,1510.0,35.3,58.2,401.5,24.0,109.7,396.2,39.7,82.1,727.7,27.8,214.0,1093.0,94.6,289.9,458.3,19.6,178.8,775.1,69.7,233.9,251.4,124.2,485.8,1917.0,156.2,428.5,551.9,31.1,106.0,522.8,273.8,569.6,736.7,33.8,229.4,1563.0,8.7,25.2,262.5,235.5,795.9,2073.0,51.0,136.2,240.6,243.5,685.7,2583.0,22.7,46.7,422.4,316.6,657.9,1698.0,24.7,61.0,592.3,303.7,1018.0,3183.0,73.8,154.7,765.2,27.8,105.4,391.8,230.9,397.9,653.0,30.2,88.2,426.5,63.4,118.3,680.5,125.4,418.5,1291.0,154.6,315.5,1415.0,36.8,122.3,575.1,130.2,283.4,1550.0,59.2,426.5,1301.0,428.5,792.4,1498.0,58.7,427.5,1340.0,105.8,218.2,1382.0,223.9,974.2,2256.0,293.7,560.6,2476.0,75.8,296.1,707.5
2026-03-22,02,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=6,11.7,17.1,61.1,467.2,48.1,1732.0,60.8,33.2,220.8,841.9,83.3,2788.0,13.6,13.0,73.7,532.7,192.9,2379.0,332.9,254.9,626.2,1088.0,432.1,2745.0,21.6,23.3,51.3,433.2,30.6,1821.0,120.3,32.2,99.8,356.9,24.6,2445.0,29.9,12.1,30.0,247.8,70.6,3432.0,592.9,312.5,404.7,1115.0,191.9,1859.0,164.5,105.3,418.9,1049.0,92.8,3432.0,216.0,86.0,187.6,469.6,45.7,3305.0,186.8,66.3,234.2,617.5,208.7,3367.0,1062.0,550.8,1293.0,1840.0,529.6,4353.0,24.8,14.3,79.1,563.0,422.9,3499.0,36.0,10.2,39.1,291.1,190.0,4249.0,134.6,25.2,176.7,490.3,345.2,4957.0,639.7,176.5,587.1,1593.0,1166.0,4056.0,1166.0,934.4,1859.0,1802.0,1095.0,4150.0,1552.0,782.8,1144.0,1683.0,646.6,2150.0,1919.0,1462.0,2348.0,2788.0,1265.0,3305.0,1565.0,782.8,1940.0,2549.0,2075.0,4353.0
2026-03-22,02,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=7,11.3,110.5,184.2,36.6,114.6,607.3,7.9,51.6,217.9,98.5,319.0,1262.0,11.9,69.3,232.2,31.0,81.2,626.7,23.8,138.9,400.7,60.0,157.1,617.9,16.7,362.9,463.8,83.5,224.8,814.4,24.3,595.0,647.4,478.9,992.9,2561.0,28.2,624.5,888.1,147.9,371.3,2031.0,48.1,1104.0,1058.0,217.9,552.3,2155.0,9.6,114.8,410.0,340.5,645.0,1699.0,21.0,519.8,818.2,615.8,1262.0,3534.0,11.0,215.0,825.8,654.5,1510.0,2079.0,29.5,424.8,1039.0,724.3,1328.0,3465.0,23.6,223.1,570.1,48.6,102.1,441.8,48.9,682.3,857.9,115.2,251.7,1425.0,22.3,379.2,1111.0,379.2,727.3,1636.0,47.2,645.0,1349.0,86.6,193.5,497.8,84.3,507.8,1349.0,128.6,366.6,748.9,161.8,1280.0,2031.0,267.3,758.5,2031.0,92.7,998.5,1942.0,727.3,1299.0,2719.0,120.7,810.7,1749.0,170.5,575.7,1097.0
2026-03-22,02,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=8,18.7,14.1,47.5,166.6,105.0,751.5,49.3,43.8,184.6,252.4,150.7,1020.0,33.1,22.8,74.0,280.3,318.3,1503.0,139.1,76.4,169.6,569.5,368.9,1955.0,31.4,11.9,32.3,168.3,92.4,715.1,100.5,23.3,58.4,108.4,54.0,583.9,61.3,8.2,22.8,136.7,166.1,1159.0,135.8,22.8,42.2,406.8,190.9,1167.0,87.3,77.6,303.9,393.0,155.9,1193.0,117.0,47.2,148.5,159.1,70.2,636.6,163.9,69.9,182.6,345.3,266.1,2497.0,298.4,141.0,309.7,621.9,206.0,1352.0,82.0,32.1,84.5,455.9,504.1,2054.0,109.8,17.8,39.9,285.7,302.2,1341.0,227.9,61.5,137.1,438.7,426.0,2497.0,420.5,59.0,66.3,718.2,659.8,2459.0,518.6,246.3,298.9,1143.0,748.0,2751.0,510.4,94.6,129.7,995.9,393.0,1399.0,737.8,265.2,430.5,1503.0,462.4,1319.0,927.6,141.6,139.1,1364.0,780.4,2497.0
2026-03-22,02,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=9,19.1,46.7,197.2,33.0,855.9,102.1,6.1,13.4,235.5,139.8,1494.0,412.1,50.6,82.6,483.5,91.1,807.1,155.0,9.5,16.2,296.8,35.0,852.4,624.3,50.5,142.3,256.9,41.4,1015.0,125.0,62.4,145.7,242.3,161.2,1584.0,452.5,196.9,305.4,499.4,109.4,891.8,150.9,88.5,159.6,289.1,42.2,1083.0,659.2,12.8,27.3,359.1,356.1,1862.0,813.2,46.0,103.4,255.7,280.7,1929.0,859.3,59.3,124.4,653.1,576.8,1632.0,1072.0,19.5,29.7,316.8,410.5,2041.0,1878.0,189.5,355.5,1061.0,140.9,969.2,176.8,419.5,567.5,792.0,139.0,786.1,141.7,225.0,359.7,956.1,384.5,1199.0,567.5,223.2,371.0,1072.0,121.9,731.9,552.7,32.4,48.0,579.9,59.1,1549.0,1453.0,131.9,194.9,498.2,49.5,1424.0,1387.0,42.9,56.0,774.7,240.9,2258.0,2358.0,208.9,279.6,1185.0,123.1,1040.0,780.3
2026-03-22,02,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260322&jcd=02&rno=10,35.0,268.8,160.8,116.5,1338.0,96.7,25.5,231.5,39.4,51.6,1110.0,79.0,96.7,617.6,196.2,182.8,813.9,45.8,27.8,225.3,54.1,36.8,883.1,248.0,27.0,607.0,402.3,351.1,1682.0,269.2,6.8,720.9,439.3,726.9,2154.0,613.3,57.2,1289.0,771.3,692.6,2030.0,469.7,11.7,861.6,482.6,339.6,2235.0,1459.0,20.9,507.5,64.7,89.8,1185.0,167.9,8.1,1032.0,319.9,535.2,2078.0,545.1,49.1,1666.0,345.6,524.1,1821.0,193.8,7.6,695.4,85.4,113.3,2128.0,1139.0,237.0,1650.0,546.8,408.8,992.3,70.0,175.2,1802.0,781.5,748.4,2007.0,262.0,161.4,1962.0,788.5,774.7,1496.0,151.1,158.9,2235.0,896.6,503.2,1390.0,409.8,26.4,493.4,137.7,61.1,1424.0,1039.0,20.1,1070.0,489.3,215.6,2559.0,1714.0,10.9,1051.0,150.0,122.2,2102.0,1821.0,74.3,1941.0,748.4,290.0,1714.0,1235.0
