date,jcd,rno,source_type,snapshot_type,source_url,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-03-14,04,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=1,47.2,103.7,124.8,66.2,24.0,1173.0,43.4,89.7,92.4,87.6,34.0,1299.0,28.4,55.8,65.9,29.8,15.7,1385.0,365.5,510.4,749.9,266.9,138.2,1212.0,61.8,158.8,172.7,122.7,42.3,1598.0,51.9,171.5,167.2,205.2,84.2,2078.0,35.0,104.9,107.5,64.8,38.2,2139.0,409.8,795.0,603.6,483.3,267.9,1653.0,49.6,124.4,113.0,163.4,66.2,1634.0,53.9,162.9,146.2,237.3,98.7,1889.0,22.8,71.4,71.0,87.6,64.5,2273.0,312.2,761.7,527.1,621.7,356.5,1752.0,25.3,59.3,64.7,17.7,15.5,1774.0,30.9,83.3,83.6,27.0,21.9,1547.0,18.6,65.5,62.7,37.2,33.5,1939.0,182.7,508.7,457.5,84.1,89.9,1046.0,812.7,1136.0,1547.0,826.6,276.5,1127.0,920.8,926.6,1347.0,950.9,362.8,1173.0,881.7,1469.0,1334.0,866.0,420.4,1372.0,723.8,1110.0,1222.0,464.8,276.5,989.7
2026-03-14,04,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=2,17.4,48.4,25.1,421.6,112.8,369.5,88.8,199.5,76.2,323.7,100.7,397.6,41.8,88.1,31.6,493.7,429.2,945.7,43.8,86.3,40.9,383.9,146.3,533.1,15.2,52.6,38.9,526.3,153.2,345.1,60.6,80.8,63.3,382.1,78.6,198.0,25.1,28.4,18.2,505.7,371.1,703.3,27.7,33.2,23.6,402.3,114.1,270.8,140.6,329.5,119.6,415.3,97.9,304.3,123.7,178.6,114.6,375.3,65.8,185.9,230.5,225.9,82.1,331.4,252.4,442.8,199.0,274.8,92.8,301.6,57.2,142.9,56.6,129.0,41.9,589.4,604.3,1101.0,47.8,57.7,24.9,641.3,585.2,904.8,226.5,246.1,80.2,462.4,431.4,767.8,90.4,75.4,22.6,411.2,404.3,973.2,85.4,209.7,90.5,478.2,193.0,492.3,87.7,84.2,47.1,573.2,146.4,289.6,284.2,376.1,118.8,417.4,99.1,191.0,155.2,122.5,36.2,438.2,437.0,688.8
2026-03-14,04,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=3,19.2,41.4,102.0,205.0,491.1,17.2,33.3,54.0,169.6,371.7,680.6,30.5,98.5,130.5,264.7,563.1,815.4,38.7,7.4,14.6,60.8,171.6,427.9,105.6,37.8,94.1,150.4,228.6,613.0,23.4,85.0,237.8,263.9,552.3,1041.0,56.8,193.8,334.4,343.7,711.4,1217.0,56.6,26.1,89.8,130.7,228.9,596.1,162.1,78.5,127.1,423.7,552.3,1122.0,53.2,131.8,281.5,525.4,738.8,1176.0,87.9,301.1,520.7,738.8,1152.0,1543.0,130.3,61.9,123.8,333.7,492.5,839.2,220.5,233.9,329.3,584.0,555.9,886.5,76.3,367.8,434.3,667.5,758.2,1016.0,87.4,447.8,664.9,895.7,1200.0,1465.0,154.3,252.7,328.6,576.2,804.1,1022.0,223.3,9.2,22.8,60.2,170.3,485.6,244.8,18.2,54.7,96.5,208.2,604.4,241.4,25.5,63.8,118.0,306.5,796.7,361.6,71.4,146.8,184.9,463.5,1041.0,385.9
2026-03-14,04,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=4,11.9,27.8,38.5,337.1,56.9,265.5,32.8,81.6,106.0,412.0,79.7,346.2,12.0,27.8,38.7,308.0,159.6,608.7,50.1,93.5,151.3,473.5,112.9,364.1,15.2,39.6,45.5,425.1,85.5,363.6,48.5,93.0,94.1,420.2,65.9,417.4,16.4,26.1,26.7,302.5,145.3,564.0,75.7,116.8,124.3,531.0,115.1,402.2,86.8,220.5,173.0,514.8,108.9,442.9,105.9,226.0,153.8,459.8,75.2,420.2,75.2,149.9,111.9,307.6,168.1,1019.0,161.2,332.6,353.5,639.3,166.0,644.2,19.5,55.0,51.5,305.0,263.5,980.0,29.1,41.9,33.3,252.8,216.5,1180.0,53.9,110.7,83.2,261.1,218.2,1214.0,53.5,112.6,139.7,309.9,216.5,532.1,113.9,320.9,408.0,832.2,220.7,446.8,183.5,313.7,368.4,808.3,179.5,384.0,209.2,509.7,518.0,650.8,222.6,457.3,118.7,258.4,298.9,534.3,286.8,504.6
2026-03-14,04,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=5,37.5,181.1,213.0,56.6,778.2,56.9,24.3,103.5,100.7,62.1,975.8,68.9,143.8,414.8,363.6,120.3,584.9,29.3,24.1,88.7,97.4,17.5,530.5,204.2,47.8,356.7,368.5,117.4,1040.0,100.9,22.1,442.1,381.2,304.7,1335.0,226.3,129.5,951.2,611.5,378.9,1637.0,117.2,19.8,299.9,296.6,81.2,1184.0,498.2,19.8,147.9,141.2,129.1,1364.0,155.9,18.7,375.9,329.2,310.2,1760.0,335.1,69.8,632.0,459.3,478.0,1483.0,153.6,8.3,129.8,115.1,91.8,1326.0,741.5,237.5,888.4,829.7,179.8,611.5,33.4,279.4,1052.0,1134.0,271.0,1114.0,73.2,184.4,1046.0,896.8,378.2,1141.0,86.9,147.4,647.2,794.7,110.8,386.7,152.5,23.3,131.9,166.8,18.4,710.7,406.7,21.9,269.0,321.4,44.3,1088.0,607.5,11.6,136.7,127.8,54.3,1082.0,852.2,97.1,479.2,467.3,72.8,441.0,339.3
2026-03-14,04,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=6,21.1,68.9,50.9,185.3,2639.0,47.7,22.0,66.5,39.6,151.0,1326.0,34.5,399.4,544.7,303.7,1045.0,2813.0,46.7,16.9,49.7,24.7,78.5,1954.0,446.0,16.9,105.1,85.4,290.6,3084.0,72.2,15.7,138.6,81.3,276.7,2844.0,77.9,211.7,889.0,649.8,1454.0,3606.0,98.7,11.5,88.6,59.3,210.2,2813.0,750.8,31.4,173.5,68.0,167.0,1600.0,49.0,34.8,188.1,88.1,248.5,3200.0,72.0,592.6,759.7,561.4,1340.0,4064.0,65.0,18.3,123.2,49.3,137.8,3012.0,672.0,984.7,1855.0,721.2,1620.0,4197.0,74.2,773.5,1753.0,1137.0,1984.0,3821.0,124.1,1479.0,2207.0,1098.0,2032.0,3939.0,109.0,682.7,1673.0,885.9,1828.0,3507.0,955.3,20.3,96.3,34.9,84.8,2813.0,1153.0,18.9,98.7,47.5,143.5,2753.0,1248.0,17.9,118.9,42.0,125.5,2723.0,1333.0,340.0,969.8,426.0,955.3,3765.0,1684.0
2026-03-14,04,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=7,76.7,150.1,296.1,69.5,36.7,923.4,55.4,82.4,195.9,124.2,66.0,1305.0,40.0,38.8,169.4,33.6,23.8,1118.0,277.6,364.5,730.4,196.3,82.5,978.8,107.2,292.1,357.8,91.6,41.5,964.3,85.6,228.1,284.5,170.9,55.6,2018.0,68.4,125.8,188.0,38.7,29.0,1246.0,362.5,689.3,722.3,228.4,87.7,1014.0,60.1,114.5,226.8,184.6,103.4,1957.0,72.0,175.8,255.9,212.5,87.3,2127.0,28.3,45.6,82.7,74.3,57.7,1617.0,235.8,353.3,455.2,312.7,207.6,1505.0,38.0,46.5,142.3,15.0,15.6,1151.0,56.1,71.7,137.4,15.6,14.3,1030.0,29.1,35.6,78.9,32.2,28.1,1566.0,164.0,249.3,327.9,33.0,33.3,393.1,477.4,826.0,1350.0,311.7,143.0,776.8,577.4,847.4,1099.0,281.6,146.9,805.6,479.8,659.1,770.7,419.2,307.3,1099.0,482.1,717.1,898.0,149.4,120.3,352.1
2026-03-14,04,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=8,14.5,126.4,89.4,217.0,96.2,463.1,25.3,232.2,41.2,101.6,42.9,273.6,26.7,220.3,46.1,134.8,87.3,390.1,35.0,263.6,73.2,159.2,83.0,276.2,12.9,206.2,234.3,406.6,200.2,629.8,8.2,681.9,334.4,567.9,428.7,1069.0,9.4,828.8,419.4,429.8,614.2,1455.0,14.7,651.2,465.6,496.3,469.4,1322.0,37.9,413.4,92.9,148.4,84.9,366.9,16.8,661.1,266.9,518.6,314.9,1139.0,31.0,721.7,229.7,310.9,246.4,724.7,35.1,721.7,260.4,365.4,258.1,727.8,38.1,553.4,109.4,186.6,198.4,342.3,15.4,951.7,303.3,437.4,458.2,668.8,38.2,1117.0,272.7,296.6,282.5,541.3,30.0,1082.0,320.7,239.2,291.6,394.5,84.2,625.3,238.5,200.2,187.2,288.7,39.7,718.7,528.1,384.0,477.1,883.7,77.6,1419.0,473.2,314.9,328.0,639.1,50.5,1322.0,422.4,205.9,356.4,506.4
2026-03-14,04,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=9,9.4,64.8,105.1,377.9,69.4,146.5,21.5,124.1,162.6,490.8,76.9,216.0,9.2,65.0,73.6,330.1,139.8,342.2,19.3,120.2,135.5,445.7,60.2,108.1,11.5,140.1,203.0,524.2,140.9,278.0,28.5,353.8,341.5,859.9,295.4,663.0,10.6,231.8,225.4,832.6,644.0,1088.0,21.6,341.5,359.0,775.4,237.1,489.2,46.4,311.5,454.0,677.2,164.7,542.2,59.2,422.4,560.5,1088.0,384.4,1119.0,39.2,563.5,549.8,1127.0,695.1,1309.0,53.5,539.4,788.9,1257.0,357.8,775.4,14.1,167.3,146.1,484.7,450.8,821.8,16.8,306.9,312.7,1005.0,925.4,1743.0,31.2,617.5,551.7,1298.0,1038.0,1715.0,17.1,337.8,298.5,648.0,654.7,1337.0,38.1,332.5,428.7,650.7,98.6,151.5,49.9,583.3,839.3,1151.0,185.4,384.4,69.3,800.9,971.0,1378.0,290.6,532.1,31.6,479.6,506.5,974.0,463.4,749.6
2026-03-14,04,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260314&jcd=04&rno=10,4.8,38.5,121.4,59.4,103.2,590.4,6.6,32.2,154.1,139.7,184.0,1027.0,11.8,66.3,256.9,121.4,172.9,864.7,29.3,109.8,439.1,197.5,194.2,945.0,10.3,122.3,208.4,83.2,168.1,852.7,18.6,196.0,287.5,197.5,366.6,1527.0,29.3,300.2,390.0,235.0,409.2,1041.0,62.5,489.5,631.0,250.2,375.2,1547.0,12.5,74.5,288.2,302.5,408.3,1992.0,22.1,168.4,342.6,316.9,615.2,2277.0,30.3,232.2,547.2,637.6,804.0,2249.0,58.8,248.0,733.3,795.3,879.2,2864.0,30.4,196.9,493.4,173.8,274.8,1149.0,49.0,357.0,473.1,229.1,411.5,1024.0,59.4,376.4,811.2,486.2,672.7,1833.0,78.9,477.4,996.3,282.0,463.5,1508.0,126.0,409.2,1238.0,421.9,331.5,745.2,183.6,572.9,1160.0,431.3,421.9,771.9,190.5,617.2,1432.0,835.2,680.2,1277.0,163.3,749.8,1861.0,517.8,549.7,898.6
