レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202605010101,2026-05-01,01,01R,田中 堅,6.20,0.18,4.4,4,,IP,3,,IP,1,,IP,5,,IP,1,,IP,4,,IP,1,,IP,5,,IP,4,,IP,1,,IP,須藤 隆雄,5.00,0.17,2.7,2,,IP,4,,IP,6,,IP,5,,IP,3,,IP,4,,IP,6,3,IP,3,,IP,2,,IP,1,,IP,坂本 雄紀,5.80,0.13,2.1,4,,IP,1,,IP,2,,IP,6,,IP,5,,IP,2,,IP,1,,IP,6,,IP,3,,IP,3,,IP,長谷川 晴哉,5.60,0.15,3.2,3,,IP,4,,IP,3,,IP,4,,IP,3,,IP,4,,IP,3,,IP,2,,IP,3,,IP,3,,IP,寺本 昇平,3.80,0.18,3.4,1,,IP,4,4,IP,5,,IP,4,,IP,3,,IP,5,,IP,6,,IP,5,,IP,3,,IP,6,,IP,高橋 涼夏,1.60,0.17,3.6,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,4,5,IP,6,,IP,6,,IP,4,,IP
202605010102,2026-05-01,01,02R,宮内 由紀英,4.90,0.18,3.7,5,,IP,4,,IP,2,,IP,3,,IP,2,,IP,5,,IP,6,,IP,4,,IP,1,,IP,4,,IP,鳥居塚 孝博,5.60,0.17,2.9,1,,IP,1,3,IP,3,,IP,2,,IP,3,,IP,3,,IP,5,,IP,3,,IP,6,,IP,6,,IP,野村 誠,4.90,0.18,2.9,4,,G1,1,,IP,2,,IP,6,,IP,3,,G3,6,,G3,4,,IP,4,,IP,5,,IP,2,,IP,上村 純一,4.80,0.12,2.3,1,,IP,6,,G1,5,,G1,2,,IP,1,,IP,6,,G1,5,,G1,5,,G1,6,,G1,4,,G1,島倉 都,3.70,0.19,3.3,5,,IP,4,,IP,4,,G3,5,,G3,3,4,IP,4,4,IP,6,,IP,5,,IP,2,4,IP,4,,IP,富永 正人,2.40,0.22,4.9,3,,IP,5,,IP,4,,IP,3,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP
202605010103,2026-05-01,01,03R,高山 秀雄,7.50,0.18,3.3,2,,IP,1,,IP,3,,IP,1,,IP,1,,IP,6,,IP,1,,IP,2,,IP,3,,IP,3,,IP,中里 英夫,4.80,0.19,4.4,1,,IP,6,,IP,5,,IP,3,,IP,5,3,IP,5,3,IP,6,,IP,2,,IP,2,,IP,2,,IP,柴田 光,4.60,0.15,3.6,6,,G1,3,,G1,6,,G1,5,,G1,2,,IP,5,2,IP,3,,IP,3,,G3,4,,IP,3,,IP,蜂須 瑞生,3.50,0.19,3.2,F,,IP,2,,IP,5,,G3,5,,G3,3,,IP,5,,IP,5,,IP,2,3,IP,6,,IP,4,,IP,橋本 久和,4.20,0.21,3.1,2,,IP,4,,G3,6,,G3,4,,IP,4,,IP,6,,IP,4,,IP,4,,IP,3,,IP,3,,IP,富澤 祐作,3.80,0.16,4.4,5,,IP,5,,IP,5,,IP,3,,IP,6,,IP,4,,IP,4,,IP,6,,IP,2,,IP,2,,IP
202605010104,2026-05-01,01,04R,鹿島 敏弘,7.20,0.16,2.1,5,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,2,,IP,4,,IP,1,,IP,5,,IP,岩崎 麗子,1.90,0.21,3.9,5,,G3,6,,IP,6,,IP,4,,IP,4,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,,IP,金子 拓矢,6.90,0.16,3.1,4,,IP,2,,IP,6,,G1,2,4,G1,6,,G1,3,,IP,1,,IP,1,,IP,2,,IP,1,,IP,塚越 海斗,7.90,0.11,2.5,2,,IP,3,,IP,2,,IP,2,,IP,1,,IP,1,,IP,4,,IP,2,,IP,2,,IP,2,,IP,外崎 悟,5.30,0.13,2.1,4,,G3,4,,IP,1,,IP,6,,IP,4,,IP,4,,IP,2,,IP,3,,IP,5,,IP,2,,IP,栗原 一馬,3.30,0.19,4.2,5,,IP,2,5,IP,5,,IP,6,,IP,4,,IP,2,,IP,5,,IP,6,,IP,6,,IP,5,,IP
202605010105,2026-05-01,01,05R,土屋 太朗,7.20,0.17,3.2,1,,IP,1,,IP,1,,G3,4,,IP,2,,IP,5,,IP,5,,IP,2,,IP,1,,IP,2,,IP,毒島 誠,7.30,0.21,3.4,1,,IP,1,,IP,5,,IP,2,,SG,4,3,IP,4,,IP,1,1,IP,2,,G1,6,,G1,1,,IP,飯島 昌弘,6.70,0.14,2.9,2,,IP,5,,IP,3,,IP,2,,IP,1,,IP,3,,IP,2,,IP,2,,G1,6,,G1,2,,IP,金子 猛志,4.40,0.19,4.5,2,,IP,6,,IP,3,,IP,4,,IP,5,,IP,4,,IP,2,,IP,3,,IP,4,,IP,6,6,IP,植木 美帆,2.70,0.18,3.7,6,,G3,6,,G3,6,6,G3,6,,IP,5,,IP,4,,IP,1,,IP,5,,IP,6,,IP,4,,IP,金児 隆太,4.20,0.19,4.6,4,,G3,5,,IP,5,,IP,4,,IP,2,,IP,4,,IP,4,,IP,3,,IP,5,,IP,3,,IP
202605010106,2026-05-01,01,06R,江口 晃生,8.60,0.18,3.6,2,,G1,1,,IP,1,,IP,1,,IP,1,,IP,6,,IP,1,,IP,2,,IP,1,,IP,3,,IP,佐口 達也,6.80,0.17,3.2,2,,IP,5,3,IP,2,,IP,3,,IP,3,,IP,1,,IP,2,,IP,2,,IP,2,,IP,4,,IP,今泉 徹,5.40,0.13,2.2,4,,IP,3,,IP,4,4,IP,3,,IP,3,,IP,3,,IP,3,,IP,2,5,IP,3,,IP,5,,IP,崎 利仁,2.10,0.26,4.7,5,,IP,6,,G1,5,5,IP,落,5,IP,4,,IP,6,,IP,4,,IP,6,,IP,6,,IP,4,,IP,萬 正嗣,2.70,0.18,3.0,4,6,IP,3,,IP,6,,IP,5,,IP,6,,IP,6,6,IP,4,,IP,4,4,IP,5,,IP,5,6,IP,澁澤 周羽,0.00,-,-,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP
202605010107,2026-05-01,01,07R,津久井 拓也,7.30,0.13,2.7,3,,IP,4,2,IP,1,,IP,2,,IP,3,,IP,6,,IP,1,,IP,1,,IP,2,,IP,1,,IP,川口 貴久,6.60,0.17,3.4,2,,IP,1,,IP,2,,IP,3,,IP,2,,IP,5,,IP,1,,IP,3,,IP,4,,IP,4,,IP,土屋 智則,5.70,0.17,2.9,1,1,G1,5,,G1,3,2,G3,1,,G3,2,,IP,3,,IP,3,,IP,5,,IP,6,,IP,4,,IP,須藤 隆雄,3.30,0.19,3.1,5,,IP,6,,IP,5,,IP,3,,IP,5,5,IP,4,6,IP,5,,IP,5,,IP,4,5,IP,2,,IP,柴田 愛梨,2.33,0.26,5.2,6,,IP,6,,IP,沈,,IP,4,,IP,4,,IP,6,6,IP,6,,IP,4,,IP,4,,IP,6,,IP,鳥居塚 嶺王,2.30,0.18,4.4,6,,IP,6,,IP,6,,IP,3,,IP,6,,IP,3,5,IP,6,,IP,6,,IP,4,,IP,6,,IP
202605010108,2026-05-01,01,08R,鳥居塚 孝博,8.00,0.14,2.1,4,,IP,1,,IP,1,,IP,2,,IP,F,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,寺本 昇平,3.40,0.23,4.1,3,,IP,4,,IP,3,,IP,4,,IP,5,,IP,5,,IP,5,,IP,6,,IP,3,,IP,6,3,IP,河内 悠利杏,3.40,0.16,2.8,3,,IP,3,,IP,5,,G3,5,,G3,1,,G3,5,,G3,6,,IP,5,,IP,5,,IP,6,,IP,富澤 祐作,4.00,0.10,2.6,2,,IP,4,5,IP,6,,IP,1,,IP,6,,IP,6,6,IP,3,,IP,4,,IP,6,,IP,4,,IP,関 浩哉,7.20,0.16,3.4,3,,G1,4,6,G1,5,,G1,4,,SG,1,,G1,6,,G1,1,,IP,2,4,IP,2,,IP,1,,SG,植竹 玲奈,2.10,0.29,5.2,5,,IP,6,,IP,4,4,IP,4,,IP,6,,IP,6,,IP,4,,IP,5,,IP,6,,IP,6,,IP
202605010109,2026-05-01,01,09R,橋本 久和,7.80,0.15,2.8,1,,IP,1,,IP,4,,IP,1,,G3,4,,G3,1,,IP,1,,IP,1,,IP,5,,IP,2,,IP,大澤 普司,5.10,0.16,3.4,5,,IP,4,,G1,2,3,G1,3,,IP,5,,IP,5,,IP,2,,IP,1,,IP,6,,IP,3,,IP,本橋 克洋,4.30,0.16,3.1,2,,IP,5,,IP,5,,IP,4,,IP,4,,IP,3,,IP,3,4,IP,4,,IP,6,,IP,3,,IP,鹿島 敏弘,4.70,0.15,3.4,4,,IP,3,,IP,5,,IP,2,,IP,4,,IP,4,5,IP,6,,IP,4,5,IP,3,,IP,2,,IP,坂本 雄紀,5.50,0.12,2.0,6,,IP,2,,IP,1,4,IP,2,,IP,3,,IP,5,,IP,1,,IP,5,,IP,3,,IP,5,,IP,飯島 昌弘,4.80,0.19,4.6,4,,IP,4,,IP,2,,IP,3,,IP,6,,IP,3,,IP,5,,IP,4,,G1,4,,IP,4,,IP
202605010110,2026-05-01,01,10R,塚越 海斗,9.00,0.14,2.7,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,3,,IP,1,,IP,3,,IP,2,,IP,1,,IP,金子 賢志,6.50,0.13,3.0,2,,IP,4,,G1,6,,G1,5,3,IP,1,,IP,1,,IP,2,,IP,6,,G1,4,,G1,1,,G1,土屋 太朗,3.50,0.18,3.7,4,,IP,3,,IP,4,4,G3,5,,G3,5,,IP,4,,IP,5,,IP,4,,IP,6,,IP,3,4,IP,田中 堅,5.80,0.16,3.8,2,,IP,5,,IP,3,3,IP,2,,IP,4,,IP,2,,IP,4,,IP,2,5,IP,4,,IP,3,,IP,中里 英夫,3.80,0.24,3.9,6,,IP,6,,IP,5,,IP,3,,IP,4,,IP,2,,IP,5,,IP,2,,IP,4,,IP,5,,IP,上村 純一,5.20,0.14,2.9,3,,IP,4,,G1,5,,G1,4,,IP,2,,IP,1,,IP,4,,G1,5,,G1,4,,G1,5,,G1
