レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202601090401,2026-01-09,04,01R,山田 竜一,8.80,0.14,2.3,4,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,多羅尾 達之,5.40,0.14,3.2,3,,IP,4,,IP,4,,IP,4,,IP,3,,IP,4,,IP,2,,IP,2,,IP,3,3,IP,4,,IP,深水 慎一郎,4.90,0.18,3.4,3,2,IP,6,,IP,4,4,IP,4,,IP,2,,IP,2,,IP,2,,IP,4,,IP,5,,IP,4,,IP,杉村 賢也,4.70,0.17,3.6,3,,IP,1,,IP,2,,IP,5,,IP,4,,IP,6,,IP,F,,IP,3,,IP,4,,IP,3,,IP,伊倉 光,4.50,0.15,3.5,5,,IP,4,,IP,3,,IP,3,,IP,6,,G3,1,,IP,5,,IP,4,,IP,4,,IP,3,,IP,高橋 英之,3.10,0.15,2.8,6,,IP,4,3,IP,6,,G3,3,4,IP,5,2,IP,5,,IP,6,,IP,4,5,IP,5,5,IP,2,4,IP
202601090402,2026-01-09,04,02R,宮内 直哉,4.60,0.18,3.2,6,,IP,4,,G3,1,,G3,6,,IP,6,,IP,4,,IP,1,,IP,4,,IP,1,,IP,6,,IP,高橋 二朗,3.70,0.20,3.9,4,,IP,5,,IP,5,,IP,4,,G3,4,,G3,4,,IP,3,,IP,5,,IP,6,,IP,2,,IP,相原 利章,5.20,0.14,2.4,2,,IP,3,,IP,4,,IP,4,,IP,5,,G3,5,,IP,3,,IP,3,,IP,1,,IP,4,,IP,伏島 祐介,4.80,0.19,4.2,2,3,IP,5,,IP,4,,IP,3,,IP,5,,IP,6,,IP,5,,IP,3,,IP,1,3,IP,3,,IP,渡辺 豊,4.00,0.20,4.5,4,4,IP,2,,IP,5,,IP,3,,IP,5,,IP,6,,IP,4,,IP,4,,IP,6,,IP,2,,IP,熊倉 幹太,1.20,0.23,4.0,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,5,,IP,5,,IP,6,,IP
202601090403,2026-01-09,04,03R,渡邉 健,5.20,0.14,3.2,5,,IP,6,2,IP,1,,IP,4,,IP,1,,IP,6,,IP,1,,IP,5,,IP,1,,IP,6,,IP,山田 哲也,6.00,0.15,2.6,3,,IP,3,,IP,6,,IP,2,,IP,2,,IP,2,,IP,4,,IP,1,,IP,6,,G3,2,,IP,西田 靖,2.90,0.13,2.8,6,2,IP,2,2,IP,6,,IP,5,2,IP,6,2,IP,3,1,IP,5,2,IP,4,2,IP,5,2,IP,5,1,IP,伏田 裕隆,4.40,0.14,3.2,2,6,IP,転,,IP,5,5,IP,5,5,IP,6,6,IP,1,,IP,1,,IP,6,6,G3,4,,G3,3,,IP,片岡 大地,3.10,0.16,3.3,4,,IP,4,,IP,4,,IP,4,,IP,5,,IP,5,,IP,5,,IP,5,,IP,3,,IP,6,,IP,大塚 康雅,3.10,0.25,4.8,3,5,IP,4,,IP,5,,IP,4,5,IP,3,5,IP,6,,IP,4,,IP,6,,IP,6,,IP,5,,IP
202601090404,2026-01-09,04,04R,高橋 直哉,6.30,0.18,3.8,5,,IP,3,,IP,2,,IP,2,,IP,1,,IP,2,,IP,4,2,G3,6,,IP,3,,IP,1,,IP,大池 佑来,6.50,0.13,2.9,2,,IP,3,,IP,4,,SG,2,,G1,4,,IP,3,,IP,5,,G1,4,,G1,3,,G1,1,,G1,塚田 修二,3.30,0.18,4.3,2,,IP,5,,IP,6,,IP,4,,IP,6,,IP,1,,IP,5,,IP,6,,IP,5,,IP,5,,IP,阿波 勝哉,2.70,0.24,5.0,4,6,IP,5,5,IP,5,,IP,5,,IP,4,,IP,5,,G3,6,6,G3,4,,G3,5,5,G3,4,,IP,一瀬 明,4.70,0.19,3.6,3,,IP,4,,IP,1,,IP,2,,IP,4,,IP,5,,IP,6,,IP,4,4,IP,4,,IP,5,,IP,國分 将太郎,3.80,0.19,3.9,4,,IP,6,,IP,4,,IP,6,,IP,6,,G3,6,,G3,3,,IP,4,,IP,3,,G3,1,5,IP
202601090405,2026-01-09,04,05R,小原 聡将,6.89,0.13,2.4,3,,IP,3,,IP,2,,IP,3,,IP,4,,IP,1,,IP,1,,IP,5,,IP,1,,IP,落,,IP,山田 竜一,6.30,0.14,2.8,2,,IP,2,,IP,4,,IP,3,,IP,1,,IP,3,,IP,6,,IP,1,3,IP,2,,IP,5,,IP,田代 達也,3.90,0.20,2.9,6,,IP,5,,IP,1,,IP,エ,,IP,6,,IP,3,,IP,3,,IP,2,,IP,4,4,IP,6,,IP,渡邉 睦広,4.90,0.20,3.8,1,,IP,4,,IP,6,5,IP,2,,IP,4,,IP,4,,IP,3,,IP,欠,,IP,3,,IP,3,,IP,内堀 学,6.90,0.20,3.9,1,,IP,1,,IP,1,4,IP,5,4,IP,1,1,IP,3,1,IP,4,1,IP,1,4,IP,6,,IP,3,,IP,遠藤 圭吾,3.40,0.20,5.0,5,,IP,6,,IP,4,,IP,6,,IP,5,,IP,3,,IP,6,,IP,6,,IP,3,,IP,1,,IP
202601090406,2026-01-09,04,06R,木下 陽介,6.90,0.15,2.9,2,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,6,,G3,6,,IP,6,,IP,1,,IP,宮内 直哉,4.30,0.17,3.7,5,,IP,5,,G3,5,,G3,1,,IP,5,,IP,3,,IP,2,,IP,6,,IP,2,,IP,5,,IP,海老澤 泰行,4.70,0.18,3.5,6,,IP,4,,IP,4,,IP,4,,IP,2,,IP,3,,IP,4,,IP,4,,IP,5,,IP,1,,IP,仲 航太,6.70,0.11,1.7,4,,IP,2,,IP,1,,IP,3,,IP,3,,IP,3,,IP,4,,IP,2,,IP,3,,IP,3,,IP,熊倉 幹太,1.20,0.20,3.8,6,6,IP,6,6,IP,5,6,IP,6,6,IP,6,6,IP,,,,,,,,,,,,,,,IP,多田 有佑,1.90,0.29,5.6,5,,IP,6,,IP,6,,IP,5,,IP,4,,IP,5,,IP,6,,IP,5,,IP,5,,IP,5,,IP
202601090407,2026-01-09,04,07R,山崎 聖司,5.60,0.17,3.1,1,,IP,6,,IP,1,,G3,2,2,IP,2,,IP,3,,IP,5,,IP,5,2,IP,6,,IP,2,,IP,高橋 英之,5.30,0.14,3.0,5,,IP,3,,IP,5,,IP,6,,G3,2,,IP,2,,IP,2,,IP,1,,IP,3,,IP,5,,IP,三浦 裕貴,3.70,0.15,3.7,6,,IP,2,,IP,2,,IP,5,,IP,6,,IP,2,,G3,6,,G3,6,,IP,3,4,IP,6,,IP,渡邉 健,3.50,0.16,3.6,6,,IP,6,,IP,6,,IP,1,,IP,3,5,IP,6,,IP,6,,IP,3,,IP,3,,IP,5,,IP,佐藤 隆太郎,4.20,0.15,4.1,4,,IP,4,4,IP,5,,IP,3,,IP,5,,G1,6,,G1,1,,G1,6,,G1,4,,G2,5,,G2,伯母 芳恒,3.80,0.23,4.5,4,,IP,5,,IP,6,,IP,3,,IP,6,,IP,5,,G3,2,,IP,4,5,IP,5,,IP,2,,IP
202601090408,2026-01-09,04,08R,伊倉 光,7.30,0.13,2.4,2,,IP,2,,IP,1,,IP,1,,G3,2,,G3,1,,IP,1,,IP,3,,IP,5,,IP,6,,IP,西田 靖,3.30,0.16,2.7,6,,IP,5,1,IP,1,1,IP,6,,IP,5,1,IP,6,,IP,4,,IP,3,,IP,5,,IP,4,,IP,多羅尾 達之,5.60,0.12,2.6,6,,IP,2,2,IP,6,,IP,2,2,IP,3,,IP,3,,IP,2,,IP,2,,IP,3,,IP,4,,IP,渡辺 豊,4.50,0.20,4.6,4,,IP,3,,IP,1,,IP,3,,IP,3,,IP,6,,IP,5,,IP,4,,IP,4,,IP,5,,IP,伏島 祐介,5.90,0.15,3.1,6,,IP,4,,IP,3,,IP,1,,IP,5,6,IP,3,,IP,2,,IP,2,,IP,3,,IP,2,,IP,阿波 勝哉,6.00,0.14,2.9,5,,IP,4,,IP,1,,IP,2,,G3,6,,G3,6,,IP,1,,IP,1,,IP,1,,IP,4,,IP
202601090409,2026-01-09,04,09R,塚田 修二,3.10,0.26,4.8,4,,IP,6,,IP,6,2,IP,3,,IP,5,,IP,5,,IP,6,,IP,2,,IP,5,,IP,4,,IP,杉村 賢也,5.30,0.13,2.8,5,,IP,4,,IP,6,,IP,5,,IP,2,1,IP,1,3,IP,3,,IP,3,3,IP,1,3,IP,4,,IP,高橋 二朗,3.10,0.23,4.3,4,,IP,5,,IP,5,,IP,4,,G3,2,,IP,6,,IP,6,,IP,4,,IP,6,,IP,4,,IP,高橋 直哉,3.70,0.18,3.6,5,,IP,6,,IP,6,,IP,1,,IP,2,,IP,6,6,G3,4,5,IP,5,,IP,5,,IP,3,,IP,田代 達也,3.80,0.14,3.0,3,,IP,2,,IP,6,,IP,5,,IP,4,,IP,6,,IP,2,,IP,6,6,IP,6,6,IP,3,,IP,伏田 裕隆,4.00,0.17,4.0,3,,IP,3,,IP,6,,IP,5,,IP,2,,IP,3,,IP,4,,G3,6,,G3,5,,IP,4,,IP
202601090410,2026-01-09,04,10R,内堀 学,9.20,0.12,2.7,3,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,片岡 大地,4.00,0.15,3.4,2,,IP,4,,IP,5,,IP,2,,IP,4,,IP,3,,IP,6,,IP,6,,IP,5,3,IP,5,,IP,仲 航太,7.00,0.15,2.3,1,,IP,3,,IP,4,,IP,1,,IP,4,,IP,5,,IP,2,,IP,1,,IP,2,,IP,2,,IP,深水 慎一郎,6.00,0.17,3.1,1,,IP,3,,IP,3,5,IP,5,,IP,3,,IP,1,,IP,3,,IP,2,,IP,4,,IP,5,,IP,山田 哲也,6.40,0.09,1.7,5,,IP,2,,IP,5,,IP,1,,IP,2,,IP,2,,IP,6,,G3,2,,IP,1,,IP,4,,G1,小原 聡将,3.70,0.13,2.8,3,,IP,4,,IP,6,,IP,5,,IP,3,,IP,3,,IP,6,,IP,6,,IP,5,,IP,3,,IP
