レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202601010601,2026-01-01,06,01R,若林 義人,9.00,0.10,2.0,1,,IP,2,,IP,2,,IP,1,,IP,1,,G1,1,,IP,1,,IP,5,,IP,1,,IP,1,,G1,本田 愛,5.90,0.21,4.6,3,,IP,2,,IP,3,,IP,1,,G3,2,,G3,3,,IP,1,,IP,6,,IP,5,,IP,5,,IP,大橋 純一郎,6.10,0.14,2.9,3,,IP,2,,IP,4,,IP,2,,IP,2,,IP,2,5,IP,3,,IP,3,,IP,3,,IP,6,,IP,宮崎 奏磨,1.10,0.25,5.2,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,5,,IP,6,,IP,6,,IP,芹澤 克彦,4.10,0.15,3.6,4,,IP,3,,IP,5,,IP,6,,IP,1,,IP,5,,IP,3,,IP,4,,IP,5,,IP,4,,IP,土屋 実沙希,3.30,0.23,4.6,3,,IP,5,,IP,5,4,IP,3,4,IP,4,,G3,6,,IP,5,,IP,F,5,IP,3,,IP,4,,IP
202601010602,2026-01-01,06,02R,池田 浩美,6.90,0.19,3.1,1,,IP,1,,IP,1,,IP,1,,IP,6,,IP,2,,IP,5,,IP,2,,IP,5,,G3,2,,G3,松下 一也,6.90,0.12,2.0,3,,IP,3,,IP,1,,IP,4,,IP,2,,IP,2,,IP,2,,IP,1,,IP,2,,IP,6,,IP,川島 拓郎,5.50,0.14,3.2,4,5,IP,5,,IP,6,,IP,3,,IP,1,,IP,3,,IP,2,,IP,3,,IP,3,,IP,3,,IP,深尾 巴恵,5.60,0.11,2.6,3,,IP,3,,G3,4,,G3,5,,G3,2,,G3,4,,G3,2,5,G3,3,,IP,3,,IP,3,,G3,大場 敏,4.70,0.20,4.2,4,,IP,4,,IP,3,4,IP,5,,G3,3,,G3,6,,G3,3,,G3,4,,IP,3,,IP,2,,G3,村松 遥輝,2.20,0.13,3.4,5,,IP,5,,IP,5,,IP,6,,IP,5,5,IP,6,,IP,4,,IP,4,,IP,5,,IP,5,,IP
202601010603,2026-01-01,06,03R,山口 晃朋,8.60,0.13,1.9,1,,IP,2,,IP,2,,IP,1,,IP,1,,IP,1,,IP,転,,IP,1,,IP,1,,IP,1,,IP,松瀬 弘美,7.40,0.19,4.4,2,,IP,2,,IP,1,,IP,2,,IP,5,,IP,2,,IP,3,,IP,1,,G3,2,,IP,3,,IP,池田 雄一,7.67,0.15,3.4,1,,IP,1,,IP,6,,IP,欠,,IP,2,,IP,2,,IP,1,,IP,4,,IP,2,,IP,1,,IP,渡邊 裕貴,3.50,0.18,3.2,5,,IP,1,,IP,6,,IP,2,,IP,6,,IP,6,5,IP,4,,IP,5,,IP,5,,IP,4,,IP,服部 幸男,4.10,0.15,3.6,2,,IP,4,,IP,4,4,IP,5,,IP,6,,IP,6,4,IP,1,,G3,6,,G1,4,,G3,4,,G1,安藤 瑠希,1.30,0.20,4.6,6,,IP,6,,IP,6,,IP,6,,IP,5,,IP,6,,IP,5,,IP,6,,IP,6,,IP,5,,IP
202601010604,2026-01-01,06,04R,柴田 百恵,6.20,0.20,3.2,2,,IP,1,,IP,5,,IP,4,,IP,4,,IP,2,,IP,1,,IP,5,,IP,4,,IP,1,,IP,渡邉 英児,6.30,0.15,2.8,2,,IP,4,,IP,2,,IP,6,,IP,1,,IP,4,,IP,3,,G3,1,,G3,2,,IP,4,,IP,野末 智一,6.10,0.19,3.4,3,,IP,2,,IP,4,,IP,2,4,IP,2,,IP,2,,IP,5,,IP,2,,IP,5,,IP,3,4,IP,佐々木 康幸,6.40,0.14,2.0,2,,IP,5,,IP,1,,G3,3,,IP,4,,IP,2,,IP,2,,IP,1,,IP,3,,IP,6,,IP,板橋 侑我,5.80,0.12,3.0,6,,IP,2,,G1,6,,G1,5,6,G1,4,,G1,3,,IP,4,,G1,3,,G1,1,,G1,2,,G1,森下 愛梨,4.90,0.20,3.4,2,,IP,2,,G3,2,,IP,4,,IP,3,,IP,3,5,IP,6,,IP,5,,IP,4,,G3,5,,IP
202601010605,2026-01-01,06,05R,本田 愛,5.30,0.27,5.3,4,,IP,1,,G3,3,2,G3,2,,IP,6,,IP,6,,IP,6,,IP,2,,G3,1,,IP,4,,IP,横澤 剛治,5.80,0.17,3.8,4,,IP,5,,IP,5,,G3,1,3,IP,2,,IP,2,,IP,2,,G3,5,,G3,3,,IP,2,,IP,後藤 正宗,5.10,0.18,3.3,4,,IP,2,,IP,3,,IP,4,,IP,6,,IP,3,4,IP,3,,G3,2,,G3,4,,IP,4,,IP,鈴木 柊介,3.10,0.13,2.5,5,,IP,4,,IP,2,6,IP,3,,IP,4,5,IP,6,,IP,5,,IP,エ,,IP,5,,IP,5,,IP,徳増 秀樹,5.30,0.09,2.1,1,,G3,2,,G3,6,,G1,4,,IP,4,,G3,5,,IP,4,,IP,5,,G1,4,,G1,1,,G1,庄司 孝輔,4.20,0.18,4.8,5,,IP,2,4,IP,5,,IP,6,,IP,4,,IP,3,,IP,4,,IP,4,5,IP,3,,IP,6,,IP
202601010606,2026-01-01,06,06R,深谷 知博,10.20,0.10,2.2,1,,IP,1,,SG,1,,G1,1,,G1,2,,SG,1,,G1,1,,G1,4,,G1,1,,G1,1,,G3,池田 浩美,6.00,0.19,3.4,5,,IP,3,,IP,2,,IP,1,,IP,4,,IP,4,3,IP,1,,IP,1,,IP,4,6,IP,5,,G3,木村 紗友希,4.10,0.17,3.4,5,4,IP,6,,IP,2,,IP,3,,IP,6,,G3,3,,G3,5,,IP,6,,IP,3,,IP,2,,IP,芹澤 克彦,4.40,0.16,2.8,4,,IP,2,,IP,2,,IP,5,,IP,4,,G3,5,,G3,5,,IP,5,,IP,4,,IP,2,,IP,齋藤 達希,5.20,0.17,4.5,2,,IP,4,,IP,2,,IP,6,,IP,3,,IP,4,,IP,5,,IP,2,,IP,6,,IP,1,6,IP,野中 義生,3.50,0.13,2.9,1,5,IP,6,,G3,5,,G3,6,,G3,F,,G3,3,,IP,3,,IP,3,,IP,5,,IP,6,,IP
202601010607,2026-01-01,06,07R,杉田 篤光,8.60,0.16,3.3,1,,IP,1,,IP,1,,IP,4,2,IP,1,,G3,2,,G3,1,,IP,1,,IP,1,,IP,4,,IP,池田 雄一,7.20,0.18,3.6,2,,IP,4,,IP,3,,IP,2,,IP,2,,IP,4,,IP,2,,IP,1,,IP,3,,IP,1,,G3,星 栄爾,5.10,0.18,2.7,2,,IP,5,,IP,6,,IP,1,4,IP,3,,IP,5,,IP,2,,IP,3,,IP,4,,IP,4,,IP,鈴木 結平太,1.80,0.25,4.0,5,,IP,5,6,IP,5,5,IP,6,,IP,4,5,IP,6,6,IP,5,,IP,6,6,IP,6,6,IP,5,5,IP,伊藤 将吉,5.30,0.16,3.4,2,,IP,5,,IP,2,,IP,1,,IP,4,,IP,2,,IP,6,,IP,2,,IP,6,,G1,6,,G1,堤 昇,3.90,0.18,3.0,5,4,IP,5,5,IP,4,5,IP,4,3,IP,5,,G3,4,5,IP,2,3,IP,5,3,IP,1,3,IP,6,3,G3
202601010608,2026-01-01,06,08R,野末 智一,8.80,0.16,3.2,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,3,,IP,2,,IP,3,,IP,若林 義人,5.40,0.13,2.7,5,,IP,2,,G1,2,,IP,3,,IP,6,,G1,6,,IP,2,,IP,6,,IP,2,,IP,2,,G1,深尾 巴恵,5.89,0.13,1.8,3,,IP,6,,G3,3,,G3,2,,G3,3,,G3,5,,G3,1,,G3,3,,G3,2,,G3,欠,,IP,坪井 康晴,5.80,0.19,4.2,4,,IP,2,,G1,3,,G1,5,,G1,5,,G1,2,,G2,5,,G3,4,,G1,1,,G3,4,,IP,谷野 錬志,6.60,0.13,3.0,2,,G3,4,,G3,3,,IP,2,,IP,3,,IP,3,,IP,2,,IP,5,,IP,1,,IP,2,,IP,藤田 康生,3.20,0.20,3.5,5,,IP,5,,IP,6,,IP,5,,IP,5,,IP,5,,IP,2,,IP,3,,IP,6,,IP,3,,IP
202601010609,2026-01-01,06,09R,山田 雄太,8.80,0.17,3.7,1,,IP,3,,IP,1,,IP,2,,IP,2,,IP,1,,IP,1,,IP,2,,IP,2,,IP,1,,IP,村松 遥輝,4.30,0.18,3.1,4,,IP,3,,IP,5,,IP,2,,IP,6,,IP,3,,IP,3,,IP,3,,IP,5,,IP,5,,IP,吉村 誠,6.30,0.13,2.8,3,,IP,1,,IP,4,,IP,6,,IP,2,,IP,2,2,IP,1,,IP,4,,IP,3,,IP,4,,IP,板橋 侑我,5.90,0.14,3.2,3,,IP,1,,IP,6,,G1,3,,G1,4,,G1,2,,G1,6,,IP,4,,G1,3,,G1,3,,G1,横澤 剛治,5.30,0.19,3.9,2,,IP,2,,G3,1,,IP,3,,IP,6,,G3,3,,G3,4,,IP,5,,IP,4,,IP,5,,IP,宮崎 奏磨,1.00,0.16,3.9,6,,IP,6,,IP,転,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP
202601010610,2026-01-01,06,10R,松下 一也,8.40,0.12,1.6,5,,IP,2,,IP,1,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,3,,IP,土屋 実沙希,6.20,0.18,3.3,5,,IP,2,,IP,4,,IP,2,,IP,1,,IP,5,,IP,1,,IP,2,,IP,5,,G3,2,,G3,柴田 百恵,5.20,0.16,3.8,5,,IP,3,,IP,3,,IP,2,,IP,5,,IP,2,,IP,5,,IP,2,,IP,5,,IP,2,,IP,服部 幸男,6.70,0.16,3.0,3,,IP,2,,IP,2,,G3,1,,G3,5,,G1,3,,G1,2,,IP,6,,IP,2,,G3,2,,G3,服部 剛,4.30,0.22,4.9,3,,IP,4,,IP,5,,IP,4,,IP,3,,IP,4,,IP,6,,IP,5,,IP,2,,IP,3,,IP,鈴木 柊介,2.00,0.16,3.4,6,,IP,6,,IP,4,,IP,6,,IP,4,,IP,6,,IP,6,,IP,4,,IP,5,,IP,6,,IP
