date,jcd,rno,source_type,snapshot_type,source_url,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-07-16,01,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=1,36.2,45.5,104.5,234.2,50.0,439.5,64.1,51.7,175.2,361.1,83.9,1167.0,25.2,21.5,95.1,154.1,72.5,1095.0,142.9,111.0,242.4,374.7,83.1,704.8,55.7,49.8,83.9,183.4,44.1,583.9,95.9,54.9,72.9,217.0,34.6,808.0,54.7,20.5,35.0,73.7,42.6,812.1,246.5,89.1,125.6,175.2,45.7,334.7,148.2,90.5,222.8,421.0,102.3,1176.0,175.6,90.3,133.7,243.9,54.1,549.8,112.8,45.1,93.1,170.7,69.8,969.7,334.0,146.2,254.7,300.7,88.1,579.7,39.6,23.9,76.0,102.7,90.7,1481.0,67.5,18.5,38.6,58.2,52.7,780.4,92.6,27.2,56.4,119.0,100.6,1151.0,133.2,40.3,71.1,62.6,44.2,336.1,334.0,288.2,382.7,465.1,109.8,637.4,603.7,218.2,381.8,243.5,73.2,311.2,451.9,262.7,297.9,450.7,121.3,462.4,305.9,136.4,219.1,156.0,83.1,272.1
2026-07-16,01,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=2,49.8,117.3,52.1,162.8,279.5,215.5,102.3,173.3,54.8,98.1,106.6,104.7,84.4,173.7,26.8,91.8,185.8,209.7,110.8,312.9,53.0,193.9,212.7,167.3,39.2,86.0,71.1,211.4,387.0,363.3,36.2,49.3,50.1,143.6,172.8,208.4,25.1,43.7,39.4,167.4,301.7,382.8,44.8,128.8,89.1,251.8,415.9,298.7,126.8,195.8,62.7,90.9,83.0,111.6,67.2,92.1,68.9,141.0,126.0,159.5,79.4,110.1,22.7,47.5,63.3,109.9,134.8,249.0,58.7,121.3,69.7,82.0,131.6,224.8,25.6,86.9,168.2,358.9,48.1,86.9,36.0,136.0,251.8,441.7,101.9,143.5,20.9,52.2,84.5,197.6,93.5,265.7,24.1,99.9,183.1,250.0,112.8,400.0,80.8,241.2,278.1,295.7,53.9,208.9,108.4,360.4,412.1,395.6,121.1,317.9,81.6,173.7,134.4,132.8,87.2,284.8,44.9,173.5,265.7,238.0
2026-07-16,01,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=3,12.0,23.5,38.0,291.1,626.3,117.2,33.2,39.9,53.9,271.6,447.4,101.4,71.5,89.6,113.6,518.4,723.8,247.5,20.5,33.4,37.2,229.3,352.7,418.1,14.1,29.5,46.1,325.8,737.7,129.9,30.5,39.6,49.0,215.8,491.8,75.6,60.1,105.1,106.5,472.1,838.5,198.0,17.9,23.6,28.0,182.2,400.6,309.3,81.6,106.7,97.3,228.7,601.8,95.4,66.9,77.9,80.6,213.1,509.8,78.9,190.3,251.5,156.4,284.7,755.9,133.0,67.6,80.8,55.6,113.7,286.8,261.4,220.4,282.6,239.4,581.2,1009.0,368.0,169.0,235.7,208.7,466.4,775.0,291.1,360.2,386.5,226.0,516.6,941.4,210.2,153.0,211.3,117.3,263.2,387.5,459.4,47.9,73.5,57.4,243.2,504.8,670.1,43.1,41.6,44.3,181.1,511.5,581.2,95.6,97.1,60.1,144.9,373.3,469.2,156.7,216.4,121.2,266.4,439.7,542.2
2026-07-16,01,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=4,13.6,15.0,26.5,156.3,110.8,817.6,31.9,34.5,57.8,201.7,142.9,901.7,27.0,21.9,44.9,152.0,204.9,1532.0,109.2,99.4,119.4,318.7,253.7,1213.0,15.4,20.2,30.1,161.5,114.0,1038.0,35.3,35.3,39.1,150.8,97.8,595.4,28.2,20.6,23.5,99.2,137.1,1578.0,84.2,91.0,90.7,279.3,242.0,758.6,76.4,92.8,96.8,272.0,166.6,944.9,86.9,74.6,72.6,169.1,107.2,580.1,117.5,63.8,91.4,199.5,254.9,1326.0,221.9,226.4,188.0,386.7,343.0,933.7,58.8,52.1,70.5,132.0,243.9,1502.0,70.0,41.9,37.5,90.1,152.1,1474.0,133.1,72.0,86.9,156.8,280.2,1661.0,205.2,151.2,124.7,143.8,242.7,1360.0,280.2,325.3,290.0,517.3,529.5,1262.0,289.0,254.5,214.9,439.5,440.7,1045.0,469.6,424.2,319.4,534.9,580.1,1143.0,421.9,321.3,277.3,357.8,520.8,1204.0
2026-07-16,01,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=5,56.9,53.3,97.8,58.1,1524.0,407.8,57.9,43.3,72.5,61.8,1425.0,749.3,270.0,266.2,261.7,183.5,1130.0,425.7,109.3,74.0,128.4,66.9,1291.0,1181.0,87.8,56.6,68.9,41.0,1387.0,314.8,83.3,17.5,22.9,19.9,865.5,171.3,282.0,143.5,146.5,86.3,797.1,102.0,157.7,27.6,34.4,16.6,802.0,568.8,76.0,41.6,55.0,48.1,1410.0,633.4,89.7,14.7,24.9,22.8,857.0,190.5,256.1,96.5,120.1,127.2,1057.0,173.1,107.7,13.6,29.2,25.0,1231.0,1016.0,681.1,533.0,540.7,195.8,985.9,303.1,697.5,390.8,380.6,134.8,697.5,94.0,822.1,335.8,375.7,210.8,985.9,157.2,859.8,384.5,464.1,96.5,501.4,434.9,263.5,136.4,217.8,72.4,1533.0,1579.0,341.0,71.3,90.1,25.6,1214.0,1120.0,280.1,42.4,76.1,39.8,1524.0,1448.0,726.4,302.4,393.7,88.1,677.6,695.6
2026-07-16,01,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=6,39.6,334.1,633.0,33.1,129.9,482.6,6.5,76.6,547.0,163.2,557.5,1197.0,9.5,91.5,667.4,24.6,76.1,261.5,33.0,215.0,1056.0,41.3,170.0,527.2,77.9,571.1,786.5,96.2,241.3,878.1,101.3,699.3,881.4,482.6,813.9,2383.0,130.3,718.7,781.2,140.8,299.4,1441.0,153.1,1223.0,1290.0,267.2,603.6,1269.0,5.5,143.2,934.3,573.9,1283.0,1883.0,62.3,650.6,989.8,695.2,953.4,2162.0,6.8,219.1,1133.0,681.0,1497.0,2123.0,17.5,413.4,1319.0,765.8,1567.0,2203.0,17.3,244.8,1262.0,38.7,96.8,295.6,113.7,781.2,1011.0,94.2,226.7,884.8,16.3,318.2,1398.0,326.2,868.3,1962.0,44.0,743.9,1962.0,67.1,173.5,605.1,90.1,746.3,1796.0,95.6,393.2,858.7,227.6,1883.0,2312.0,243.3,837.2,1567.0,57.0,1002.0,1705.0,516.7,1610.0,2485.0,86.0,1173.0,2408.0,129.3,319.5,789.1
2026-07-16,01,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=7,11.6,37.5,11.5,72.8,625.8,1809.0,24.1,56.5,9.1,49.3,368.5,2163.0,83.8,196.2,35.4,190.8,585.3,2551.0,247.9,551.7,130.9,511.1,1442.0,3685.0,6.4,40.6,24.5,124.2,985.1,2618.0,7.2,51.0,29.5,113.0,836.1,3015.0,34.7,167.6,96.0,372.6,1143.0,3980.0,139.7,493.4,291.8,733.4,2003.0,2407.0,26.7,120.3,20.4,56.1,410.0,1854.0,18.2,97.1,29.6,78.8,618.0,2573.0,99.0,323.4,59.1,157.5,675.3,2426.0,377.8,710.7,172.3,317.9,1562.0,3046.0,189.0,553.8,128.0,287.8,779.4,2641.0,122.8,465.6,180.5,414.0,918.5,3316.0,247.9,660.4,170.8,274.8,901.8,2764.0,712.4,1877.0,461.3,750.0,1554.0,4089.0,935.7,1686.0,603.0,1326.0,2573.0,4089.0,554.8,1571.0,907.3,1382.0,3142.0,3778.0,1047.0,1715.0,632.4,927.0,2955.0,5237.0,1477.0,2738.0,1139.0,1500.0,2764.0,4204.0
2026-07-16,01,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=8,35.9,159.4,80.0,120.9,102.6,1106.0,45.2,174.3,30.7,73.8,63.5,755.7,31.6,121.7,24.2,40.5,59.7,755.7,129.5,377.0,70.3,108.4,123.4,866.7,29.3,235.1,172.7,235.1,201.8,1673.0,13.0,300.5,209.1,324.6,347.4,1808.0,10.3,260.2,135.5,135.3,293.9,1715.0,47.6,590.0,349.9,342.1,429.5,1494.0,45.7,302.1,50.3,86.6,90.0,798.8,19.6,408.6,154.1,246.1,248.1,1593.0,17.8,280.2,37.8,66.5,130.9,802.6,74.2,572.9,75.1,131.0,155.9,600.5,36.3,230.0,44.2,40.7,74.0,1201.0,17.4,351.4,125.1,79.6,173.3,1475.0,23.0,356.2,44.5,63.3,127.2,873.5,53.8,499.7,54.3,53.9,123.0,645.5,335.9,873.5,212.3,201.5,243.7,980.4,175.4,1167.0,614.8,369.9,476.3,1578.0,233.7,992.0,191.8,224.2,213.3,646.7,149.6,1060.0,142.5,139.0,253.6,679.4
2026-07-16,01,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=9,22.9,49.1,145.8,22.3,319.0,452.9,13.9,26.9,89.0,53.0,496.2,808.2,52.2,95.2,200.9,32.5,176.2,317.9,55.6,89.0,223.2,27.5,325.6,1001.0,35.6,125.7,197.3,34.0,483.6,570.0,28.8,70.7,94.3,49.4,723.0,690.1,81.8,294.2,346.7,50.6,283.9,281.0,96.4,216.3,285.9,35.0,515.9,967.3,13.8,41.9,130.4,108.6,880.6,1066.0,26.0,57.8,110.7,77.1,1063.0,788.9,39.5,96.5,230.3,152.5,606.1,559.5,29.3,61.7,150.6,92.1,1076.0,1581.0,117.3,246.9,496.8,29.2,128.9,273.0,208.3,488.2,604.1,31.7,119.4,210.8,117.8,218.3,457.5,94.2,312.2,398.3,186.1,325.6,639.2,23.8,87.7,322.1,143.4,262.0,575.4,43.2,495.5,702.1,230.3,413.3,569.1,38.1,574.5,1098.0,114.6,176.7,271.0,86.7,935.0,1616.0,271.6,630.3,909.2,41.2,219.7,539.6
2026-07-16,01,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260716&jcd=01&rno=10,8.9,17.0,10.8,386.8,879.6,638.9,56.5,81.5,27.3,277.1,788.9,495.9,74.7,121.0,36.7,628.9,1454.0,2234.0,51.9,67.6,20.5,619.1,1359.0,2698.0,6.4,19.1,14.3,469.1,1009.0,799.9,22.5,46.1,38.3,271.9,793.8,493.1,30.7,71.1,49.0,659.9,1814.0,1674.0,20.0,37.0,23.8,528.6,1505.0,1658.0,138.4,230.0,57.8,223.6,780.7,483.5,102.4,152.0,60.6,216.7,765.7,448.1,282.2,441.6,96.2,319.2,1471.0,1216.0,254.0,277.4,68.6,272.7,1054.0,1430.0,232.1,389.7,111.1,1082.0,2099.0,2861.0,180.3,292.5,114.5,866.4,2082.0,2215.0,439.0,723.2,157.4,783.0,1753.0,1853.0,354.2,475.1,117.1,878.1,1814.0,2909.0,180.3,249.2,59.6,991.8,2034.0,2992.0,107.7,129.9,60.1,872.2,2160.0,2712.0,413.6,538.5,122.4,666.7,1685.0,2142.0,429.2,601.3,149.3,1208.0,2108.0,2892.0
