pre_cut,post_cut,split_post,target_high_p4,target_low_p4,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.25,0.24,0.28,8.0,8.0,161,2.950310559006211,6.870580136916475,13.664596273291925,92.99875776397515,-112720.0,130,89.56076923076922,13.076923076923078
0.25,0.24,0.28,8.0,8.5,161,2.900621118012422,6.98088680128887,13.043478260869565,90.4527950310559,-153710.0,130,86.4076923076923,12.307692307692308
0.25,0.24,0.28,8.0,9.0,161,2.869565217391304,7.043677430065538,13.043478260869565,91.2664596273292,-140610.0,130,87.41538461538461,12.307692307692308
0.25,0.24,0.28,8.0,9.5,161,2.8385093167701863,7.105812037073136,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.0,10.0,161,2.8322981366459627,7.122841589516484,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.0,10.5,161,2.8198757763975157,7.16096134495292,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.0,11.0,161,2.7950310559006213,7.24072643403013,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.0,11.5,161,2.782608695652174,7.273463354506282,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.0,12.0,161,2.7763975155279503,7.321434483299675,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.0,12.5,161,2.751552795031056,7.4488140006132095,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.0,13.0,161,2.732919254658385,7.5029630764941375,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.0,13.5,161,2.720496894409938,7.56075828633771,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.0,14.0,161,2.720496894409938,7.56075828633771,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.5,8.5,161,2.7950310559006213,7.231971233319147,13.043478260869565,90.4527950310559,-153710.0,130,86.4076923076923,12.307692307692308
0.25,0.24,0.28,8.5,9.0,161,2.7639751552795033,7.294761862095813,13.043478260869565,91.2664596273292,-140610.0,130,87.41538461538461,12.307692307692308
0.25,0.24,0.28,8.5,9.5,161,2.732919254658385,7.35689646910341,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.5,10.0,161,2.7267080745341614,7.373926021546758,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.5,10.5,161,2.7142857142857144,7.412045776983194,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.5,11.0,161,2.68944099378882,7.491810866060405,13.043478260869565,94.58757763975156,-87140.0,130,91.52846153846154,12.307692307692308
0.25,0.24,0.28,8.5,11.5,161,2.6770186335403725,7.524547786536558,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.5,12.0,161,2.670807453416149,7.572518915329951,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.5,12.5,161,2.6459627329192545,7.699898432643484,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.5,13.0,161,2.627329192546584,7.754047508524414,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.5,13.5,161,2.6149068322981366,7.811842718367986,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,8.5,14.0,161,2.6149068322981366,7.811842718367986,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.28,9.0,9.0,161,2.658385093167702,7.606511264008255,13.043478260869565,94.97329192546584,-80930.0,130,92.00615384615385,12.307692307692308
0.25,0.24,0.28,9.0,9.5,161,2.627329192546584,7.668645871015854,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.28,9.0,10.0,161,2.62111801242236,7.685675423459203,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.28,9.0,10.5,161,2.608695652173913,7.723795178895637,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.28,9.0,11.0,161,2.5838509316770186,7.803560267972848,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
