gate,threshold,n,floor,month,base_R,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct,R,return_yen,profit_yen,roi_pct
MIN_RATIO,1.0,4,5.0,2026-05,3,0.0,1,0.0,-10000.0,0.0,4,0.0,-40000.0,0.0
MIN_RATIO,1.0,4,5.0,2026-06,2,0.0,3,57960.00000000001,27960.000000000007,193.20000000000002,5,57960.00000000001,7960.000000000007,115.92000000000002
MIN_RATIO,1.0,4,5.5,2026-04,5,576.94,4,0.0,-40000.0,0.0,9,288470.0,198470.0,320.52222222222224
MIN_RATIO,1.0,4,5.5,2026-05,3,0.0,1,0.0,-10000.0,0.0,4,0.0,-40000.0,0.0
MIN_RATIO,1.0,4,5.5,2026-06,2,0.0,3,57960.00000000001,27960.000000000007,193.20000000000002,5,57960.00000000001,7960.000000000007,115.92000000000002
MIN_RATIO,1.0,4,6.0,2026-04,5,576.94,3,0.0,-30000.0,0.0,8,288470.0,208470.0,360.5875
MIN_RATIO,1.0,4,6.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,4,6.0,2026-06,2,0.0,1,0.0,-10000.0,0.0,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,4,6.5,2026-04,5,576.94,1,0.0,-10000.0,0.0,6,288470.0,228470.0,480.78333333333336
MIN_RATIO,1.0,4,6.5,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,4,6.5,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,4,7.0,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,4,7.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,4,7.0,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,5,4.5,2026-04,5,576.94,4,0.0,-40000.0,0.0,9,288470.0,198470.0,320.52222222222224
MIN_RATIO,1.0,5,4.5,2026-05,3,0.0,2,0.0,-20000.0,0.0,5,0.0,-50000.0,0.0
MIN_RATIO,1.0,5,4.5,2026-06,2,0.0,3,49910.00000000001,19910.000000000007,166.3666666666667,5,49910.00000000001,-89.99999999999272,99.82000000000002
MIN_RATIO,1.0,5,5.0,2026-04,5,576.94,3,0.0,-30000.0,0.0,8,288470.0,208470.0,360.5875
MIN_RATIO,1.0,5,5.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,5,5.0,2026-06,2,0.0,2,49910.00000000001,29910.000000000007,249.55000000000004,4,49910.00000000001,9910.000000000007,124.77500000000002
MIN_RATIO,1.0,5,5.5,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,5,5.5,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,5,5.5,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,5,6.0,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,5,6.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,5,6.0,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,5,6.5,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,5,6.5,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,5,6.5,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,5,7.0,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,5,7.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,5,7.0,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,6,4.5,2026-04,5,576.94,3,0.0,-30000.0,0.0,8,288470.0,208470.0,360.5875
MIN_RATIO,1.0,6,4.5,2026-05,3,0.0,1,0.0,-10000.0,0.0,4,0.0,-40000.0,0.0
MIN_RATIO,1.0,6,4.5,2026-06,2,0.0,2,46690.00000000001,26690.000000000007,233.45000000000005,4,46690.00000000001,6690.000000000007,116.72500000000002
MIN_RATIO,1.0,6,5.0,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,6,5.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,6,5.0,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,6,5.5,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,6,5.5,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,6,5.5,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,6,6.0,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,6,6.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,6,6.0,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,6,6.5,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,6,6.5,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,6,6.5,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,6,7.0,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,6,7.0,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
MIN_RATIO,1.0,6,7.0,2026-06,2,0.0,0,0.0,0.0,,2,0.0,-20000.0,0.0
MIN_RATIO,1.0,8,4.5,2026-04,5,576.94,0,0.0,0.0,,5,288470.0,238470.0,576.94
MIN_RATIO,1.0,8,4.5,2026-05,3,0.0,0,0.0,0.0,,3,0.0,-30000.0,0.0
