combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-1-2,0.009761967829459917,2026-08-05,0.4900507850388879,0,0.05606424811078367,3まくり差しv29,50.2,0.14953245057063663,202608050910,0,1100,48
3-2-4,0.002840445195857829,2026-08-05,0.6586992409194306,0,0.012136374537133851,3まくり差しv29,231.9,0.043509540112028,202608050910,0,400,14
3-2-1,0.002644046375863926,2026-08-05,0.4865045331589624,0,0.015295789430224674,3まくり差しv29,184.0,0.04050113060321542,202608050910,0,400,13
3-6-4,0.0008194162741576728,2026-08-05,0.27638910927338306,0,0.008343982375218915,3まくり差しv29,337.3,0.012551703268523924,202608050910,0,200,4
3-4-2,0.006743030890544184,2026-08-05,1.2643182919770346,0,0.0114855998445001,3直まくりv29,187.5,0.07696721179574041,202608051004,0,800,26
3-4-6,0.00648818283847391,2026-08-05,1.0569249843874,0,0.013220073485842657,3直まくりv29,162.9,0.07405829081972488,202608051004,0,800,25
3-1-5,0.0063403140237332034,2026-08-05,0.04311413536138578,0,0.31669852512408364,3直まくりv29,6.8,0.07237046666959487,202608051004,0,800,22
3-2-4,0.005981811065018269,2026-08-05,0.7040591623526502,0,0.018296941128664135,3直まくりv29,117.7,0.06827839389094191,202608051004,0,800,23
3-4-1,0.005762314218422521,2026-08-05,0.3342142246685062,0,0.037130171911099456,3直まくりv29,58.0,0.06577298340793154,202608051004,0,700,22
3-4-5,0.005229175192740833,2026-08-05,0.38486729418572524,0,0.02926018982124686,3直まくりv29,73.6,0.05968755610197632,202608051004,0,700,20
3-6-2,0.002593727599117344,2026-08-05,1.2302050002613563,0,0.0045404806469402665,3直まくりv29,474.3,0.029605675059514808,202608051004,0,400,10
3-4-2,0.011277678895062697,2026-08-05,0.3462247420784248,0,0.09107571743168619,3直まくりv29,30.7,0.13777631824460565,202608051010,0,1100,26
3-4-6,0.01116923627426837,2026-08-05,0.1697723913688792,0,0.18394898191794512,3直まくりv29,15.2,0.13645150440898746,202608051010,0,1000,25
3-2-4,0.010039133899678905,2026-08-05,0.2831035759709451,0,0.09914980585648107,3直まくりv29,28.2,0.12264535281882401,202608051010,0,1000,23
3-5-2,0.008153111169868818,2026-08-05,0.5641952929549222,0,0.0404049786871787,3直まくりv29,69.2,0.099604329018028,202608051010,0,800,19
3-5-4,0.006132308696953155,2026-08-05,0.2569437344023372,0,0.0667308955883715,3直まくりv29,41.9,0.0749167379624071,202608051010,0,600,14
3-2-5,0.00488897556100376,2026-08-05,0.18626996887424327,0,0.07338647047645055,3直まくりv29,38.1,0.05972727713304953,202608051010,0,500,11
3-4-2,0.006953868212432204,2026-08-05,0.7113807181318145,0,0.022052898300001237,3直まくりv29,102.3,0.0772165875705015,202608051707,0,400,26
3-4-6,0.00680169952979209,2026-08-05,0.2033708159407835,0,0.07545188950134202,3直まくりv29,29.9,0.07552688824781927,202608051707,0,400,25
3-2-4,0.006142434667232587,2026-08-05,0.9090803307504229,0,0.015243320919527882,3直まくりv29,148.0,0.06820633205709799,202608051707,0,400,23
3-4-1,0.005975383727831287,2026-08-05,0.21869904443862512,0,0.06163965836311821,3直まくりv29,36.6,0.06635137836845116,202608051707,0,400,22
3-1-5,0.005887814070342018,2026-08-05,0.6500146733657588,0,0.020434886739946798,3直まくりv29,110.4,0.06537899437734386,202608051707,0,400,22
3-4-5,0.005327935062786222,2026-08-05,1.719324644761114,0,0.006991048949767978,3直まくりv29,322.7,0.05916203065368183,202608051707,0,400,20
3-1-2,0.00513168625874186,2026-08-05,0.29199294812241183,0,0.03964870819139063,3直まくりv29,56.9,0.05698286037029829,202608051707,0,300,19
