floor,layer,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct,max_drawdown_yen,max_consecutive_misses,max_consecutive_losing_bets,worst_5bet_pnl_yen,worst_10bet_pnl_yen
6.0,A,26,14,7,53.84615384615385,26.923076923076923,8.587955711537749,644860.0,384860.0,248.02307692307693,50000.0,5,5,-50000.0,-27280.0
6.0,S,14,6,3,42.857142857142854,21.428571428571427,8.009620505686271,288470.0,148470.0,206.05,60000.0,6,6,-50000.0,188470.0
7.0,A,18,12,6,66.66666666666666,33.33333333333333,9.5423826478895,582280.0,402280.0,323.4888888888889,40000.0,4,4,22720.0,60120.0
7.0,S,10,6,3,60.0,30.0,8.689359116845344,288470.0,188470.0,288.47,50000.0,5,5,-50000.0,188470.0
8.0,A,14,10,5,71.42857142857143,35.714285714285715,10.11649076740926,509560.0,369560.0,363.9714285714286,50000.0,5,5,-50000.0,120570.0
8.0,S,7,5,3,71.42857142857143,42.857142857142854,9.343760286242091,288470.0,218470.0,412.1,30000.0,3,3,141810.0,
