actual2,R,top1,top2,top3,exact3
2,114,0.6929824561403509,0.9912280701754386,0.9912280701754386,0.6754385964912281
3,89,0.47191011235955055,0.8314606741573034,0.9775280898876404,0.48314606741573035
4,42,0.16666666666666666,0.40476190476190477,0.8095238095238095,0.19047619047619047
5,32,0.0,0.1875,0.46875,0.125
6,13,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693
