1ブロック力,1ブロック成功指数,1対3圧力,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,ST接近度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,まくり差し指数v28,差し場生成指数,直まくり指数,直まくり指数v28
0.546,0.349,0.0,0.572,0.428,1.0,0.53,0.5,0.763,0.0,0,5.05,2026-08-09,0,3直まくりv28,0.0764,07R,202608090307,0,78.27,7,03,0.407,0.191,0.259,0.768,0.783
0.767,0.574,0.86,0.67,0.33,0.668,0.55,0.7,0.612,0.474,0,5.62,2026-08-09,0,3直まくりv28,0.0753,05R,202608091205,0,59.33,20,12,0.739,0.599,0.729,0.645,0.593
0.767,0.574,0.86,0.67,0.33,0.668,0.55,0.7,0.612,0.474,0,5.62,2026-08-09,0,3まくり差しv28,0.1016,05R,202608091205,0,59.88,20,12,0.739,0.599,0.729,0.645,0.593
0.848,0.751,1.0,0.609,0.391,0.524,0.88,1.0,0.755,0.924,0,5.01,2026-08-09,0,3まくり差しv28,0.0461,08R,202608091208,0,72.29,18,12,0.888,0.723,0.883,0.651,0.558
0.755,0.65,0.95,0.45,0.55,0.65,0.87,0.9,0.803,0.533,0,5.03,2026-08-09,0,3まくり差しv28,0.0529,04R,202608091804,0,64.31,12,18,0.803,0.643,0.758,0.635,0.591
0.701,0.346,0.387,0.817,0.183,0.841,0.5,0.5,0.828,0.0,0,5.02,2026-08-09,0,3直まくりv28,0.0959,07R,202608092307,0,71.57,7,23,0.565,0.388,0.459,0.721,0.716
0.617,0.471,0.501,0.572,0.428,0.734,0.47,0.5,0.677,0.27,0,5.12,2026-08-10,0,3直まくりv28,0.0754,04R,202608100304,0,59.68,10,03,0.57,0.419,0.499,0.616,0.597
0.83,0.478,1.0,0.866,0.134,0.734,0.455,0.856,0.682,0.268,0,5.02,2026-08-10,0,3直まくりv28,0.076,12R,202608100512,0,61.04,8,05,0.776,0.673,0.823,0.636,0.61
0.83,0.478,1.0,0.866,0.134,0.734,0.455,0.856,0.682,0.268,0,5.03,2026-08-10,1,3まくり差しv28,0.045,12R,202608100512,0,67.3,3,05,0.776,0.673,0.823,0.636,0.61
0.647,0.526,0.774,0.633,0.367,0.676,0.349,0.78,0.641,0.451,0,5.09,2026-08-10,0,3まくり差しv28,0.1005,04R,202608101404,0,60.16,20,14,0.731,0.602,0.704,0.636,0.587
0.763,0.434,0.235,0.597,0.403,0.848,0.375,0.591,0.84,0.0,0,5.07,2026-08-10,0,3直まくりv28,0.0962,05R,202608101405,0,70.1,7,14,0.558,0.33,0.366,0.726,0.701
0.83,0.505,0.498,0.621,0.379,0.775,0.5,0.5,0.666,0.141,0,5.66,2026-08-10,0,3直まくりv28,0.0796,05R,202608102105,0,62.66,20,21,0.581,0.393,0.486,0.656,0.627
0.737,0.433,0.491,0.56,0.44,0.841,0.343,0.57,1.0,0.0,0,5.11,2026-08-10,0,3直まくりv28,0.0958,07R,202608102307,0,71.51,8,23,0.644,0.42,0.444,0.742,0.715
0.553,0.393,0.397,0.756,0.244,0.734,0.303,0.105,0.598,0.27,0,5.03,2026-08-11,0,3直まくりv28,0.0789,03R,202608110503,0,62.53,10,05,0.49,0.346,0.424,0.65,0.625
0.712,0.429,1.0,0.866,0.134,0.734,0.243,0.77,0.73,0.268,1,5.01,2026-08-11,0,3直まくりv28,0.0884,09R,202608110509,27900,65.01,10,05,0.801,0.697,0.804,0.69,0.65
0.712,0.429,1.0,0.866,0.134,0.734,0.243,0.77,0.73,0.268,0,5.01,2026-08-11,0,3まくり差しv28,0.0461,09R,202608110509,0,69.69,7,05,0.801,0.697,0.804,0.69,0.65
0.805,0.506,0.777,0.646,0.354,0.757,0.5,0.5,0.933,0.198,1,5.01,2026-08-11,0,3直まくりv28,0.0953,07R,202608110707,8520,69.22,8,07,0.727,0.54,0.598,0.735,0.692
0.832,0.714,0.843,0.658,0.342,0.55,0.859,0.8,0.691,0.842,0,7.94,2026-08-11,0,3まくり差しv28,0.0738,11R,202608111311,0,62.98,20,13,0.785,0.63,0.813,0.607,0.535
0.636,0.37,0.326,0.633,0.367,0.899,0.5,0.5,0.699,0.0,0,5.04,2026-08-11,0,3直まくりv28,0.0956,03R,202608111903,0,71.21,10,19,0.502,0.306,0.385,0.711,0.712
0.496,0.517,0.78,0.448,0.552,0.673,0.834,0.99,0.858,0.46,0,5.05,2026-08-11,0,3まくり差しv28,0.0428,10R,202608112310,0,65.55,10,23,0.787,0.656,0.706,0.685,0.658
0.754,0.478,0.677,1.0,0.0,0.666,0.777,0.429,0.749,0.48,0,5.02,2026-08-12,0,3直まくりv28,0.0961,05R,202608120605,0,70.8,12,06,0.706,0.577,0.695,0.75,0.708
0.607,0.385,0.416,0.536,0.464,0.876,0.253,0.57,0.761,0.0,0,5.0,2026-08-12,0,3直まくりv28,0.0945,02R,202608120702,0,68.45,15,07,0.558,0.355,0.406,0.698,0.685
0.884,0.591,1.0,0.572,0.428,0.726,0.63,0.9,0.869,0.293,0,7.72,2026-08-12,0,3直まくりv28,0.0911,12R,202608121312,0,65.67,20,13,0.843,0.678,0.761,0.707,0.657
0.884,0.591,1.0,0.572,0.428,0.726,0.63,0.9,0.869,0.293,0,7.72,2026-08-12,0,3まくり差しv28,0.0454,12R,202608121312,0,67.77,20,13,0.843,0.678,0.761,0.707,0.657
0.788,0.656,1.0,0.375,0.625,0.678,0.803,0.905,0.78,0.445,0,5.06,2026-08-12,0,3まくり差しv28,0.0554,03R,202608122103,0,64.17,12,21,0.813,0.642,0.74,0.648,0.599
0.812,0.68,1.0,0.522,0.478,0.624,0.68,0.8,0.795,0.612,0,5.0,2026-08-13,0,3まくり差しv28,0.0432,09R,202608131309,0,65.87,5,13,0.828,0.659,0.787,0.645,0.579
0.56,0.362,0.0,0.558,0.442,0.824,0.5,0.5,0.79,0.0,0,5.03,2026-08-14,0,3直まくりv28,0.0964,02R,202608140602,0,70.35,6,06,0.468,0.265,0.271,0.714,0.704
0.743,0.404,0.352,0.67,0.33,0.899,0.249,0.381,0.646,0.0,0,5.04,2026-08-14,0,3直まくりv28,0.0936,09R,202608141009,0,67.42,10,10,0.486,0.278,0.378,0.688,0.674
0.552,0.355,0.175,0.56,0.44,0.95,0.811,0.619,0.866,0.0,0,5.04,2026-08-15,0,3直まくりv28,0.0751,06R,202608150506,0,80.39,7,05,0.502,0.294,0.341,0.787,0.804
0.825,0.556,1.0,0.67,0.33,0.71,0.5,0.5,0.798,0.345,1,5.02,2026-08-15,1,3直まくりv28,0.0795,09R,202608150509,186880,62.64,14,05,0.756,0.599,0.708,0.673,0.626
0.825,0.556,1.0,0.67,0.33,0.71,0.5,0.5,0.798,0.345,0,5.04,2026-08-15,0,3まくり差しv28,0.1016,09R,202608150509,0,59.87,7,05,0.756,0.599,0.708,0.673,0.626
0.481,0.343,0.472,0.523,0.477,0.817,0.3,0.666,0.736,0.01,1,5.2,2026-08-15,1,3直まくりv28,0.0929,10R,202608151010,44680,66.55,20,10,0.594,0.432,0.463,0.676,0.665
0.68,0.344,0.099,0.792,0.208,0.891,0.751,0.62,0.486,0.0,1,5.02,2026-08-15,0,3直まくりv28,0.0961,07R,202608151107,13300,70.72,11,11,0.43,0.261,0.376,0.694,0.707
0.761,0.691,0.914,0.58,0.42,0.575,0.223,0.57,0.643,0.767,0,5.02,2026-08-15,0,3まくり差しv28,0.1056,08R,202608152208,0,59.3,11,22,0.76,0.593,0.752,0.584,0.493
0.29,0.218,0.0,0.658,0.342,1.0,0.252,0.486,0.692,0.0,0,5.15,2026-08-15,0,3直まくりv28,0.0811,05R,202608152405,0,77.2,6,24,0.389,0.222,0.278,0.752,0.772
0.736,0.432,0.127,0.56,0.44,0.891,0.68,0.8,0.575,0.0,1,5.05,2026-08-16,0,3直まくりv28,0.094,02R,202608160102,18750,67.67,15,01,0.474,0.272,0.365,0.672,0.677
0.532,0.612,0.6,0.375,0.625,0.616,0.533,0.97,0.889,0.638,0,5.01,2026-08-16,0,3まくり差しv28,0.108,06R,202608160506,0,58.83,9,05,0.747,0.588,0.655,0.611,0.56
0.842,0.743,1.0,0.546,0.454,0.56,0.783,0.705,0.735,0.814,0,5.0,2026-08-16,0,3まくり差しv28,0.0528,08R,202608160708,0,64.32,9,07,0.819,0.643,0.811,0.62,0.538
0.78,0.652,1.0,0.45,0.55,0.657,0.877,0.895,0.7,0.508,0,5.0,2026-08-16,0,3まくり差しv28,0.0805,02R,202608161702,0,62.56,8,17,0.776,0.626,0.769,0.591,0.555
