1ブロック力,1ブロック成功指数,1対3圧力,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,ST接近度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,まくり差し指数v28,差し場生成指数,直まくり指数,直まくり指数v28
0.889,0.63,1.0,0.658,0.342,0.667,0.834,0.99,0.882,0.479,0,5.07,2026-08-27,0,3直まくりv28,0.0932,09R,202608270909,0,66.72,13,09,0.891,0.734,0.839,0.726,0.667
0.889,0.63,1.0,0.658,0.342,0.667,0.834,0.99,0.882,0.479,0,5.04,2026-08-27,0,3まくり差しv28,0.0461,09R,202608270909,0,73.39,9,09,0.891,0.734,0.839,0.726,0.667
0.882,0.751,1.0,0.548,0.452,0.573,0.69,0.9,0.705,0.771,0,5.03,2026-08-27,0,3まくり差しv28,0.0438,09R,202608271309,0,66.12,12,13,0.824,0.661,0.846,0.573,0.499
0.736,0.443,0.0,0.523,0.477,1.0,0.348,0.115,0.935,0.0,0,5.08,2026-08-27,0,3直まくりv28,0.0813,10R,202608271410,0,77.13,6,14,0.377,0.099,0.161,0.775,0.771
0.861,0.764,1.0,0.56,0.44,0.533,0.383,0.97,0.891,0.896,0,5.06,2026-08-27,0,3まくり差しv28,0.0461,12R,202608271412,0,72.79,13,14,0.908,0.728,0.869,0.623,0.514
0.833,0.682,1.0,0.45,0.55,0.65,0.5,0.5,0.825,0.531,0,5.05,2026-08-28,0,3まくり差しv28,0.116,04R,202608280504,0,57.44,10,05,0.77,0.574,0.687,0.637,0.567
0.558,0.308,0.365,0.792,0.208,0.809,0.966,0.81,0.728,0.035,0,5.01,2026-08-28,0,3直まくりv28,0.0837,03R,202608280903,0,76.39,13,09,0.61,0.478,0.533,0.754,0.764
0.851,0.707,0.99,0.694,0.306,0.557,0.549,0.98,0.918,0.823,0,5.01,2026-08-28,0,3まくり差しv28,0.0461,03R,202608281103,0,77.06,10,11,0.931,0.771,0.909,0.68,0.585
0.64,0.392,0.0,0.56,0.44,1.0,0.27,0.3,0.655,0.0,0,5.06,2026-08-28,0,3直まくりv28,0.0937,02R,202608281302,0,67.05,8,13,0.31,0.088,0.212,0.65,0.671
0.598,0.42,0.638,0.67,0.33,0.749,0.5,0.5,0.799,0.221,0,5.02,2026-08-28,0,3直まくりv28,0.0946,03R,202608282303,0,68.53,7,23,0.659,0.509,0.562,0.712,0.685
0.785,0.487,0.874,0.768,0.232,0.734,0.665,0.144,0.576,0.268,0,5.07,2026-08-29,0,3直まくりv28,0.0781,10R,202608291110,0,62.16,17,11,0.599,0.453,0.598,0.644,0.622
0.694,0.425,0.143,0.523,0.477,0.882,0.826,0.611,0.563,0.0,0,5.01,2026-08-29,0,3直まくりv28,0.0952,09R,202608291409,0,69.14,8,14,0.444,0.235,0.319,0.683,0.691
0.846,0.696,1.0,0.511,0.489,0.625,0.5,0.5,0.908,0.608,0,5.01,2026-08-29,0,3まくり差しv28,0.1,11R,202608291911,0,60.38,12,19,0.802,0.604,0.718,0.656,0.578
0.885,0.509,0.806,0.536,0.464,0.817,0.68,0.135,0.683,0.01,0,5.01,2026-08-30,0,3直まくりv28,0.0906,07R,202608300707,0,65.54,13,07,0.576,0.353,0.463,0.677,0.655
0.805,0.459,0.0,0.571,0.429,0.959,0.776,0.429,0.535,0.0,1,5.02,2026-08-30,0,3直まくりv28,0.0964,04R,202608301704,6600,70.35,14,17,0.347,0.114,0.243,0.689,0.703
0.859,0.677,0.976,0.45,0.55,0.665,0.68,0.8,0.726,0.483,0,8.33,2026-08-30,0,3まくり差しv28,0.1003,11R,202608301711,0,60.24,20,17,0.774,0.602,0.736,0.605,0.553
0.841,0.502,1.0,0.646,0.354,0.775,0.5,0.5,0.807,0.139,0,5.01,2026-08-30,1,3直まくりv28,0.094,03R,202608302103,0,67.79,14,21,0.751,0.571,0.663,0.718,0.678
0.815,0.464,0.912,0.743,0.257,0.775,0.5,0.5,0.685,0.139,0,5.85,2026-08-30,0,3直まくりv28,0.0941,09R,202608302109,0,68.04,20,21,0.716,0.554,0.658,0.718,0.68
0.42,0.248,0.076,0.743,0.257,0.891,0.492,0.486,0.603,0.0,0,5.03,2026-08-31,0,3直まくりv28,0.0949,03R,202608310403,0,68.77,9,04,0.392,0.244,0.326,0.66,0.688
0.783,0.565,1.0,0.67,0.33,0.684,0.309,0.38,0.911,0.426,0,5.07,2026-08-31,0,3直まくりv28,0.0813,09R,202608310609,0,63.09,6,06,0.777,0.607,0.698,0.693,0.631
0.576,0.325,0.26,0.853,0.147,0.783,0.209,0.581,0.754,0.117,0,5.41,2026-09-01,0,3直まくりv28,0.0963,05R,202609010505,0,70.02,20,05,0.584,0.44,0.479,0.728,0.7
0.524,0.282,0.173,0.78,0.22,0.917,0.429,0.315,0.551,0.0,0,5.05,2026-09-01,0,3直まくりv28,0.0956,01R,202609010601,0,71.99,7,06,0.405,0.235,0.331,0.711,0.72
0.282,0.245,0.0,0.548,0.452,1.0,0.56,0.865,0.548,0.0,0,5.02,2026-09-01,1,3直まくりv28,0.0964,02R,202609010602,0,70.54,10,06,0.37,0.233,0.333,0.653,0.705
0.592,0.509,0.793,0.658,0.342,0.664,0.329,0.58,0.744,0.488,1,5.04,2026-09-01,0,3直まくりv28,0.0755,05R,202609010605,10000,60.43,9,06,0.722,0.587,0.68,0.653,0.604
0.592,0.509,0.793,0.658,0.342,0.664,0.329,0.58,0.744,0.488,1,5.13,2026-09-01,0,3まくり差しv28,0.1095,05R,202609010605,20000,58.73,6,06,0.722,0.587,0.68,0.653,0.604
0.75,0.501,0.386,0.609,0.391,0.749,0.5,0.5,0.858,0.223,0,5.1,2026-09-01,1,3直まくりv28,0.0935,03R,202609011203,0,67.19,5,12,0.613,0.42,0.46,0.711,0.672
0.793,0.443,0.263,0.633,0.367,0.816,0.41,0.5,0.553,0.012,0,9.25,2026-09-01,0,3直まくりv28,0.0818,10R,202609011210,0,63.28,20,12,0.496,0.299,0.384,0.657,0.633
0.857,0.635,1.0,0.536,0.464,0.682,1.0,1.0,0.892,0.431,0,5.01,2026-09-01,0,3直まくりv28,0.0935,12R,202609011612,0,67.21,13,16,0.873,0.708,0.8,0.72,0.672
0.857,0.635,1.0,0.536,0.464,0.682,1.0,1.0,0.892,0.431,0,5.01,2026-09-01,0,3まくり差しv28,0.0461,12R,202609011612,0,70.81,12,16,0.873,0.708,0.8,0.72,0.672
0.825,0.579,1.0,0.682,0.318,0.684,0.251,0.485,0.74,0.426,0,5.05,2026-09-01,0,3まくり差しv28,0.1051,12R,202609012012,0,59.57,17,20,0.751,0.596,0.724,0.635,0.575
0.85,0.672,1.0,0.45,0.55,0.667,0.871,0.619,0.828,0.479,0,9.79,2026-09-01,0,3まくり差しv28,0.1033,10R,202609012110,0,59.71,20,21,0.787,0.597,0.703,0.676,0.62
0.428,0.303,0.0,0.56,0.44,1.0,0.5,0.5,0.563,0.0,1,5.09,2026-09-01,0,3直まくりv28,0.0963,05R,202609012405,16260,70.29,8,24,0.323,0.145,0.256,0.664,0.703
0.608,0.385,0.0,0.536,0.464,0.966,0.79,0.7,0.614,0.0,0,5.03,2026-09-02,1,3直まくりv28,0.0963,08R,202609021308,0,69.97,7,13,0.374,0.179,0.293,0.662,0.7
0.799,0.635,0.804,0.45,0.55,0.682,0.87,0.9,0.755,0.432,0,5.02,2026-09-02,0,3まくり差しv28,0.1094,10R,202609021810,0,58.75,10,18,0.755,0.588,0.689,0.644,0.604
