month,date,race_code,p3head,lambda,points,head3,pair_rank,pair_hit,actual_combo,pair_train_3wins,odds_source,hit,composite_odds,cost,return_yen,profit,actual_stake,wf_selected,regime,realized_profit,p_band,comp_band
2025-12,2025-12-01,202512010603,0.3212482294533575,1.0,10,0,0,0,2-1-5,454,official_closing,0,2.621556575715589,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-01,202512011509,0.3070531143537309,1.0,10,1,1,1,3-1-5,454,official_closing,1,2.891664821569976,10000,28200.0,18200.0,2000,1,Dec-Jun,18200.0,.30-.35,<3
2025-12,2025-12-01,202512012106,0.3735943006090595,1.0,10,0,0,0,1-4-2,454,official_closing,0,1.70330828571586,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.35-.40,<3
2025-12,2025-12-03,202512031301,0.3326643063300444,1.0,10,0,0,0,1-3-2,454,official_closing,0,1.6812453024522866,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-03,202512031304,0.3854373840617575,1.0,10,0,0,0,4-3-5,454,official_closing,0,2.059282427145598,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.35-.40,<3
2025-12,2025-12-03,202512031708,0.3227524109761022,1.0,10,0,0,0,4-3-6,454,official_closing,0,2.128531579424831,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-03,202512031709,0.3856852840822046,1.0,10,1,8,1,3-2-5,454,official_closing,1,1.8769279580217824,10000,18720.0,8720.0,900,1,Dec-Jun,8720.0,.35-.40,<3
2025-12,2025-12-03,202512032108,0.3741092490306074,1.0,10,1,10,1,3-2-1,454,official_closing,1,1.9701923289273804,10000,20300.0,10300.0,1000,1,Dec-Jun,10300.0,.35-.40,<3
2025-12,2025-12-04,202512041108,0.3219580964333001,1.0,10,0,0,0,6-4-5,454,official_closing,0,2.223054214317957,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-04,202512041402,0.3137408067041211,1.0,10,0,0,0,6-4-2,454,official_closing,0,20.192608158138988,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-04,202512041504,0.3129892044103559,1.0,10,0,0,0,1-2-3,454,official_closing,0,5.787072109221807,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,5-7
2025-12,2025-12-05,202512051108,0.3253314527217538,1.0,10,1,6,1,3-4-2,454,official_closing,1,3.0529347604720343,10000,29800.0,19800.0,1000,1,Dec-Jun,19800.0,.30-.35,3-4
2025-12,2025-12-05,202512051505,0.3225910231341612,1.0,10,0,0,0,4-5-6,454,official_closing,0,4.431303559902553,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,4-5
2025-12,2025-12-07,202512070903,0.3020033244993941,1.0,10,0,0,0,2-1-6,454,official_closing,0,3.70932854761176,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-07,202512071305,0.3186821647737141,1.0,10,0,0,0,1-4-3,454,official_closing,0,2.2404872296170426,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-07,202512071307,0.3196308275084378,1.0,10,1,2,1,3-1-4,454,official_closing,1,2.00536283320702,10000,19400.0,9400.0,1000,1,Dec-Jun,9400.0,.30-.35,<3
2025-12,2025-12-07,202512071810,0.3248899087121764,1.0,10,0,0,0,1-4-6,454,official_closing,0,2.123608597495017,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-08,202512080906,0.3834292078708788,1.0,10,0,0,0,1-4-2,454,official_closing,0,2.356172815653452,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.35-.40,<3
2025-12,2025-12-08,202512081108,0.3736293109123055,1.0,10,0,0,0,1-5-6,454,official_closing,0,2.784224275274665,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.35-.40,<3
2025-12,2025-12-08,202512081808,0.3351045094276857,1.0,10,0,0,0,4-5-1,454,official_closing,0,5.012762504760232,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,5-7
2025-12,2025-12-09,202512091101,0.3732202142579175,1.0,10,0,0,0,1-3-4,454,official_closing,0,2.8078999473158546,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.35-.40,<3
