month,R,head,exact3,second_top2
2026-02,63,51,0.3492063492063492,0.6862745098039216
2026-03,16,15,0.375,0.5333333333333333
2026-04,53,48,0.4716981132075472,0.7708333333333334
2026-05,121,101,0.3884297520661157,0.7524752475247525
2026-06,92,75,0.2826086956521739,0.6266666666666667
