grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,final_odds_races,final_odds_coverage_pct,avg_final_composite_odds,median_final_composite_odds
A,3まくり,1,602,208,34.5514950166113,30,4.983388704318937,14.423076923076923,78.08970099667773,1567,601,99.83388704318936,23.40732113144759,17.3
A,3まくり,2,602,208,34.5514950166113,54,8.970099667774086,25.96153846153846,65.64784053156146,1463.7037037037037,601,99.83388704318936,11.879553995740194,8.868157894736841
A,3まくり,3,602,208,34.5514950166113,78,12.956810631229235,37.5,67.76301218161683,1568.974358974359,601,99.83388704318936,8.022729707088656,6.551368006453067
A,3まくり,4,602,208,34.5514950166113,90,14.950166112956811,43.26923076923077,65.71428571428571,1758.2222222222222,601,99.83388704318936,6.651684490869575,5.301495967315888
A,3まくり,5,602,208,34.5514950166113,105,17.441860465116278,50.48076923076923,64.75415282392026,1856.2857142857142,601,99.83388704318936,5.594697705139905,4.52083590109138
A,3まくり,6,602,208,34.5514950166113,118,19.601328903654483,56.73076923076923,61.611295681063126,1885.9322033898304,601,99.83388704318936,4.883788419639609,3.9951003692553955
A,3まくり,7,602,208,34.5514950166113,133,22.093023255813954,63.94230769230769,67.74323682961557,2146.3909774436092,601,99.83388704318936,4.48770021132978,3.6418113975838544
A,3まくり,8,602,208,34.5514950166113,142,23.588039867109636,68.26923076923077,64.27948504983388,2180.0704225352115,601,99.83388704318936,4.127056491150004,3.3784075193070064
A,3まくり,9,602,208,34.5514950166113,150,24.916943521594686,72.11538461538461,63.98855666297527,2311.266666666667,601,99.83388704318936,3.847215971456809,3.1322552285898073
A,3まくり,10,602,208,34.5514950166113,157,26.079734219269103,75.48076923076923,59.99501661129568,2300.4458598726114,601,99.83388704318936,3.603493385967731,2.9549030884591168
A,3まくり,11,602,208,34.5514950166113,165,27.408637873754152,79.32692307692308,61.39987919057687,2464.181818181818,601,99.83388704318936,3.4583678084219773,2.8139984536046665
A,3まくり,12,602,208,34.5514950166113,169,28.07308970099668,81.25,58.3250276854928,2493.1360946745563,601,99.83388704318936,3.3353828135230703,2.701004686171568
A,3まくり,13,602,208,34.5514950166113,175,29.069767441860463,84.13461538461539,59.5514950166113,2663.1428571428573,601,99.83388704318936,3.2456180857983004,2.6486759054438616
A,3まくり,14,602,208,34.5514950166113,181,30.06644518272425,87.01923076923077,60.01423825344091,2794.475138121547,601,99.83388704318936,3.1478421641006573,2.5732366076083246
A,3まくり,15,602,208,34.5514950166113,187,31.06312292358804,89.90384615384616,60.0,2897.3262032085563,601,99.83388704318936,3.0675696388762006,2.4948471592480943
A,3まくり,16,602,208,34.5514950166113,193,32.05980066445183,92.78846153846153,65.00726744186046,3244.300518134715,601,99.83388704318936,3.0120496108079484,2.452202106706131
A,3まくり,17,602,208,34.5514950166113,198,32.89036544850498,95.1923076923077,64.16064100058628,3316.2626262626263,601,99.83388704318936,2.95960417053242,2.4140646100073875
A,3まくり,18,602,208,34.5514950166113,201,33.388704318936874,96.63461538461539,63.44407530454042,3420.2985074626868,601,99.83388704318936,2.9209930370363564,2.3775494208024432
A,3まくり,19,602,208,34.5514950166113,206,34.21926910299003,99.03846153846153,68.44290959958035,3800.242718446602,601,99.83388704318936,2.8841120702269767,2.3413241316915796
A,3まくり,20,602,208,34.5514950166113,208,34.5514950166113,100.0,66.1985049833887,3831.875,601,99.83388704318936,2.8545957928991075,2.31617569572131
A,3まくり差し,1,53,23,43.39622641509434,1,1.8867924528301887,4.3478260869565215,25.09433962264151,1330,53,100.0,23.19622641509434,15.1
A,3まくり差し,2,53,23,43.39622641509434,4,7.547169811320755,17.391304347826086,41.509433962264154,1100,53,100.0,13.222238329296939,7.8185303514377
