races,top1,top2,top3,top4,top6,top10,top20,second_top1,second_top2,third_top1,third_top2,month,scope,v96_top2,v96_top4,v96_top6,v96_top10
23,26.08695652173913,30.434782608695656,34.78260869565217,43.47826086956522,56.52173913043478,69.56521739130434,100.0,52.17391304347826,69.56521739130434,39.130434782608695,56.52173913043478,2026-04,ALL,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131
11,9.090909090909092,9.090909090909092,9.090909090909092,27.27272727272727,54.54545454545454,72.72727272727273,100.0,45.45454545454545,72.72727272727273,27.27272727272727,45.45454545454545,2026-04,SA,27.27272727272727,36.36363636363637,36.36363636363637,54.54545454545454
36,19.444444444444446,36.11111111111111,38.88888888888889,50.0,61.111111111111114,77.77777777777779,100.0,47.22222222222222,66.66666666666666,25.0,58.333333333333336,2026-05,ALL,36.11111111111111,50.0,63.888888888888886,83.33333333333334
15,26.666666666666668,33.33333333333333,40.0,46.666666666666664,53.333333333333336,80.0,100.0,33.33333333333333,60.0,40.0,66.66666666666666,2026-05,SA,46.666666666666664,53.333333333333336,66.66666666666666,86.66666666666667
28,17.857142857142858,28.57142857142857,39.285714285714285,39.285714285714285,57.14285714285714,71.42857142857143,100.0,25.0,46.42857142857143,50.0,75.0,2026-06,ALL,25.0,42.857142857142854,57.14285714285714,78.57142857142857
14,14.285714285714285,21.428571428571427,28.57142857142857,28.57142857142857,57.14285714285714,71.42857142857143,100.0,21.428571428571427,35.714285714285715,42.857142857142854,71.42857142857143,2026-06,SA,28.57142857142857,42.857142857142854,64.28571428571429,85.71428571428571
