grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,odds_races,odds_coverage_pct,avg_composite_odds,median_composite_odds,avg_odds_lead_min
A,3まくり,1,602,208,34.5514950166113,30,4.983388704318937,14.423076923076923,78.08970099667773,1567,97,16.11295681063123,27.508247422680412,19.3,9.197213344329898
A,3まくり,2,602,208,34.5514950166113,54,8.970099667774086,25.96153846153846,65.64784053156146,1463.7037037037037,97,16.11295681063123,13.581636471050336,9.566433566433567,9.197213344329898
A,3まくり,3,602,208,34.5514950166113,78,12.956810631229235,37.5,67.76301218161683,1568.974358974359,97,16.11295681063123,9.12465598733983,7.208586912675166,9.197213344329898
A,3まくり,4,602,208,34.5514950166113,90,14.950166112956811,43.26923076923077,65.71428571428571,1758.2222222222222,97,16.11295681063123,7.49551463101361,6.427873518581105,9.197213344329898
A,3まくり,5,602,208,34.5514950166113,105,17.441860465116278,50.48076923076923,64.75415282392026,1856.2857142857142,97,16.11295681063123,6.48487707617997,5.221174149314437,9.197213344329898
A,3まくり,6,602,208,34.5514950166113,118,19.601328903654483,56.73076923076923,61.611295681063126,1885.9322033898304,97,16.11295681063123,5.52687439190469,4.558155713299753,9.197213344329898
A,3まくり,7,602,208,34.5514950166113,133,22.093023255813954,63.94230769230769,67.74323682961557,2146.3909774436092,97,16.11295681063123,5.0592962237573476,4.214480486919684,9.197213344329898
A,3まくり,8,602,208,34.5514950166113,142,23.588039867109636,68.26923076923077,64.27948504983388,2180.0704225352115,97,16.11295681063123,4.679345975654181,3.993158142741009,9.197213344329898
A,3まくり,9,602,208,34.5514950166113,150,24.916943521594686,72.11538461538461,63.98855666297527,2311.266666666667,97,16.11295681063123,4.415560150982238,3.674753901269602,9.197213344329898
A,3まくり,10,602,208,34.5514950166113,157,26.079734219269103,75.48076923076923,59.99501661129568,2300.4458598726114,97,16.11295681063123,4.125694017959502,3.423986747248414,9.197213344329898
A,3まくり,11,602,208,34.5514950166113,165,27.408637873754152,79.32692307692308,61.39987919057687,2464.181818181818,97,16.11295681063123,3.966128898348866,3.173557305830084,9.197213344329898
A,3まくり,12,602,208,34.5514950166113,169,28.07308970099668,81.25,58.3250276854928,2493.1360946745563,97,16.11295681063123,3.77983131796062,3.1212177814252247,9.197213344329898
A,3まくり,13,602,208,34.5514950166113,175,29.069767441860463,84.13461538461539,59.5514950166113,2663.1428571428573,97,16.11295681063123,3.6739947760537968,3.0211057374801995,9.197213344329898
A,3まくり,14,602,208,34.5514950166113,181,30.06644518272425,87.01923076923077,60.01423825344091,2794.475138121547,97,16.11295681063123,3.5450081193056775,2.913081083554968,9.197213344329898
A,3まくり,15,602,208,34.5514950166113,187,31.06312292358804,89.90384615384616,60.0,2897.3262032085563,97,16.11295681063123,3.441798120881819,2.7987425083695383,9.197213344329898
A,3まくり,16,602,208,34.5514950166113,193,32.05980066445183,92.78846153846153,65.00726744186046,3244.300518134715,97,16.11295681063123,3.3612673606585015,2.7539690626714846,9.197213344329898
A,3まくり,17,602,208,34.5514950166113,198,32.89036544850498,95.1923076923077,64.16064100058628,3316.2626262626263,97,16.11295681063123,3.2824118371625746,2.684841276499838,9.197213344329898
A,3まくり,18,602,208,34.5514950166113,201,33.388704318936874,96.63461538461539,63.44407530454042,3420.2985074626868,97,16.11295681063123,3.223137620995971,2.674297861983672,9.197213344329898
A,3まくり,19,602,208,34.5514950166113,206,34.21926910299003,99.03846153846153,68.44290959958035,3800.242718446602,97,16.11295681063123,3.167982775870873,2.6233296969468567,9.197213344329898
A,3まくり,20,602,208,34.5514950166113,208,34.5514950166113,100.0,66.1985049833887,3831.875,97,16.11295681063123,3.121571154792889,2.5816834101196426,9.197213344329898
A,3まくり差し,1,53,23,43.39622641509434,1,1.8867924528301887,4.3478260869565215,25.09433962264151,1330,12,22.641509433962263,28.0,24.0,8.772505686111112
A,3まくり差し,2,53,23,43.39622641509434,4,7.547169811320755,17.391304347826086,41.509433962264154,1100,12,22.641509433962263,16.192916935930697,10.025009081626642,8.772505686111112
A,3まくり差し,3,53,23,43.39622641509434,8,15.09433962264151,34.78260869565217,54.15094339622642,1076.25,12,22.641509433962263,7.398322435151094,7.112609509912151,8.772505686111112
A,3まくり差し,4,53,23,43.39622641509434,8,15.09433962264151,34.78260869565217,40.613207547169814,1076.25,12,22.641509433962263,5.77121456165321,5.942657768879313,8.772505686111112
A,3まくり差し,5,53,23,43.39622641509434,11,20.754716981132077,47.82608695652174,53.20754716981132,1281.8181818181818,12,22.641509433962263,4.951023315958388,5.313762894084474,8.772505686111112
A,3まくり差し,6,53,23,43.39622641509434,13,24.528301886792452,56.52173913043478,53.83647798742138,1316.923076923077,12,22.641509433962263,4.304616195091749,4.245337718796123,8.772505686111112
A,3まくり差し,7,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,83.77358490566037,2072,12,22.641509433962263,3.8650887446423545,3.4918145253534414,8.772505686111112
A,3まくり差し,8,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,73.30188679245283,2072,12,22.641509433962263,3.521810279799794,3.411745816178059,8.772505686111112
A,3まくり差し,9,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,65.15723270440252,2072,12,22.641509433962263,3.2038982204324395,3.128707209770936,8.772505686111112
A,3まくり差し,10,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,58.64150943396226,2072,12,22.641509433962263,2.942531389181111,2.8208329395193488,8.772505686111112
A,3まくり差し,11,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,53.310463121783876,2072,12,22.641509433962263,2.753157457778558,2.6552622182119237,8.772505686111112
A,3まくり差し,12,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,48.867924528301884,2072,12,22.641509433962263,2.602632295239342,2.6152595575447606,8.772505686111112
A,3まくり差し,13,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,45.1088534107402,2072,12,22.641509433962263,2.4631346157723772,2.41044320383845,8.772505686111112
A,3まくり差し,14,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,41.886792452830186,2072,12,22.641509433962263,2.350371798448025,2.339571687139607,8.772505686111112
A,3まくり差し,15,53,23,43.39622641509434,17,32.075471698113205,73.91304347826087,45.081761006289305,2108.235294117647,12,22.641509433962263,2.260908566324335,2.236013547314284,8.772505686111112
A,3まくり差し,16,53,23,43.39622641509434,19,35.84905660377358,82.6086956521739,51.485849056603776,2297.8947368421054,12,22.641509433962263,2.1618838144614747,2.055694503568125,8.772505686111112
A,3まくり差し,17,53,23,43.39622641509434,20,37.735849056603776,86.95652173913044,53.69589345172031,2419,12,22.641509433962263,2.1014108809626375,2.0091446144814324,8.772505686111112
A,3まくり差し,18,53,23,43.39622641509434,22,41.509433962264154,95.65217391304348,56.299790356394126,2441.3636363636365,12,22.641509433962263,2.046164707001381,1.9487388927059093,8.772505686111112
A,3まくり差し,19,53,23,43.39622641509434,22,41.509433962264154,95.65217391304348,53.336643495531284,2441.3636363636365,12,22.641509433962263,1.9987676235881489,1.8867234010062344,8.772505686111112
A,3まくり差し,20,53,23,43.39622641509434,23,43.39622641509434,100.0,64.24528301886792,2960.8695652173915,12,22.641509433962263,1.951836663689237,1.8569418459210596,8.772505686111112
A,4カドまくり,1,528,148,28.03030303030303,17,3.2196969696969697,11.486486486486486,50.928030303030305,1581.764705882353,96,18.181818181818183,25.994791666666668,19.8,9.08183504201389
A,4カドまくり,2,528,148,28.03030303030303,32,6.0606060606060606,21.62162162162162,52.24431818181818,1724.0625,96,18.181818181818183,14.104898949042115,10.383277610404878,9.08183504201389
A,4カドまくり,3,528,148,28.03030303030303,55,10.416666666666666,37.16216216216216,66.16161616161617,1905.4545454545455,96,18.181818181818183,9.74535431676231,7.671066626618609,9.08183504201389
A,4カドまくり,4,528,148,28.03030303030303,64,12.121212121212121,43.24324324324324,60.58238636363637,1999.21875,96,18.181818181818183,8.244814376629098,6.437820365912097,9.08183504201389
A,4カドまくり,5,528,148,28.03030303030303,70,13.257575757575758,47.2972972972973,60.25757575757576,2272.5714285714284,95,17.992424242424242,7.121796787803448,5.548104237999025,9.086301174561404
A,4カドまくり,6,528,148,28.03030303030303,81,15.340909090909092,54.729729729729726,59.84848484848485,2340.740740740741,95,17.992424242424242,6.324613170043774,5.0738937189865805,9.086301174561404
A,4カドまくり,7,528,148,28.03030303030303,95,17.992424242424242,64.1891891891892,78.08441558441558,3037.8947368421054,95,17.992424242424242,5.833539518797769,4.8238847454322995,9.086301174561404
A,4カドまくり,8,528,148,28.03030303030303,104,19.696969696969695,70.27027027027027,77.04782196969697,3129.326923076923,95,17.992424242424242,5.318525033631883,4.349790537225457,9.086301174561404
