weight,cutoff,period,base_n,base_rate,selected_n,selected_rate
100:0,0.6,train,568,10.035211267605634,228,8.333333333333334
100:0,0.6,validation,91,13.186813186813186,40,22.5
100:0,0.6,latest_month,120,10.833333333333334,53,11.320754716981131
80:20,0.5938,train,568,10.035211267605634,228,7.894736842105263
80:20,0.5938,validation,91,13.186813186813186,39,23.076923076923077
80:20,0.5938,latest_month,120,10.833333333333334,54,11.11111111111111
60:40,0.5884814270724029,train,568,10.035211267605634,228,8.333333333333334
60:40,0.5884814270724029,validation,91,13.186813186813186,38,23.68421052631579
60:40,0.5884814270724029,latest_month,120,10.833333333333334,54,12.962962962962964
40:60,0.5884917103882477,train,568,10.035211267605634,228,8.771929824561404
40:60,0.5884917103882477,validation,91,13.186813186813186,37,24.324324324324323
40:60,0.5884917103882477,latest_month,120,10.833333333333334,56,16.071428571428573
