actual2,R,top1,top2,top3,exact3
2,114,0.7192982456140351,0.9824561403508771,1.0,0.7017543859649122
3,89,0.449438202247191,0.8426966292134831,0.9662921348314607,0.47191011235955055
4,42,0.16666666666666666,0.38095238095238093,0.8333333333333334,0.16666666666666666
5,32,0.0,0.1875,0.5,0.125
6,13,0.0,0.0,0.07692307692307693,0.0
