conditional3,alpha2,races,top1,top2,top4,top6,top10,objective
False,0.6,54,16.666666666666664,29.629629629629626,42.592592592592595,53.70370370370371,66.66666666666666,38.98148148148148
True,0.65,54,16.666666666666664,27.77777777777778,44.44444444444444,53.70370370370371,66.66666666666666,38.611111111111114
True,0.5,54,16.666666666666664,27.77777777777778,42.592592592592595,53.70370370370371,74.07407407407408,38.425925925925924
True,0.7,54,16.666666666666664,27.77777777777778,40.74074074074074,55.55555555555556,70.37037037037037,37.96296296296296
False,0.55,54,16.666666666666664,27.77777777777778,42.592592592592595,51.85185185185185,66.66666666666666,37.77777777777778
True,0.6,54,16.666666666666664,25.925925925925924,44.44444444444444,53.70370370370371,68.51851851851852,37.77777777777777
False,0.65,54,16.666666666666664,27.77777777777778,42.592592592592595,51.85185185185185,64.81481481481481,37.68518518518518
True,0.55,54,16.666666666666664,24.074074074074073,44.44444444444444,55.55555555555556,72.22222222222221,37.31481481481481
False,0.75,54,14.814814814814813,27.77777777777778,37.03703703703704,57.407407407407405,70.37037037037037,37.12962962962963
False,0.5,54,16.666666666666664,25.925925925925924,44.44444444444444,50.0,66.66666666666666,37.129629629629626
False,0.7,54,14.814814814814813,27.77777777777778,37.03703703703704,55.55555555555556,68.51851851851852,36.75925925925926
True,0.75,54,16.666666666666664,27.77777777777778,35.18518518518518,57.407407407407405,70.37037037037037,36.574074074074076
