target,maxn,floor,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds,min_month_R,min_month_roi_pct
5.0,16,3.5,29,153670.0,-136330.0,52.98965517241379,31.03448275862069,10.344827586206897,3.9655172413793105,4.928381359589463,6,0.0
5.0,16,4.0,28,153670.0,-126330.0,54.88214285714286,32.142857142857146,10.714285714285714,4.0,4.976009341229958,6,0.0
5.0,16,4.5,26,153670.0,-106330.0,59.103846153846156,34.61538461538461,11.538461538461538,4.115384615384615,5.029782086356364,6,0.0
5.0,16,5.0,15,104390.0,-45610.0,69.59333333333333,20.0,13.333333333333334,3.933333333333333,5.204323879895041,4,0.0
5.0,16,5.5,0,0.0,0.0,,,,,,0,
5.0,16,6.0,0,0.0,0.0,,,,,,0,
5.0,16,6.5,0,0.0,0.0,,,,,,0,
5.0,16,7.0,0,0.0,0.0,,,,,,0,
5.0,16,7.5,0,0.0,0.0,,,,,,0,
5.0,16,8.0,0,0.0,0.0,,,,,,0,
5.0,20,3.0,29,153670.0,-136330.0,52.98965517241379,31.03448275862069,10.344827586206897,3.9655172413793105,4.928381359589463,6,0.0
5.0,20,3.5,29,153670.0,-136330.0,52.98965517241379,31.03448275862069,10.344827586206897,3.9655172413793105,4.928381359589463,6,0.0
5.0,20,4.0,28,153670.0,-126330.0,54.88214285714286,32.142857142857146,10.714285714285714,4.0,4.976009341229958,6,0.0
5.0,20,4.5,26,153670.0,-106330.0,59.103846153846156,34.61538461538461,11.538461538461538,4.115384615384615,5.029782086356364,6,0.0
5.0,20,5.0,15,104390.0,-45610.0,69.59333333333333,20.0,13.333333333333334,3.933333333333333,5.204323879895041,4,0.0
5.0,20,5.5,0,0.0,0.0,,,,,,0,
5.0,20,6.0,0,0.0,0.0,,,,,,0,
5.0,20,6.5,0,0.0,0.0,,,,,,0,
5.0,20,7.0,0,0.0,0.0,,,,,,0,
5.0,20,7.5,0,0.0,0.0,,,,,,0,
5.0,20,8.0,0,0.0,0.0,,,,,,0,
5.5,4,3.0,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.2413793103448274,5.624100425263125,6,0.0
5.5,4,3.5,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.2413793103448274,5.624100425263125,6,0.0
5.5,4,4.0,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.2413793103448274,5.624100425263125,6,0.0
5.5,4,4.5,27,167890.0,-102110.0,62.181481481481484,33.33333333333333,11.11111111111111,3.2962962962962963,5.72388833420212,6,0.0
5.5,4,5.0,25,167890.0,-82110.0,67.156,28.000000000000004,12.0,3.36,5.800913601534119,5,0.0
5.5,4,5.5,13,62580.0,-67420.0,48.13846153846154,23.076923076923077,7.6923076923076925,3.6153846153846154,6.259252336633704,3,0.0
5.5,4,6.0,9,62580.0,-27420.0,69.53333333333333,22.22222222222222,11.11111111111111,3.7777777777777777,6.4578196231755305,2,0.0
5.5,4,6.5,3,0.0,-30000.0,0.0,0.0,0.0,3.3333333333333335,6.676679797125678,0,0.0
5.5,4,7.0,0,0.0,0.0,,,,,,0,
5.5,4,7.5,0,0.0,0.0,,,,,,0,
5.5,4,8.0,0,0.0,0.0,,,,,,0,
5.5,6,3.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,6,3.5,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,6,4.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,6,4.5,27,158950.0,-111050.0,58.870370370370374,33.33333333333333,11.11111111111111,3.5555555555555554,5.382653546809973,6,0.0
5.5,6,5.0,24,158950.0,-81050.0,66.22916666666667,29.166666666666668,12.5,3.5833333333333335,5.467118453251906,5,0.0
5.5,6,5.5,6,0.0,-60000.0,0.0,33.33333333333333,0.0,3.1666666666666665,6.034978569508578,1,0.0
5.5,6,6.0,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541,0,0.0
5.5,6,6.5,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319,0,0.0
5.5,6,7.0,0,0.0,0.0,,,,,,0,
5.5,6,7.5,0,0.0,0.0,,,,,,0,
5.5,6,8.0,0,0.0,0.0,,,,,,0,
5.5,8,3.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,8,3.5,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,8,4.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,8,4.5,27,158950.0,-111050.0,58.870370370370374,33.33333333333333,11.11111111111111,3.5555555555555554,5.382653546809973,6,0.0
5.5,8,5.0,24,158950.0,-81050.0,66.22916666666667,29.166666666666668,12.5,3.5833333333333335,5.467118453251906,5,0.0
5.5,8,5.5,6,0.0,-60000.0,0.0,33.33333333333333,0.0,3.1666666666666665,6.034978569508578,1,0.0
