date,month,race_code,p109,lead_min,min_preclose_odds_top7,replaced,removed_ticket,added_ticket,baseline_hit,replacement_hit,baseline_preclose_comp,replacement_preclose_comp,baseline_final_comp,replacement_final_comp
2026-07-19,2026-07,202607190101,0.44915825,8.622513283333332,10.5,0,,,0,0,2.8869390376062642,2.8869390376062642,,
2026-07-19,2026-07,202607190102,0.52815454,8.629560199999998,12.3,0,,,0,0,3.438264088460067,3.438264088460067,,
2026-07-19,2026-07,202607190104,0.59397354,9.561426633333333,16.3,0,,,0,0,3.805696497495576,3.805696497495576,,
2026-07-19,2026-07,202607190105,0.58007137,9.597029233333334,15.4,0,,,1,1,3.5893901506701247,3.5893901506701247,,
2026-07-19,2026-07,202607190106,0.80388511,8.678521733333334,9.0,0,,,1,1,2.60802450208087,2.60802450208087,2.2821394031305116,2.2821394031305116
2026-07-19,2026-07,202607190107,0.50688537,9.6651068,12.6,0,,,1,1,2.9820686748495593,2.9820686748495593,,
2026-07-19,2026-07,202607190108,0.61423681,8.575874166666667,11.2,0,,,0,0,2.5305068367243075,2.5305068367243075,,
2026-07-19,2026-07,202607190109,0.36381169,8.7007779,30.5,0,,,0,0,5.975505662578962,5.975505662578962,,
2026-07-19,2026-07,202607190110,0.72259459,8.583609133333333,12.7,0,,,0,0,3.0081814176265866,3.0081814176265866,1.4027579261936538,1.4027579261936538
2026-07-19,2026-07,202607190111,0.56521118,8.635623883333333,10.9,0,,,0,0,2.598506064983638,2.598506064983638,,
2026-07-19,2026-07,202607190112,0.59902947,9.661875866666666,7.0,0,,,1,1,1.6474627331903393,1.6474627331903393,,
2026-07-19,2026-07,202607190210,0.51509518,8.554668600000001,8.9,0,,,0,0,2.458458095591753,2.458458095591753,,
2026-07-19,2026-07,202607190211,0.58168091,8.60950305,8.0,0,,,1,1,2.268946553009087,2.268946553009087,,
2026-07-19,2026-07,202607190406,0.29117931,3.3069037333333333,15.8,0,,,0,0,4.105822250402961,4.105822250402961,,
2026-07-19,2026-07,202607190407,0.43969101,9.660663983333334,14.5,0,,,0,0,3.9549029300662517,3.9549029300662517,1.114475633567441,1.114475633567441
2026-07-19,2026-07,202607190408,0.21098195,9.63141505,15.5,0,,,0,0,4.163120468843224,4.163120468843224,,
2026-07-19,2026-07,202607190409,0.40623287,8.678180583333333,14.8,0,,,1,1,3.45002839032249,3.45002839032249,,
2026-07-19,2026-07,202607190410,0.3342507,8.602399133333334,7.5,0,,,0,0,2.845057637528539,2.845057637528539,,
2026-07-19,2026-07,202607190411,0.4006755,9.623864333333334,12.1,0,,,1,1,3.1703509451879506,3.1703509451879506,,
2026-07-19,2026-07,202607190412,0.61086063,9.6162976,6.1,0,,,1,1,1.4970970034749334,1.4970970034749334,,
2026-07-19,2026-07,202607190508,0.32362262,8.646546866666666,13.6,0,,,0,0,3.6924190302421778,3.6924190302421778,,
2026-07-19,2026-07,202607190509,0.63226343,9.636268216666668,7.6,0,,,0,0,1.9176999100670071,1.9176999100670071,,
2026-07-19,2026-07,202607190511,0.69423308,9.603499,8.1,0,,,1,1,2.1903063297569694,2.1903063297569694,1.7184213529209533,1.7184213529209533
2026-07-19,2026-07,202607190512,0.66415978,9.6437342,6.9,0,,,1,1,1.635470404806978,1.635470404806978,1.3596532710026963,1.3596532710026963
2026-07-19,2026-07,202607190810,0.71711451,9.650598233333334,8.4,0,,,0,0,1.999615093911982,1.999615093911982,1.777772702692708,1.777772702692708
2026-07-19,2026-07,202607190811,0.54915447,8.636268216666668,6.8,0,,,1,1,2.6108389151146736,2.6108389151146736,,
2026-07-19,2026-07,202607190812,0.77823613,8.623607766666668,6.3,0,,,1,1,1.6793091040565327,1.6793091040565327,1.3859343947302643,1.3859343947302643
2026-07-19,2026-07,202607190910,0.67930201,9.580945250000001,8.0,0,,,1,1,2.0146444018651897,2.0146444018651897,1.8344046252378408,1.8344046252378408
2026-07-19,2026-07,202607190911,0.52262189,8.664546983333334,8.2,0,,,0,0,2.105465192056356,2.105465192056356,,
2026-07-19,2026-07,202607191109,0.77381007,8.610203216666667,6.9,0,,,0,0,1.92473364568214,1.92473364568214,1.0656151650673136,1.0656151650673136
2026-07-19,2026-07,202607191110,0.75761676,8.614006733333333,11.0,0,,,0,0,2.3994185939732255,2.3994185939732255,,
2026-07-19,2026-07,202607191111,0.80493029,9.634972800000002,10.6,0,,,1,1,2.402017859548211,2.402017859548211,2.020497187712334,2.020497187712334
2026-07-19,2026-07,202607191112,0.57585409,9.631589600000002,8.4,0,,,0,0,2.15260718698899,2.15260718698899,,
2026-07-19,2026-07,202607191201,0.74023794,8.59195645,7.5,0,,,0,0,2.9782847028480743,2.9782847028480743,1.4929355525282542,1.4929355525282542
2026-07-19,2026-07,202607191202,0.65158199,8.63132335,12.4,0,,,0,0,2.357486835381343,2.357486835381343,1.1073814357538745,1.1073814357538745
2026-07-19,2026-07,202607191203,0.75061596,8.231355383333334,5.7,0,,,1,1,1.601723895596558,1.601723895596558,1.3540849042627752,1.3540849042627752
2026-07-19,2026-07,202607191204,0.69997833,9.63325815,11.2,0,,,0,0,2.945890868023085,2.945890868023085,1.317978679420033,1.317978679420033
2026-07-19,2026-07,202607191205,0.77608803,8.669528366666666,9.3,0,,,0,0,2.4739915769029976,2.4739915769029976,2.1018639442588807,2.1018639442588807
2026-07-19,2026-07,202607191206,0.54046393,9.66177775,6.0,0,,,0,0,2.349285000053693,2.349285000053693,,
2026-07-19,2026-07,202607191207,0.80892491,8.6204129,6.2,0,,,1,1,1.9461863096828296,1.9461863096828296,1.449547926066779,1.449547926066779
2026-07-19,2026-07,202607191208,0.42373043,9.568114916666667,10.4,0,,,0,0,2.8344957694999975,2.8344957694999975,,
2026-07-19,2026-07,202607191209,0.68917121,9.585695133333333,6.8,0,,,1,1,1.895982945974751,1.895982945974751,1.337240099188845,1.337240099188845
2026-07-19,2026-07,202607191210,0.72206797,9.623382983333332,5.7,0,,,1,1,1.5304721525686,1.5304721525686,1.3761177505822477,1.3761177505822477
2026-07-19,2026-07,202607191211,0.70464478,9.627326366666667,2.5,1,1-2-3,1-5-3,0,0,1.224138949784012,2.2586593061880125,0.7449443472959495,1.3434786838927766
2026-07-19,2026-07,202607191212,0.57625807,8.620232083333333,11.7,0,,,1,1,2.4084133889432016,2.4084133889432016,,
2026-07-19,2026-07,202607191607,0.42968178,8.53802155,13.4,0,,,0,0,3.433580524552385,3.433580524552385,,
2026-07-19,2026-07,202607191608,0.32454112,9.653353283333333,16.8,0,,,0,0,4.18951810330175,4.18951810330175,,
2026-07-19,2026-07,202607191610,0.4792995,8.603499,13.2,0,,,0,0,3.075249204597,3.075249204597,,
2026-07-19,2026-07,202607191611,0.74339205,8.55205615,6.6,0,,,1,1,2.3845233502025147,2.3845233502025147,,
2026-07-19,2026-07,202607191612,0.82994684,9.60461385,5.8,0,,,0,0,1.7421098904888273,1.7421098904888273,0.8446763276061269,0.8446763276061269
2026-07-19,2026-07,202607191709,0.4250807,9.679253350000002,14.2,0,,,1,1,2.6571921770668023,2.6571921770668023,,
2026-07-19,2026-07,202607191710,0.40392429,8.606591366666667,13.9,0,,,0,0,3.4508578951419717,3.4508578951419717,,
2026-07-19,2026-07,202607191711,0.44176123,9.573740616666667,15.4,0,,,0,0,3.4306676419776285,3.4306676419776285,,
