1ブロック力,1ブロック成功指数,1対3圧力,2壁中間適合,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,STゾーン,ST接近度,bet_hit,date,head_hit,model,prob,race,race_code,return,score,venue,zone,まくり差し指数,まくり差し指数v28,まくり差し指数v29,中間ST適合,差し場生成指数,直まくり指数,直まくり指数v28,直まくり指数v29
0.763,0.434,0.786,0.82,0.621,0.379,0.817,0.336,0.725,0.773,大幅先行,0.01,1,2026-08-06,0,3直まくりv29,0.092,06R,202608061706,4970,70.15,17,大幅先行,0.714,0.536,0.54,0.0,0.608,0.706,0.675,0.701
0.546,0.343,0.476,0.717,0.656,0.344,0.808,0.5,0.5,0.791,大幅先行,0.039,0,2026-08-06,0,3直まくりv29,0.095,06R,202608062406,0,73.25,24,大幅先行,0.593,0.429,0.425,0.0,0.468,0.722,0.712,0.732
0.763,0.556,0.843,0.892,0.523,0.477,0.725,0.68,0.8,0.873,大幅先行,0.298,0,2026-08-07,0,3直まくりv29,0.0894,04R,202608070404,0,68.49,04,大幅先行,0.773,0.609,0.636,0.197,0.674,0.696,0.658,0.685
0.581,0.56,0.525,0.676,0.45,0.55,0.666,0.923,0.905,0.752,中間先行,0.48,0,2026-08-07,0,3まくり差しv29,0.0707,11R,202608071011,0,63.9,10,中間先行,0.678,0.53,0.639,0.521,0.605,0.639,0.615,0.647
0.811,0.704,0.946,0.456,0.375,0.625,0.64,0.5,0.5,0.874,中間先行,0.561,0,2026-08-07,0,3まくり差しv29,0.0527,07R,202608072007,0,67.55,20,中間先行,0.754,0.549,0.676,0.664,0.655,0.618,0.549,0.595
0.425,0.315,0.15,0.856,0.511,0.489,0.918,0.5,0.5,0.589,大幅先行,0.0,0,2026-08-08,0,3直まくりv29,0.0934,08R,202608081608,0,71.37,16,大幅先行,0.404,0.224,0.339,0.0,0.294,0.667,0.688,0.714
0.353,0.286,0.144,0.846,0.508,0.492,0.835,0.802,0.239,0.677,大幅先行,0.0,1,2026-08-08,0,3直まくりv29,0.0932,02R,202608081902,7770,71.34,19,大幅先行,0.38,0.206,0.298,0.0,0.242,0.659,0.689,0.713
0.499,0.586,0.532,0.672,0.448,0.552,0.607,0.5,0.5,0.552,中間先行,0.665,0,2026-08-09,0,3まくり差しv29,0.0746,02R,202608090302,0,62.44,03,中間先行,0.558,0.414,0.624,0.85,0.553,0.508,0.474,0.53
0.634,0.373,0.544,0.82,0.621,0.379,0.849,0.5,0.5,0.78,大幅先行,0.0,0,2026-08-09,0,3直まくりv29,0.0943,03R,202608090303,0,74.06,03,大幅先行,0.6,0.406,0.445,0.0,0.457,0.733,0.721,0.741
0.546,0.349,0.0,0.964,0.572,0.428,1.0,0.53,0.5,0.763,大幅先行,0.0,0,2026-08-09,0,3直まくりv29,0.0817,07R,202608090307,0,79.59,03,大幅先行,0.407,0.191,0.339,0.0,0.259,0.768,0.783,0.796
0.767,0.574,0.86,0.676,0.67,0.33,0.668,0.55,0.7,0.612,中間先行,0.474,0,2026-08-09,0,3まくり差しv29,0.0647,05R,202608091205,0,65.36,12,中間先行,0.739,0.599,0.654,0.509,0.729,0.645,0.593,0.632
0.848,0.751,1.0,0.856,0.609,0.391,0.524,0.88,1.0,0.755,中間先行,0.924,0,2026-08-09,0,3まくり差しv29,0.0461,08R,202608091208,0,82.31,12,中間先行,0.888,0.723,0.823,0.69,0.883,0.651,0.558,0.612
0.904,0.794,0.839,0.969,0.571,0.429,0.491,0.5,0.5,0.696,中間先行,0.971,1,2026-08-09,1,3まくり差しv29,0.071,11R,202608091311,15520,63.85,13,中間先行,0.689,0.491,0.638,0.505,0.688,0.505,0.408,0.493
0.755,0.65,0.95,0.676,0.45,0.55,0.65,0.87,0.9,0.803,中間先行,0.533,0,2026-08-09,0,3まくり差しv29,0.0456,04R,202608091804,0,75.84,18,中間先行,0.803,0.643,0.758,0.613,0.758,0.635,0.591,0.631
0.701,0.346,0.387,0.245,0.817,0.183,0.841,0.5,0.5,0.828,大幅先行,0.0,0,2026-08-09,0,3直まくりv29,0.0937,07R,202608092307,0,74.31,23,大幅先行,0.565,0.388,0.365,0.0,0.459,0.721,0.716,0.743
0.61,0.393,0.278,0.856,0.511,0.489,0.918,0.35,0.5,0.759,大幅先行,0.0,0,2026-08-10,0,3直まくりv29,0.093,02R,202608100302,0,71.27,03,大幅先行,0.479,0.267,0.384,0.0,0.337,0.685,0.687,0.713
0.617,0.471,0.501,0.964,0.572,0.428,0.734,0.47,0.5,0.677,大幅先行,0.27,0,2026-08-10,0,3直まくりv29,0.0769,04R,202608100304,0,63.4,03,大幅先行,0.57,0.419,0.475,0.146,0.499,0.616,0.597,0.634
0.83,0.478,1.0,0.101,0.866,0.134,0.734,0.455,0.856,0.682,大幅先行,0.268,0,2026-08-10,0,3直まくりv29,0.0789,12R,202608100512,0,65.31,05,大幅先行,0.776,0.673,0.574,0.144,0.823,0.636,0.61,0.653
0.651,0.559,0.747,1.0,0.56,0.44,0.665,0.41,0.5,0.732,中間先行,0.483,1,2026-08-10,0,3まくり差しv29,0.07,08R,202608100808,30690,64.07,08,中間先行,0.688,0.528,0.641,0.525,0.62,0.641,0.589,0.626
0.763,0.434,0.235,0.892,0.597,0.403,0.848,0.375,0.591,0.84,大幅先行,0.0,0,2026-08-10,0,3直まくりv29,0.0943,05R,202608101405,0,72.37,14,大幅先行,0.558,0.33,0.407,0.0,0.366,0.726,0.701,0.724
0.451,0.536,0.588,0.928,0.584,0.416,0.599,0.297,0.495,0.674,中間先行,0.69,0,2026-08-10,0,3まくり差しv29,0.0403,08R,202608101608,0,69.46,16,中間先行,0.632,0.498,0.695,0.894,0.611,0.577,0.528,0.575
0.83,0.505,0.498,0.82,0.621,0.379,0.775,0.5,0.5,0.666,大幅先行,0.141,0,2026-08-10,0,3直まくりv29,0.0805,05R,202608102105,0,66.05,21,大幅先行,0.581,0.393,0.417,0.0,0.486,0.656,0.627,0.66
0.737,0.433,0.491,1.0,0.56,0.44,0.841,0.343,0.57,1.0,大幅先行,0.0,0,2026-08-10,0,3直まくりv29,0.0949,07R,202608102307,0,73.6,23,大幅先行,0.644,0.42,0.49,0.0,0.444,0.742,0.715,0.736
0.553,0.393,0.397,0.425,0.756,0.244,0.734,0.303,0.105,0.598,大幅先行,0.27,0,2026-08-11,0,3直まくりv29,0.0799,03R,202608110503,0,65.85,05,大幅先行,0.49,0.346,0.318,0.146,0.424,0.65,0.625,0.658
0.712,0.429,1.0,0.101,0.866,0.134,0.734,0.243,0.77,0.73,大幅先行,0.268,1,2026-08-11,0,3直まくりv29,0.0888,09R,202608110509,27900,68.31,05,大幅先行,0.801,0.697,0.565,0.144,0.804,0.69,0.65,0.683
0.805,0.506,0.777,0.748,0.646,0.354,0.757,0.5,0.5,0.933,大幅先行,0.198,1,2026-08-11,0,3直まくりv29,0.0935,07R,202608110707,8520,71.62,07,大幅先行,0.727,0.54,0.511,0.019,0.598,0.735,0.692,0.716
0.832,0.714,0.843,0.712,0.658,0.342,0.55,0.859,0.8,0.691,中間先行,0.842,0,2026-08-11,0,3まくり差しv29,0.046,11R,202608111311,0,77.01,13,中間先行,0.785,0.63,0.77,0.836,0.813,0.607,0.535,0.592
0.636,0.37,0.326,0.784,0.633,0.367,0.899,0.5,0.5,0.699,大幅先行,0.0,0,2026-08-11,0,3直まくりv29,0.0949,03R,202608111903,0,73.54,19,大幅先行,0.502,0.306,0.384,0.0,0.385,0.711,0.712,0.735
0.607,0.385,0.416,0.928,0.536,0.464,0.876,0.253,0.57,0.761,大幅先行,0.0,0,2026-08-12,0,3直まくりv29,0.0925,02R,202608120702,0,70.9,07,大幅先行,0.558,0.355,0.437,0.0,0.406,0.698,0.685,0.709
0.857,0.751,0.463,0.722,0.654,0.346,0.491,0.94,1.0,0.6,中間先行,0.973,0,2026-08-12,0,3まくり差しv29,0.075,06R,202608121306,0,62.29,13,中間先行,0.671,0.506,0.623,0.507,0.692,0.536,0.461,0.536
0.884,0.591,1.0,0.964,0.572,0.428,0.726,0.63,0.9,0.869,大幅先行,0.293,0,2026-08-12,0,3直まくりv29,0.0895,12R,202608121312,0,68.55,13,大幅先行,0.843,0.678,0.693,0.187,0.761,0.707,0.657,0.686
0.812,0.68,1.0,0.887,0.522,0.478,0.624,0.68,0.8,0.795,中間先行,0.612,0,2026-08-13,0,3まくり差しv29,0.0461,09R,202608131309,0,80.88,13,中間先行,0.828,0.659,0.809,0.755,0.787,0.645,0.579,0.622
0.627,0.64,0.571,0.995,0.558,0.442,0.575,0.5,0.5,0.535,中間先行,0.766,0,2026-08-14,0,3まくり差しv29,0.0385,03R,202608140303,0,69.72,03,中間先行,0.593,0.443,0.697,0.972,0.614,0.517,0.464,0.526
0.56,0.362,0.0,0.995,0.558,0.442,0.824,0.5,0.5,0.79,大幅先行,0.0,0,2026-08-14,0,3直まくりv29,0.0943,02R,202608140602,0,72.43,06,大幅先行,0.468,0.265,0.346,0.0,0.271,0.714,0.704,0.724
0.867,0.694,0.941,0.676,0.45,0.55,0.652,0.5,0.5,0.741,中間先行,0.526,0,2026-08-14,0,3まくり差しv29,0.0602,09R,202608140609,0,66.38,06,中間先行,0.723,0.531,0.664,0.602,0.666,0.593,0.529,0.58
0.698,0.596,0.657,0.82,0.621,0.379,0.632,0.5,0.5,0.601,中間先行,0.589,0,2026-08-14,0,3まくり差しv29,0.0714,05R,202608141005,0,63.78,10,中間先行,0.613,0.467,0.638,0.713,0.626,0.546,0.506,0.562
0.743,0.404,0.352,0.676,0.67,0.33,0.899,0.249,0.381,0.646,大幅先行,0.0,0,2026-08-14,0,3直まくりv29,0.0923,09R,202608141009,0,70.34,10,大幅先行,0.486,0.278,0.347,0.0,0.378,0.688,0.674,0.703
0.807,0.531,0.927,0.856,0.609,0.391,0.743,0.28,0.399,0.615,大幅先行,0.24,0,2026-08-14,0,3直まくりv29,0.0756,07R,202608141907,0,61.53,19,大幅先行,0.663,0.5,0.512,0.093,0.625,0.615,0.574,0.615
0.547,0.526,0.637,0.964,0.572,0.428,0.651,0.5,0.5,0.648,中間先行,0.527,1,2026-08-14,0,3まくり差しv29,0.075,08R,202608142408,30580,62.6,24,中間先行,0.629,0.489,0.626,0.604,0.595,0.606,0.569,0.609
0.552,0.355,0.175,1.0,0.56,0.44,0.95,0.811,0.619,0.866,大幅先行,0.0,0,2026-08-15,0,3直まくりv29,0.0758,06R,202608150506,0,81.27,05,大幅先行,0.502,0.294,0.417,0.0,0.341,0.787,0.804,0.813
0.818,0.676,0.824,0.856,0.511,0.489,0.633,0.5,0.5,0.756,中間先行,0.583,1,2026-08-15,1,3まくり差しv29,0.0436,07R,202608150907,11340,68.88,09,中間先行,0.676,0.499,0.689,0.704,0.653,0.548,0.497,0.556
0.481,0.343,0.472,0.892,0.523,0.477,0.817,0.3,0.666,0.736,大幅先行,0.01,1,2026-08-15,1,3直まくりv29,0.0908,10R,202608151010,44680,69.12,10,大幅先行,0.594,0.432,0.464,0.0,0.463,0.676,0.665,0.691
0.68,0.344,0.099,0.317,0.792,0.208,0.891,0.751,0.62,0.486,大幅先行,0.0,1,2026-08-15,0,3直まくりv29,0.0951,07R,202608151107,13300,73.42,11,大幅先行,0.43,0.261,0.288,0.0,0.376,0.694,0.707,0.734
