1ブロック力,1ブロック成功指数,1対3圧力,2壁中間適合,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,STゾーン,ST接近度,bet_hit,date,head_hit,model,prob,race,race_code,return,score,venue,zone,まくり差し指数,まくり差し指数v28,まくり差し指数v29,中間ST適合,差し場生成指数,直まくり指数,直まくり指数v28,直まくり指数v29
0.785,0.692,1.0,0.99,0.557,0.443,0.592,0.5,0.5,0.837,中間先行,0.714,0,2026-08-20,0,3まくり差しv29,0.0461,07R,202608202307,0,81.57,23,中間先行,0.784,0.606,0.816,0.935,0.75,0.616,0.541,0.594
0.719,0.636,0.663,0.636,0.436,0.564,0.652,0.5,0.5,0.522,中間先行,0.526,0,2026-08-21,0,3まくり差しv29,0.0663,02R,202608210302,0,57.34,03,中間先行,0.605,0.433,0.573,0.602,0.568,0.556,0.505,0.556
0.747,0.427,0.132,0.902,0.593,0.407,0.876,0.5,0.5,0.59,大幅先行,0.0,0,2026-08-21,0,3直まくりv29,0.0892,04R,202608210304,0,68.41,03,大幅先行,0.431,0.217,0.335,0.0,0.309,0.656,0.653,0.684
0.667,0.403,0.223,1.0,0.56,0.44,0.884,0.577,0.229,0.556,大幅先行,0.0,0,2026-08-21,0,3直まくりv29,0.0894,01R,202608210401,0,68.51,04,大幅先行,0.383,0.17,0.307,0.0,0.272,0.647,0.655,0.685
0.825,0.635,1.0,0.964,0.572,0.428,0.659,0.5,0.5,0.726,中間先行,0.503,0,2026-08-21,0,3まくり差しv29,0.0384,07R,202608210707,0,69.73,07,中間先行,0.757,0.585,0.697,0.56,0.713,0.642,0.579,0.621
0.578,0.381,0.789,0.533,0.719,0.281,0.766,0.67,0.7,0.803,大幅先行,0.168,0,2026-08-21,0,3直まくりv29,0.0946,01R,202608211301,0,72.78,13,大幅先行,0.714,0.59,0.517,0.0,0.66,0.715,0.705,0.728
0.858,0.756,1.0,0.712,0.658,0.342,0.5,0.5,0.866,0.729,中間先行,0.999,0,2026-08-21,0,3まくり差しv29,0.0446,10R,202608211910,0,74.15,19,中間先行,0.858,0.685,0.742,0.553,0.851,0.614,0.503,0.568
0.641,0.382,0.277,0.892,0.597,0.403,0.917,0.3,0.0,0.719,大幅先行,0.0,0,2026-08-21,0,3直まくりv29,0.0951,03R,202608212303,0,73.37,23,大幅先行,0.41,0.176,0.286,0.0,0.249,0.721,0.712,0.734
0.539,0.403,0.279,0.964,0.548,0.452,0.775,0.454,0.125,0.574,大幅先行,0.141,0,2026-08-22,0,3直まくりv29,0.0769,01R,202608220201,0,63.43,02,大幅先行,0.407,0.233,0.301,0.0,0.31,0.602,0.598,0.634
0.731,0.44,0.63,0.856,0.609,0.391,0.801,0.94,1.0,0.719,大幅先行,0.059,0,2026-08-22,0,3直まくりv29,0.0949,07R,202608220407,0,73.05,04,大幅先行,0.701,0.545,0.557,0.0,0.622,0.716,0.71,0.73
0.825,0.695,0.855,0.856,0.511,0.489,0.618,0.5,0.5,0.576,中間先行,0.633,0,2026-08-22,0,3まくり差しv29,0.0403,10R,202608220810,0,69.58,08,中間先行,0.671,0.498,0.696,0.792,0.673,0.541,0.479,0.539
0.647,0.663,0.871,0.892,0.523,0.477,0.567,0.677,0.695,0.734,中間先行,0.79,0,2026-08-22,0,3まくり差しv29,0.0461,04R,202608221604,0,80.3,16,中間先行,0.781,0.622,0.803,0.928,0.755,0.629,0.557,0.603
0.857,0.72,1.0,0.928,0.536,0.464,0.6,0.568,0.514,0.884,中間先行,0.689,1,2026-08-22,0,3まくり差しv29,0.0461,06R,202608221906,61300,80.42,19,中間先行,0.811,0.614,0.804,0.891,0.743,0.655,0.571,0.618
0.472,0.359,0.557,0.605,0.694,0.306,0.751,0.5,0.5,0.754,大幅先行,0.216,0,2026-08-22,0,3直まくりv29,0.0936,02R,202608222202,0,71.56,22,大幅先行,0.627,0.496,0.443,0.051,0.539,0.711,0.695,0.716
0.82,0.696,0.923,0.892,0.597,0.403,0.59,0.817,0.895,0.889,中間先行,0.717,0,2026-08-22,0,3まくり差しv29,0.0461,06R,202608222406,0,87.65,24,中間先行,0.868,0.698,0.877,0.942,0.822,0.685,0.61,0.652
0.876,0.767,0.85,0.928,0.536,0.464,0.549,0.509,0.515,0.571,中間先行,0.848,0,2026-08-23,0,3まくり差しv29,0.0394,09R,202608230209,0,71.38,02,中間先行,0.698,0.516,0.714,0.826,0.721,0.523,0.438,0.511
0.766,0.407,0.0,0.605,0.694,0.306,1.0,0.59,0.5,0.795,大幅先行,0.0,1,2026-08-23,0,3直まくりv29,0.0755,03R,202608230303,7120,81.82,03,大幅先行,0.441,0.205,0.307,0.0,0.291,0.809,0.809,0.818
0.52,0.326,0.214,0.748,0.646,0.354,0.816,0.808,0.514,0.687,大幅先行,0.012,0,2026-08-23,0,3直まくりv29,0.0897,01R,202608230401,0,75.63,04,大幅先行,0.512,0.343,0.361,0.0,0.374,0.74,0.741,0.756
0.83,0.698,0.608,0.856,0.609,0.391,0.59,0.5,0.5,0.578,中間先行,0.717,1,2026-08-23,0,3まくり差しv29,0.0449,11R,202608231811,34120,68.63,18,中間先行,0.629,0.453,0.686,0.942,0.631,0.547,0.479,0.542
0.944,0.722,1.0,0.676,0.45,0.55,0.656,0.5,0.5,0.729,中間先行,0.512,0,2026-08-24,0,3まくり差しv29,0.059,09R,202608240309,0,66.66,03,中間先行,0.75,0.547,0.667,0.576,0.683,0.613,0.539,0.588
0.825,0.483,0.315,0.856,0.511,0.489,0.918,0.757,0.895,0.636,大幅先行,0.0,0,2026-08-24,0,3直まくりv29,0.0942,08R,202608240708,0,72.22,07,大幅先行,0.546,0.332,0.45,0.0,0.437,0.7,0.702,0.722
0.565,0.397,0.348,0.497,0.731,0.269,0.741,0.5,0.5,0.685,大幅先行,0.246,0,2026-08-24,0,3直まくりv29,0.0921,06R,202608241006,0,70.2,10,大幅先行,0.575,0.433,0.392,0.104,0.484,0.703,0.678,0.702
0.826,0.741,0.455,0.856,0.609,0.391,0.525,0.469,0.499,0.533,中間先行,0.923,1,2026-08-24,0,3まくり差しv29,0.0663,03R,202608241803,14820,57.82,18,中間先行,0.572,0.39,0.578,0.692,0.588,0.488,0.409,0.488
0.482,0.291,0.096,0.641,0.682,0.318,0.891,0.48,0.6,0.661,大幅先行,0.0,1,2026-08-24,0,3直まくりv29,0.0944,10R,202608241810,17950,72.46,18,大幅先行,0.438,0.273,0.339,0.0,0.342,0.678,0.696,0.725
0.432,0.384,0.092,0.892,0.523,0.477,0.756,0.86,0.8,0.712,大幅先行,0.199,0,2026-08-24,0,3直まくりv29,0.0938,06R,202608241906,0,71.92,19,大幅先行,0.539,0.391,0.412,0.021,0.4,0.705,0.703,0.719
0.783,0.452,0.325,1.0,0.56,0.44,0.865,0.35,0.5,0.566,大幅先行,0.0,0,2026-08-25,0,3直まくりv29,0.0784,05R,202608250305,0,65.03,03,大幅先行,0.471,0.259,0.382,0.0,0.366,0.624,0.614,0.65
0.674,0.361,0.0,0.245,0.817,0.183,0.798,0.275,0.856,0.719,大幅先行,0.07,0,2026-08-25,0,3直まくりv29,0.0899,09R,202608251009,0,68.7,10,大幅先行,0.527,0.376,0.338,0.0,0.432,0.667,0.652,0.687
0.504,0.325,0.116,0.892,0.597,0.403,0.959,0.279,0.4,0.765,大幅先行,0.0,0,2026-08-25,0,3直まくりv29,0.0931,01R,202608251301,0,74.61,13,大幅先行,0.415,0.213,0.339,0.0,0.282,0.711,0.722,0.746
0.782,0.696,0.984,0.892,0.597,0.403,0.572,0.539,0.6,0.675,中間先行,0.776,0,2026-08-25,0,3まくり差しv29,0.0461,04R,202608251304,0,80.76,13,中間先行,0.762,0.605,0.808,0.954,0.789,0.568,0.497,0.557
0.873,0.699,1.0,0.676,0.45,0.55,0.65,0.561,0.931,0.772,中間先行,0.533,0,2026-08-26,0,3まくり差しv29,0.046,07R,202608260107,0,76.89,01,中間先行,0.807,0.639,0.769,0.613,0.782,0.577,0.52,0.574
0.539,0.32,0.659,0.173,0.841,0.159,0.775,0.774,0.99,0.75,大幅先行,0.139,0,2026-08-26,0,3直まくりv29,0.0866,06R,202608260606,0,77.64,06,大幅先行,0.75,0.65,0.509,0.0,0.705,0.771,0.763,0.776
0.647,0.623,0.829,0.676,0.45,0.55,0.632,0.491,0.948,0.818,中間先行,0.589,0,2026-08-26,0,3まくり差しv29,0.046,07R,202608260607,0,77.28,06,中間先行,0.794,0.642,0.773,0.713,0.739,0.615,0.559,0.602
0.296,0.206,0.0,0.569,0.707,0.293,0.966,0.438,0.761,0.714,大幅先行,0.0,1,2026-08-26,0,3直まくりv29,0.0775,04R,202608260904,37760,80.87,09,大幅先行,0.458,0.31,0.354,0.0,0.351,0.77,0.791,0.809
0.477,0.262,0.0,0.353,0.78,0.22,0.865,1.0,1.0,0.798,大幅先行,0.0,0,2026-08-26,0,3直まくりv29,0.0818,01R,202608261301,0,83.96,13,大幅先行,0.567,0.413,0.39,0.0,0.423,0.82,0.834,0.84
0.943,0.722,1.0,0.676,0.45,0.55,0.656,0.617,0.695,0.748,中間先行,0.512,0,2026-08-26,0,3まくり差しv29,0.0374,12R,202608261712,0,70.76,17,中間先行,0.774,0.583,0.708,0.576,0.726,0.601,0.537,0.587
0.889,0.63,1.0,0.712,0.658,0.342,0.667,0.834,0.99,0.882,中間先行,0.479,0,2026-08-27,0,3まくり差しv29,0.0461,09R,202608270909,0,77.97,09,中間先行,0.891,0.734,0.78,0.519,0.839,0.726,0.667,0.697
0.822,0.716,0.451,0.784,0.633,0.367,0.551,0.431,0.485,0.748,中間先行,0.841,0,2026-08-27,1,3まくり差しv29,0.0716,10R,202608270910,0,63.74,09,中間先行,0.656,0.46,0.637,0.838,0.604,0.597,0.507,0.568
0.882,0.751,1.0,0.964,0.548,0.452,0.573,0.69,0.9,0.705,中間先行,0.771,0,2026-08-27,0,3まくり差しv29,0.0461,09R,202608271309,0,88.03,13,中間先行,0.824,0.661,0.88,0.963,0.846,0.573,0.499,0.561
0.736,0.443,0.0,0.892,0.523,0.477,1.0,0.348,0.115,0.935,大幅先行,0.0,0,2026-08-27,0,3直まくりv29,0.0853,10R,202608271410,0,78.33,14,大幅先行,0.377,0.099,0.272,0.0,0.161,0.775,0.771,0.783
0.861,0.764,1.0,1.0,0.56,0.44,0.533,0.383,0.97,0.891,中間先行,0.896,0,2026-08-27,0,3まくり差しv29,0.0461,12R,202608271412,0,86.19,14,中間先行,0.908,0.728,0.862,0.741,0.869,0.623,0.514,0.576
0.833,0.682,1.0,0.676,0.45,0.55,0.65,0.5,0.5,0.825,中間先行,0.531,0,2026-08-28,0,3まくり差しv29,0.043,04R,202608280504,0,69.08,05,中間先行,0.77,0.574,0.691,0.611,0.687,0.637,0.567,0.611
0.558,0.308,0.365,0.317,0.792,0.208,0.809,0.966,0.81,0.728,大幅先行,0.035,0,2026-08-28,0,3直まくりv29,0.0858,03R,202608280903,0,77.95,09,大幅先行,0.61,0.478,0.419,0.0,0.533,0.754,0.764,0.779
0.851,0.707,0.99,0.605,0.694,0.306,0.557,0.549,0.98,0.918,中間先行,0.823,0,2026-08-28,0,3まくり差しv29,0.0461,03R,202608281103,0,86.66,11,中間先行,0.931,0.771,0.867,0.87,0.909,0.68,0.585,0.634
0.842,0.73,0.282,0.784,0.633,0.367,0.542,0.363,0.771,0.502,中間先行,0.87,0,2026-08-28,0,3まくり差しv29,0.0733,11R,202608281111,0,61.05,11,中間先行,0.593,0.421,0.61,0.787,0.605,0.503,0.419,0.495
0.64,0.392,0.0,1.0,0.56,0.44,1.0,0.27,0.3,0.655,大幅先行,0.0,0,2026-08-28,0,3直まくりv29,0.0923,02R,202608281302,0,70.27,13,大幅先行,0.31,0.088,0.286,0.0,0.212,0.65,0.671,0.703
0.598,0.42,0.638,0.676,0.67,0.33,0.749,0.5,0.5,0.799,大幅先行,0.221,0,2026-08-28,0,3直まくりv29,0.0926,03R,202608282303,0,70.87,23,大幅先行,0.659,0.509,0.473,0.06,0.562,0.712,0.685,0.709
0.801,0.473,0.493,0.856,0.511,0.489,0.832,0.209,0.581,0.84,大幅先行,0.0,0,2026-08-29,0,3直まくりv29,0.0836,03R,202608290503,0,67.1,05,大幅先行,0.605,0.383,0.455,0.0,0.439,0.669,0.639,0.671
0.785,0.487,0.874,0.389,0.768,0.232,0.734,0.665,0.144,0.576,大幅先行,0.268,0,2026-08-29,0,3直まくりv29,0.0798,10R,202608291110,0,65.85,11,大幅先行,0.599,0.453,0.418,0.144,0.598,0.644,0.622,0.659
0.83,0.702,0.514,0.748,0.646,0.354,0.574,0.62,0.8,0.688,中間先行,0.77,0,2026-08-29,0,3まくり差しv29,0.0439,09R,202608291309,0,73.63,13,中間先行,0.695,0.526,0.736,0.965,0.684,0.587,0.515,0.574
0.694,0.425,0.143,0.892,0.523,0.477,0.882,0.826,0.611,0.563,大幅先行,0.0,0,2026-08-29,0,3直まくりv29,0.0934,09R,202608291409,0,71.37,14,大幅先行,0.444,0.235,0.354,0.0,0.319,0.683,0.691,0.714
0.846,0.696,1.0,0.856,0.511,0.489,0.625,0.5,0.5,0.908,中間先行,0.608,0,2026-08-29,0,3まくり差しv29,0.0456,11R,202608291911,0,75.82,19,中間先行,0.802,0.604,0.758,0.748,0.718,0.656,0.578,0.623
0.885,0.509,0.806,0.928,0.536,0.464,0.817,0.68,0.135,0.683,大幅先行,0.01,0,2026-08-30,0,3直まくりv29,0.089,07R,202608300707,0,68.37,07,大幅先行,0.576,0.353,0.421,0.0,0.463,0.677,0.655,0.684
0.805,0.459,0.0,0.969,0.571,0.429,0.959,0.776,0.429,0.535,大幅先行,0.0,1,2026-08-30,0,3直まくりv29,0.0944,04R,202608301704,6600,72.56,17,大幅先行,0.347,0.114,0.29,0.0,0.243,0.689,0.703,0.726
0.859,0.677,0.976,0.676,0.45,0.55,0.665,0.68,0.8,0.726,中間先行,0.483,0,2026-08-30,0,3まくり差しv29,0.0376,11R,202608301711,0,70.83,17,中間先行,0.774,0.602,0.708,0.525,0.736,0.605,0.553,0.599
0.875,0.709,0.811,0.676,0.45,0.55,0.641,0.94,1.0,0.567,中間先行,0.56,0,2026-08-30,0,3まくり差しv29,0.0427,11R,202608301911,0,72.77,19,中間先行,0.714,0.56,0.728,0.662,0.738,0.535,0.498,0.556
0.841,0.502,1.0,0.748,0.646,0.354,0.775,0.5,0.5,0.807,大幅先行,0.139,0,2026-08-30,1,3直まくりv29,0.0923,03R,202608302103,0,70.36,21,大幅先行,0.751,0.571,0.538,0.0,0.663,0.718,0.678,0.704
0.815,0.464,0.912,0.461,0.743,0.257,0.775,0.5,0.5,0.685,大幅先行,0.139,0,2026-08-30,0,3直まくりv29,0.0923,09R,202608302109,0,70.63,21,大幅先行,0.716,0.554,0.478,0.0,0.658,0.718,0.68,0.706
0.42,0.248,0.076,0.461,0.743,0.257,0.891,0.492,0.486,0.603,大幅先行,0.0,0,2026-08-31,0,3直まくりv29,0.0939,03R,202608310403,0,72.03,04,大幅先行,0.392,0.244,0.29,0.0,0.326,0.66,0.688,0.72
0.712,0.645,0.696,0.995,0.558,0.442,0.607,0.403,0.571,0.733,中間先行,0.667,0,2026-08-31,0,3まくり差しv29,0.043,02R,202608310602,0,72.98,06,中間先行,0.692,0.523,0.73,0.852,0.653,0.589,0.524,0.577
0.692,0.612,0.582,0.595,0.422,0.578,0.668,0.754,0.79,0.537,中間先行,0.474,0,2026-08-31,0,3まくり差しv29,0.0679,08R,202608311608,0,58.6,16,中間先行,0.611,0.459,0.586,0.509,0.59,0.546,0.519,0.568
0.576,0.325,0.26,0.137,0.853,0.147,0.783,0.209,0.581,0.754,大幅先行,0.117,0,2026-09-01,0,3直まくりv29,0.0944,05R,202609010505,0,72.5,05,大幅先行,0.584,0.44,0.338,0.0,0.479,0.728,0.7,0.725
0.524,0.282,0.173,0.353,0.78,0.22,0.917,0.429,0.315,0.551,大幅先行,0.0,0,2026-09-01,0,3直まくりv29,0.0931,01R,202609010601,0,74.6,06,大幅先行,0.405,0.235,0.259,0.0,0.331,0.711,0.72,0.746
0.282,0.245,0.0,0.964,0.548,0.452,1.0,0.56,0.865,0.548,大幅先行,0.0,0,2026-09-01,1,3直まくりv29,0.0949,02R,202609010602,0,73.6,06,大幅先行,0.37,0.233,0.388,0.0,0.333,0.653,0.705,0.736
0.592,0.509,0.793,0.712,0.658,0.342,0.664,0.329,0.58,0.744,中間先行,0.488,1,2026-09-01,0,3まくり差しv29,0.0677,05R,202609010605,20000,64.62,06,中間先行,0.722,0.587,0.646,0.535,0.68,0.653,0.604,0.64
0.643,0.694,0.852,0.892,0.523,0.477,0.515,0.65,0.5,0.78,中間先行,0.953,0,2026-09-01,0,3まくり差しv29,0.0453,07R,202609010807,0,68.58,08,中間先行,0.744,0.564,0.686,0.639,0.695,0.617,0.531,0.584
0.75,0.501,0.386,0.856,0.609,0.391,0.749,0.5,0.5,0.858,大幅先行,0.223,0,2026-09-01,1,3直まくりv29,0.0921,03R,202609011203,0,69.77,12,大幅先行,0.613,0.42,0.439,0.062,0.46,0.711,0.672,0.698
0.793,0.443,0.263,0.784,0.633,0.367,0.816,0.41,0.5,0.553,大幅先行,0.012,0,2026-09-01,0,3直まくりv29,0.0821,10R,202609011210,0,66.54,12,大幅先行,0.496,0.299,0.349,0.0,0.384,0.657,0.633,0.665
0.85,0.672,1.0,0.676,0.45,0.55,0.667,0.871,0.619,0.828,中間先行,0.479,0,2026-09-01,0,3まくり差しv29,0.0434,10R,202609012110,0,68.94,21,中間先行,0.787,0.597,0.689,0.519,0.703,0.676,0.62,0.655
0.428,0.303,0.0,1.0,0.56,0.44,1.0,0.5,0.5,0.563,大幅先行,0.0,1,2026-09-01,0,3直まくりv29,0.0949,05R,202609012405,16260,73.17,24,大幅先行,0.323,0.145,0.318,0.0,0.256,0.664,0.703,0.732
0.441,0.543,0.391,0.676,0.45,0.55,0.625,0.6,0.6,0.591,中間先行,0.609,0,2026-09-02,0,3まくり差しv29,0.0692,06R,202609020606,0,59.35,06,中間先行,0.567,0.423,0.593,0.75,0.517,0.576,0.543,0.584
0.608,0.385,0.0,0.928,0.536,0.464,0.966,0.79,0.7,0.614,大幅先行,0.0,0,2026-09-02,1,3直まくりv29,0.0945,08R,202609021308,0,72.62,13,大幅先行,0.374,0.179,0.353,0.0,0.293,0.662,0.7,0.726
0.754,0.666,0.736,0.712,0.658,0.342,0.575,0.5,0.5,0.523,中間先行,0.767,0,2026-09-02,0,3まくり差しv29,0.0379,04R,202609021704,0,70.35,17,中間先行,0.652,0.501,0.704,0.97,0.697,0.538,0.474,0.538
0.815,0.487,0.406,0.856,0.511,0.489,0.816,0.434,0.59,0.831,大幅先行,0.012,0,2026-09-02,0,3直まくりv29,0.0824,11R,202609022411,0,66.66,24,大幅先行,0.571,0.356,0.436,0.0,0.421,0.652,0.633,0.667
