actual_combo,approved_A,approved_S,date,ex_head,head_boat,head_hit,history_adjust,history_pct,hit_20,hit_4,hit_6,hit_8,invest_20,invest_4,invest_6,invest_8,kimarite,live_action,live_hit,live_invest,live_points,live_return,live_tickets,method_hit,model,orig_straight_head,orig_turn_head,pair_weight,payout,period,preview_comp,prior1,prior2,race_code,return_20,return_4,return_6,return_8,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v53_score,v55_formula,v55_score,v55_selected,v55_threshold,winner
5-1-2,1,0,2026-08-20,0.4,4,0,1.852,0.9631,0,0,0,0,2000,400,600,800,まくり,OBSERVE,0,0,0,0,,0,4カドまくり,0.6,0.8,,5360,test,0.6338,0.8323399790136411,0.8154648478488982,202608201604,0,0,0,0,0.8,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-1-5;4-2-5;4-3-1;4-6-2;4-5-6;4-5-3;4-3-2;4-1-6;4-1-3;4-2-6;4-2-3;4-6-5;4-3-5;4-6-3;4-3-6,4-5-1;4-5-2;4-2-1;4-1-2,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-1-5,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-1-5;4-2-5;4-3-1,0,65.192,MOTOR_EDGE,75.37739047619047,1,67.67076190476189,5
2-1-4,1,1,2026-08-20,1.0,4,0,1.912,0.9781,0,0,0,0,2000,400,600,800,差し,OBSERVE,0,0,0,0,,0,4カドまくり,1.0,1.0,,1740,test,0.95155,0.9257817418677858,0.829093389296957,202608202005,0,0,0,0,1.0,4-5-1;4-5-2;4-2-1;4-6-1;4-1-2;4-6-2;4-3-1;4-5-6;4-1-5;4-5-3;4-2-5;4-3-2;4-1-6;4-1-3;4-2-6;4-2-3;4-6-5;4-3-5;4-6-3;4-3-6,4-5-1;4-5-2;4-2-1;4-6-1,4-5-1;4-5-2;4-2-1;4-6-1;4-1-2;4-6-2,4-5-1;4-5-2;4-2-1;4-6-1;4-1-2;4-6-2;4-3-1;4-5-6,0,97.027,MOTOR_EDGE,80.15399047619047,1,67.67076190476189,2
5-6-2,1,0,2026-08-20,1.0,4,0,0.047,0.5116,0,0,0,0,2000,400,600,800,まくり,OBSERVE,0,0,0,0,,0,4カドまくり,1.0,0.6,,95740,test,0.6379,0.5,0.5,202608202311,0,0,0,0,0.0,4-5-1;4-6-1;4-5-2;4-2-1;4-1-2;4-6-2;4-5-6;4-1-6;4-3-1;4-2-6;4-1-5;4-2-5;4-6-5;4-3-2;4-5-3;4-1-3;4-2-3;4-6-3;4-3-6;4-3-5,4-5-1;4-6-1;4-5-2;4-2-1,4-5-1;4-6-1;4-5-2;4-2-1;4-1-2;4-6-2,4-5-1;4-6-1;4-5-2;4-2-1;4-1-2;4-6-2;4-5-6;4-1-6,0,63.797,MOTOR_EDGE,61.62770476190475,0,67.67076190476189,5
2-1-3,0,0,2026-08-20,0.19999999999999996,5,0,0,0.5,0,0,0,0,2000,400,600,800,差し,OBSERVE,0,0,0,0,,0,5頭展開,0.6,0.4,0.4,5260,test,0.4850666666666667,0.3908342077649528,0.4211678908709339,202608200912,0,0,0,0,0.6,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1;5-4-6;5-3-1;5-4-2;5-4-3;5-2-6;5-2-4;5-6-1;5-2-3;5-3-2;5-6-2;5-3-6;5-3-4;5-6-3;5-6-4,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1;5-4-6;5-3-1,0,48.50666666666667,,,,,2
3-5-1,1,0,2026-08-20,0.0,5,0,0,0.5,0,0,0,0,2000,400,600,800,まくり,BUY,0,600,6,0,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1,0,5頭展開,0.8,0.6,0.4,106480,test,0.5807033333333333,0.3668782791185729,0.5055435466946485,202608201110,0,0,0,0,0.19999999999999996,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1;5-4-6;5-4-2;5-2-6;5-2-4;5-4-3;5-6-1;5-6-2;5-3-1;5-2-3;5-3-2;5-3-6;5-3-4;5-6-4;5-6-3,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1,5-1-2;5-1-6;5-1-3;5-1-4;5-2-1;5-4-1;5-4-6;5-4-2,0,58.07033333333334,,,,,3
4-6-5,0,0,2026-08-20,0.0,5,0,0,0.5,0,0,0,0,2000,400,600,800,まくり,OBSERVE,0,0,0,0,,0,5頭展開,0.5,0.6,0.4,5220,test,0.41655,0.6491758241758241,0.5492857142857143,202608201305,0,0,0,0,0.6,5-1-2;5-1-6;5-2-1;5-1-3;5-4-1;5-1-4;5-4-2;5-4-6;5-2-4;5-2-6;5-4-3;5-2-3;5-6-2;5-3-2;5-3-1;5-6-1;5-3-6;5-3-4;5-6-4;5-6-3,5-1-2;5-1-6;5-2-1;5-1-3,5-1-2;5-1-6;5-2-1;5-1-3;5-4-1;5-1-4,5-1-2;5-1-6;5-2-1;5-1-3;5-4-1;5-1-4;5-4-2;5-4-6,0,41.655,,,,,4
1-2-4,0,0,2026-08-20,0.19999999999999996,5,0,0,0.5,0,0,0,0,2000,400,600,800,逃げ,OBSERVE,0,0,0,0,,0,5頭展開,0.0,0.6,0.4,650,test,0.40703,0.6264533053515215,0.6432864637985309,202608201612,0,0,0,0,0.6,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-3;5-4-2;5-3-1;5-2-4;5-3-2;5-2-3;5-2-6;5-3-6;5-6-1;5-3-4;5-6-2;5-6-3;5-6-4,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-3,-0.5,40.703,,,,,1
1-2-5,1,0,2026-08-20,1.0,5,0,0,0.5,0,0,0,0,2000,400,600,800,逃げ,BUY,0,600,6,0,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1,0,5頭展開,0.5,0.8,0.4,630,test,0.63922,0.48917582417582417,0.6573956043956044,202608201803,0,0,0,0,0.8,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-2;5-4-6;5-4-3;5-3-1;5-2-4;5-2-6;5-2-3;5-6-1;5-3-2;5-6-2;5-3-4;5-3-6;5-6-3;5-6-4,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-2;5-4-6,0,63.922000000000004,,,,,1
1-2-4,1,0,2026-08-20,0.8,5,0,0,0.5,0,0,0,0,2000,400,600,800,逃げ,BUY,0,600,6,0,5-1-2;5-1-6;5-1-3;5-2-1;5-1-4;5-4-1,0,5頭展開,0.4,1.0,0.4,1180,test,0.6167266666666668,0.3508342077649528,0.3508342077649528,202608201906,0,0,0,0,0.8,5-1-2;5-1-6;5-1-3;5-2-1;5-1-4;5-4-1;5-4-6;5-4-2;5-2-6;5-2-4;5-6-2;5-4-3;5-6-1;5-2-3;5-3-1;5-3-2;5-3-6;5-6-3;5-3-4;5-6-4,5-1-2;5-1-6;5-1-3;5-2-1,5-1-2;5-1-6;5-1-3;5-2-1;5-1-4;5-4-1,5-1-2;5-1-6;5-1-3;5-2-1;5-1-4;5-4-1;5-4-6;5-4-2,0.5,61.67266666666668,,,,,1
1-2-3,0,0,2026-08-20,0.19999999999999996,5,0,0,0.5,0,0,0,0,2000,400,600,800,逃げ,OBSERVE,0,0,0,0,,0,5頭展開,0.0,0.4,0.4,3130,test,0.34986666666666666,0.7935414480587618,0.7132917103882477,202608202012,0,0,0,0,0.6,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2;5-4-3;5-6-1;5-3-1;5-2-6;5-6-2;5-2-4;5-3-6;5-2-3;5-3-2;5-3-4;5-6-3;5-6-4,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2,0,34.986666666666665,,,,,1
