month,race_code,p3head,lambda,N,hit,comp,return_yen,zero_stake,actual,tickets,pair_train,odds_source
2026-07,202607010608,0.3021977352538603,0.75,10,1,26.70265045274555,279000.0,0,3-5-4,3-4-5;3-4-1;3-1-4;3-5-4;3-4-6;3-4-2;3-2-4;3-1-5;3-6-4;3-5-1,4286,official_closing
2026-07,202607010608,0.3021977352538603,0.75,11,1,25.126551063212926,248000.0,0,3-5-4,3-4-5;3-4-1;3-1-4;3-5-4;3-4-6;3-4-2;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2,4286,official_closing
2026-07,202607010608,0.3021977352538603,0.75,12,1,24.342201773829547,248000.0,0,3-5-4,3-4-5;3-4-1;3-1-4;3-5-4;3-4-6;3-4-2;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-5-6,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,5,0,38.8448715788927,0.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,6,1,34.519384318176535,341000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,7,1,32.682836393582434,341000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,8,1,29.62290997106035,310000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,9,1,28.482571218590266,279000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,10,1,26.70265045274555,279000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,11,1,25.126551063212926,248000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2,4286,official_closing
2026-07,202607010608,0.3021977352538603,1.0,12,1,24.339660030508583,248000.0,0,3-5-4,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,5,1,3.274223694240026,31960.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,6,1,3.117888846794669,31960.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,7,1,3.0089282898187024,30080.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2;3-2-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,8,1,2.3849229000047294,24440.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2;3-2-5;3-1-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,9,1,2.319231818365311,22560.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2;3-2-5;3-1-4;3-6-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,10,1,2.2233852421910836,22560.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2;3-2-5;3-1-4;3-6-1;3-5-6,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,11,1,2.173362244870379,22560.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2;3-2-5;3-1-4;3-6-1;3-5-6;3-6-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.0,12,1,2.034326743662629,20680.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-2-1;3-1-6;3-5-2;3-2-5;3-1-4;3-6-1;3-5-6;3-6-5;3-5-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,5,1,3.274223694240026,31960.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1,4286,official_closing
