racer_id,racer_name,n,mean_ex_st,mean_actual_st,mean_delta,median_delta,shrunk_delta,actual_3c_faster_rate,actual_3c_slower_rate,early_n,early_delta,late_n,late_delta
4346,前田 健太郎,74,0.18081081081081082,0.16013513513513514,-0.020675675675675673,-0.030000000000000013,-0.009929581103964769,52.7027027027027,35.13513513513514,48,-0.011666666666666665,26,-0.037307692307692306
5422,真田 聖也,28,0.17821428571428571,0.1417857142857143,-0.03642857142857142,-0.010000000000000009,-0.00852854770350105,46.42857142857143,39.285714285714285,21,-0.060952380952380945,7,0.03714285714285714
4839,四宮 与寛,84,0.14499999999999996,0.1301190476190476,-0.01488095238095238,-0.0049999999999999906,-0.005894519284394044,44.04761904761905,38.095238095238095,46,-0.011956521739130432,38,-0.018421052631578942
3744,徳増 秀樹,97,0.11546391752577319,0.11123711340206187,-0.0042268041237113405,0.009999999999999995,0.002672104553896824,42.2680412371134,43.29896907216495,58,-0.003275862068965522,39,-0.005641025641025638
4278,藤岡 俊介,94,0.11861702127659575,0.11457446808510637,-0.004042553191489364,-0.0049999999999999906,0.003037646031413078,44.680851063829785,36.170212765957444,53,-0.0007547169811320762,41,-0.00829268292682927
5288,尾道 佳諭,61,0.12442622950819672,0.11918032786885246,-0.005245901639344259,0.010000000000000009,0.005294580102351549,37.704918032786885,44.26229508196721,26,-0.0007692307692307688,35,-0.008571428571428567
4054,福嶋 智之,65,0.15446153846153848,0.15030769230769234,-0.004153846153846157,-0.009999999999999995,0.005678869163559463,44.61538461538461,43.07692307692308,45,-0.02066666666666667,20,0.03300000000000001
4093,吉田 宗弘,58,0.16517241379310346,0.16086206896551725,-0.004310344827586205,-0.009999999999999981,0.0065575762833376475,46.55172413793103,32.758620689655174,40,-0.04,18,0.07500000000000001
5250,嶋田 有里,76,0.16921052631578948,0.16776315789473686,-0.0014473684210526306,0.02500000000000001,0.006812967293801859,42.10526315789474,50.0,48,-0.02,28,0.03035714285714286
4300,加藤 綾,70,0.16271428571428573,0.1612857142857143,-0.0014285714285714297,0.0,0.007448939840836997,40.0,40.0,44,0.005909090909090906,26,-0.013846153846153845
3579,中里 優子,52,0.1642307692307692,0.1601923076923077,-0.004038461538461542,0.0,0.007837341730112255,42.30769230769231,42.30769230769231,34,-0.0035294117647058855,18,-0.005000000000000001
4395,下河 雅史,77,0.16324675324675328,0.16493506493506496,0.0016883116883116861,0.01999999999999999,0.009493278014562753,36.36363636363637,48.05194805194805,50,-0.018799999999999997,27,0.03962962962962963
5206,梅原 祥平,55,0.12981818181818183,0.13,0.00018181818181817945,-0.009999999999999995,0.010860233650260922,45.45454545454545,41.81818181818182,40,-0.009000000000000003,15,0.024666666666666656
3748,小黒 竜吾,43,0.16558139534883723,0.16348837209302328,-0.0020930232558139528,-0.010000000000000009,0.011432362023904904,37.2093023255814,32.55813953488372,31,-0.0009677419354838664,12,-0.004999999999999995
3889,須藤 隆雄,57,0.14842105263157895,0.15035087719298246,0.0019298245614035102,0.0,0.012028584884581504,42.10526315789474,42.10526315789474,27,0.03555555555555557,30,-0.028333333333333335
3895,堀本 裕也,27,0.19592592592592595,0.18740740740740744,-0.008518518518518519,-0.010000000000000009,0.012592302358566482,44.44444444444444,44.44444444444444,24,-0.02,3,0.08333333333333333
4313,西村 美智子,69,0.1360869565217391,0.14043478260869566,0.0043478260869565175,0.01999999999999999,0.012606521357809621,39.130434782608695,46.3768115942029,28,0.0067857142857142855,41,0.002682926829268291
5357,田中 瀬里奈,49,0.1610204081632653,0.1622448979591837,0.0012244897959183662,0.02999999999999997,0.012812121818084068,36.734693877551024,48.97959183673469,35,-0.009428571428571427,14,0.027857142857142858
3796,長野 道臣,68,0.15823529411764706,0.16367647058823534,0.005441176470588234,0.01999999999999999,0.013665579323935383,41.1764705882353,45.588235294117645,45,-0.000666666666666666,23,0.017391304347826087
4031,飯島 誠,73,0.15767123287671236,0.16438356164383564,0.006712328767123286,0.01999999999999999,0.014288134786348912,34.24657534246575,42.465753424657535,38,0.02631578947368421,35,-0.014571428571428575
4723,寺島 吉彦,46,0.14652173913043476,0.15086956521739128,0.00434782608695653,0.009999999999999995,0.01599848548691,45.65217391304348,50.0,17,0.030588235294117663,29,-0.011034482758620692
5132,中野 希一,96,0.11552083333333334,0.1260416666666667,0.010520833333333335,0.015,0.01609353950251849,38.541666666666664,45.833333333333336,51,0.01215686274509804,45,0.008666666666666668
5165,小林 愛実,57,0.1607017543859649,0.16754385964912283,0.006842105263157897,0.0,0.016207689362193436,42.10526315789474,36.8421052631579,28,0.013571428571428576,29,0.0003448275862069007
3943,三松 直美,29,0.17413793103448275,0.17206896551724138,-0.0020689655172413763,-0.010000000000000009,0.016305517622229742,37.93103448275862,37.93103448275862,17,-0.028823529411764706,12,0.035833333333333335
4819,蜂須 瑞生,56,0.1525,0.1594642857142857,0.00696428571428571,0.0050000000000000044,0.016453260413135756,41.07142857142857,46.42857142857143,38,-0.012105263157894739,18,0.04722222222222223
4936,戸敷 晃美,59,0.16186440677966102,0.16999999999999998,0.008135593220338987,0.009999999999999995,0.01704224909082551,40.67796610169491,44.067796610169495,23,-0.003913043478260866,36,0.01583333333333333
5426,甲斐 貴大,54,0.15648148148148147,0.16425925925925924,0.007777777777777774,0.01999999999999999,0.017436174801046242,40.74074074074074,48.148148148148145,35,-0.021142857142857144,19,0.06105263157894738
4441,末永 由楽,83,0.09337349397590362,0.10686746987951809,0.013493975903614456,0.010000000000000002,0.019525969755558707,38.55421686746988,43.373493975903614,51,0.0107843137254902,32,0.0178125
3831,安藤 裕貴,76,0.1319736842105263,0.145,0.013026315789473684,0.015,0.01960366496822047,36.8421052631579,47.36842105263158,37,0.01675675675675676,39,0.009487179487179488
3848,川上 聡介,47,0.13446808510638297,0.14382978723404258,0.009361702127659572,-0.009999999999999981,0.019928336618718585,34.04255319148936,44.680851063829785,30,0.026000000000000002,17,-0.020000000000000004
5129,山口 真喜子,91,0.12725274725274727,0.14197802197802198,0.01472527472527473,0.020000000000000004,0.020157576111554058,35.16483516483517,49.45054945054945,54,0.018518518518518517,37,0.009189189189189189
5208,屋良 龍紀,54,0.13703703703703704,0.14833333333333332,0.011296296296296297,0.03499999999999999,0.020404924801046248,33.333333333333336,51.851851851851855,38,0.016315789473684214,16,-0.0006250000000000006
4315,山崎 昂介,78,0.1417948717948718,0.15589743589743593,0.014102564102564101,0.015,0.020408127128033634,34.61538461538461,46.15384615384615,45,0.017333333333333336,33,0.009696969696969693
5456,今村 天次朗,52,0.1351923076923077,0.14615384615384616,0.01096153846153846,0.015000000000000006,0.02041798689140258,34.61538461538461,48.07692307692308,34,0.016176470588235296,18,0.0011111111111111152
5428,古園井 綾南,28,0.18285714285714286,0.1860714285714286,0.0032142857142857173,0.025,0.02068197861228842,42.857142857142854,50.0,20,-0.013500000000000002,8,0.045
3509,池 千夏,54,0.1411111111111111,0.15314814814814814,0.012037037037037044,0.010000000000000002,0.02102992480104625,42.592592592592595,46.2962962962963,32,0.02500000000000001,22,-0.006818181818181817
4323,山田 佑樹,76,0.12131578947368422,0.13605263157894737,0.01473684210526316,0.020000000000000018,0.02111529287519721,27.63157894736842,48.68421052631579,50,0.015399999999999999,26,0.013461538461538466
4317,木村 紗友希,64,0.1528125,0.166875,0.014062500000000002,0.015,0.02156642144955351,40.625,45.3125,41,0.004146341463414631,23,0.03173913043478261
5317,長尾 萌加,73,0.1252054794520548,0.14095890410958906,0.015753424657534244,0.009999999999999995,0.022239942015264576,39.726027397260275,43.83561643835616,42,0.0035714285714285718,31,0.03225806451612903
3793,高橋 真吾,58,0.13534482758620692,0.1503448275862069,0.015000000000000001,0.010000000000000002,0.023028164518631766,36.206896551724135,41.37931034482759,36,0.0027777777777777788,22,0.035
4297,山田 哲也,71,0.08943661971830988,0.10605633802816902,0.016619718309859154,0.009999999999999995,0.023159446756382217,32.394366197183096,42.25352112676056,35,0.00028571428571428595,36,0.0325
5050,木下 雄介,93,0.13193548387096776,0.1506451612903226,0.01870967741935484,0.020000000000000018,0.02364966201230059,34.40860215053763,48.38709677419355,50,0.037000000000000005,43,-0.0025581395348837203
4357,田中 和也,74,0.13770270270270268,0.15540540540540543,0.017702702702702702,0.01999999999999999,0.02387994270555905,29.72972972972973,45.945945945945944,41,0.00829268292682927,33,0.029393939393939396
3801,五反田 忍,48,0.15145833333333333,0.16583333333333336,0.014375000000000004,0.010000000000000009,0.02389508943563724,33.333333333333336,43.75,31,0.027096774193548393,17,-0.008823529411764702
4837,酒井 陽祐,63,0.12841269841269842,0.14507936507936509,0.016666666666666663,0.010000000000000009,0.023916646400917264,41.26984126984127,46.03174603174603,39,0.01205128205128205,24,0.02416666666666666
4137,君島 秀三,90,0.10722222222222225,0.12633333333333335,0.01911111111111111,0.02500000000000001,0.024159151872669603,27.77777777777778,50.0,53,0.0169811320754717,37,0.022162162162162165
5313,鈴木 唯央,37,0.14594594594594593,0.15783783783783784,0.011891891891891894,0.010000000000000009,0.024168408239722553,37.83783783783784,48.648648648648646,24,0.013333333333333336,13,0.009230769230769233
4277,金田 大輔,74,0.13932432432432432,0.15797297297297297,0.018648648648648656,0.02500000000000001,0.024713276038892385,33.78378378378378,50.0,44,0.007954545454545454,30,0.034333333333333334
