date,race_code,actual,pre143,pred,conf,p_1逃げ,p_3まくり,p_3まくり差し,p_4カド,p_5頭,p_その他
2026-08-01,202608010101,1逃げ,4カド,4カド,0.37151684295111226,26.400058372227726,7.93334344216472,2.682830042495731,37.151684295111224,3.5873417394509244,22.244742108549666
2026-08-01,202608010102,その他,4カド,その他,0.24885148474449456,24.059188548826036,21.302090644424894,8.639538831494868,17.415737787740508,3.6982957130642506,24.885148474449455
2026-08-01,202608010103,1逃げ,1逃げ,その他,0.4830039963242503,26.884918885634622,5.807593650442315,8.793008860969117,6.233463875449305,3.9806150950796106,48.30039963242503
2026-08-01,202608010104,4カド,5頭,その他,0.3620642913631169,18.66346651616678,22.541676069097534,10.894943706259868,6.560364300522695,5.133120271641435,36.20642913631169
2026-08-01,202608010105,1逃げ,4カド,その他,0.33820577882525665,30.44102335255917,5.967712835666102,5.010760184711349,17.60891781222646,7.151007932311251,33.82057788252567
2026-08-01,202608010106,1逃げ,1逃げ,1逃げ,0.6438445058010169,64.3844505801017,2.6011353765313756,3.604594388942581,12.226005529241986,3.877752326532252,13.306061798650127
2026-08-01,202608010107,3まくり,1逃げ,1逃げ,0.480043733129833,48.0043733129833,4.804411117220315,8.404419908896239,7.277152953943718,4.384353659656887,27.12528904729954
2026-08-01,202608010108,1逃げ,1逃げ,1逃げ,0.7770586484166102,77.70586484166103,1.8709506087575607,2.139249927010144,8.693331727339556,3.793117197092758,5.797485698138964
2026-08-01,202608010109,4カド,1逃げ,その他,0.3714884984209852,33.33125840075407,2.7751846557614575,3.017148155200778,18.997688122098463,4.729870824086703,37.14884984209852
2026-08-01,202608010110,その他,1逃げ,1逃げ,0.352177378142916,35.2177378142916,12.134673329229894,9.680381413926014,6.252728391756636,4.222800319234754,32.491678731561095
2026-08-01,202608010111,1逃げ,1逃げ,1逃げ,0.39999957212578613,39.999957212578614,15.230694149875976,4.683543925976038,4.4213655265673095,3.6937479443342136,31.970691240667858
2026-08-01,202608010112,1逃げ,1逃げ,1逃げ,0.5616934348836363,56.16934348836363,3.5380374074914616,9.020784499057328,4.754805533616413,13.032694182143894,13.484334889327274
2026-08-01,202608010501,3まくり,5頭,1逃げ,0.3204747038419073,32.04747038419073,19.904756614771337,11.954302629277198,0.8849530078452162,18.689195256447956,16.519322107467556
