month,variant,race_code,p,head_hit,fstate_n,neighbor_n
2026-07,CURRENT,202607010201,0.23184919357169917,0,25,8
2026-07,CURRENT,202607010202,0.3181104694735924,1,20,7
2026-07,CURRENT,202607010203,0.3448732784724601,0,14,6
2026-07,CURRENT,202607010204,0.528746884636383,1,33,11
2026-07,CURRENT,202607010205,0.5367153313428404,1,15,17
2026-07,CURRENT,202607010206,0.22359380652332586,0,36,9
2026-07,CURRENT,202607010207,0.6048332015628433,1,33,13
2026-07,CURRENT,202607010208,0.34721786963141604,1,37,14
2026-07,CURRENT,202607010209,0.4601403367726962,0,6,7
2026-07,CURRENT,202607010210,0.5872812172343842,1,11,5
2026-07,CURRENT,202607010211,0.540705297941522,1,20,13
2026-07,CURRENT,202607010212,0.4827423707445221,0,23,12
2026-07,CURRENT,202607010501,0.5853948779552873,1,32,11
2026-07,CURRENT,202607010502,0.7071492305823461,1,2,8
2026-07,CURRENT,202607010503,0.48372437395391593,0,22,10
2026-07,CURRENT,202607010504,0.5100537755606861,1,17,5
2026-07,CURRENT,202607010505,0.8005061647017958,0,10,12
2026-07,CURRENT,202607010506,0.39396487692849835,1,27,9
2026-07,CURRENT,202607010507,0.5158004757600959,1,24,9
2026-07,CURRENT,202607010508,0.5864333980962365,1,14,3
2026-07,CURRENT,202607010509,0.8145128315171458,1,17,14
2026-07,CURRENT,202607010510,0.649046926473832,0,26,12
2026-07,CURRENT,202607010511,0.7168462401730437,1,17,12
2026-07,CURRENT,202607010512,0.8688516281495845,1,29,16
2026-07,CURRENT,202607010601,0.5057267919950583,1,27,11
2026-07,CURRENT,202607010602,0.3514880827774474,0,13,4
2026-07,CURRENT,202607010603,0.8432777981998616,1,32,15
2026-07,CURRENT,202607010604,0.18445990443411772,0,31,9
2026-07,CURRENT,202607010605,0.3008161369785545,1,1,7
2026-07,CURRENT,202607010606,0.3355118972253981,1,24,10
2026-07,CURRENT,202607010607,0.3672668690523762,1,25,9
2026-07,CURRENT,202607010608,0.23197371291326088,0,20,5
2026-07,CURRENT,202607010609,0.5635942957968078,0,26,9
2026-07,CURRENT,202607010610,0.5094899846191286,1,19,9
2026-07,CURRENT,202607010611,0.36110094094209105,0,22,9
2026-07,CURRENT,202607010612,0.9004759860075447,1,19,11
2026-07,CURRENT,202607010701,0.4255907990036214,1,26,13
2026-07,CURRENT,202607010702,0.4445630375764174,1,12,6
2026-07,CURRENT,202607010703,0.20084047481094625,0,24,9
2026-07,CURRENT,202607010704,0.48507467502379154,0,33,14
2026-07,CURRENT,202607010705,0.5140050176945289,0,45,16
2026-07,CURRENT,202607010706,0.530579780089434,0,19,7
2026-07,CURRENT,202607010707,0.7264977081722952,1,24,9
2026-07,CURRENT,202607010708,0.6973213621975717,1,22,6
2026-07,CURRENT,202607010709,0.7149818906915723,1,16,13
2026-07,CURRENT,202607010710,0.6805474788444682,1,27,10
2026-07,CURRENT,202607010711,0.6976696668931399,1,0,0
2026-07,CURRENT,202607010712,0.7485582864028069,0,37,17
2026-07,CURRENT,202607010801,0.8150900826994566,1,47,16
2026-07,CURRENT,202607010802,0.3061470201100135,0,26,9
2026-07,CURRENT,202607010803,0.36641105520996337,1,16,4
2026-07,CURRENT,202607010804,0.6663315890953261,1,19,6
2026-07,CURRENT,202607010805,0.45141351682345815,1,38,18
2026-07,CURRENT,202607010806,0.5763337408901591,1,42,17
2026-07,CURRENT,202607010807,0.15126551259632,0,31,10
2026-07,CURRENT,202607010808,0.4919376206661632,0,21,5
2026-07,CURRENT,202607010809,0.7236043878263541,1,36,12
2026-07,CURRENT,202607010810,0.7029842276588498,1,30,14
2026-07,CURRENT,202607010811,0.7087169539891536,1,36,13
2026-07,CURRENT,202607010812,0.8430713424140905,1,34,13
2026-07,CURRENT,202607011001,0.8142959835192574,1,33,22
2026-07,CURRENT,202607011002,0.7560578369958233,0,27,16
2026-07,CURRENT,202607011003,0.6443885072581503,1,25,11
2026-07,CURRENT,202607011004,0.6751158434591491,1,32,16
2026-07,CURRENT,202607011005,0.6925374651043618,1,33,10
2026-07,CURRENT,202607011006,0.2633348101110479,1,24,9
2026-07,CURRENT,202607011007,0.36809764580547416,0,20,4
2026-07,CURRENT,202607011009,0.2676572413153843,0,24,7
2026-07,CURRENT,202607011010,0.4656518961835383,1,9,9
2026-07,CURRENT,202607011011,0.5302763274529968,1,36,12
2026-07,CURRENT,202607011012,0.299207364700914,0,17,9
2026-07,CURRENT,202607011101,0.32379372874970136,0,1,8
2026-07,CURRENT,202607011102,0.2974842838781224,0,22,7
2026-07,CURRENT,202607011103,0.6613586765555428,0,6,6
2026-07,CURRENT,202607011104,0.7185091079857933,1,10,12
2026-07,CURRENT,202607011105,0.11849232431554578,0,31,11
2026-07,CURRENT,202607011106,0.7976168526455873,1,23,7
2026-07,CURRENT,202607011107,0.34686940696381274,1,32,10
2026-07,CURRENT,202607011108,0.21248100108115006,0,19,3
2026-07,CURRENT,202607011109,0.6632820460342111,1,20,10
2026-07,CURRENT,202607011110,0.7928997239793012,1,27,14
2026-07,CURRENT,202607011111,0.5360709572321738,1,23,13
2026-07,CURRENT,202607011112,0.8163533051368007,1,32,13
2026-07,CURRENT,202607011601,0.6103646221407699,0,37,13
2026-07,CURRENT,202607011602,0.6024997361261244,0,14,5
2026-07,CURRENT,202607011603,0.2487707418863501,0,28,11
2026-07,CURRENT,202607011604,0.38824137358425104,0,35,13
2026-07,CURRENT,202607011605,0.7169351015176132,1,5,10
2026-07,CURRENT,202607011606,0.3456199416118916,0,27,12
2026-07,CURRENT,202607011607,0.5389301140366076,1,22,12
2026-07,CURRENT,202607011608,0.5064077053384368,0,29,13
2026-07,CURRENT,202607011609,0.7128301847308218,1,34,19
2026-07,CURRENT,202607011610,0.7489944697797627,0,30,15
2026-07,CURRENT,202607011611,0.7407001721411772,1,29,13
2026-07,CURRENT,202607011612,0.6994227093465991,0,29,17
2026-07,CURRENT,202607011701,0.6258623234045013,0,38,15
2026-07,CURRENT,202607011702,0.6508434287810396,1,36,15
2026-07,CURRENT,202607011703,0.4740030546833716,0,41,12
2026-07,CURRENT,202607011704,0.5190637656777746,0,36,14
2026-07,CURRENT,202607011705,0.6510332525240113,1,36,14
2026-07,CURRENT,202607011706,0.8081885158662204,1,28,18
2026-07,CURRENT,202607011707,0.5795667603074101,0,25,8
2026-07,CURRENT,202607011708,0.7163957419845923,1,26,7
2026-07,CURRENT,202607011709,0.649167995922721,0,36,14
2026-07,CURRENT,202607011710,0.8573924701847231,0,29,15
2026-07,CURRENT,202607011711,0.6178863594063054,1,41,14
2026-07,CURRENT,202607011712,0.7407897115572484,1,33,21
2026-07,CURRENT,202607011901,0.7077594577818398,1,26,6
2026-07,CURRENT,202607011903,0.30162550150360584,0,19,8
2026-07,CURRENT,202607011904,0.5464245830615198,1,30,8
2026-07,CURRENT,202607011905,0.6451635914656966,1,13,11
2026-07,CURRENT,202607011906,0.4926815069162101,1,30,10
2026-07,CURRENT,202607011907,0.7657315383045803,0,17,7
2026-07,CURRENT,202607011908,0.7111066403508737,1,39,14
2026-07,CURRENT,202607011909,0.74950473419832,0,16,6
2026-07,CURRENT,202607011910,0.9114834997301747,1,34,15
2026-07,CURRENT,202607011911,0.6860059572810171,0,13,13
2026-07,CURRENT,202607011912,0.698434919253934,1,2,1
2026-07,CURRENT,202607012001,0.49889856528850013,0,20,6
2026-07,CURRENT,202607012002,0.4416169833389761,0,30,9
2026-07,CURRENT,202607012003,0.37719523765705787,0,20,6
2026-07,CURRENT,202607012004,0.456692290447896,1,29,7
2026-07,CURRENT,202607012005,0.7260693632326644,0,32,16
2026-07,CURRENT,202607012006,0.2761552936916384,0,30,9
2026-07,CURRENT,202607012007,0.8780677467415113,1,40,13
2026-07,CURRENT,202607012008,0.6960704958543033,1,21,10
2026-07,CURRENT,202607012009,0.47606707164958567,0,4,8
2026-07,CURRENT,202607012010,0.7309639495015874,1,31,17
2026-07,CURRENT,202607012011,0.581121045209929,1,22,15
2026-07,CURRENT,202607012201,0.9020979931646425,1,34,18
2026-07,CURRENT,202607012202,0.24760058948520905,0,6,11
