pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct,profitable_months,months_present,min_month_roi_pct,median_month_roi_pct
0.16,0.25,190,40.526315789473685,11.578947368421053,10.486411388853913,-91940.0,95.16105263157895,155,88.13225806451612,10.967741935483872,2,7,0.0,74.02173913043478
0.16,0.26,172,40.69767441860465,10.465116279069768,10.410233537095609,-256880.0,85.06511627906977,139,73.46115107913668,9.352517985611511,2,7,0.0,76.234375
0.16,0.27,152,40.131578947368425,11.18421052631579,10.196873975571407,-163140.0,89.2671052631579,122,74.98770491803279,9.836065573770492,2,7,0.0,89.60526315789474
0.16,0.28,136,41.17647058823529,12.5,9.967817044916764,-3140.0,99.76911764705882,107,85.5,11.214953271028037,3,7,0.0,94.58333333333333
0.16,0.29,121,39.66942148760331,13.223140495867769,9.849585955170179,97180.0,108.03140495867768,93,93.02903225806452,11.827956989247312,4,7,0.0,100.1470588235294
0.16,0.3,112,39.285714285714285,13.392857142857142,9.666597967208954,103660.0,109.25535714285714,87,89.84482758620689,11.494252873563218,3,7,0.0,63.756
0.16,0.31,103,40.77669902912621,13.592233009708737,9.328029943777175,65350.0,106.34466019417475,80,81.6675,11.25,2,7,0.0,72.45
0.16,0.32,93,43.01075268817204,15.053763440860216,9.381166169703064,165350.0,117.77956989247312,70,93.33428571428571,12.857142857142856,3,7,0.0,78.84545454545454
0.17,0.15,352,30.96590909090909,7.954545454545454,12.404530083209321,-1075580.0,69.44375,290,69.04862068965517,7.931034482758621,0,7,0.0,64.02307692307693
0.17,0.16,342,30.994152046783626,8.187134502923977,12.263727773934592,-975580.0,71.47426900584796,281,71.26014234875444,8.185053380782918,0,7,0.0,67.48378378378378
0.17,0.17,327,31.804281345565748,7.951070336391437,11.910055714601635,-1105860.0,66.18165137614679,269,64.01970260223048,7.806691449814126,0,7,0.0,59.431666666666665
0.17,0.18,312,32.69230769230769,8.333333333333332,11.84626519372176,-955860.0,69.36346153846154,256,67.270703125,8.203125,1,7,0.0,62.7025
0.17,0.19,293,33.78839590443686,8.532423208191126,11.596298241416477,-833060.0,71.5679180887372,242,68.38553719008264,8.264462809917356,1,7,0.0,71.66
0.17,0.2,270,35.18518518518518,8.88888888888889,11.28526095752993,-698740.0,74.12074074074074,225,69.3,8.444444444444445,1,7,0.0,68.575
0.17,0.21,254,35.039370078740156,9.05511811023622,10.94338431695786,-651380.0,74.35511811023622,210,68.88619047619048,8.571428571428571,1,7,0.0,70.69137931034483
0.17,0.22,239,35.98326359832636,9.623430962343097,10.654449231742772,-501380.0,79.02175732217573,196,73.80663265306123,9.183673469387756,2,7,0.0,73.21607142857142
0.17,0.23,220,37.72727272727273,10.454545454545453,10.485189759564408,-311380.0,85.84636363636363,181,79.9232044198895,9.94475138121547,2,7,0.0,78.84807692307692
0.17,0.24,207,39.61352657004831,11.11111111111111,10.34854036384893,-181380.0,91.23768115942029,170,85.09470588235294,10.588235294117647,2,7,0.0,85.41875
0.17,0.25,190,40.526315789473685,11.578947368421053,10.486411388853913,-91940.0,95.16105263157895,155,88.13225806451612,10.967741935483872,2,7,0.0,74.02173913043478
0.17,0.26,172,40.69767441860465,10.465116279069768,10.410233537095609,-256880.0,85.06511627906977,139,73.46115107913668,9.352517985611511,2,7,0.0,76.234375
0.17,0.27,152,40.131578947368425,11.18421052631579,10.196873975571407,-163140.0,89.2671052631579,122,74.98770491803279,9.836065573770492,2,7,0.0,89.60526315789474
0.17,0.28,136,41.17647058823529,12.5,9.967817044916764,-3140.0,99.76911764705882,107,85.5,11.214953271028037,3,7,0.0,94.58333333333333
0.17,0.29,121,39.66942148760331,13.223140495867769,9.849585955170179,97180.0,108.03140495867768,93,93.02903225806452,11.827956989247312,4,7,0.0,100.1470588235294
0.17,0.3,112,39.285714285714285,13.392857142857142,9.666597967208954,103660.0,109.25535714285714,87,89.84482758620689,11.494252873563218,3,7,0.0,63.756
0.17,0.31,103,40.77669902912621,13.592233009708737,9.328029943777175,65350.0,106.34466019417475,80,81.6675,11.25,2,7,0.0,72.45
0.17,0.32,93,43.01075268817204,15.053763440860216,9.381166169703064,165350.0,117.77956989247312,70,93.33428571428571,12.857142857142856,3,7,0.0,78.84545454545454
