R,head_hits,exact3_hits,exact3_rate,second_top2,third_top1,third_top2,third_top3,worst_month_third_top2,config,mode,l2,min_features,max_features,delta_third_top2_pp,delta_exact3_pp
345,290,137,0.39710144927536234,0.7275862068965517,0.41379310344827586,0.7275862068965517,0.9103448275862069,0.6666666666666666,BASE_T0.1,ALL,0.1,247,247,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.41379310344827586,0.7275862068965517,0.9103448275862069,0.6666666666666666,ALL_T0.3,ALL,0.3,247,247,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.41379310344827586,0.7275862068965517,0.9103448275862069,0.6666666666666666,ALL_T1,ALL,1.0,247,247,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.4103448275862069,0.7275862068965517,0.9103448275862069,0.6666666666666666,ALL_T3,ALL,3.0,247,247,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.40344827586206894,0.7275862068965517,0.9206896551724137,0.6831683168316832,DROPSTART_T0.1,DROP_START,0.1,221,221,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.40344827586206894,0.7275862068965517,0.9206896551724137,0.6831683168316832,DROPSTART_T0.3,DROP_START,0.3,221,221,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.4,0.7275862068965517,0.9206896551724137,0.6831683168316832,DROPSTART_T1,DROP_START,1.0,221,221,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.41379310344827586,0.7275862068965517,0.9103448275862069,0.6666666666666666,COMPACT_T0.1,COMPACT,0.1,246,246,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.41379310344827586,0.7275862068965517,0.9103448275862069,0.6666666666666666,COMPACT_T0.3,COMPACT,0.3,246,246,0.0,0.0
345,290,137,0.39710144927536234,0.7275862068965517,0.41379310344827586,0.7275862068965517,0.9103448275862069,0.6666666666666666,COMPACT_T1,COMPACT,1.0,246,246,0.0,0.0
