floor,maxn,R,return_yen,profit_yen,roi_pct,hit_rate_pct,avg_n,avg_comp_odds,min_month_roi_pct,min_month_R
3.0,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,5.0,7.175660243355701,123.0375,8
3.0,6,29,603940.0,313940.0,208.2551724137931,34.48275862068966,6.0,6.066463281472795,123.53333333333333,8
3.0,8,29,481550.0,191550.0,166.05172413793105,34.48275862068966,8.0,4.88035745149273,96.54444444444445,8
3.0,10,29,457790.0,167790.0,157.85862068965517,37.93103448275862,9.862068965517242,4.17109112136438,85.58888888888889,8
3.0,12,29,483080.0,193080.0,166.57931034482758,44.827586206896555,11.379310344827585,3.7619230148585077,112.9625,8
3.0,16,29,500000.0,210000.0,172.41379310344828,51.724137931034484,13.379310344827585,3.4858491174942974,136.4,8
3.0,20,29,482940.0,192940.0,166.53103448275863,51.724137931034484,14.758620689655173,3.352400268925227,136.4,8
3.5,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,5.0,7.175660243355701,123.0375,8
3.5,6,29,603940.0,313940.0,208.2551724137931,34.48275862068966,6.0,6.066463281472795,123.53333333333333,8
3.5,8,29,481550.0,191550.0,166.05172413793105,34.48275862068966,7.931034482758621,4.902536972771238,96.54444444444445,8
3.5,10,29,470010.0,180010.0,162.07241379310344,37.93103448275862,9.413793103448276,4.314926565692313,92.32222222222222,8
3.5,12,29,490120.0,200120.0,169.00689655172414,41.37931034482759,10.310344827586206,4.044223079466998,120.125,8
3.5,16,29,486760.0,196760.0,167.84827586206896,44.827586206896555,11.689655172413794,3.8566975473461946,119.9888888888889,8
3.5,20,29,484270.0,194270.0,166.9896551724138,44.827586206896555,12.413793103448276,3.793525996850325,119.9888888888889,8
4.0,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,5.0,7.175660243355701,123.0375,8
4.0,6,29,603940.0,313940.0,208.2551724137931,34.48275862068966,5.896551724137931,6.209454523285536,123.53333333333333,8
4.0,8,29,484580.0,194580.0,167.09655172413792,34.48275862068966,7.517241379310345,5.136788872682078,99.91111111111111,8
4.0,10,29,484940.0,194940.0,167.2206896551724,37.93103448275862,8.551724137931034,4.738186152360553,95.68888888888888,8
4.0,12,29,522210.0,232210.0,180.07241379310344,41.37931034482759,9.206896551724139,4.560743278721257,122.5125,8
4.0,16,29,547600.0,257600.0,188.82758620689654,44.827586206896555,9.96551724137931,4.451814047149105,143.5222222222222,8
4.0,20,29,547600.0,257600.0,188.82758620689654,44.827586206896555,10.448275862068966,4.416620347070228,143.5222222222222,8
4.5,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,5.0,7.175660243355701,123.0375,8
4.5,6,29,603940.0,313940.0,208.2551724137931,34.48275862068966,5.896551724137931,6.209454523285536,123.53333333333333,8
4.5,8,29,518730.0,228730.0,178.87241379310345,34.48275862068966,7.172413793103448,5.310961754751797,106.64444444444445,8
4.5,10,29,495120.0,205120.0,170.73103448275862,34.48275862068966,7.758620689655173,5.075254579673795,106.64444444444445,8
4.5,12,29,492630.0,202630.0,169.87241379310345,34.48275862068966,8.137931034482758,4.957898952441381,106.64444444444445,8
4.5,16,29,481050.0,191050.0,165.8793103448276,34.48275862068966,8.517241379310345,4.88529769612409,106.64444444444445,8
4.5,20,29,481050.0,191050.0,165.8793103448276,34.48275862068966,8.655172413793103,4.880711288067776,106.64444444444445,8
5.0,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,4.9655172413793105,7.2684123354414405,123.0375,8
5.0,6,29,619090.0,329090.0,213.47931034482758,34.48275862068966,5.724137931034483,6.474950983706849,140.36666666666667,8
5.0,8,29,574910.0,284910.0,198.2448275862069,34.48275862068966,6.655172413793103,5.862739891299987,134.03333333333333,8
5.0,10,29,559160.0,269160.0,192.81379310344826,34.48275862068966,7.0344827586206895,5.710111170235857,134.03333333333333,8
5.0,12,29,559160.0,269160.0,192.81379310344826,34.48275862068966,7.241379310344827,5.643267780627662,134.03333333333333,8
5.0,16,29,553370.0,263370.0,190.81724137931033,34.48275862068966,7.517241379310345,5.600082655684745,131.9875,8
5.0,20,29,553370.0,263370.0,190.81724137931033,34.48275862068966,7.655172413793103,5.5954962476284305,131.9875,8
5.5,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,4.931034482758621,7.383324624709574,123.0375,8
5.5,6,29,587060.0,297060.0,202.4344827586207,31.03448275862069,5.551724137931035,6.780720222453568,101.325,8
5.5,8,29,548250.0,258250.0,189.05172413793105,31.03448275862069,6.275862068965517,6.282430113307277,79.6125,8
5.5,10,29,542460.0,252460.0,187.05517241379312,31.03448275862069,6.551724137931035,6.188162490762976,72.375,8
5.5,12,29,542460.0,252460.0,187.05517241379312,31.03448275862069,6.724137931034483,6.131829546274249,72.375,8
5.5,16,29,542460.0,252460.0,187.05517241379312,31.03448275862069,6.896551724137931,6.11514373006478,72.375,8
5.5,20,29,542460.0,252460.0,187.05517241379312,31.03448275862069,7.0344827586206895,6.110557322008465,72.375,8
6.0,5,29,643950.0,353950.0,222.05172413793105,31.03448275862069,4.758620689655173,7.684099311196957,123.0375,8
6.0,6,29,615690.0,325690.0,212.30689655172415,31.03448275862069,5.241379310344827,7.239743248426235,101.325,8
6.0,8,29,585870.0,295870.0,202.0241379310345,31.03448275862069,5.689655172413793,6.907404489684839,79.6125,8
6.0,10,29,585870.0,295870.0,202.0241379310345,31.03448275862069,5.862068965517241,6.84072012385051,79.6125,8
6.0,12,29,585870.0,295870.0,202.0241379310345,31.03448275862069,5.931034482758621,6.827274163313204,79.6125,8
6.0,16,29,585870.0,295870.0,202.0241379310345,31.03448275862069,6.0344827586206895,6.8165118576143575,79.6125,8
6.0,20,29,585870.0,295870.0,202.0241379310345,31.03448275862069,6.0344827586206895,6.8165118576143575,79.6125,8
6.5,5,29,674000.0,384000.0,232.41379310344828,31.03448275862069,4.655172413793103,7.872635341165502,123.0375,8
6.5,6,29,656630.0,366630.0,226.4241379310345,31.03448275862069,5.0,7.546198716218377,101.325,8
6.5,8,29,651650.0,361650.0,224.70689655172413,31.03448275862069,5.275862068965517,7.342686973703698,101.325,8
6.5,10,29,651650.0,361650.0,224.70689655172413,31.03448275862069,5.413793103448276,7.287167556570275,101.325,8
6.5,12,29,651650.0,361650.0,224.70689655172413,31.03448275862069,5.448275862068965,7.280738640930722,101.325,8
6.5,16,29,651650.0,361650.0,224.70689655172413,31.03448275862069,5.448275862068965,7.280738640930722,101.325,8
6.5,20,29,651650.0,361650.0,224.70689655172413,31.03448275862069,5.448275862068965,7.280738640930722,101.325,8
