variant,month,features,train,test,oof
PRE_HGB_HISTORY,2026-02,406,13309,4041,4919
PRE_HGB_HISTORY,2026-03,406,17350,4528,8960
PRE_HGB_HISTORY,2026-04,406,21878,4185,13488
PRE_HGB_HISTORY,2026-05,406,26063,4550,17673
PRE_HGB_HISTORY,2026-06,406,30613,4388,22223
POST_HGB_HISTORY,2026-02,406,13309,4041,4919
POST_HGB_HISTORY,2026-03,406,17350,4528,8960
POST_HGB_HISTORY,2026-04,406,21878,4185,13488
POST_HGB_HISTORY,2026-05,406,26063,4550,17673
POST_HGB_HISTORY,2026-06,406,30613,4388,22223
