variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
PRE,0.18,2,336,109,30,8.928571428571429,32.44047619047619,12.307060918060042,3360000,2563730.0,-796270.0,76.3014880952381
PRE,0.18,3,336,109,37,11.011904761904761,32.44047619047619,8.644413054240426,3360000,2346890.0,-1013110.0,69.84791666666666
PRE,0.18,4,336,109,44,13.095238095238097,32.44047619047619,6.908051506776554,3360000,2512740.0,-847260.0,74.78392857142858
PRE,0.18,5,336,109,54,16.071428571428573,32.44047619047619,5.739496686741747,3360000,2612230.0,-747770.0,77.74494047619048
PRE,0.18,6,336,109,61,18.154761904761905,32.44047619047619,4.996294024058825,3360000,2564000.0,-796000.0,76.30952380952381
PRE,0.18,7,336,109,64,19.047619047619047,32.44047619047619,4.54792366380046,3360000,2466430.0,-893570.0,73.40565476190476
PRE,0.18,8,336,109,73,21.726190476190478,32.44047619047619,4.217248389351358,3360000,2508360.0,-851640.0,74.65357142857142
PRE,0.18,9,336,109,78,23.214285714285715,32.44047619047619,3.9465403608101868,3360000,2568010.0,-791990.0,76.42886904761905
PRE,0.18,10,336,109,83,24.702380952380953,32.44047619047619,3.7188949253174903,3360000,2592670.0,-767330.0,77.16279761904762
PRE,0.18,11,336,109,87,25.892857142857146,32.44047619047619,3.525976630278919,3360000,2598090.0,-761910.0,77.32410714285714
PRE,0.18,12,336,109,91,27.083333333333332,32.44047619047619,3.3738334855264274,3360000,2644960.0,-715040.0,78.71904761904761
PRE,0.18,13,336,109,97,28.869047619047617,32.44047619047619,3.2578103415437263,3360000,2751030.0,-608970.0,81.87589285714286
PRE,0.18,14,336,109,98,29.166666666666668,32.44047619047619,3.157978468051233,3360000,2648460.0,-711540.0,78.82321428571429
PRE,0.18,15,336,109,100,29.761904761904763,32.44047619047619,3.0702753429621867,3360000,2626310.0,-733690.0,78.1639880952381
PRE,0.18,16,336,109,102,30.357142857142854,32.44047619047619,2.990772255603145,3360000,2583650.0,-776350.0,76.89434523809524
PRE,0.18,17,336,109,105,31.25,32.44047619047619,2.9311024631276035,3360000,2592830.0,-767170.0,77.16755952380953
PRE,0.18,18,336,109,105,31.25,32.44047619047619,2.8749454305762248,3360000,2507910.0,-852090.0,74.64017857142858
PRE,0.18,19,336,109,107,31.845238095238095,32.44047619047619,2.8347624220323215,3360000,2533450.0,-826550.0,75.40029761904762
PRE,0.18,20,336,109,109,32.44047619047619,32.44047619047619,2.7959219380788327,3360000,2555720.0,-804280.0,76.06309523809524
PRE,0.2,2,257,93,24,9.33852140077821,36.18677042801556,11.35345373704583,2570000,1962540.0,-607460.0,76.36342412451361
PRE,0.2,3,257,93,31,12.062256809338521,36.18677042801556,7.961806230262418,2570000,1949530.0,-620470.0,75.85719844357976
PRE,0.2,4,257,93,36,14.007782101167315,36.18677042801556,6.353488291415882,2570000,1917920.0,-652080.0,74.62723735408561
PRE,0.2,5,257,93,43,16.731517509727624,36.18677042801556,5.241847412400839,2570000,1899680.0,-670320.0,73.91750972762645
PRE,0.2,6,257,93,50,19.45525291828794,36.18677042801556,4.574202158434332,2570000,1974690.0,-595310.0,76.83618677042801
PRE,0.2,7,257,93,53,20.622568093385212,36.18677042801556,4.137634338200095,2570000,1912870.0,-657130.0,74.43073929961089
PRE,0.2,8,257,93,62,24.124513618677042,36.18677042801556,3.8300356197188226,2570000,1985570.0,-584430.0,77.25953307392996
PRE,0.2,9,257,93,66,25.680933852140075,36.18677042801556,3.5795894949116756,2570000,2039330.0,-530670.0,79.35136186770428
PRE,0.2,10,257,93,71,27.626459143968873,36.18677042801556,3.37412538033173,2570000,2092220.0,-477780.0,81.40933852140078
PRE,0.2,11,257,93,74,28.793774319066145,36.18677042801556,3.196550864221414,2570000,2053380.0,-516620.0,79.89805447470818
PRE,0.2,12,257,93,78,30.35019455252918,36.18677042801556,3.0584206404282446,2570000,2122680.0,-447320.0,82.59455252918288
PRE,0.2,13,257,93,83,32.295719844357976,36.18677042801556,2.952920177191112,2570000,2219060.0,-350940.0,86.34474708171206
PRE,0.2,14,257,93,84,32.68482490272373,36.18677042801556,2.8593838389932076,2570000,2134630.0,-435370.0,83.05953307392996
PRE,0.2,15,257,93,86,33.46303501945525,36.18677042801556,2.780940413291603,2570000,2133660.0,-436340.0,83.02178988326848
PRE,0.2,16,257,93,88,34.24124513618677,36.18677042801556,2.71067200378535,2570000,2115720.0,-454280.0,82.32373540856031
PRE,0.2,17,257,93,90,35.019455252918284,36.18677042801556,2.655083074469131,2570000,2108390.0,-461610.0,82.03852140077821
PRE,0.2,18,257,93,90,35.019455252918284,36.18677042801556,2.6051162202584264,2570000,2042260.0,-527740.0,79.46536964980545
PRE,0.2,19,257,93,92,35.797665369649806,36.18677042801556,2.567880458506811,2570000,2074000.0,-496000.0,80.70038910505836
PRE,0.2,20,257,93,93,36.18677042801556,36.18677042801556,2.5329837351193922,2570000,2071400.0,-498600.0,80.59922178988327
PRE,0.25,2,168,67,19,11.30952380952381,39.88095238095239,10.303897073340199,1680000,1628230.0,-51770.0,96.91845238095237
PRE,0.25,3,168,67,24,14.285714285714285,39.88095238095239,7.292724046090407,1680000,1545690.0,-134310.0,92.00535714285714
