actual_combo,cover_rule,coverage,date,ev_rule,head,invest,race_code,return,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n
3-5-4,0.3,0.3255991612095493,2026-07-19,1.1,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
3-5-4,0.3,0.3255991612095493,2026-07-19,1.2,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
3-5-4,0.3,0.3255991612095493,2026-07-19,1.3,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
3-5-4,0.3,0.3255991612095493,2026-07-19,1.4,3,2000,202607191904,0,2.0975915585691234,0.09183396955551774,22.841129145583054,0,8
3-5-4,0.4,0.42085540831197743,2026-07-19,1.1,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
3-5-4,0.4,0.42085540831197743,2026-07-19,1.2,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
3-5-4,0.4,0.42085540831197743,2026-07-19,1.3,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
3-5-4,0.4,0.42085540831197743,2026-07-19,1.4,3,2000,202607191904,0,1.7589695969120407,0.11870062137329493,14.818537397376849,0,11
3-5-4,0.5,0.5034375993094561,2026-07-19,1.1,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
3-5-4,0.5,0.5034375993094561,2026-07-19,1.2,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
3-5-4,0.5,0.5034375993094561,2026-07-19,1.3,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
3-5-4,0.5,0.5034375993094561,2026-07-19,1.4,3,2000,202607191904,0,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12
3-5-4,0.6,0.6227984990719813,2026-07-19,1.1,3,2000,202607191904,0,1.3816216677886481,0.1756578800465321,7.865412399504389,0,14
3-5-4,0.6,0.6227984990719813,2026-07-19,1.2,3,2000,202607191904,0,1.3816216677886481,0.1756578800465321,7.865412399504389,0,14
3-5-4,0.6,0.6227984990719813,2026-07-19,1.3,3,2000,202607191904,0,1.3816216677886481,0.1756578800465321,7.865412399504389,0,14
3-5-4,0.7,0.7242335043701277,2026-07-19,1.1,3,2000,202607191904,0,1.1559171299613649,0.20426722643983775,5.658847726616653,0,16
3-5-6,0.3,0.3324480604676118,2026-07-19,1.1,3,2000,202607191905,73500,1.3456434737248817,0.05067068274197278,26.556647767649384,1,8
3-5-6,0.3,0.3324480604676118,2026-07-19,1.2,3,2000,202607191905,73500,1.3456434737248817,0.05067068274197278,26.556647767649384,1,8
