test_month,R,head_hits,exact3_hits,head_rate,exact3_rate
2026-02,63,51,23,0.8095238095238095,0.36507936507936506
2026-03,16,15,7,0.9375,0.4375
2026-04,53,48,28,0.9056603773584906,0.5283018867924528
2026-05,121,101,46,0.8347107438016529,0.38016528925619836
2026-06,92,75,28,0.8152173913043478,0.30434782608695654
