date,month,race_code,layer,floor,max_n,n,comp_odds,head4_win,hit,return_yen,profit_yen,comp_band,fallback_n2
2026-04-02,2026-04,202604020108,S,4.0,10,5,4.11689667759099,0,0,0.0,-10000.0,4-5,0
2026-04-02,2026-04,202604020108,S,5.0,10,2,6.069958847736625,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604020108,S,6.0,10,2,6.069958847736625,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604020108,S,7.0,10,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,8.0,10,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,9.0,10,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,10.0,10,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,3.0,20,8,3.1259957199797443,0,0,0.0,-10000.0,3-4,0
2026-04-02,2026-04,202604020108,S,4.0,20,5,4.11689667759099,0,0,0.0,-10000.0,4-5,0
2026-04-02,2026-04,202604020108,S,5.0,20,2,6.069958847736625,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604020108,S,6.0,20,2,6.069958847736625,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604020108,S,7.0,20,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,8.0,20,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,9.0,20,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604020108,S,10.0,20,2,6.069958847736625,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604022209,S,3.0,10,10,3.5213345249812225,0,0,0.0,-10000.0,3-4,0
2026-04-02,2026-04,202604022209,S,4.0,10,8,4.174930559626286,0,0,0.0,-10000.0,4-5,0
2026-04-02,2026-04,202604022209,S,5.0,10,5,5.352662876105845,0,0,0.0,-10000.0,5-6,0
2026-04-02,2026-04,202604022209,S,6.0,10,4,6.377841043822796,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604022209,S,7.0,10,2,7.392739273927393,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604022209,S,8.0,10,2,7.392739273927393,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604022209,S,9.0,10,2,7.392739273927393,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604022209,S,10.0,10,2,7.392739273927393,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604022209,S,3.0,20,19,3.002153799139774,0,0,0.0,-10000.0,3-4,0
