actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_raw,kelly_return,kelly_total,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
3-5-4,0.5034375993094561,2026-07-19,3,1,0.2820460876323179,2000,0,0,0.056255774109429814,0,0,3まくり,1980,202607191904,0,74.046,1.5629770722777514,0.1419926052522386,11.007454011434232,0,12,3
1-3-6,0.49999999999999994,2026-07-19,5,0,0.1,2000,0,0,0.028353023192388454,0,0,5頭展開,4760,202607190911,0,82.56800000000001,2.244301791985012,0.049999999999999996,44.88603583970024,0,10,1
4-1-6,0.49999999999999994,2026-07-19,5,0,0.1,2000,0,0,0.029084788798797268,0,0,5頭展開,4340,202607191606,0,60.66166666666667,2.3210743651141574,0.049999999999999996,46.421487302283154,0,10,0
1-2-6,0.49999999999999994,2026-07-19,5,0,0.1,2000,0,0,0.014056633042908745,0,0,5頭展開,5320,202607191910,0,55.55000000000001,1.3715233858504383,0.049999999999999996,27.430467717008767,0,10,1
1-4-6,0.49999999999999994,2026-07-19,5,0,0.1,2000,0,0,0.03466400680358462,0,0,5頭展開,2160,202607192211,0,48.78666666666667,3.1472888023387102,0.049999999999999996,62.945776046774206,0,10,1
3-5-6,0.505656484721322,2026-07-20,3,1,0.1955774230968681,2000,0,0,0.030703191453935737,0,0,3まくり,5990,202607201803,0,52.881,1.4057203248530752,0.098894992254017,14.214272055782242,0,11,3
1-3-4,0.5275185673866553,2026-07-20,3,0,0.17160609112522213,2000,0,0,0.035334239531596624,0,0,3まくり,700,202607201806,0,37.874,1.5822597947926904,0.09052539934520099,17.47862816665465,0,11,1
1-3-2,0.5389150960377626,2026-07-21,3,0,0.15191846046178692,2000,0,0,0.05007029893310964,0,0,3まくり,770,202607212305,0,45.75433333333333,2.445589721005476,0.08187115170967293,29.87120212596855,0,12,1
4-2-6,0.49999999999999994,2026-07-21,5,0,0.10088313816297594,2000,0,0,0.02626908938626506,0,0,5頭展開,8220,202607210510,0,54.22100000000001,2.031918761078102,0.05044156908148796,40.28262399600522,0,10,4
5-3-6,0.49999999999999994,2026-07-21,5,1,0.08980565494983511,2000,0,0,0.024855089304933256,0,0,5頭展開,28400,202607210904,0,48.72,2.184124878164187,0.04490282747491755,48.641143575740884,0,10,5
