actual_combo,approved_A,approved_S,date,ex_head,head_boat,head_hit,history_pct,hit_20,hit_4,hit_6,hit_8,invest_20,invest_4,invest_6,invest_8,kimarite,model,orig_straight_head,orig_turn_head,payout,period,preview_comp,race_code,ranked_others,return_20,return_4,return_6,return_8,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v51_score,winner
3-1-4,1,0,2026-07-16,0.6,3,1,0.2709,1,1,1,1,2000,400,600,800,まくり差し,3まくり差し,0.5,0.8,1020,validation,0.6697,202607161309,1-4-6-5-2,1020,1020,1020,1020,0.6,3-1-4;3-1-6;3-1-5;3-1-2;3-4-1;3-4-6;3-4-5;3-4-2;3-6-1;3-6-4;3-6-5;3-6-2;3-5-1;3-5-4;3-5-6;3-5-2;3-2-1;3-2-4;3-2-6;3-2-5,3-1-4;3-1-6;3-4-1;3-4-6,3-1-4;3-1-6;3-1-5;3-4-1;3-4-6;3-4-5,3-1-4;3-1-6;3-1-5;3-1-2;3-4-1;3-4-6;3-4-5;3-4-2,0,66.004,3
3-5-6,1,0,2026-07-16,0.4,3,1,0.2107,1,1,1,1,2000,400,600,800,まくり,3まくり差し,0.0,0.6,2110,validation,0.5827500000000001,202607161710,5-1-6-4-2,2110,2110,2110,2110,1.0,3-5-1;3-5-6;3-5-4;3-5-2;3-1-5;3-1-6;3-1-4;3-1-2;3-6-5;3-6-1;3-6-4;3-6-2;3-4-5;3-4-1;3-4-6;3-4-2;3-2-5;3-2-1;3-2-6;3-2-4,3-5-1;3-5-6;3-1-5;3-1-6,3-5-1;3-5-6;3-5-4;3-1-5;3-1-6;3-1-4,3-5-1;3-5-6;3-5-4;3-5-2;3-1-5;3-1-6;3-1-4;3-1-2,0,57.06800000000001,3
1-3-2,0,0,2026-07-16,0.6,3,0,0.6389,0,0,0,0,2000,400,600,800,逃げ,3まくり,0.5,0.19999999999999996,960,validation,0.43200000000000005,202607161810,6-1-4-2-5,0,0,0,0,0.4,3-6-1;3-6-4;3-6-2;3-6-5;3-1-6;3-1-4;3-1-2;3-1-5;3-4-6;3-4-1;3-4-2;3-4-5;3-2-6;3-2-1;3-2-4;3-2-5;3-5-6;3-5-1;3-5-4;3-5-2,3-6-1;3-6-4;3-1-6;3-1-4,3-6-1;3-6-4;3-6-2;3-1-6;3-1-4;3-1-2,3-6-1;3-6-4;3-6-2;3-6-5;3-1-6;3-1-4;3-1-2;3-1-5,0.5,43.856,1
1-3-5,1,1,2026-07-16,1.0,3,0,0.7236,0,0,0,0,2000,400,600,800,逃げ,3まくり,1.0,1.0,830,validation,0.97665,202607162103,5-6-2-4-1,0,0,0,0,1.0,3-5-6;3-5-2;3-5-4;3-5-1;3-6-5;3-6-2;3-6-4;3-6-1;3-2-5;3-2-6;3-2-4;3-2-1;3-4-5;3-4-6;3-4-2;3-4-1;3-1-5;3-1-6;3-1-2;3-1-4,3-5-6;3-5-2;3-6-5;3-6-2,3-5-6;3-5-2;3-5-4;3-6-5;3-6-2;3-6-4,3-5-6;3-5-2;3-5-4;3-5-1;3-6-5;3-6-2;3-6-4;3-6-1,0,98.34900000000002,1
1-3-2,0,0,2026-07-16,1.0,3,0,0.5811,0,0,0,0,2000,400,600,800,逃げ,3まくり,0.0,0.19999999999999996,1080,validation,0.40798333333333336,202607162112,5-1-2-6-4,0,0,0,0,0.19999999999999996,3-5-1;3-5-2;3-5-6;3-5-4;3-1-5;3-1-2;3-1-6;3-1-4;3-2-5;3-2-1;3-2-6;3-2-4;3-6-5;3-6-1;3-6-2;3-6-4;3-4-5;3-4-1;3-4-2;3-4-6,3-5-1;3-5-2;3-1-5;3-1-2,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6,3-5-1;3-5-2;3-5-6;3-5-4;3-1-5;3-1-2;3-1-6;3-1-4,-0.5,41.07233333333334,1
2-3-1,1,1,2026-07-16,1.0,3,0,0.7743,0,0,0,0,2000,400,600,800,差し,3まくり,1.0,0.19999999999999996,4500,validation,0.7805,202607162402,6-4-2-5-1,0,0,0,0,0.6,3-6-4;3-6-2;3-6-5;3-6-1;3-4-6;3-4-2;3-4-5;3-4-1;3-2-6;3-2-4;3-2-5;3-2-1;3-5-6;3-5-4;3-5-2;3-5-1;3-1-6;3-1-4;3-1-2;3-1-5,3-6-4;3-6-2;3-4-6;3-4-2,3-6-4;3-6-2;3-6-5;3-4-6;3-4-2;3-4-5,3-6-4;3-6-2;3-6-5;3-6-1;3-4-6;3-4-2;3-4-5;3-4-1,0,78.937,2
4-1-6,1,0,2026-07-16,0.6,3,0,0.2484,0,0,0,0,2000,400,600,800,差し,3まくり差し,0.4,1.0,13330,validation,0.5685,202607160504,6-2-5-4-1,0,0,0,0,0.4,3-6-2;3-6-5;3-6-4;3-6-1;3-2-6;3-2-5;3-2-4;3-2-1;3-5-6;3-5-2;3-5-4;3-5-1;3-4-6;3-4-2;3-4-5;3-4-1;3-1-6;3-1-2;3-1-5;3-1-4,3-6-2;3-6-5;3-2-6;3-2-5,3-6-2;3-6-5;3-6-4;3-2-6;3-2-5;3-2-4,3-6-2;3-6-5;3-6-4;3-6-1;3-2-6;3-2-5;3-2-4;3-2-1,0,55.793000000000006,4
1-3-5,1,0,2026-07-16,0.6,3,0,0.3264,0,0,0,0,2000,400,600,800,抜き,3まくり差し,0.4,1.0,1740,validation,0.5705,202607160509,2-1-5-4-6,0,0,0,0,0.6,3-2-1;3-2-5;3-2-4;3-2-6;3-1-2;3-1-5;3-1-4;3-1-6;3-5-2;3-5-1;3-5-4;3-5-6;3-4-2;3-4-1;3-4-5;3-4-6;3-6-2;3-6-1;3-6-5;3-6-4,3-2-1;3-2-5;3-1-2;3-1-5,3-2-1;3-2-5;3-2-4;3-1-2;3-1-5;3-1-4,3-2-1;3-2-5;3-2-4;3-2-6;3-1-2;3-1-5;3-1-4;3-1-6,0,56.306,1
1-3-6,1,0,2026-07-16,1.0,3,0,0.6199,0,0,0,0,2000,400,600,800,逃げ,3まくり差し,0.19999999999999996,0.4,920,validation,0.6504000000000001,202607160803,6-1-5-4-2,0,0,0,0,0.8,3-6-1;3-6-5;3-6-4;3-6-2;3-1-6;3-1-5;3-1-4;3-1-2;3-5-6;3-5-1;3-5-4;3-5-2;3-4-6;3-4-1;3-4-5;3-4-2;3-2-6;3-2-1;3-2-5;3-2-4,3-6-1;3-6-5;3-1-6;3-1-5,3-6-1;3-6-5;3-6-4;3-1-6;3-1-5;3-1-4,3-6-1;3-6-5;3-6-4;3-6-2;3-1-6;3-1-5;3-1-4;3-1-2,0,65.47000000000001,1
1-3-2,1,1,2026-07-16,1.0,3,0,0.9351,0,0,0,0,2000,400,600,800,逃げ,3まくり差し,0.5,0.6,1010,validation,0.7138000000000001,202607161208,1-5-4-2-6,0,0,0,0,0.6,3-1-5;3-1-4;3-1-2;3-1-6;3-5-1;3-5-4;3-5-2;3-5-6;3-4-1;3-4-5;3-4-2;3-4-6;3-2-1;3-2-5;3-2-4;3-2-6;3-6-1;3-6-5;3-6-4;3-6-2,3-1-5;3-1-4;3-5-1;3-5-4,3-1-5;3-1-4;3-1-2;3-5-1;3-5-4;3-5-2,3-1-5;3-1-4;3-1-2;3-1-6;3-5-1;3-5-4;3-5-2;3-5-6,0,73.07000000000001,1
