R,head_hits,exact3_hits,exact3_rate,second_top1,second_top2,second_top3,worst_month_second_top2,outer456_top2,boat4_top2,boat5_top2,boat6_top2,config,outer_multiplier,gate_threshold,delta_top2_pp,delta_outer_pp,delta_exact3_pp
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,DROP_START_BASE,1.0,1.1,0.0,0.0,0.0
345,290,134,0.3884057971014493,0.44482758620689655,0.7137931034482758,0.8620689655172413,0.6,0.27586206896551724,0.40476190476190477,0.1875,0.07692307692307693,GATE_m1.15_t0.35,1.15,0.35,-1.0344827586206917,1.1494252873563204,-0.5797101449275366
345,290,135,0.391304347826087,0.4413793103448276,0.7172413793103448,0.8655172413793103,0.6,0.27586206896551724,0.40476190476190477,0.1875,0.07692307692307693,GATE_m1.15_t0.45,1.15,0.45,-0.6896551724137945,1.1494252873563204,-0.2898550724637683
345,290,135,0.391304347826087,0.44482758620689655,0.7206896551724138,0.8655172413793103,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.15_t0.55,1.15,0.55,-0.34482758620689724,0.0,-0.2898550724637683
345,290,135,0.391304347826087,0.44482758620689655,0.7206896551724138,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.15_t0.65,1.15,0.65,-0.34482758620689724,0.0,-0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.15_t0.75,1.15,0.75,0.0,0.0,0.0
345,290,133,0.3855072463768116,0.44482758620689655,0.7068965517241379,0.8620689655172413,0.6,0.3103448275862069,0.47619047619047616,0.1875,0.07692307692307693,GATE_m1.3_t0.35,1.3,0.35,-1.7241379310344862,4.597701149425287,-0.8695652173913049
345,290,134,0.3884057971014493,0.4379310344827586,0.7137931034482758,0.8689655172413793,0.6,0.3103448275862069,0.47619047619047616,0.1875,0.07692307692307693,GATE_m1.3_t0.45,1.3,0.45,-1.0344827586206917,4.597701149425287,-0.5797101449275366
345,290,134,0.3884057971014493,0.4413793103448276,0.7172413793103448,0.8655172413793103,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.3_t0.55,1.3,0.55,-0.6896551724137945,0.0,-0.5797101449275366
345,290,135,0.391304347826087,0.44482758620689655,0.7206896551724138,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.3_t0.65,1.3,0.65,-0.34482758620689724,0.0,-0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.3_t0.75,1.3,0.75,0.0,0.0,0.0
345,290,131,0.37971014492753624,0.43103448275862066,0.7137931034482758,0.8655172413793103,0.6,0.3563218390804598,0.5,0.28125,0.07692307692307693,GATE_m1.5_t0.35,1.5,0.35,-1.0344827586206917,9.195402298850574,-1.4492753623188415
345,290,133,0.3855072463768116,0.42758620689655175,0.7206896551724138,0.8758620689655172,0.5333333333333333,0.3448275862068966,0.5,0.25,0.07692307692307693,GATE_m1.5_t0.45,1.5,0.45,-0.34482758620689724,8.045977011494255,-0.8695652173913049
345,290,133,0.3855072463768116,0.43103448275862066,0.7206896551724138,0.8655172413793103,0.6,0.27586206896551724,0.40476190476190477,0.21875,0.0,GATE_m1.5_t0.55,1.5,0.55,-0.34482758620689724,1.1494252873563204,-0.8695652173913049
345,290,135,0.391304347826087,0.4482758620689655,0.7206896551724138,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.5_t0.65,1.5,0.65,-0.34482758620689724,0.0,-0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.5_t0.75,1.5,0.75,0.0,0.0,0.0
345,290,121,0.3507246376811594,0.39655172413793105,0.6724137931034483,0.8689655172413793,0.56,0.41379310344827586,0.5476190476190477,0.34375,0.15384615384615385,GATE_m1.8_t0.35,1.8,0.35,-5.1724137931034475,14.942528735632182,-4.347826086956524
345,290,127,0.3681159420289855,0.40344827586206894,0.7034482758620689,0.8862068965517241,0.5333333333333333,0.39080459770114945,0.5238095238095238,0.3125,0.15384615384615385,GATE_m1.8_t0.45,1.8,0.45,-2.0689655172413834,12.643678160919542,-2.608695652173915
345,290,132,0.3826086956521739,0.4241379310344828,0.7103448275862069,0.8689655172413793,0.6,0.27586206896551724,0.40476190476190477,0.21875,0.0,GATE_m1.8_t0.55,1.8,0.55,-1.379310344827589,1.1494252873563204,-1.1594202898550732
345,290,135,0.391304347826087,0.44482758620689655,0.7206896551724138,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.8_t0.65,1.8,0.65,-0.34482758620689724,0.0,-0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m1.8_t0.75,1.8,0.75,0.0,0.0,0.0
345,290,120,0.34782608695652173,0.3586206896551724,0.6586206896551724,0.8448275862068966,0.5333333333333333,0.4942528735632184,0.6666666666666666,0.40625,0.15384615384615385,GATE_m2.2_t0.35,2.2,0.35,-6.5517241379310365,22.988505747126435,-4.637681159420293
345,290,123,0.3565217391304348,0.3793103448275862,0.6827586206896552,0.8655172413793103,0.4666666666666667,0.41379310344827586,0.5714285714285714,0.3125,0.15384615384615385,GATE_m2.2_t0.45,2.2,0.45,-4.137931034482756,14.942528735632182,-3.768115942028988
345,290,129,0.3739130434782609,0.41379310344827586,0.7068965517241379,0.8620689655172413,0.6,0.28735632183908044,0.42857142857142855,0.21875,0.0,GATE_m2.2_t0.55,2.2,0.55,-1.7241379310344862,2.298850574712641,-2.028985507246378
345,290,134,0.3884057971014493,0.44482758620689655,0.7206896551724138,0.8655172413793103,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m2.2_t0.65,2.2,0.65,-0.34482758620689724,0.0,-0.5797101449275366
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m2.2_t0.75,2.2,0.75,0.0,0.0,0.0
345,290,104,0.30144927536231886,0.3275862068965517,0.6275862068965518,0.803448275862069,0.5333333333333333,0.5517241379310345,0.7619047619047619,0.4375,0.15384615384615385,GATE_m2.8_t0.35,2.8,0.35,-9.6551724137931,28.735632183908045,-9.27536231884058
345,290,114,0.33043478260869563,0.3724137931034483,0.6620689655172414,0.8379310344827586,0.5333333333333333,0.4482758620689655,0.6190476190476191,0.34375,0.15384615384615385,GATE_m2.8_t0.45,2.8,0.45,-6.206896551724139,18.39080459770115,-6.376811594202902
345,290,127,0.3681159420289855,0.41724137931034483,0.6931034482758621,0.8551724137931035,0.6,0.2988505747126437,0.4523809523809524,0.21875,0.0,GATE_m2.8_t0.55,2.8,0.55,-3.103448275862064,3.448275862068967,-2.608695652173915
345,290,134,0.3884057971014493,0.44482758620689655,0.7206896551724138,0.8655172413793103,0.6,0.27586206896551724,0.42857142857142855,0.1875,0.0,GATE_m2.8_t0.65,2.8,0.65,-0.34482758620689724,1.1494252873563204,-0.5797101449275366
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.40476190476190477,0.1875,0.0,GATE_m2.8_t0.75,2.8,0.75,0.0,0.0,0.0
