race_code,branch,confidence,status,points,rank,rank_col,actual_combo,hit,invest,return,payout100
202608112103,1逃げ,0.6869888536008255,UNSETTLED,,,,3-1-2,,,,2580
202608112104,1逃げ,0.6857992250905235,SETTLED,7,6,v110_rank20,1-3-4,1,700,580,580
202608112105,1逃げ,0.5107854479575941,SETTLED,7,2,v110_rank20,1-2-3,1,700,440,440
202608112106,1逃げ,0.5222009318444459,UNSETTLED,,,,2-3-6,,,,6340
202608112107,3まくり,0.23900893313098248,NO_SOURCE,,,,,,,,
202608112108,3まくり差し,0.19932263647662013,NO_SOURCE,,,,,,,,
202608112109,1逃げ,0.7098578635102935,SETTLED,7,10,v110_rank20,1-5-6,0,700,0,3530
202608112110,1逃げ,0.7181164878007802,SETTLED,7,8,v110_rank20,1-5-3,0,700,0,3060
202608112111,1逃げ,0.6942595095336584,SETTLED,7,3,v110_rank20,1-3-2,1,700,690,690
202608112112,1逃げ,0.679495234664814,SETTLED,7,12,v110_rank20,1-3-2,0,700,0,1850
202608112301,1逃げ,0.8955054748393485,UNSETTLED,,,,2-3-1,,,,35420
202608112302,1逃げ,0.750343472062292,SETTLED,7,6,v110_rank20,1-4-3,1,700,2600,2600
202608112303,1逃げ,0.8651389283697317,SETTLED,7,9,v110_rank20,1-4-5,0,700,0,1670
202608112304,1逃げ,0.47057995800627284,UNSETTLED,,,,4-1-2,,,,2900
202608112305,4カド,0.5719371497340365,UNSETTLED,,,,4-1-6,,,,810
202608112306,4カド,0.2485945372518052,NO_SOURCE,,,,,,,,
202608112308,5頭,0.2291058132923944,NO_SOURCE,,,,,,,,
202608112310,3まくり差し,0.24168661720414022,NO_SOURCE,,,,,,,,
202608112311,1逃げ,0.8089718324291177,UNSETTLED,,,,2-1-5,,,,8740
202608112312,1逃げ,0.6669961567718509,UNSETTLED,,,,6-5-1,,,,111070
202608120101,3まくり,0.22925000304797297,NO_SOURCE,,,,,,,,
202608120103,5頭,0.46556778759588446,NO_SOURCE,,,,,,,,
202608120105,1逃げ,0.5287458072027601,UNSETTLED,,,,5-1-2,,,,2580
202608120107,1逃げ,0.7177139064631638,SETTLED,7,1,v110_rank20,1-3-5,1,700,610,610
202608120109,1逃げ,0.5488731423327455,SETTLED,7,6,v110_rank20,1-4-3,1,700,6800,6800
202608120110,1逃げ,0.49784678340936034,NO_SOURCE,,,,,,,,
202608120111,1逃げ,0.7054311692732279,UNSETTLED,,,,3-1-2,,,,1960
202608120112,1逃げ,0.7322828309084696,SETTLED,7,1,v110_rank20,1-3-2,1,700,620,620
202608120201,1逃げ,0.43316281713854915,SETTLED,7,2,v110_rank20,1-3-4,1,700,930,930
202608120202,3まくり,0.3289567231903334,NO_SOURCE,,,,,,,,
202608120203,3まくり,0.3039191610424197,NO_SOURCE,,,,,,,,
202608120204,5頭,0.4407456192931146,NO_SOURCE,,,,,,,,
202608120205,1逃げ,0.625455207148877,UNSETTLED,,,,6-1-4,,,,11220
202608120207,1逃げ,0.7034525405085533,SETTLED,7,5,v110_rank20,1-2-5,1,700,1060,1060
202608120208,1逃げ,0.42047075126988553,UNSETTLED,,,,2-5-4,,,,6940
202608120209,1逃げ,0.6791409188894914,SETTLED,7,7,v110_rank20,1-5-4,1,700,4080,4080
202608120210,1逃げ,0.44092535974188174,SETTLED,7,7,v110_rank20,1-3-4,1,700,1550,1550
202608120211,1逃げ,0.6270543761958901,SETTLED,7,11,v110_rank20,1-6-3,0,700,0,4550
202608120301,3まくり,0.20221210402893985,UNSETTLED,,,,2-4-6,,,,14800
202608120302,5頭,0.3515883565251366,NO_SOURCE,,,,,,,,
202608120304,4カド,0.279594247697424,NO_SOURCE,,,,,,,,
202608120305,1逃げ,0.6853230966677635,SETTLED,7,16,v110_rank20,1-6-2,0,700,0,440
202608120306,1逃げ,0.5054679765042749,UNSETTLED,,,,4-3-2,,,,16190
202608120307,1逃げ,0.7073036359374514,SETTLED,7,2,v110_rank20,1-2-4,1,700,770,770
202608120308,1逃げ,0.44584440909339157,SETTLED,7,2,v110_rank20,1-6-3,1,700,2230,2230
202608120309,1逃げ,0.565940603675189,UNSETTLED,,,,5-1-2,,,,3820
202608120310,1逃げ,0.6922098995230328,SETTLED,7,3,v110_rank20,1-4-2,1,700,1950,1950
202608120311,1逃げ,0.5835707983906584,SETTLED,7,7,v110_rank20,1-4-2,1,700,3900,3900
202608120312,1逃げ,0.7285994644540612,SETTLED,7,10,v110_rank20,1-3-4,0,700,0,2330
202608120401,3まくり,0.2451495394329114,NO_SOURCE,,,,,,,,
202608120402,1逃げ,0.7161379516201241,SETTLED,7,14,v110_rank20,1-5-4,0,700,0,1610
202608120404,3まくり,0.3070127552262317,NO_SOURCE,,,,,,,,
202608120405,1逃げ,0.4832657047149311,SETTLED,7,14,v110_rank20,1-4-5,0,700,0,2910
202608120406,1逃げ,0.5703908181844632,UNSETTLED,,,,2-3-1,,,,2150
202608120407,3まくり,0.4040882180427369,NO_SOURCE,,,,,,,,
202608120408,1逃げ,0.632437646497543,SETTLED,7,5,v110_rank20,1-4-3,1,700,690,690
202608120409,1逃げ,0.48595885051801274,UNSETTLED,,,,4-6-2,,,,3400
202608120410,1逃げ,0.46089960740918334,UNSETTLED,,,,2-1-4,,,,3020
202608120411,1逃げ,0.6803562026944506,SETTLED,7,9,v110_rank20,1-3-6,0,700,0,1730
202608120412,1逃げ,0.6578213155492612,SETTLED,7,2,v110_rank20,1-3-2,1,700,1180,1180
202608120601,5頭,0.40323474832383205,NO_SOURCE,,,,,,,,
202608120602,1逃げ,0.7821871893071122,SETTLED,7,8,v110_rank20,1-2-3,0,700,0,1390
202608120603,1逃げ,0.4400042634685603,SETTLED,7,4,v110_rank20,1-2-3,1,700,950,950
202608120604,1逃げ,0.7246633942570118,SETTLED,7,13,v110_rank20,1-6-5,0,700,0,4710
202608120605,1逃げ,0.6538704103937626,UNSETTLED,,,,5-1-6,,,,6630
202608120606,1逃げ,0.43524977030945405,UNSETTLED,,,,2-3-6,,,,1850
202608120607,1逃げ,0.6752140833637008,UNSETTLED,,,,4-1-5,,,,11130
202608120608,1逃げ,0.8058507604340196,SETTLED,7,6,v110_rank20,1-4-6,1,700,4830,4830
202608120609,1逃げ,0.7024517975804311,SETTLED,7,2,v110_rank20,1-2-3,1,700,510,510
202608120610,1逃げ,0.6872918861917428,SETTLED,7,3,v110_rank20,1-2-6,1,700,2020,2020
202608120611,1逃げ,0.6966127311066547,SETTLED,7,7,v110_rank20,1-3-2,1,700,1030,1030
202608120612,1逃げ,0.6373144363349857,UNSETTLED,,,,2-1-6,,,,6410
202608120703,1逃げ,0.610852856880467,UNSETTLED,,,,3-2-6,,,,20360
202608120704,5頭,0.42213622211789603,UNSETTLED,,,,3-2-6,,,,5880
202608120705,5頭,0.3248884564807133,NO_SOURCE,,,,,,,,
202608120706,5頭,0.5084988944874353,NO_SOURCE,,,,,,,,
202608120707,1逃げ,0.5708065782043671,UNSETTLED,,,,4-5-6,,,,62550
202608120708,1逃げ,0.5772846537549656,UNSETTLED,,,,4-1-5,,,,1230
