date,race_code,venue,race,jump3,threat3,wallweak2,turn3,stretch3,block1,outer4,outer5,outer6,outer_max,outer_avg,outer4_strength,outer4_fast,outer4_turn,outer4_stretch,outer5_strength,outer6_strength,winner,second,kimarite,cat
2026-08-03,202608030102,01,02R,0.8500000000000001,0.6666666666666667,0.5566666666666668,0.7656410256410257,0.5203663003663004,0.2688233333333333,0.21,0.14735032967032968,0.536604,0.536604,0.2979847765567765,0.0,0.0,0.5,0.5,0.13199999999999998,0.41059999999999997,2,3,まくり,その他
2026-08-03,202608030104,01,04R,0.7433333333333334,0.4074666666666667,0.78,0.5,0.59,0.42526833333333325,0.5207817802197803,0.559026,0.39666999999999997,0.559026,0.4921592600732601,0.5193000000000001,0.5833333333333334,0.5656410256410256,0.3803663003663003,0.4089000000000001,0.4155,1,5,逃げ,その他
2026-08-03,202608030501,05,01R,0.7983333333333333,0.6687333333333334,0.56,0.41020986358866735,0.44583420776495275,0.3967008333333334,0.4598274921301154,0.4476684428121721,0.39549650786988455,0.4598274921301154,0.434330814270724,0.0,0.9166666666666667,0.76099685204617,0.3177124868835257,0.4213,0.48860000000000003,1,3,逃げ,その他
2026-08-03,202608031907,19,07R,0.95875,0.9055,0.6088888888888889,0.5,0.5,0.3450611111111111,0.561566,0.40787799999999996,0.32999999999999996,0.561566,0.4331479999999999,0.7399,0.4166666666666666,0.5,0.5,0.3467,0.0,3,4,まくり,3まくり
2026-08-03,202608031911,19,11R,0.7662500000000001,0.8201833333333334,0.375,0.5,0.5,0.57975375,0.519174,0.351796,0.7057399999999999,0.7057399999999999,0.52557,0.3211,0.8333333333333334,0.5,0.5,0.29939999999999994,0.8109999999999999,3,6,まくり差し,3まくり差し
2026-08-03,202608032103,21,03R,0.9175000000000001,0.7076333333333333,0.5233333333333333,0.47557712486883524,0.14604407135362013,0.44825666666666664,0.32649008184679956,0.5871967869884576,0.37711181951731376,0.5871967869884576,0.43026622945085696,0.15239999999999998,0.5,0.13463273871983208,0.6797901364113327,0.5869,0.23820000000000002,1,2,逃げ,その他
2026-08-03,202608032104,21,04R,0.8991666666666669,0.5013333333333334,0.45,0.8098426023084995,0.8456243441762854,0.5069400000000001,0.6557378363064008,0.8012850325288563,0.1502010493179433,0.8012850325288563,0.5357413060510668,0.6478999999999999,0.8333333333333334,0.6657345225603357,0.4204197271773347,0.9118,0.0,1,3,逃げ,その他
2026-08-04,202608040103,01,03R,0.7675000000000001,0.31365,0.4344444444444444,0.051538461538461526,0.4494505494505494,0.41551055555555555,0.4968435604395604,0.4101998901098901,0.49548999999999993,0.4968435604395604,0.46751115018315015,0.41059999999999997,0.6666666666666666,0.7312820512820513,0.12073260073260073,0.14850000000000002,0.35849999999999993,1,5,逃げ,その他
2026-08-04,202608040407,04,07R,0.81625,0.5852333333333333,0.3749999999999999,0.6094753410283317,0.6454144805876181,0.46109374999999997,0.5102239013641133,0.3436607869884575,0.5329294753410283,0.5329294753410283,0.46227138789786637,0.6489,0.5,0.22916054564533053,0.6366631689401889,0.31650000000000006,0.8495,1,3,逃げ,その他
2026-08-04,202608040601,06,01R,0.76625,0.8368,0.45,0.6948950682056663,0.6770828961175237,0.54895375,0.34394486883525704,0.3871065246589716,0.5339862623294859,0.5339862623294859,0.4216792186079048,0.15299999999999994,0.75,0.11494753410283315,0.4685414480587618,0.2659,0.6654000000000001,3,1,まくり差し,3まくり差し
2026-08-04,202608040803,08,03R,0.8162500000000001,0.6458666666666666,0.49888888888888894,0.5149475341028331,0.5085414480587618,0.45335486111111095,0.2465280167890871,0.5625533934942287,0.3783269674711437,0.5625533934942287,0.3958027925848198,0.0,0.3333333333333334,0.5712067156348373,0.16354669464847849,0.5692,0.0,1,2,逃げ,その他
2026-08-04,202608041003,10,03R,0.7250000000000001,0.7514333333333334,0.7922222222222222,0.5,0.5,0.4959727777777777,0.33414,0.44697,0.32038,0.44697,0.36716333333333334,0.07099999999999995,0.4166666666666666,0.5,0.5,0.5205,0.20700000000000002,3,1,まくり差し,3まくり差し
2026-08-04,202608041006,10,06R,0.8333333333333334,0.6966833333333333,0.33666666666666667,0.5,0.5,0.4915633333333334,0.560476,0.58732,0.360576,0.58732,0.5027906666666667,0.5014,0.75,0.5,0.5,0.698,0.26639999999999997,2,3,差し,その他
2026-08-04,202608041009,10,09R,0.85,0.6992833333333333,0.4100000000000001,0.5,0.5,0.38480749999999997,0.628246,0.380192,0.46414,0.628246,0.4908593333333333,0.6419,0.8333333333333334,0.5,0.5,0.08880000000000003,0.571,1,6,逃げ,その他
2026-08-04,202608041011,10,11R,0.8579166666666667,0.5456833333333333,0.3749999999999999,0.5,0.5,0.4618950000000001,0.451226,0.428856,0.379362,0.451226,0.41981466666666667,0.23890000000000006,0.6666666666666666,0.5,0.5,0.4084,0.4393,2,3,差し,その他
2026-08-04,202608041301,13,01R,0.7525000000000001,0.7825333333333333,0.0,0.19957264957264959,0.37914529914529915,0.4975625,0.388448,0.0,0.19905641025641027,0.388448,0.19583480341880344,0.32719999999999994,0.5,0.4,0.34,0.0,0.0,2,1,差し,その他
2026-08-04,202608042108,21,08R,1.0,0.8649666666666667,0.67,0.31458027282266526,0.6683315844700944,0.40568499999999996,0.3575703441762854,0.2953916558237146,0.38663129485834213,0.38663129485834213,0.34653109828611406,0.5869,0.4166666666666666,0.10473767051416577,0.182707240293809,0.5524,0.5612,3,1,まくり差し,3まくり差し
2026-08-05,202608050104,01,04R,0.95875,0.2987666666666667,0.7188888888888889,0.18282051282051276,0.21018315018315017,0.30719111111111114,0.18643999999999997,0.25492967032967034,0.3931601098901099,0.3931601098901099,0.2781765934065934,0.136,0.1666666666666666,0.19999999999999996,0.29,0.0,0.4155,2,1,抜き,その他
2026-08-05,202608050404,04,04R,0.8575,0.5490666666666666,0.45,0.0,0.0,0.3923325000000001,0.6272266065057712,0.3920636558237146,0.7028727701993703,0.7028727701993703,0.5740543441762854,0.6878,0.5,0.6098426023084995,0.7056243441762855,0.6532,0.8474999999999999,3,2,まくり,3まくり
2026-08-05,202608051001,10,01R,0.79375,0.4148833333333334,0.29833333333333323,0.41931794333683103,0.7910388247639034,0.5333429166666668,0.3304113116474292,0.12220539349422874,0.36185024554039874,0.36185024554039874,0.27148898356068557,0.219,0.5,0.39052465897166844,0.23458551941238193,0.20700000000000002,0.3041999999999999,3,1,まくり,3まくり
2026-08-05,202608051002,10,02R,0.8237500000000002,0.45036666666666664,0.45,0.5145802728226653,0.8083315844700945,0.4934099999999999,0.3260819013641133,0.43614209863588665,0.19819200000000003,0.43614209863588665,0.3201386666666667,0.2026,0.5,0.22916054564533053,0.4566631689401889,0.07099999999999995,0.08880000000000003,1,2,逃げ,その他
2026-08-05,202608051004,10,04R,0.88375,0.8716666666666668,0.8044444444444445,0.10510493179433367,0.18291710388247637,0.3719955555555556,0.444950426023085,0.6046451311647429,0.49184513116474293,0.6046451311647429,0.5138135627841903,0.22780000000000006,0.5,0.5043704092339979,0.7024973767051417,0.8005,0.5205,1,2,逃げ,その他
2026-08-05,202608051010,10,10R,0.7474999999999999,0.7073,0.67,0.6854197271773347,0.3916684155299056,0.4675475,0.7405012298006296,0.321762,0.45935644281217203,0.7405012298006296,0.5072065575376006,0.8835999999999999,0.9166666666666667,0.5908919202518363,0.4347953830010493,0.4393,0.5145,4,3,差し,外刺され
2026-08-05,202608051707,17,07R,0.8579166666666668,0.7763,0.7066666666666668,0.20984260230849944,0.5456243441762854,0.41267333333333334,0.19930721301154253,0.23260104931794334,0.6189174753410283,0.6189174753410283,0.3502752458901714,0.18870000000000003,0.25,0.019685204616998953,0.3912486883525708,0.0,0.7577,3,1,まくり差し,3まくり差し
2026-08-05,202608051709,17,09R,0.8162500000000001,0.7714833333333333,0.6911111111111112,0.7897901364113327,0.6341657922350472,0.22376263888888873,0.5166594921301155,0.45544477019937035,0.5193148688352571,0.5193148688352571,0.4971397103882477,0.5248,0.5,0.76099685204617,0.19771248688352566,0.6233,0.2535,3,1,まくり差し,3まくり差し
2026-08-05,202608051903,19,03R,0.88375,0.30298333333333327,0.5722222222222222,0.2094753410283316,0.48541448058761805,0.3692927777777778,0.4505072298006296,0.40421070514165797,0.5071076390346275,0.5071076390346275,0.45394185799230496,0.10950000000000006,0.75,0.8558919202518365,0.15479538300104934,0.46010000000000006,0.659,3,1,差し,その他
2026-08-06,202608060203,02,03R,0.87625,0.6942333333333333,0.7208888888888889,0.5,0.5,0.30351611111111115,0.57921,0.440346,0.531494,0.57921,0.5170166666666667,0.5565,0.75,0.5,0.5,0.20690000000000003,0.7691,1,4,逃げ,その他
2026-08-06,202608060906,09,06R,0.8237500000000002,0.7123999999999999,0.45,0.40947534102833155,0.685414480587618,0.42659499999999984,0.6901640818467996,0.5711077376705141,0.7776127869884575,0.7776127869884575,0.6796282021685904,0.8185000000000001,0.6666666666666666,0.5996327387198321,0.5997901364113326,0.4437,0.8093,4,3,差し,外刺され
2026-08-06,202608061202,12,02R,0.7845833333333335,0.7645166666666666,0.38555555555555565,0.19999999999999996,0.19999999999999996,0.41151402777777757,0.45057441025641026,0.7293717948717948,0.19985179487179489,0.7293717948717948,0.4599326666666666,0.3527,0.4166666666666666,0.6004273504273505,0.48085470085470094,0.665,0.41700000000000004,1,5,逃げ,その他
2026-08-06,202608061207,12,07R,0.95875,0.8699000000000001,0.5355555555555556,0.8004273504273505,0.7408547008547008,0.3737319444444444,0.21467399999999998,0.18244358974358976,0.2836304102564102,0.2836304102564102,0.22691599999999998,0.2961,0.25,0.0,0.3,0.19500000000000003,0.3711,2,1,差し,その他
2026-08-06,202608061402,14,02R,0.7750000000000001,0.6294166666666667,0.4744444444444445,0.5240556138509969,0.8537460650577124,0.5106705555555554,0.4098634753410283,0.12129991815320043,0.32649824554039875,0.4098634753410283,0.28588721301154246,0.2546,0.6666666666666666,0.32479013641133264,0.47416579223504723,0.14110000000000003,0.14140000000000005,4,5,差し,外勝ち
2026-08-06,202608061407,14,07R,0.8075,0.8237,0.6198888888888889,0.7905246589716683,0.45458551941238196,0.3622411111111111,0.32649824554039875,0.3671579013641133,0.580587573976915,0.580587573976915,0.42474790696047565,0.14140000000000005,0.1666666666666666,0.33389821615949633,0.879370409233998,0.174,0.6179,3,6,抜き,その他
2026-08-06,202608061703,17,03R,0.95875,0.8172499999999999,0.8166666666666667,0.9047376705141659,0.9827072402938091,0.25940833333333335,0.06874781951731374,0.4350248688352571,0.4398706232948583,0.4398706232948583,0.31454777054914307,0.013599999999999996,0.0,0.029527806925498425,0.31687303252885624,0.13500000000000004,0.44519999999999993,3,5,まくり差し,3まくり差し
2026-08-06,202608061706,17,06R,0.8166666666666668,0.7731833333333333,0.6211111111111112,0.7253934942287513,0.33593913955928645,0.4338955555555554,0.2441439832109129,0.5508905162644282,0.6003846065057713,0.6003846065057713,0.4651397019937041,0.04080000000000004,0.08333333333333341,0.4287932843651626,0.5964533053515215,0.6631,0.7265,3,1,まくり差し,3まくり差し
2026-08-06,202608061805,18,05R,0.9495833333333333,0.5629833333333334,0.45,0.5,0.5,0.477575,0.4916064102564102,0.7884282051282052,0.52579,0.7884282051282052,0.6019415384615384,0.7274999999999999,0.6666666666666666,0.20042735042735044,0.20085470085470084,0.485,0.6935,1,3,抜き,その他
2026-08-06,202608061806,18,06R,0.8166666666666668,0.55095,0.45,0.7002136752136752,0.6104273504273505,0.47106166666666655,0.557264,0.19624999999999998,0.5096999999999999,0.557264,0.42107133333333335,0.6095999999999999,0.5833333333333334,0.5,0.5,0.3325,0.7049999999999998,5,2,まくり差し,外勝ち
2026-08-06,202608062406,24,06R,0.8075000000000002,0.7912666666666667,0.6561111111111111,0.5,0.5,0.3425613888888887,0.6359416558237145,0.32306529485834207,0.49729296747114377,0.6359416558237145,0.48543330605106677,0.5398999999999999,0.9166666666666667,0.4302623294858342,0.717292759706191,0.1613,0.5499,4,3,まくり差し,外刺され
2026-08-07,202608070205,02,05R,0.8762500000000001,0.41223333333333334,0.5355555555555556,0.4295278069254984,0.6568730325288562,0.4164144444444444,0.5728442623294858,0.4046506065057713,0.2389750325288562,0.5728442623294858,0.40548996712137114,0.7691,0.75,0.3051049317943337,0.3229171038824764,0.22140000000000004,0.1803,1,4,逃げ,その他
2026-08-07,202608070404,04,04R,0.7245833333333334,0.8731166666666668,0.5233333333333333,0.8,0.68,0.5555187500000001,0.5697981636935993,0.4063393116474292,0.22448582791185728,0.5697981636935993,0.4002077677509619,0.5625000000000001,0.8333333333333334,0.39926547743966423,0.4595802728226653,0.6532,0.30970000000000003,1,2,逃げ,その他
2026-08-07,202608071006,10,06R,0.775,0.6172500000000001,0.22499999999999995,1.0,0.8200000000000001,0.3750125,0.63097,0.23683860650577127,0.10582539349422873,0.63097,0.32454466666666665,0.8005,0.75,0.4,0.46,0.1396,0.0,2,3,まくり,その他
2026-08-07,202608071010,10,10R,0.7525000000000002,0.8594333333333333,0.3961111111111112,0.9901573976915006,0.5943756558237145,0.5216638888888887,0.1458253934942287,0.33649399999999996,0.19645165582371457,0.33649399999999996,0.22625701643931442,0.0,0.1666666666666666,0.19015739769150047,0.33437565582371453,0.5190999999999999,0.5014,3,1,まくり,3まくり
2026-08-07,202608071203,12,03R,0.9175000000000001,0.5073000000000001,0.45,0.5010683760683761,0.3521367521367521,0.282975,0.3430184102564103,0.11147399999999999,0.7392037948717949,0.7392037948717949,0.39789873504273504,0.3693,0.25,0.40042735042735045,0.3408547008547008,0.2961,0.8598000000000001,1,3,逃げ,その他
2026-08-07,202608071209,12,09R,0.7675000000000002,0.8796999999999999,0.45,0.6997863247863247,0.7895726495726495,0.5401824999999998,0.4465802051282052,0.6941346153846153,0.3061953846153846,0.6941346153846153,0.48230340170940167,0.6278,0.3333333333333334,0.3002136752136752,0.45042735042735044,0.7575,0.08700000000000001,1,3,逃げ,その他
2026-08-07,202608071406,14,06R,0.96625,0.6674500000000001,0.45,0.6193179433368311,0.8710388247639035,0.37555,0.36079121301154254,0.30038816369359916,0.5988497376705142,0.5988497376705142,0.4200097047918853,0.5413000000000001,0.3333333333333334,0.019685204616998953,0.5112486883525709,0.07600000000000001,0.42999999999999994,3,2,まくり,3まくり
2026-08-07,202608071801,18,01R,0.835,0.8151666666666667,0.1500000000000001,0.7002136752136752,0.7304273504273505,0.55916,0.3874562051282051,0.3735455897435897,0.6649357948717948,0.6649357948717948,0.47531252991452994,0.6692,0.3333333333333334,0.10021367521367519,0.3104273504273504,0.5852999999999999,0.6095999999999999,1,2,逃げ,その他
2026-08-07,202608071901,19,01R,1.0,0.49041666666666667,0.45,0.4854197271773347,0.49166841552990553,0.2952075,0.47561444281217213,0.16853426232948585,0.21621218048268628,0.47561444281217213,0.2867869618747814,0.24819999999999998,0.75,0.41057712486883524,0.6260440713536202,0.05760000000000002,0.1904,2,3,まくり,その他
2026-08-07,202608071905,19,05R,0.7566666666666668,0.7712166666666667,0.45,0.6755771248688351,0.5260440713536201,0.5627666666666664,0.2760089674711438,0.33186416369359917,0.7311046883525709,0.7311046883525709,0.4463259398391046,0.3473,0.3333333333333334,0.2857869884575026,0.05187827911857293,0.24740000000000006,0.7584,1,3,逃げ,その他
2026-08-08,202608080208,02,08R,0.79,0.83575,0.45,0.9901573976915006,0.5943756558237145,0.332145,0.5010253767051416,0.5365507869884574,0.4800616558237146,0.5365507869884574,0.5058792731724379,0.2592,0.5833333333333334,0.6189506820566631,0.6908289611752361,0.46499999999999997,0.4179,5,6,恵まれ,外勝ち
2026-08-08,202608080903,09,03R,0.8087500000000001,0.6941499999999999,0.22499999999999995,0.36564102564102563,0.18036630036630036,0.45084374999999993,0.41151389010989,0.30112843956043955,0.42644432967032964,0.42644432967032964,0.3796955531135531,0.6805999999999999,0.5,0.18282051282051276,0.09018315018315015,0.09520000000000003,0.3411,2,1,差し,その他
2026-08-08,202608081403,14,03R,0.7262500000000001,0.33181666666666665,0.5233333333333333,0.7602623294858342,0.13729275970619098,0.5065954166666666,0.7703392948583422,0.32563616369359916,0.29252183630640083,0.7703392948583422,0.4628324316194474,0.7474,0.8333333333333334,0.6193179433368311,0.9310388247639035,0.12319999999999998,0.12550000000000003,1,2,逃げ,その他
2026-08-08,202608081502,15,02R,1.0,0.3896333333333334,0.45,0.33389821615949633,0.819370409233998,0.38515750000000004,0.3201725078698846,0.5740980818467996,0.5988956390346275,0.5988956390346275,0.49772207625043724,0.0,0.5833333333333334,0.23900314795383001,0.6822875131164743,0.053599999999999995,0.6772,3,5,まくり,3まくり
2026-08-08,202608081602,16,02R,0.8912500000000001,0.7900499999999999,0.45,0.2102098635886674,0.3658342077649528,0.43904000000000004,0.6248853116474293,0.36439999999999995,0.261,0.6248853116474293,0.4167617705491431,0.4051,0.8333333333333334,0.8555246589716685,0.45458551941238196,0.16000000000000003,0.15000000000000002,4,1,まくり差し,外勝ち
2026-08-08,202608081608,16,08R,0.9175000000000001,0.5894,0.5111111111111111,0.5,0.5,0.31549388888888896,0.381,0.5951620818467995,0.3210761804826862,0.5951620818467995,0.4324127541098286,0.15000000000000002,0.5,0.5,0.5,0.23320000000000005,0.0,1,4,抜き,その他
2026-08-08,202608081902,19,02R,0.8350000000000002,0.6774666666666668,0.5077777777777779,0.23900314795383001,0.8022875131164743,0.2862572222222222,0.46645078698845743,0.35979339349422873,0.025849737670514156,0.46645078698845743,0.28403130605106675,0.0,0.4166666666666666,0.980314795383001,0.7287513116474292,0.23520000000000002,0.0,3,1,まくり差し,3まくり差し
