category,features,best_auc,mean_top20_lift_pt,best_delta_oof_auc,mean_month_consistency,max_importance_score
当日展示_風_環境,13,0.6269755154031231,6.224224427930799,0.055142846583139504,0.8307692307692308,33.3063573434267
4号艇vs1号艇_選手力差,6,0.6462864241795223,11.648441629260041,0.03289352108511667,0.9666666666666667,29.92765516785463
相手構成_v93,40,0.6163686685222751,2.501897811247276,0.03459363565805529,0.735,26.3118308193437
4号艇vs他艇_選手力差,24,0.5951707002563256,4.201143583512305,0.03773515171674624,0.7666666666666666,25.331471729113932
1号艇_選手力弱さ,6,0.6221163372175308,10.582282160650815,0.011494252873563315,1.0,23.733261454337075
4号艇_選手力,6,0.596625308612854,4.987236174251777,0.026684406992645293,0.7666666666666666,23.54462357851571
その他,154,0.5836203236307024,2.124109466834764,0.017703366966034695,0.6662337662337663,19.723607827179247
PRE_POST総合,4,0.6159047663977606,12.316886213945038,0.0,1.0,19.720520549231736
4号艇_過去展示機力,32,0.5712286329826548,2.3986091666561324,0.02738662822929383,0.675,18.34753388542352
4号艇vs他艇_過去展示差,32,0.557280118255728,1.5785832947305076,0.01888605536460064,0.65,17.091302880914373
1号艇_過去展示機力,32,0.5647418659873253,3.4379207752890784,0.008463613852237928,0.65,15.73467519584942
ST攻撃力_壁,64,0.5685552987057918,2.203946854528205,0.007798351628044542,0.640625,15.404773102427663
4号艇vs1号艇_過去展示差,8,0.5594266484250917,4.740348087406132,0.004878589644084719,0.7250000000000001,13.778525171791097
進入_データ確定度,1,0.5041908446163764,0.16832308498974935,,0.8,4.452749078635592
