month,max_n,floor,avg_n,n_dist,fallback_n2,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
2026-05,20,6.0,3.088235294117647,"2:19,3:4,4:5,5:2,6:3,7:1",10,34,15,6,44.11764705882353,17.647058823529413,6.386078260452257,386130.0,46130.0,113.56764705882352
2026-06,20,6.0,3.7142857142857144,"2:17,3:6,4:5,5:2,7:2,9:1,10:1,15:1",7,35,14,3,40.0,8.571428571428571,6.479882656951336,183880.0,-166120.0,52.537142857142854
2026-04,20,7.0,3.161290322580645,"2:14,3:6,4:6,5:3,6:1,7:1",6,31,11,6,35.483870967741936,19.35483870967742,7.965604724973347,476240.0,166240.0,153.6258064516129
2026-05,20,7.0,2.7058823529411766,"2:24,3:1,4:4,5:5",14,34,15,5,44.11764705882353,14.705882352941178,6.995516490014772,340240.0,240.0,100.07058823529412
2026-06,20,7.0,3.0285714285714285,"2:22,3:5,4:3,5:1,6:1,7:1,8:1,9:1",12,35,14,3,40.0,8.571428571428571,7.370646859736725,220570.00000000003,-129429.99999999997,63.02000000000001
2026-04,20,8.0,2.7419354838709675,"2:18,3:4,4:8,5:1",8,31,11,6,35.483870967741936,19.35483870967742,8.776744635984043,577460.0,267460.0,186.2774193548387
2026-05,20,8.0,2.4705882352941178,"2:24,3:5,4:4,5:1",19,34,15,4,44.11764705882353,11.76470588235294,7.397417305111375,284620.0,-55380.0,83.71176470588236
2026-06,20,8.0,2.7142857142857144,"2:25,3:3,4:4,6:1,7:2",15,35,14,3,40.0,8.571428571428571,7.821699404988553,220570.00000000003,-129429.99999999997,63.02000000000001
2026-04,20,9.0,2.4193548387096775,"2:23,3:3,4:5",12,31,11,5,35.483870967741936,16.129032258064516,9.329591326638019,505690.0,195690.0,163.1258064516129
2026-05,20,9.0,2.2941176470588234,"2:27,3:4,4:3",22,34,15,4,44.11764705882353,11.76470588235294,7.981532636934482,288420.0,-51580.0,84.82941176470588
2026-06,20,9.0,2.5142857142857142,"2:26,3:5,4:1,5:1,6:2",19,35,14,3,40.0,8.571428571428571,8.271700111645098,237940.00000000003,-112059.99999999997,67.98285714285716
2026-04,20,10.0,2.3225806451612905,"2:23,3:6,4:2",14,31,11,4,35.483870967741936,12.903225806451612,9.629365649162487,448590.0,138590.0,144.70645161290324
2026-05,20,10.0,2.176470588235294,"2:30,3:2,4:2",24,34,15,4,44.11764705882353,11.76470588235294,8.305553828942843,290320.0,-49680.0,85.38823529411765
2026-06,20,10.0,2.4,"2:27,3:4,4:3,6:1",21,35,14,3,40.0,8.571428571428571,8.69584803802263,272680.0,-77320.0,77.90857142857143
