family,l2,races,third_top1,third_top2,third_objective,avg_features
COND_BASE,0.3,54,35.18518518518518,70.37037037037037,49.25925925925926,69.0
COND_DIFF,0.3,54,35.18518518518518,70.37037037037037,49.25925925925926,88.0
COND_COMPACT,0.3,54,33.33333333333333,72.22222222222221,48.888888888888886,67.0
COND_COMPACT,1.0,54,33.33333333333333,72.22222222222221,48.888888888888886,67.0
COND_COMPACT,3.0,54,33.33333333333333,72.22222222222221,48.888888888888886,67.0
COND_DIFF,1.0,54,33.33333333333333,70.37037037037037,48.148148148148145,88.0
COND_BASE,10.0,54,35.18518518518518,66.66666666666666,47.77777777777777,69.0
COND_DIFF,3.0,54,33.33333333333333,68.51851851851852,47.407407407407405,88.0
COND_DIFF,10.0,54,35.18518518518518,64.81481481481481,47.03703703703704,88.0
COND_DIFF_PROD,10.0,54,31.48148148148148,70.37037037037037,47.03703703703704,107.0
COND_DIFF_PROD,3.0,54,33.33333333333333,66.66666666666666,46.66666666666666,107.0
COND_COMPACT,10.0,54,31.48148148148148,68.51851851851852,46.2962962962963,67.0
COND_BASE,1.0,54,31.48148148148148,66.66666666666666,45.55555555555556,69.0
COND_BASE,3.0,54,29.629629629629626,68.51851851851852,45.18518518518518,69.0
COND_DIFF_PROD,1.0,54,29.629629629629626,64.81481481481481,43.703703703703695,107.0
COND_DIFF_PROD,0.3,54,27.77777777777778,62.96296296296296,41.851851851851855,107.0
