gate,threshold,n,floor,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
MIN_RATIO,1.0,10,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.0,10,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.0,10,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.0,10,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,2,4.5,10,288.47,15,33.973333333333336,-99040.0,25,135.772,89430.0,52.0,16.0,2,0.0,0.0
MIN_RATIO,1.1,2,5.0,10,288.47,14,36.400000000000006,-89040.0,24,141.42916666666667,99430.0,50.0,16.666666666666664,2,0.0,0.0
MIN_RATIO,1.1,2,5.5,10,288.47,12,0.0,-120000.0,22,131.12272727272727,68470.0,45.45454545454545,13.636363636363635,2,0.0,0.0
MIN_RATIO,1.1,2,6.0,10,288.47,12,0.0,-120000.0,22,131.12272727272727,68470.0,45.45454545454545,13.636363636363635,2,0.0,0.0
MIN_RATIO,1.1,2,6.5,10,288.47,7,0.0,-70000.0,17,169.68823529411765,118470.0,47.05882352941176,17.647058823529413,1,0.0,0.0
MIN_RATIO,1.1,2,7.0,10,288.47,7,0.0,-70000.0,17,169.68823529411765,118470.0,47.05882352941176,17.647058823529413,1,0.0,0.0
MIN_RATIO,1.1,3,4.5,10,288.47,11,40.981818181818184,-64920.0,21,158.83333333333334,123550.0,47.61904761904761,19.047619047619047,2,0.0,0.0
MIN_RATIO,1.1,3,5.0,10,288.47,9,0.0,-90000.0,19,151.82631578947368,98470.0,47.368421052631575,15.789473684210526,1,0.0,0.0
MIN_RATIO,1.1,3,5.5,10,288.47,7,0.0,-70000.0,17,169.68823529411765,118470.0,52.94117647058824,17.647058823529413,1,0.0,0.0
MIN_RATIO,1.1,3,6.0,10,288.47,3,0.0,-30000.0,13,221.9,158470.0,53.84615384615385,23.076923076923077,0,0.0,0.0
MIN_RATIO,1.1,3,6.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,3,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,4,4.5,10,288.47,7,0.0,-70000.0,17,169.68823529411765,118470.0,47.05882352941176,17.647058823529413,1,0.0,0.0
MIN_RATIO,1.1,4,5.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,4,5.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,4,6.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,4,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,4,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,5,4.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,5,5.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,5,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,5,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,5,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,5,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,6,4.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.1,6,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,6,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,6,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,6,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,6,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,8,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,8,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,8,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,8,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,8,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,8,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,10,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,10,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,10,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,10,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,10,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.1,10,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,2,4.5,10,288.47,9,56.622222222222234,-39039.99999999999,19,178.64736842105262,149430.0,57.89473684210527,21.052631578947366,1,0.0,0.0
MIN_RATIO,1.2,2,5.0,10,288.47,8,63.70000000000001,-29039.999999999993,18,188.57222222222222,159430.0,55.55555555555556,22.22222222222222,1,0.0,0.0
MIN_RATIO,1.2,2,5.5,10,288.47,6,0.0,-60000.0,16,180.29375,128470.0,50.0,18.75,1,0.0,0.0
MIN_RATIO,1.2,2,6.0,10,288.47,6,0.0,-60000.0,16,180.29375,128470.0,50.0,18.75,1,0.0,0.0
MIN_RATIO,1.2,2,6.5,10,288.47,4,0.0,-40000.0,14,206.05,148470.0,50.0,21.428571428571427,1,0.0,0.0
MIN_RATIO,1.2,2,7.0,10,288.47,4,0.0,-40000.0,14,206.05,148470.0,50.0,21.428571428571427,1,0.0,0.0
MIN_RATIO,1.2,3,4.5,10,288.47,6,75.13333333333334,-14920.0,16,208.46875,173550.0,56.25,25.0,1,0.0,0.0
MIN_RATIO,1.2,3,5.0,10,288.47,5,0.0,-50000.0,15,192.31333333333333,138470.0,53.333333333333336,20.0,1,0.0,0.0
MIN_RATIO,1.2,3,5.5,10,288.47,3,0.0,-30000.0,13,221.9,158470.0,61.53846153846154,23.076923076923077,1,0.0,0.0
MIN_RATIO,1.2,3,6.0,10,288.47,2,0.0,-20000.0,12,240.39166666666668,168470.0,58.333333333333336,25.0,0,0.0,0.0
MIN_RATIO,1.2,3,6.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,3,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,4,4.5,10,288.47,3,0.0,-30000.0,13,221.9,158470.0,53.84615384615385,23.076923076923077,0,0.0,0.0
MIN_RATIO,1.2,4,5.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,4,5.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,4,6.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,4,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,4,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,5,4.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,5,5.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,5,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,5,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,5,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,5,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,6,4.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.2,6,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,6,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,6,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,6,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,6,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,8,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,8,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
