q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.86,0.425,1178,916,0.7775891341256367,469,0.39813242784380304,0.7112299465240641,0.3315508021390374
0.86,0.45,709,559,0.7884344146685472,310,0.43723554301833567,0.7280701754385965,0.3684210526315789
0.86,0.475,345,267,0.7739130434782608,153,0.4434782608695652,0.74,0.42
0.87,0.3,2858,2221,0.7771168649405178,937,0.327851644506648,0.7543478260869565,0.29347826086956524
0.87,0.325,2798,2176,0.777698355968549,927,0.3313080771979986,0.7511111111111111,0.3
0.87,0.35,2611,2029,0.7770968977403294,886,0.3393335886633474,0.7596153846153846,0.3096774193548387
0.87,0.375,2197,1714,0.7801547564861174,790,0.35958124715521167,0.7507002801120448,0.34173669467787116
0.87,0.4,1633,1273,0.7795468462951622,613,0.37538273116962645,0.7413127413127413,0.3359073359073359
0.87,0.425,1096,852,0.7773722627737226,433,0.39507299270072993,0.7175141242937854,0.327683615819209
0.87,0.45,657,517,0.786910197869102,286,0.4353120243531202,0.7222222222222222,0.35185185185185186
0.87,0.475,320,246,0.76875,142,0.44375,0.723404255319149,0.40425531914893614
0.88,0.3,2637,2059,0.7808115282518013,864,0.32764505119453924,0.7565632458233891,0.2911694510739857
0.88,0.325,2582,2018,0.7815646785437645,855,0.33113865220759103,0.7530562347188264,0.2982885085574572
0.88,0.35,2407,1879,0.7806398005816368,817,0.33942667220606565,0.7592592592592593,0.30701754385964913
0.88,0.375,2025,1587,0.7837037037037037,728,0.3595061728395062,0.7430340557275542,0.33746130030959753
0.88,0.4,1507,1177,0.781021897810219,562,0.3729263437292634,0.7276595744680852,0.32340425531914896
0.88,0.425,1003,778,0.7756729810568295,393,0.3918245264207378,0.6875,0.30625
0.88,0.45,599,468,0.7813021702838063,262,0.4373956594323873,0.7029702970297029,0.3465346534653465
0.88,0.475,292,222,0.7602739726027398,129,0.4417808219178082,0.7111111111111111,0.4
0.89,0.3,2417,1898,0.7852709971038477,800,0.33098882912701694,0.7622739018087855,0.29457364341085274
0.89,0.325,2364,1859,0.7863790186125211,792,0.3350253807106599,0.7586206896551724,0.30238726790450926
0.89,0.35,2199,1725,0.7844474761255116,754,0.3428831286948613,0.7636887608069164,0.3136094674556213
