month,date,race_code,p3head,lambda,points,head3,pair_rank,pair_hit,actual_combo,pair_train_3wins,odds_source,hit,composite_odds,cost,return_yen,profit,actual_stake,wf_selected,regime,realized_profit,p_band,comp_band
2025-12,2025-12-19,202512190603,0.3473014683517603,1.0,10,0,0,0,2-3-5,454,official_closing,0,14.765799129081628,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-19,202512190607,0.3005431091298949,1.0,10,0,0,0,2-4-1,454,official_closing,0,11.253680384633553,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-19,202512190610,0.3371343952785622,1.0,10,0,0,0,1-6-3,454,official_closing,0,12.99085450350048,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-19,202512191908,0.3093460651533719,1.0,10,0,0,0,1-4-3,454,official_closing,0,18.17880212838294,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-19,202512192203,0.3383307830828064,1.0,10,1,18,0,3-4-6,454,official_closing,0,1.7506220741947165,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-20,202512200607,0.3426192897685103,1.0,10,0,0,0,1-2-6,454,official_closing,0,23.113371082166584,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-20,202512201407,0.3224041424414823,1.0,10,1,1,1,3-1-6,454,official_closing,1,2.9402984352451123,10000,29770.0,19770.0,1300,1,Dec-Jun,19770.0,.30-.35,<3
2025-12,2025-12-21,202512210204,0.3107739337219737,1.0,10,1,11,0,3-1-5,454,official_closing,0,2.4498853884719445,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-21,202512210603,0.3281541548871576,1.0,10,0,0,0,1-2-3,454,official_closing,0,4.708169931821955,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,4-5
2025-12,2025-12-21,202512210608,0.3018418080484268,1.0,10,0,0,0,6-3-1,454,official_closing,0,3.9761789303658808,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-22,202512220604,0.3011583864211039,1.0,10,0,0,0,2-6-1,454,official_closing,0,5.287531262220996,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,5-7
