R,head_hits,exact3_hits,exact3_rate,second_top1,second_top2,second_top3,worst_month_second_top2,outer456_top2,boat2_top2,boat3_top2,boat4_top2,boat5_top2,boat6_top2,config,pair_mix,outer_weight,pair_l2,delta_top2_pp,delta_outer_pp,delta_exact3_pp
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.0,DROP_START_BASE,0.0,1.0,3.0,0.0,0.0,0.0
345,290,136,0.39420289855072466,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.0,PAIR_ow1.0_m0.35,0.35,1.0,3.0,0.0,0.0,0.0
345,290,134,0.3884057971014493,0.44482758620689655,0.7241379310344828,0.8689655172413793,0.6,0.26436781609195403,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.0,PAIR_ow1.0_m0.50,0.5,1.0,3.0,0.0,0.0,-0.5797101449275366
345,290,133,0.3855072463768116,0.44482758620689655,0.7241379310344828,0.8655172413793103,0.6,0.26436781609195403,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.0,PAIR_ow1.0_m0.65,0.65,1.0,3.0,0.0,0.0,-0.8695652173913049
345,290,133,0.3855072463768116,0.4379310344827586,0.7241379310344828,0.8655172413793103,0.6,0.26436781609195403,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.0,PAIR_ow1.0_m0.80,0.8,1.0,3.0,0.0,0.0,-0.8695652173913049
345,290,133,0.3855072463768116,0.4413793103448276,0.7275862068965517,0.8655172413793103,0.6,0.27586206896551724,0.9912280701754386,0.8314606741573034,0.40476190476190477,0.1875,0.07692307692307693,PAIR_ow1.0_m1.00,1.0,1.0,3.0,0.34482758620689724,1.1494252873563204,-0.8695652173913049
345,290,135,0.391304347826087,0.4482758620689655,0.7172413793103448,0.8655172413793103,0.6,0.27586206896551724,0.9649122807017544,0.8314606741573034,0.40476190476190477,0.1875,0.07692307692307693,PAIR_ow1.5_m0.35,0.35,1.5,3.0,-0.6896551724137945,1.1494252873563204,-0.2898550724637683
345,290,133,0.3855072463768116,0.4482758620689655,0.7137931034482758,0.8620689655172413,0.6666666666666666,0.28735632183908044,0.956140350877193,0.8202247191011236,0.42857142857142855,0.1875,0.07692307692307693,PAIR_ow1.5_m0.50,0.5,1.5,3.0,-1.0344827586206917,2.298850574712641,-0.8695652173913049
345,290,133,0.3855072463768116,0.4379310344827586,0.7068965517241379,0.8620689655172413,0.6533333333333333,0.2988505747126437,0.9473684210526315,0.797752808988764,0.4523809523809524,0.1875,0.07692307692307693,PAIR_ow1.5_m0.65,0.65,1.5,3.0,-1.7241379310344862,3.448275862068967,-0.8695652173913049
345,290,131,0.37971014492753624,0.4413793103448276,0.7068965517241379,0.8620689655172413,0.6,0.3103448275862069,0.9473684210526315,0.7865168539325843,0.47619047619047616,0.1875,0.07692307692307693,PAIR_ow1.5_m0.80,0.8,1.5,3.0,-1.7241379310344862,4.597701149425287,-1.4492753623188415
345,290,131,0.37971014492753624,0.43103448275862066,0.7034482758620689,0.8655172413793103,0.5333333333333333,0.3448275862068966,0.9385964912280702,0.7528089887640449,0.5,0.25,0.07692307692307693,PAIR_ow1.5_m1.00,1.0,1.5,3.0,-2.0689655172413834,8.045977011494255,-1.4492753623188415
345,290,134,0.3884057971014493,0.4482758620689655,0.7068965517241379,0.8620689655172413,0.6533333333333333,0.28735632183908044,0.956140350877193,0.797752808988764,0.42857142857142855,0.1875,0.07692307692307693,PAIR_ow2.0_m0.35,0.35,2.0,3.0,-1.7241379310344862,2.298850574712641,-0.5797101449275366
345,290,135,0.391304347826087,0.4482758620689655,0.7068965517241379,0.8620689655172413,0.6533333333333333,0.2988505747126437,0.9473684210526315,0.797752808988764,0.4523809523809524,0.1875,0.07692307692307693,PAIR_ow2.0_m0.50,0.5,2.0,3.0,-1.7241379310344862,3.448275862068967,-0.2898550724637683
345,290,133,0.3855072463768116,0.4379310344827586,0.7034482758620689,0.8655172413793103,0.5333333333333333,0.3103448275862069,0.9473684210526315,0.7752808988764045,0.47619047619047616,0.1875,0.07692307692307693,PAIR_ow2.0_m0.65,0.65,2.0,3.0,-2.0689655172413834,4.597701149425287,-0.8695652173913049
345,290,127,0.3681159420289855,0.42758620689655175,0.7034482758620689,0.8724137931034482,0.6,0.367816091954023,0.9385964912280702,0.7303370786516854,0.5,0.3125,0.07692307692307693,PAIR_ow2.0_m0.80,0.8,2.0,3.0,-2.0689655172413834,10.344827586206895,-2.608695652173915
345,290,116,0.336231884057971,0.3758620689655172,0.6620689655172414,0.8586206896551725,0.6,0.4827586206896552,0.8421052631578947,0.6067415730337079,0.6190476190476191,0.4375,0.15384615384615385,PAIR_ow2.0_m1.00,1.0,2.0,3.0,-6.206896551724139,21.839080459770116,-5.797101449275366
345,290,134,0.3884057971014493,0.4482758620689655,0.7034482758620689,0.8620689655172413,0.6,0.2988505747126437,0.9473684210526315,0.7865168539325843,0.4523809523809524,0.1875,0.07692307692307693,PAIR_ow3.0_m0.35,0.35,3.0,3.0,-2.0689655172413834,3.448275862068967,-0.5797101449275366
345,290,133,0.3855072463768116,0.4413793103448276,0.7034482758620689,0.8655172413793103,0.5333333333333333,0.3218390804597701,0.9473684210526315,0.7640449438202247,0.5,0.1875,0.07692307692307693,PAIR_ow3.0_m0.50,0.5,3.0,3.0,-2.0689655172413834,5.747126436781608,-0.8695652173913049
345,290,123,0.3565217391304348,0.4241379310344828,0.6827586206896552,0.8793103448275862,0.5866666666666667,0.41379310344827586,0.9035087719298246,0.6629213483146067,0.5476190476190477,0.34375,0.15384615384615385,PAIR_ow3.0_m0.65,0.65,3.0,3.0,-4.137931034482756,14.942528735632182,-3.768115942028988
345,290,120,0.34782608695652173,0.38620689655172413,0.6655172413793103,0.8448275862068966,0.6,0.5057471264367817,0.8421052631578947,0.5955056179775281,0.6428571428571429,0.46875,0.15384615384615385,PAIR_ow3.0_m0.80,0.8,3.0,3.0,-5.862068965517242,24.13793103448276,-4.637681159420293
345,290,99,0.28695652173913044,0.296551724137931,0.6172413793103448,0.8103448275862069,0.5333333333333333,0.5977011494252874,0.7017543859649122,0.5280898876404494,0.8095238095238095,0.5,0.15384615384615385,PAIR_ow3.0_m1.00,1.0,3.0,3.0,-10.689655172413792,33.333333333333336,-10.724637681159422
345,290,133,0.3855072463768116,0.4482758620689655,0.7034482758620689,0.8620689655172413,0.5333333333333333,0.3103448275862069,0.9473684210526315,0.7752808988764045,0.47619047619047616,0.1875,0.07692307692307693,PAIR_ow4.0_m0.35,0.35,4.0,3.0,-2.0689655172413834,4.597701149425287,-0.8695652173913049
345,290,128,0.3710144927536232,0.42758620689655175,0.7,0.8758620689655172,0.5866666666666667,0.39080459770114945,0.9385964912280702,0.6966292134831461,0.5238095238095238,0.3125,0.15384615384615385,PAIR_ow4.0_m0.50,0.5,4.0,3.0,-2.4137931034482807,12.643678160919542,-2.3188405797101463
