month,date,race_code,p3head,actual_combo,y3head,hit,valid_payout,return_yen,cost_yen,top10,pair_train_3wins,effn,entropy,mass4,mass6,mass8,mass10,mass12,mass15,rank20,points,composite_odds,cost,profit,actual_stake,odds_source,strategy,rule_points,joint_score,split
2026-07,2026-07-03,202607030403,0.3189663194676842,2-3-1,0,0,1,0.0,1000,3-2-5;3-2-6;3-5-6;3-5-2;3-6-5;3-6-2;3-1-5;3-1-6;3-1-2;3-5-1,4286,12.60675324514441,0.9061214987292506,0.4543652171175194,0.6105499776678605,0.7219650821013566,0.80494651819889,0.8695607696254745,0.936191046450878,3-2-5;3-2-6;3-5-6;3-5-2;3-6-5;3-6-2;3-1-5;3-1-6;3-1-2;3-5-1;3-2-1;3-6-1;3-2-4;3-6-4;3-4-6;3-5-4;3-1-4;3-4-5;3-4-2;3-4-1,10,3.9142051623125114,10000,-10000.0,0,official_closing,fixed,10,-0.5237335974571491,july_tune
2026-07,2026-07-03,202607030406,0.3440489558150738,3-1-6,1,1,1,40740.0,1000,3-1-5;3-5-1;3-5-6;3-1-6;3-1-2;3-2-5;3-5-2;3-6-5;3-6-1;3-2-1,4286,10.105168971402971,0.8524619356786639,0.520491141655521,0.6744359637760072,0.7934627825407773,0.8671423396853619,0.9259688441161662,0.9699292073268008,3-1-5;3-5-1;3-5-6;3-1-6;3-1-2;3-2-5;3-5-2;3-6-5;3-6-1;3-2-1;3-2-6;3-1-4;3-6-2;3-5-4;3-4-5;3-2-4;3-6-4;3-4-1;3-4-6;3-4-2,4,3.995042653021607,10000,30740.0,1400,official_closing,fixed,4,0.3386758754693446,july_tune
2026-07,2026-07-03,202607030602,0.3215234901675993,4-2-3,0,0,1,0.0,1000,3-1-6;3-4-6;3-6-4;3-1-4;3-6-1;3-2-6;3-1-2;3-6-2;3-1-5;3-5-6,4286,14.873953243101996,0.94639987776326,0.3936159414964827,0.5288063125529383,0.6283368333804562,0.7239523553019674,0.8085017610263736,0.8969785314932126,3-1-6;3-4-6;3-6-4;3-1-4;3-6-1;3-2-6;3-1-2;3-6-2;3-1-5;3-5-6;3-6-5;3-2-4;3-4-1;3-2-1;3-4-5;3-4-2;3-2-5;3-5-1;3-5-4;3-5-2,10,6.34709717245369,10000,-10000.0,0,official_closing,fixed,10,-0.9808928087316645,july_tune
2026-07,2026-07-03,202607031204,0.4274402149498855,1-2-6,0,0,1,0.0,1000,3-2-6;3-1-6;3-6-2;3-1-2;3-6-1;3-2-1;3-2-5;3-1-5;3-5-6;3-6-5,4286,11.927914989186531,0.8982890717911861,0.4909356625373031,0.6197408977450254,0.7180457873323014,0.7965428868096541,0.8614109420530305,0.9428889788806802,3-2-6;3-1-6;3-6-2;3-1-2;3-6-1;3-2-1;3-2-5;3-1-5;3-5-6;3-6-5;3-2-4;3-1-4;3-6-4;3-4-6;3-5-2;3-5-1;3-4-2;3-4-1;3-4-5;3-5-4,4,2.8596086267213683,10000,-10000.0,0,official_closing,fixed,4,1.0146067042875628,july_tune
2026-07,2026-07-03,202607031904,0.3515885748026239,1-2-4,0,0,1,0.0,1000,3-4-6;3-6-4;3-4-5;3-2-4;3-4-2;3-5-4;3-1-4;3-5-6;3-2-6;3-4-1,4286,12.93706863915129,0.9223195072042149,0.4453154902236336,0.5745207281841938,0.6749590542610471,0.759417063552592,0.8321068566122912,0.9138013308870452,3-4-6;3-6-4;3-4-5;3-2-4;3-4-2;3-5-4;3-1-4;3-5-6;3-2-6;3-4-1;3-2-5;3-6-5;3-6-2;3-1-6;3-5-2;3-1-5;3-1-2;3-6-1;3-5-1;3-2-1,8,2.5006293261578945,10000,-10000.0,0,official_closing,fixed,8,-0.1765999062507292,july_tune
2026-07,2026-07-03,202607032103,0.3069658277166272,4-5-1,0,0,1,0.0,1000,3-1-5;3-1-2;3-1-4;3-2-5;3-5-1;3-2-1;3-2-4;3-5-2;3-4-1;3-1-6,4286,12.436571968885932,0.9077877271246813,0.4592337608600702,0.5905086271588238,0.6911741619691045,0.7838473430648557,0.8629550971222348,0.9396190628943354,3-1-5;3-1-2;3-1-4;3-2-5;3-5-1;3-2-1;3-2-4;3-5-2;3-4-1;3-1-6;3-4-5;3-5-4;3-4-2;3-5-6;3-2-6;3-4-6;3-6-1;3-6-5;3-6-2;3-6-4,10,3.1499605737527525,10000,-10000.0,0,official_closing,fixed,10,-0.6409126683155955,july_tune
2026-07,2026-07-03,202607032108,0.3147984491601843,1-4-3,0,0,1,0.0,1000,3-1-4;3-4-1;3-4-5;3-4-2;3-4-6;3-2-4;3-5-4;3-1-5;3-1-2;3-6-4,4286,8.66727175496311,0.8109707204697506,0.6017417498431534,0.7516092599311175,0.8502141414853261,0.9019715622916,0.9378867632278548,0.975457815131395,3-1-4;3-4-1;3-4-5;3-4-2;3-4-6;3-2-4;3-5-4;3-1-5;3-1-2;3-6-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-5-6;3-2-6;3-6-1;3-6-5;3-6-2,6,9.330984677331497,10000,-10000.0,0,official_closing,fixed,6,0.2741591793454236,july_tune
2026-07,2026-07-04,202607041208,0.3476287447515606,2-4-3,0,0,1,0.0,1000,3-4-5;3-1-4;3-4-1;3-4-2;3-5-4;3-2-4;3-4-6;3-1-5;3-2-5;3-1-2,4286,9.2733400427648,0.8224046457555478,0.5571797276902927,0.7444584193026986,0.8435878121542532,0.8980379972599823,0.940555194011414,0.977135211719728,3-4-5;3-1-4;3-4-1;3-4-2;3-5-4;3-2-4;3-4-6;3-1-5;3-2-5;3-1-2;3-5-1;3-5-2;3-6-4;3-2-1;3-1-6;3-5-6;3-2-6;3-6-5;3-6-1;3-6-2,4,2.9242105876979,10000,-10000.0,0,official_closing,fixed,4,0.5643687693210175,july_tune
2026-07,2026-07-04,202607041305,0.3282275628303889,1-3-4,0,0,1,0.0,1000,3-1-5;3-1-4;3-2-5;3-1-2;3-5-6;3-5-1;3-1-6;3-4-5;3-5-2;3-2-4,4286,16.104383263270726,0.9621649059765432,0.3501247443819685,0.4702962447930723,0.5860077887380203,0.6904687256955531,0.7751931086739066,0.8796199075110991,3-1-5;3-1-4;3-2-5;3-1-2;3-5-6;3-5-1;3-1-6;3-4-5;3-5-2;3-2-4;3-5-4;3-2-6;3-4-6;3-2-1;3-4-1;3-6-5;3-4-2;3-6-4;3-6-1;3-6-2,10,1.819405074277661,10000,-10000.0,0,official_closing,fixed,10,-1.1607935909774083,july_tune
2026-07,2026-07-05,202607050101,0.3061403042659743,4-1-6,0,0,1,0.0,1000,3-4-6;3-4-5;3-5-4;3-6-4;3-1-4;3-4-1;3-5-6;3-4-2;3-2-4;3-1-5,4286,10.88999675183145,0.8803751759493474,0.5072020187949793,0.6466673366610133,0.7504156211217221,0.8286403649004684,0.8853987542035835,0.9432967859163954,3-4-6;3-4-5;3-5-4;3-6-4;3-1-4;3-4-1;3-5-6;3-4-2;3-2-4;3-1-5;3-6-5;3-1-6;3-5-1;3-2-5;3-5-2;3-2-6;3-1-2;3-6-1;3-6-2;3-2-1,8,16.41605963883417,10000,-10000.0,0,official_closing,fixed,8,-0.31727234616998357,july_tune
