grade,all_selected_races,odds_known_races,composite_over2_races,share_of_odds_known_pct,hits7,trifecta_hit_rate_pct,avg_composite_odds7,median_composite_odds7,min_composite_odds7,max_composite_odds7
A,5229,5070,580,11.439842209072978,242,41.724137931034484,2.4411538384793596,2.296066015724792,2.0000145661688045,5.7286809637051475
S,3308,3205,308,9.609984399375975,124,40.25974025974026,2.4354399025732167,2.2804349588533883,2.0000145661688045,5.0142922300855055
