month,R,head,exact3,second_top1,second_top2,second_top3
2026-02,63,51,0.3492063492063492,0.39215686274509803,0.7254901960784313,0.8823529411764706
2026-03,16,15,0.4375,0.2,0.6666666666666666,0.9333333333333333
2026-04,53,48,0.5283018867924528,0.4791666666666667,0.7916666666666666,0.9583333333333334
2026-05,121,101,0.39669421487603307,0.48514851485148514,0.7524752475247525,0.8811881188118812
2026-06,92,75,0.33695652173913043,0.41333333333333333,0.6666666666666666,0.8266666666666667
