phase,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,point_hist
DEV,S,1.4,449,446,99.33184855233853,3457,7.751121076233184,49,10.986547085201794,72.70465721724038,2.4896823054184045,224,49.88864142538976,81.94082087177856,0:3;1:6;2:15;3:19;4:29;5:50;6:42;7:61;8:48;9:49;10:40;11:31;12:18;13:15;14:11;15:5;16:6;17:1
DEV,S,1.5,449,440,97.99554565701558,3100,7.045454545454546,43,9.772727272727273,74.24516129032259,2.609445461099365,224,49.88864142538976,81.94082087177856,0:9;1:9;2:20;3:24;4:46;5:53;6:53;7:59;8:46;9:34;10:31;11:21;12:16;13:12;14:8;15:4;16:4
DEV,S,1.75,449,423,94.20935412026726,2358,5.574468085106383,26,6.1465721040189125,68.50296861747243,2.9214999290088146,224,49.88864142538976,81.94082087177856,0:26;1:32;2:39;3:48;4:63;5:56;6:41;7:30;8:35;9:24;10:21;11:15;12:11;13:3;14:3;16:2
DEV,S,2.0,449,393,87.52783964365256,1849,4.704834605597965,18,4.580152671755725,66.65765278528934,3.2114123113313022,224,49.88864142538976,81.94082087177856,0:56;1:47;2:50;3:65;4:47;5:56;6:30;7:26;8:26;9:19;10:13;11:5;12:5;13:3;14:1
AUG_DIAGNOSTIC,A,1.0,1696,1696,100.0,19444,11.464622641509434,383,22.58254716981132,73.95751902900638,2.064049716741148,826,48.70283018867924,80.60141509433963,3:1;4:8;5:18;6:46;7:81;8:153;9:160;10:196;11:210;12:186;13:203;14:154;15:114;16:71;17:53;18:33;19:6;20:3
AUG_DIAGNOSTIC,A,1.05,1696,1696,100.0,18412,10.856132075471699,350,20.63679245283019,75.18955029328698,2.12230975342344,826,48.70283018867924,80.60141509433963,1:2;2:1;3:5;4:9;5:36;6:78;7:113;8:176;9:168;10:203;11:198;12:186;13:169;14:145;15:86;16:54;17:37;18:25;19:2;20:3
AUG_DIAGNOSTIC,A,1.1,1696,1694,99.88207547169812,17452,10.30224321133412,325,19.185360094451003,77.11265184506074,2.179896449673527,826,48.70283018867924,80.60141509433963,0:2;1:1;2:4;3:7;4:24;5:59;6:110;7:139;8:173;9:191;10:201;11:170;12:186;13:153;14:116;15:68;16:43;17:25;18:20;19:3;20:1
AUG_DIAGNOSTIC,A,1.15,1696,1694,99.88207547169812,16539,9.763282172373081,299,17.650531286894925,77.90011487998065,2.238115901233351,826,48.70283018867924,80.60141509433963,0:2;1:2;2:14;3:14;4:44;5:81;6:127;7:151;8:202;9:185;10:188;11:167;12:167;13:130;14:91;15:56;16:35;17:23;18:14;19:2;20:1
AUG_DIAGNOSTIC,A,1.2,1696,1694,99.88207547169812,15682,9.257378984651712,276,16.29279811097993,78.70743527611275,2.2961635861507523,826,48.70283018867924,80.60141509433963,0:2;1:7;2:18;3:23;4:67;5:114;6:136;7:159;8:205;9:180;10:193;11:157;12:152;13:105;14:71;15:46;16:35;17:17;18:8;20:1
AUG_DIAGNOSTIC,A,1.25,1696,1692,99.76415094339623,14905,8.809101654846335,248,14.657210401891254,78.78161690707816,2.3519861754054086,826,48.70283018867924,80.60141509433963,0:4;1:14;2:23;3:35;4:81;5:139;6:156;7:147;8:234;9:179;10:159;11:155;12:133;13:96;14:54;15:40;16:28;17:13;18:5;19:1
