rule,head_q,guard_q,conf_cut,R,heads,head_rate,hit5,trifecta5_rate,months,worst_head_month,worst_tri5_month,min_month_R,head_wilson_lo,head_wilson_hi,tri5_wilson_lo,tri5_wilson_hi
HGB_q0.950,0.95,,0.0,798,665,0.8333333333333334,373,0.4674185463659148,5,0.7761904761904762,0.38571428571428573,65,0.8058918947854258,0.8575809079085598,0.4330400507503708,0.5021092241742772
HGB_q0.950,0.95,,0.45,794,662,0.8337531486146096,373,0.46977329974811083,5,0.7788461538461539,0.3894230769230769,65,0.8062626385513576,0.8580297395150867,0.43528755223340804,0.5045501191869896
HGB_q0.950,0.95,,0.5,751,629,0.8375499334221038,358,0.4766977363515313,5,0.7857142857142857,0.4030612244897959,63,0.8094621802878417,0.8622020401593202,0.4411859420155686,0.512446705488079
HGB_q0.950,0.95,,0.55,640,544,0.85,320,0.5,5,0.8050314465408805,0.44025157232704404,62,0.8202515596250081,0.8755719134712859,0.4613785454530317,0.5386214545469683
HGB_q0.950,0.95,,0.6,468,400,0.8547008547008547,245,0.5235042735042735,5,0.8118811881188119,0.4745762711864407,59,0.8198850420558504,0.8837411310866928,0.4782474792885527,0.5683783514618568
HGB_q0.950,0.95,,0.65,265,226,0.8528301886792453,138,0.5207547169811321,5,0.7962962962962963,0.44680851063829785,37,0.8051408273878761,0.8904364128945504,0.4607407591449111,0.5801755491069964
HGB_q0.950,0.95,,0.7,124,103,0.8306451612903226,67,0.5403225806451613,5,0.6,0.4,10,0.754939184073531,0.8864802799753758,0.4527120682749134,0.6255098175847092
HGB_q0.950,0.95,,0.75,44,35,0.7954545454545454,22,0.5,5,0.6666666666666666,0.3333333333333333,2,0.6549942193889834,0.8884674692991871,0.35831760539989393,0.641682394600106
HGB_q0.975,0.975,,0.0,314,266,0.8471337579617835,140,0.445859872611465,5,0.7938144329896907,0.21428571428571427,14,0.8031547583948871,0.882721781465137,0.3918651233671141,0.5011633061960016
HGB_q0.975,0.975,,0.45,313,265,0.8466453674121406,140,0.4472843450479233,5,0.7938144329896907,0.21428571428571427,14,0.8025447251289282,0.88234039314975,0.3931715543073449,0.5026754092723953
HGB_q0.975,0.975,,0.5,294,248,0.8435374149659864,135,0.45918367346938777,5,0.7802197802197802,0.21428571428571427,14,0.7976108960279052,0.880602274159418,0.4031132379411628,0.5163069794623235
HGB_q0.975,0.975,,0.55,249,215,0.8634538152610441,121,0.4859437751004016,5,0.8082191780821918,0.23076923076923078,13,0.8152494282599986,0.9006141838399401,0.42455106847387564,0.5477635984614858
HGB_q0.975,0.975,,0.6,170,148,0.8705882352941177,90,0.5294117647058824,5,0.8095238095238095,0.23076923076923078,13,0.8118357452733787,0.9129625902603826,0.45456158342710007,0.6029620939962143
HGB_q0.975,0.975,,0.65,92,79,0.8586956521739131,48,0.5217391304347826,5,0.7619047619047619,0.18181818181818182,11,0.7731141979919699,0.915523066216171,0.4208569740212842,0.6208786177489061
HGB_q0.975,0.975,,0.7,40,33,0.825,19,0.475,5,0.6,0.25,2,0.6805000966821229,0.9125458625396408,0.329354701126789,0.6250263789330753
HGB_q0.975,0.975,,0.75,11,7,0.6363636363636364,4,0.36363636363636365,3,0.3333333333333333,0.0,2,0.35380117450784887,0.8483352890463243,0.15166471095367573,0.6461988254921511
HGB_q0.985,0.985,,0.0,145,128,0.8827586206896552,66,0.45517241379310347,5,0.8163265306122449,0.30612244897959184,6,0.82026136663405,0.9254985908366647,0.3763184910009353,0.5363402527187108
HGB_q0.985,0.985,,0.45,145,128,0.8827586206896552,66,0.45517241379310347,5,0.8163265306122449,0.30612244897959184,6,0.82026136663405,0.9254985908366647,0.3763184910009353,0.5363402527187108
HGB_q0.985,0.985,,0.5,136,120,0.8823529411764706,63,0.4632352941176471,5,0.8125,0.3125,6,0.8174264539602621,0.9262728815375866,0.38159284916611214,0.5468975993437101
HGB_q0.985,0.985,,0.55,116,105,0.9051724137931034,57,0.49137931034482757,5,0.8333333333333334,0.2727272727272727,6,0.8381469876245371,0.9462226364188591,0.4021496603059669,0.5811616242888545
HGB_q0.985,0.985,,0.6,70,65,0.9285714285714286,40,0.5714285714285714,5,0.8333333333333334,0.3,6,0.8434458778290468,0.969105782962153,0.45477836559850204,0.6806469112000313
HGB_q0.985,0.985,,0.65,34,30,0.8823529411764706,15,0.4411764705882353,5,0.7272727272727273,0.25,4,0.7337915722962817,0.9532855333511766,0.2888348224624216,0.6054610074379694
HGB_q0.985,0.985,,0.7,13,11,0.8461538461538461,5,0.38461538461538464,5,0.6666666666666666,0.0,1,0.5776536898051745,0.9567418216419186,0.17709707797762575,0.6447710848733431
HGB_q0.985,0.985,,0.75,1,0,0.0,0,0.0,1,0.0,0.0,1,0.0,0.7934506856227626,0.0,0.7934506856227626
HGB_q0.990,0.99,,0.0,75,69,0.92,34,0.4533333333333333,5,0.8181818181818182,0.0,1,0.8362520966647771,0.9628198756496662,0.3456979638413221,0.5655162614570731
HGB_q0.990,0.99,,0.45,75,69,0.92,34,0.4533333333333333,5,0.8181818181818182,0.0,1,0.8362520966647771,0.9628198756496662,0.3456979638413221,0.5655162614570731
HGB_q0.990,0.99,,0.5,66,61,0.9242424242424242,31,0.4696969696969697,5,0.8095238095238095,0.0,1,0.8346080497938948,0.9672079624370398,0.35430428496377675,0.5884231427340136
HGB_q0.990,0.99,,0.55,59,55,0.9322033898305084,30,0.5084745762711864,5,0.8235294117647058,0.0,1,0.838244756312555,0.9733213810286956,0.3843514305938966,0.6315616309225984
HGB_q0.990,0.99,,0.6,38,37,0.9736842105263158,23,0.6052631578947368,5,0.9,0.0,1,0.8650512388404787,0.9953394123142312,0.4471786799604255,0.744019242518399
HGB_q0.990,0.99,,0.65,15,14,0.9333333333333333,7,0.4666666666666667,5,0.75,0.0,1,0.7018347012621998,0.9881331045067315,0.24809535365737387,0.698830199745016
HGB_q0.990,0.99,,0.7,4,4,1.0,1,0.25,4,1.0,0.0,1,0.5101091635454027,1.0,0.04558726080970055,0.6993581574175981
HGB_q0.990,0.99,,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.0,21,20,0.9523809523809523,10,0.47619047619047616,4,0.8333333333333334,0.0,2,0.7733063992587743,0.9915440121901737,0.2834400610153417,0.6763046541715557
HGB_q0.995,0.995,,0.45,21,20,0.9523809523809523,10,0.47619047619047616,4,0.8333333333333334,0.0,2,0.7733063992587743,0.9915440121901737,0.2834400610153417,0.6763046541715557
HGB_q0.995,0.995,,0.5,17,17,1.0,9,0.5294117647058824,4,1.0,0.0,2,0.8156818649911483,1.0,0.30963235060004424,0.7383489355759056
HGB_q0.995,0.995,,0.55,13,13,1.0,8,0.6153846153846154,4,1.0,0.0,2,0.7719046276458016,0.9999999999999999,0.35522891512665694,0.8229029220223743
HGB_q0.995,0.995,,0.6,9,9,1.0,6,0.6666666666666666,4,1.0,0.0,2,0.7008549515804559,1.0,0.3542021355803963,0.879416181613089
HGB_q0.995,0.995,,0.65,6,6,1.0,3,0.5,3,1.0,0.0,2,0.6096657120978346,1.0,0.18761630648265054,0.8123836935173494
HGB_q0.995,0.995,,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.995,0.995,,0.75,0,0,,0,,0,,,0,,,,
