month,R,hits,hit_rate,strategy,alpha
2026-02,63,22,0.3492063492063492,HYBRID,0.7
2026-03,16,8,0.5,HYBRID,0.7
2026-04,53,28,0.5283018867924528,HYBRID,0.7
2026-05,121,49,0.4049586776859504,HYBRID,0.7
2026-06,92,32,0.34782608695652173,HYBRID,0.7
