variant,score,source,rule,cut,R,heads,head_rate,wilson_lo,wilson_hi,months_covered,worst_month_head_rate,min_month_R
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.750,0.75,7221,6200,0.8586068411577343,0.8503796578913814,0.8664526808552413,5,0.7065803667745415,927
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.800,0.8,6312,5554,0.8799112801013942,0.8716600421609603,0.8877003742253494,5,0.7181008902077152,674
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.820,0.82,5921,5251,0.8868434386083431,0.8785224484754057,0.8946627973812524,5,0.7123287671232876,584
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.840,0.84,5492,4927,0.8971230881281864,0.8888088566522876,0.9048821609441342,5,0.72,500
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.860,0.86,4999,4532,0.9065813162632527,0.8981989041319287,0.9143393370775441,5,0.7338129496402878,417
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.880,0.88,4491,4121,0.9176130037853485,0.9092101390206808,0.9253020533146068,5,0.7237237237237237,333
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.900,0.9,3940,3653,0.9271573604060914,0.9186199348541352,0.9348626493586992,5,0.7272727272727273,253
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.920,0.92,3296,3097,0.939623786407767,0.930969257522387,0.9472547529837706,5,0.732620320855615,187
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.940,0.94,2630,2506,0.9528517110266159,0.9440696597668696,0.9603127934831992,5,0.7727272727272727,132
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.950,0.95,2262,2162,0.9557913351016799,0.9465195324616222,0.9635176601110709,5,0.7475728155339806,103
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.960,0.96,1928,1863,0.9662863070539419,0.9572573022281025,0.9734608950599924,5,0.7746478873239436,71
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.970,0.97,1621,1575,0.9716224552745218,0.9623569990742421,0.9786578868394545,5,0.7608695652173914,46
POST_HGB_RECOVERED,p_raw,fixed_probability,>=0.980,0.98,1379,1353,0.981145757795504,0.9725170387082369,0.9871012830708075,5,0.8421052631578947,19
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.750,0.75,6977,6027,0.8638383259280493,0.8555904007486484,0.8716858208857677,5,0.7035490605427975,958
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.800,0.8,5861,5208,0.8885855656031394,0.8802743439401589,0.8963877418097127,5,0.7174721189591078,538
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.820,0.82,5413,4874,0.9004249030112692,0.8921619173959282,0.9081199503594882,5,0.7326732673267327,404
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.840,0.84,4881,4441,0.9098545380045072,0.9014945556949023,0.9175698978249316,5,0.7162629757785467,289
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.860,0.86,4410,4064,0.9215419501133787,0.9132339851930659,0.9291161614280564,5,0.7371134020618557,194
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.880,0.88,3890,3626,0.9321336760925449,0.9237958950165088,0.9396188165362902,5,0.7536231884057971,138
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.900,0.9,3317,3135,0.9451311425987338,0.9368539228958045,0.9523785311728329,5,0.7721518987341772,79
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.920,0.92,2756,2634,0.9557329462989841,0.94739855927173,0.962798652228021,5,0.8157894736842105,38
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.940,0.94,2154,2080,0.9656453110492108,0.9570868405245654,0.9725458680324022,5,0.8693467336683417,9
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.950,0.95,1861,1812,0.9736700698549167,0.9653620807122877,0.9800265965186993,5,0.8875379939209727,1
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.960,0.96,1639,1602,0.9774252593044539,0.9690397012323931,0.9835780888758671,4,0.9035714285714286,280
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.970,0.97,1435,1408,0.981184668989547,0.9727628372857997,0.9870371403516931,4,0.9155555555555556,225
POST_HGB_RECOVERED,p_cal,fixed_probability,>=0.980,0.98,1229,1210,0.9845402766476811,0.9759802073194307,0.9900807500556411,4,0.9252873563218391,174
POST_HGB_RECOVERED,p_cal,training_OOF_quantile,q0.900,,1237,1216,0.9830234438156831,0.9741863621023716,0.9888697894351,5,0.7619047619047619,21
POST_HGB_RECOVERED,p_cal,training_OOF_quantile,q0.950,,547,541,0.9890310786106032,0.9762779286171349,0.994963417568736,4,0.9423076923076923,87
POST_HGB_RECOVERED,p_cal,training_OOF_quantile,q0.975,,220,217,0.9863636363636363,0.9606820349398267,0.9953517629430867,4,0.9571428571428572,16
POST_HGB_RECOVERED,p_cal,training_OOF_quantile,q0.990,,54,53,0.9814814814814815,0.9022856251121808,0.9967235122817709,3,0.9642857142857143,10
POST_HGB_RECOVERED,p_cal,training_OOF_quantile,q0.995,,25,24,0.96,0.8045593626380625,0.9929037664980127,3,0.9473684210526315,2
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.750,0.75,7298,6188,0.8479035352151274,0.8394815550837382,0.8559594550556597,5,0.6804451510333863,1258
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.800,0.8,6664,5733,0.8602941176470589,0.8517627512959842,0.868410340649322,5,0.6903648269410664,1069
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.820,0.82,6413,5555,0.8662092624356775,0.8576577810857307,0.8743222795316978,5,0.694949494949495,990
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.840,0.84,6113,5330,0.8719123180107967,0.8633006933272422,0.8800568108047426,5,0.6985539488320356,899
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.860,0.86,5794,5088,0.8781498101484294,0.8694755289193018,0.8863229921550081,5,0.7057387057387058,819
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.880,0.88,5445,4814,0.8841138659320478,0.8753397895257412,0.8923463381791631,5,0.710124826629681,721
